row  column  (images_1.edf Ca-K*images_1.edf Ar-K**2.3)
0  0  1.0832e+08
0  1  1.38667e+08
0  2  1.65416e+08
0  3  2.39937e+08
0  4  4.33343e+08
0  5  6.18852e+08
0  6  7.08436e+08
0  7  6.7554e+08
0  8  8.14739e+08
0  9  7.77742e+08
0  10  8.60762e+08
0  11  9.54487e+08
0  12  9.90531e+08
0  13  1.1175e+09
0  14  1.01253e+09
0  15  1.12826e+09
0  16  1.21488e+09
0  17  1.42372e+09
0  18  1.88592e+09
0  19  1.91575e+09
0  20  1.88089e+09
0  21  1.50058e+09
0  22  1.74975e+09
0  23  2.13801e+09
0  24  1.95692e+09
0  25  1.91169e+09
0  26  2.26247e+09
0  27  2.1295e+09
0  28  2.36043e+09
0  29  1.92591e+09
0  30  2.30083e+09
0  31  2.13475e+09
0  32  2.25668e+09
0  33  2.36065e+09
0  34  2.03879e+09
0  35  2.03481e+09
0  36  1.91312e+09
0  37  1.87619e+09
0  38  1.23126e+09
0  39  8.53839e+08
0  40  5.84043e+08
0  41  3.91783e+08
0  42  3.69836e+08
0  43  3.69372e+08
0  44  5.93141e+08
0  45  7.77053e+08
0  46  5.9166e+08
0  47  4.32885e+08
0  48  2.71149e+08
0  49  1.41124e+08
0  50  9.05445e+07
1  0  1.85575e+08
1  1  1.68379e+08
1  2  2.26567e+08
1  3  3.71833e+08
1  4  5.99437e+08
1  5  8.34917e+08
1  6  9.81736e+08
1  7  7.84851e+08
1  8  9.84622e+08
1  9  8.90664e+08
1  10  1.06004e+09
1  11  1.2398e+09
1  12  1.21343e+09
1  13  1.16676e+09
1  14  1.28278e+09
1  15  1.34859e+09
1  16  1.35733e+09
1  17  1.68979e+09
1  18  2.04321e+09
1  19  2.16132e+09
1  20  1.72023e+09
1  21  1.73521e+09
1  22  1.749e+09
1  23  1.954e+09
1  24  2.03242e+09
1  25  1.98297e+09
1  26  2.35656e+09
1  27  2.25501e+09
1  28  2.20069e+09
1  29  2.19359e+09
1  30  2.19278e+09
1  31  2.209e+09
1  32  2.10068e+09
1  33  2.1029e+09
1  34  2.23944e+09
1  35  2.11153e+09
1  36  1.95702e+09
1  37  1.81084e+09
1  38  1.25995e+09
1  39  9.04976e+08
1  40  6.59034e+08
1  41  3.79546e+08
1  42  3.53696e+08
1  43  4.54759e+08
1  44  6.956e+08
1  45  9.41799e+08
1  46  6.46129e+08
1  47  4.50876e+08
1  48  2.64058e+08
1  49  1.45125e+08
1  50  1.10233e+08
2  0  1.96489e+08
2  1  2.00236e+08
2  2  2.89768e+08
2  3  4.09786e+08
2  4  7.88922e+08
2  5  9.25325e+08
2  6  1.06426e+09
2  7  1.14889e+09
2  8  1.18391e+09
2  9  1.11236e+09
2  10  1.2622e+09
2  11  1.31673e+09
2  12  1.59967e+09
2  13  1.40231e+09
2  14  1.48081e+09
2  15  1.44691e+09
2  16  1.47923e+09
2  17  1.75682e+09
2  18  1.92661e+09
2  19  2.14789e+09
2  20  1.61471e+09
2  21  1.74959e+09
2  22  2.04389e+09
2  23  2.06273e+09
2  24  2.15639e+09
2  25  2.0882e+09
2  26  2.21795e+09
2  27  2.14607e+09
2  28  2.34912e+09
2  29  2.03676e+09
2  30  2.5707e+09
2  31  2.26103e+09
2  32  2.11019e+09
2  33  2.11997e+09
2  34  1.91403e+09
2  35  2.0182e+09
2  36  1.7888e+09
2  37  1.91034e+09
2  38  1.30309e+09
2  39  1.09978e+09
2  40  8.28294e+08
2  41  5.69747e+08
2  42  3.71802e+08
2  43  5.62917e+08
2  44  7.98672e+08
2  45  1.04688e+09
2  46  7.35733e+08
2  47  6.0795e+08
2  48  2.8714e+08
2  49  1.61957e+08
2  50  1.33731e+08
3  0  2.50918e+08
3  1  2.74552e+08
3  2  3.69586e+08
3  3  5.76299e+08
3  4  9.51556e+08
3  5  1.30126e+09
3  6  1.35957e+09
3  7  1.14832e+09
3  8  1.39422e+09
3  9  1.43195e+09
3  10  1.43416e+09
3  11  1.65602e+09
3  12  1.70332e+09
3  13  1.72712e+09
3  14  1.77134e+09
3  15  1.67914e+09
3  16  1.63324e+09
3  17  1.94763e+09
3  18  2.32098e+09
3  19  1.98373e+09
3  20  1.94194e+09
3  21  1.87555e+09
3  22  1.85535e+09
3  23  2.17357e+09
3  24  2.2598e+09
3  25  2.21933e+09
3  26  2.45018e+09
3  27  2.21731e+09
3  28  2.35082e+09
3  29  2.32209e+09
3  30  2.1576e+09
3  31  2.14869e+09
3  32  2.09988e+09
3  33  1.9441e+09
3  34  2.05644e+09
3  35  2.05464e+09
3  36  1.81227e+09
3  37  1.83378e+09
3  38  1.43396e+09
3  39  1.12012e+09
3  40  8.93978e+08
3  41  6.53507e+08
3  42  4.7756e+08
3  43  6.31929e+08
3  44  1.03571e+09
3  45  1.17697e+09
3  46  9.64733e+08
3  47  5.90299e+08
3  48  3.03935e+08
3  49  1.85393e+08
3  50  1.49993e+08
4  0  3.34491e+08
4  1  3.71715e+08
4  2  4.20972e+08
4  3  6.01783e+08
4  4  9.75428e+08
4  5  1.35362e+09
4  6  1.58983e+09
4  7  1.57936e+09
4  8  1.65358e+09
4  9  1.54498e+09
4  10  1.96788e+09
4  11  2.04319e+09
4  12  1.9064e+09
4  13  1.94891e+09
4  14  1.78583e+09
4  15  2.05526e+09
4  16  2.03848e+09
4  17  1.95643e+09
4  18  2.186e+09
4  19  2.1741e+09
4  20  1.98873e+09
4  21  1.91519e+09
4  22  1.89822e+09
4  23  2.12057e+09
4  24  2.18438e+09
4  25  1.93154e+09
4  26  2.32877e+09
4  27  2.12559e+09
4  28  2.09087e+09
4  29  2.13173e+09
4  30  1.81848e+09
4  31  2.1926e+09
4  32  1.79158e+09
4  33  2.07945e+09
4  34  2.07418e+09
4  35  1.81644e+09
4  36  1.91303e+09
4  37  1.80596e+09
4  38  1.54904e+09
4  39  1.12986e+09
4  40  8.90045e+08
4  41  7.7756e+08
4  42  5.18918e+08
4  43  6.79485e+08
4  44  1.06789e+09
4  45  1.51644e+09
4  46  1.12618e+09
4  47  7.36733e+08
4  48  3.56256e+08
4  49  2.47092e+08
4  50  1.5625e+08
5  0  3.97429e+08
5  1  4.45705e+08
5  2  4.69656e+08
5  3  8.67486e+08
5  4  1.28562e+09
5  5  1.63472e+09
5  6  1.8068e+09
5  7  1.74103e+09
5  8  1.72277e+09
5  9  1.75581e+09
5  10  1.87637e+09
5  11  1.94264e+09
5  12  2.04513e+09
5  13  2.20068e+09
5  14  1.97817e+09
5  15  2.13329e+09
5  16  2.07028e+09
5  17  2.17598e+09
5  18  2.14825e+09
5  19  2.40199e+09
5  20  2.18302e+09
5  21  2.18653e+09
5  22  2.20566e+09
5  23  2.12516e+09
5  24  2.21562e+09
5  25  2.08817e+09
5  26  2.50056e+09
5  27  2.0879e+09
5  28  2.15759e+09
5  29  2.05391e+09
5  30  2.13213e+09
5  31  1.96945e+09
5  32  1.78191e+09
5  33  1.8745e+09
5  34  1.91752e+09
5  35  1.72234e+09
5  36  1.82854e+09
5  37  1.63561e+09
5  38  1.7486e+09
5  39  1.30774e+09
5  40  9.65066e+08
5  41  6.96504e+08
5  42  5.52023e+08
5  43  9.00105e+08
5  44  1.48063e+09
5  45  1.47443e+09
5  46  9.6083e+08
5  47  5.65915e+08
5  48  3.2969e+08
5  49  1.98552e+08
5  50  1.40408e+08
6  0  5.58864e+08
6  1  5.0746e+08
6  2  5.72331e+08
6  3  8.77865e+08
6  4  1.29787e+09
6  5  1.84549e+09
6  6  2.02902e+09
6  7  1.87434e+09
6  8  2.28371e+09
6  9  2.14023e+09
6  10  2.14199e+09
6  11  2.11756e+09
6  12  2.37889e+09
6  13  2.15258e+09
6  14  2.35517e+09
6  15  2.45308e+09
6  16  2.17202e+09
6  17  2.17978e+09
6  18  2.1291e+09
6  19  2.05683e+09
6  20  2.15117e+09
6  21  2.07124e+09
6  22  2.01534e+09
6  23  2.13963e+09
6  24  2.19439e+09
6  25  2.48221e+09
6  26  2.32614e+09
6  27  2.20512e+09
6  28  2.08395e+09
6  29  1.88727e+09
6  30  1.82159e+09
6  31  1.88963e+09
6  32  2.02362e+09
6  33  1.93568e+09
6  34  1.6173e+09
6  35  1.82496e+09
6  36  1.85362e+09
6  37  1.66076e+09
6  38  1.5969e+09
6  39  1.34612e+09
6  40  1.29785e+09
6  41  8.83325e+08
6  42  6.83139e+08
6  43  7.99505e+08
6  44  1.12996e+09
6  45  1.30866e+09
6  46  1.05797e+09
6  47  5.54309e+08
6  48  3.84673e+08
6  49  2.35833e+08
6  50  1.69521e+08
7  0  6.06988e+08
7  1  6.75443e+08
7  2  6.99858e+08
7  3  9.72911e+08
7  4  1.62157e+09
7  5  1.86435e+09
7  6  2.16024e+09
7  7  2.29677e+09
7  8  2.24203e+09
7  9  2.36103e+09
7  10  2.52826e+09
7  11  2.27354e+09
7  12  2.49486e+09
7  13  2.66676e+09
7  14  2.59649e+09
7  15  2.1234e+09
7  16  2.3024e+09
7  17  2.14401e+09
7  18  1.98758e+09
7  19  2.18171e+09
7  20  2.24472e+09
7  21  2.19804e+09
7  22  2.13509e+09
7  23  2.06692e+09
7  24  2.1343e+09
7  25  2.2271e+09
7  26  2.11677e+09
7  27  2.07937e+09
7  28  2.07226e+09
7  29  1.9985e+09
7  30  2.09909e+09
7  31  1.84939e+09
7  32  1.83591e+09
