row  column  (images_10_7103.edf Ca_K*images_10_7103.edf Ar_K**2.3)
0  0  7.97969e+09
0  1  8.21624e+09
0  2  7.33552e+09
0  3  7.96982e+09
0  4  8.13029e+09
0  5  7.6897e+09
0  6  8.85663e+09
0  7  8.44703e+09
0  8  8.20209e+09
0  9  7.43532e+09
0  10  6.99872e+09
0  11  8.34811e+09
0  12  8.09277e+09
0  13  7.20289e+09
0  14  8.28227e+09
0  15  7.37009e+09
0  16  8.85781e+09
0  17  7.6615e+09
0  18  7.64578e+09
0  19  6.70748e+09
0  20  6.51265e+09
0  21  7.25818e+09
0  22  7.87694e+09
0  23  8.15345e+09
0  24  9.19539e+09
0  25  8.53779e+09
0  26  5.22655e+09
0  27  4.54225e+09
0  28  5.62731e+09
0  29  6.85861e+09
0  30  7.58719e+09
0  31  7.74994e+09
0  32  8.00144e+09
0  33  6.9898e+09
0  34  6.36081e+09
0  35  6.11089e+09
0  36  5.17292e+09
0  37  6.47877e+09
0  38  5.22652e+09
0  39  4.74902e+09
0  40  5.90613e+09
0  41  6.03344e+09
0  42  4.61338e+09
0  43  5.53382e+09
0  44  5.15148e+09
0  45  5.0259e+09
0  46  5.42566e+09
0  47  5.6274e+09
0  48  4.96214e+09
0  49  5.1194e+09
0  50  4.74278e+09
1  0  7.59551e+09
1  1  7.28757e+09
1  2  7.27316e+09
1  3  8.60456e+09
1  4  9.29792e+09
1  5  8.29883e+09
1  6  7.74572e+09
1  7  8.00671e+09
1  8  7.54661e+09
1  9  6.70423e+09
1  10  7.79309e+09
1  11  8.16409e+09
1  12  7.78148e+09
1  13  7.7417e+09
1  14  7.73119e+09
1  15  8.7356e+09
1  16  8.56282e+09
1  17  7.47233e+09
1  18  6.99768e+09
1  19  6.45881e+09
1  20  7.52082e+09
1  21  7.84011e+09
1  22  8.81549e+09
1  23  8.79665e+09
1  24  9.34713e+09
1  25  7.04884e+09
1  26  4.63363e+09
1  27  5.34929e+09
1  28  6.45498e+09
1  29  7.52629e+09
1  30  7.86657e+09
1  31  8.63292e+09
1  32  6.73729e+09
1  33  6.97669e+09
1  34  6.60738e+09
1  35  4.70238e+09
1  36  6.04556e+09
1  37  5.82342e+09
1  38  4.83677e+09
1  39  5.64778e+09
1  40  6.10218e+09
1  41  5.07449e+09
1  42  5.45221e+09
1  43  5.49027e+09
1  44  5.30424e+09
1  45  5.51076e+09
1  46  5.26721e+09
1  47  4.6909e+09
1  48  4.68375e+09
1  49  5.04516e+09
1  50  4.95313e+09
2  0  7.89181e+09
2  1  8.03856e+09
2  2  7.77963e+09
2  3  8.56853e+09
2  4  8.65867e+09
2  5  8.10314e+09
2  6  7.84691e+09
2  7  7.88262e+09
2  8  7.50949e+09
2  9  6.64708e+09
2  10  7.56979e+09
2  11  7.55262e+09
2  12  8.07599e+09
2  13  7.51466e+09
2  14  7.93835e+09
2  15  8.49474e+09
2  16  8.38303e+09
