row  column  (images_10_7103.edf Cu_K*images_10_7103.edf Ar_K**2.3)
0  0  1.79633e+07
0  1  0
0  2  0
0  3  4.01967e+07
0  4  6.26376e+07
0  5  5.93147e+07
0  6  3.84688e+07
0  7  4.61251e+07
0  8  4.34142e+07
0  9  9.07048e+06
0  10  0
0  11  2.89025e+07
0  12  7.19201e+07
0  13  0
0  14  5.66849e+07
0  15  0
0  16  3.5892e+06
0  17  0
0  18  4.22376e+06
0  19  0
0  20  0
0  21  2.71241e+07
0  22  0
0  23  4.69475e+07
0  24  5.9469e+07
0  25  0
0  26  4.80982e+07
0  27  0
0  28  0
0  29  0
0  30  0
0  31  5.05531e+07
0  32  3.28368e+07
0  33  0
0  34  0
0  35  0
0  36  4.5541e+07
0  37  2.80619e+07
0  38  0
0  39  0
0  40  6.9068e+07
0  41  1.63712e+07
0  42  0
0  43  1.82598e+07
0  44  0
0  45  0
0  46  0
0  47  0
0  48  2.91569e+07
0  49  0
0  50  853341
1  0  6.2626e+06
1  1  7.28657e+07
1  2  0
1  3  3.05099e+07
1  4  0
1  5  4.78155e+07
1  6  2.03403e+07
1  7  2.87272e+07
1  8  1.89221e+07
1  9  0
1  10  0
1  11  211508
1  12  4.92989e+07
1  13  2.67066e+07
1  14  9.283e+07
1  15  1.04109e+07
1  16  0
1  17  6.51488e+07
1  18  2.20026e+06
1  19  2.7784e+07
1  20  2.36148e+07
1  21  0
1  22  0
1  23  0
1  24  4.6243e+06
1  25  0
1  26  4.19277e+07
1  27  0
1  28  9.59868e+06
1  29  0
1  30  0
1  31  1.47961e+07
1  32  0
1  33  0
1  34  0
1  35  0
1  36  0
1  37  7.46232e+07
1  38  2.92535e+07
1  39  3.63457e+07
1  40  0
1  41  1.24697e+07
1  42  0
1  43  0
1  44  0
1  45  0
1  46  0
1  47  1.66918e+07
1  48  1.75177e+07
1  49  0
1  50  1.07036e+07
2  0  3.36369e+07
2  1  0
2  2  1.27637e+08
2  3  4.93346e+07
2  4  4.51617e+07
2  5  1.98019e+07
2  6  8.53864e+06
2  7  1.44857e+07
2  8  7.77963e+06
2  9  6.71061e+06
2  10  0
2  11  2.95843e+07
2  12  4.41986e+07
2  13  1.46819e+07
2  14  0
2  15  0
2  16  1.57855e+07
2  17  2.28153e+07
2  18  0
2  19  3.30285e+07
2  20  5.87739e+07
2  21  3.8198e+07
2  22  5.27687e+07
2  23  3.3259e+07
2  24  1.84504e+07
2  25  0
2  26  0
2  27  4.73292e+06
2  28  1.89648e+07
2  29  0
2  30  2.73464e+07
2  31  3.99413e+07
2  32  2.91957e+07
2  33  0
2  34  0
2  35  0
2  36  0
2  37  0
2  38  4.9898e+06
2  39  0
2  40  4.17107e+07
2  41  3.24066e+07
2  42  0
2  43  0
2  44  1.51977e+07
2  45  0
2  46  0
2  47  1.91281e+07
2  48  1.37846e+06
2  49  0
2  50  0
3  0  3.11328e+06
3  1  4.45129e+07
3  2  0
3  3  9.32817e+06
3  4  435603
3  5  6.37816e+07
3  6  1.1536e+07
3  7  8.94454e+06
3  8  950030
3  9  8.91642e+06
3  10  0
3  11  3.79799e+07
3  12  2.68554e+06
3  13  0
3  14  0
3  15  1.29368e+07
3  16  4.62837e+07
3  17  3.80699e+07
3  18  0
3  19  2.54385e+07
3  20  0
3  21  0
3  22  6.62376e+07
3  23  3.4161e+07
3  24  3.05869e+07
3  25  1.03134e+07
3  26  0
3  27  0
3  28  2.61742e+07
3  29  0
3  30  0
3  31  3.08791e+07
3  32  0
3  33  0
3  34  0
3  35  0
3  36  2.80466e+07
3  37  1.9412e+07
3  38  0
3  39  5.39994e+07
3  40  0
3  41  0
3  42  5.1535e+06
3  43  0
3  44  6.15359e+06
3  45  4.57332e+07
3  46  8.44379e+07
3  47  0
3  48  8.35515e+06
3  49  0
3  50  0
4  0  2.37073e+07
4  1  4.08298e+07
4  2  6.91951e+07
4  3  4.50349e+07
4  4  0
4  5  2.98419e+06
4  6  9.16077e+06
4  7  2.53504e+07
4  8  2.18261e+07
4  9  2.24529e+07
4  10  3.76574e+07
4  11  3.16049e+07
4  12  5.42464e+07
4  13  0
4  14  1.37878e+07
4  15  8.92127e+06
4  16  1.53047e+07
4  17  0
4  18  0
4  19  0
4  20  0
4  21  8.38743e+07
4  22  5.88381e+07
4  23  0
4  24  3.02394e+07
4  25  0
4  26  5.43641e+06
4  27  3.19881e+06
4  28  0
4  29  3.3393e+07
4  30  3.65516e+07
4  31  0
4  32  0
4  33  0
4  34  3.85141e+07
4  35  0
4  36  0
4  37  2.40756e+07
4  38  3.54743e+07
4  39  2.65255e+07
4  40  0
4  41  0
4  42  1.04617e+08
4  43  0
4  44  0
4  45  0
4  46  0
4  47  0
4  48  0
4  49  1.9241e+07
4  50  0
5  0  7.70224e+07
5  1  0
5  2  0
5  3  1.58575e+06
5  4  2.82866e+07
5  5  0
5  6  3.89759e+07
5  7  2.30192e+07
5  8  2.36021e+07
5  9  0
5  10  1.48785e+07
5  11  18470.7
5  12  4.71801e+07
5  13  5.85683e+06
5  14  3.2068e+07
5  15  4.67154e+07
5  16  3.35856e+07
5  17  1.0758e+07
5  18  0
5  19  0
5  20  0
5  21  4.50851e+07
5  22  0
5  23  0
5  24  3.90643e+07
5  25  0
5  26  1.01319e+08
5  27  0
5  28  6.21536e+07
5  29  3.11707e+07
5  30  0
5  31  0
5  32  0
5  33  0
5  34  0
5  35  0
5  36  9.86328e+06
5  37  0
5  38  0
5  39  0
5  40  0
5  41  0
5  42  0
5  43  2.17868e+07
5  44  0
5  45  0
5  46  0
5  47  0
5  48  0
5  49  0
5  50  0
6  0  197260
6  1  0
6  2  2.76933e+07
6  3  4.50506e+07
6  4  0
6  5  2.56825e+07
6  6  0
6  7  8.25314e+07
6  8  0
6  9  2.2408e+07
6  10  3.53909e+07
6  11  4.09761e+07
6  12  2.93874e+07
6  13  2.4625e+07
6  14  0
6  15  1.97584e+06
6  16  1.23511e+07
6  17  0
6  18  0
6  19  0
6  20  2.99895e+07
6  21  1.48991e+07
6  22  4.84386e+06
6  23  8.07867e+07
6  24  2.08387e+07
6  25  0
6  26  8.30318e+06
6  27  7.0614e+07
6  28  1.67517e+07
6  29  0
6  30  0
6  31  0
6  32  3.8695e+07
6  33  3.23134e+07
6  34  0
6  35  0
6  36  0
6  37  0
6  38  0
6  39  4.60632e+07
6  40  5.86845e+07
6  41  1.38937e+07
6  42  0
6  43  0
6  44  0
6  45  5.6505e+06
6  46  5.69752e+07
6  47  0
6  48  0
6  49  0
6  50  0
7  0  0
7  1  1.86755e+07
7  2  1.61873e+07
7  3  0
7  4  8.65055e+07
7  5  3.31095e+07
7  6  3.20815e+07
7  7  3.71944e+07
7  8  724659
7  9  3.85391e+07
7  10  0
7  11  0
7  12  0
7  13  5.07788e+07
7  14  7.276e+06
7  15  1.34054e+07
7  16  2.14565e+07
7  17  0
7  18  0
7  19  1.33412e+07
7  20  0
7  21  1.61132e+07
7  22  0
7  23  0
7  24  0
7  25  7.08828e+06
7  26  9.67096e+06
7  27  2.29107e+06
7  28  0
7  29  2.51957e+07
7  30  1.79836e+07
7  31  0
7  32  3.17518e+07
7  33  5.60124e+07
7  34  0
7  35  0
7  36  0
7  37  5.34522e+07
7  38  1.22215e+07
7  39  4.39931e+07
7  40  0
7  41  1.08835e+07
7  42  0
7  43  0
7  44  0
7  45  5.11585e+07
7  46  0
7  47  0
7  48  0
7  49  0
7  50  0
8  0  2.9031e+07
8  1  1.45184e+07
8  2  6.41198e+07
8  3  0
8  4  5.60828e+07
8  5  4.03351e+06
8  6  0
8  7  0
8  8  4.8388e+06
8  9  1.18943e+07
8  10  1.10132e+07
8  11  2.70701e+07
8  12  1.89544e+07
8  13  0
8  14  0
8  15  3.04587e+07
8  16  0
8  17  0
8  18  1.3798e+07
8  19  0
8  20  0
8  21  5.72631e+07
8  22  0
8  23  2.19682e+07
8  24  0
8  25  0
8  26  7.4451e+06
8  27  0
8  28  0
8  29  9.7237e+06
8  30  0
8  31  0
8  32  2.52013e+07
8  33  806883
8  34  3.10289e+07
8  35  143469
8  36  0
8  37  0
8  38  7.58e+06
8  39  3.25159e+07
8  40  0
8  41  0
8  42  0
8  43  8.27442e+07
8  44  624192
8  45  3.07357e+07
8  46  1.59255e+07
8  47  0
8  48  0
8  49  2.12274e+07
8  50  0
9  0  2.31059e+07
9  1  1.10588e+07
9  2  6.34765e+06
9  3  0
9  4  1.41254e+06
9  5  2.354e+07
9  6  1.32883e+07
9  7  7.06817e+06
9  8  232668
9  9  4.19436e+07
9  10  0
9  11  1.85252e+07
9  12  2.5256e+07
9  13  2.96428e+07
9  14  8.20344e+06
9  15  3.65615e+07
9  16  5.97559e+07
9  17  5.71e+07
9  18  0
9  19  5.32622e+07
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
