row  column  (images_10_7103.edf Fe_K*images_10_7103.edf Ar_K**2.3)
0  0  4.04141e+08
0  1  5.50683e+08
0  2  3.14362e+08
0  3  2.15771e+08
0  4  2.47756e+08
0  5  2.60384e+08
0  6  2.76774e+08
0  7  3.11606e+08
0  8  2.60438e+08
0  9  2.03604e+08
0  10  2.31646e+08
0  11  2.63612e+08
0  12  2.79853e+08
0  13  2.51417e+08
0  14  2.58014e+08
0  15  2.44274e+08
0  16  2.76246e+08
0  17  2.98633e+08
0  18  3.21893e+08
0  19  2.86914e+08
0  20  2.79714e+08
0  21  3.5568e+08
0  22  4.30963e+08
0  23  4.02557e+08
0  24  4.61923e+08
0  25  5.76163e+08
0  26  3.52512e+08
0  27  3.20557e+08
0  28  4.05567e+08
0  29  4.37235e+08
0  30  4.61848e+08
0  31  5.25699e+08
0  32  5.14585e+08
0  33  4.98568e+08
0  34  4.56488e+08
0  35  5.1803e+08
0  36  4.43482e+08
0  37  5.8941e+08
0  38  4.27387e+08
0  39  4.96172e+08
0  40  5.34706e+08
0  41  6.66055e+08
0  42  1.20434e+09
0  43  8.76658e+08
0  44  6.38976e+08
0  45  1.14747e+09
0  46  5.95486e+08
0  47  5.56128e+08
0  48  5.07553e+08
0  49  4.89714e+08
0  50  4.56997e+08
1  0  4.15634e+08
1  1  3.40187e+08
1  2  2.5938e+08
1  3  3.15604e+08
1  4  3.35649e+08
1  5  2.39456e+08
1  6  2.76004e+08
1  7  2.55953e+08
1  8  2.62464e+08
1  9  2.36552e+08
1  10  2.3098e+08
1  11  2.58857e+08
1  12  2.68403e+08
1  13  2.73485e+08
1  14  2.55119e+08
1  15  3.46016e+08
1  16  3.25078e+08
1  17  3.0617e+08
1  18  3.52763e+08
1  19  3.04665e+08
1  20  2.93592e+08
1  21  3.19603e+08
1  22  4.52232e+08
1  23  3.81253e+08
1  24  4.57202e+08
1  25  4.64203e+08
1  26  3.51119e+08
1  27  4.48826e+08
1  28  4.19154e+08
1  29  5.29441e+08
1  30  5.02211e+08
1  31  5.972e+08
1  32  4.1308e+08
1  33  5.44141e+08
1  34  6.04857e+08
1  35  3.76637e+08
1  36  5.11991e+08
1  37  5.58845e+08
1  38  4.44757e+08
1  39  5.93377e+08
1  40  6.34534e+08
1  41  7.82871e+08
1  42  9.76729e+08
1  43  6.66605e+08
1  44  6.8399e+08
1  45  1.00791e+09
1  46  5.29798e+08
1  47  4.73315e+08
1  48  4.87296e+08
1  49  4.17823e+08
1  50  4.40762e+08
2  0  3.3622e+08
2  1  3.82638e+08
2  2  2.67633e+08
2  3  2.88398e+08
2  4  2.32312e+08
2  5  2.97217e+08
2  6  2.30919e+08
2  7  2.30796e+08
2  8  3.04072e+08
2  9  3.1321e+08
2  10  2.92952e+08
2  11  2.7009e+08
2  12  2.87078e+08
2  13  3.02238e+08
2  14  2.96688e+08
2  15  3.05672e+08
2  16  2.85411e+08
2  17  3.62143e+08
2  18  3.15731e+08
2  19  2.94767e+08
2  20  3.39776e+08
2  21  3.02362e+08
2  22  3.87475e+08
2  23  3.9427e+08
2  24  5.40037e+08
2  25  5.45626e+08
2  26  4.26777e+08
2  27  3.84825e+08
2  28  3.84464e+08
2  29  4.6197e+08
2  30  4.84756e+08
2  31  5.45079e+08
2  32  4.76218e+08
2  33  4.46223e+08
2  34  4.93489e+08
2  35  3.47788e+08
2  36  3.95327e+08
2  37  4.61579e+08
2  38  5.02739e+08
2  39  5.2498e+08
2  40  5.40252e+08
2  41  5.41222e+08
2  42  9.66904e+08
2  43  6.8154e+08
2  44  6.03302e+08
2  45  8.80331e+08
2  46  6.25848e+08
2  47  4.21508e+08
2  48  4.51697e+08
2  49  4.22632e+08
2  50  4.41885e+08
3  0  3.85518e+08
3  1  2.77141e+08
3  2  2.57626e+08
3  3  2.98115e+08
3  4  2.52587e+08
3  5  2.68224e+08
3  6  2.7177e+08
3  7  2.28709e+08
3  8  2.28839e+08
3  9  2.79885e+08
3  10  3.12985e+08
3  11  2.21832e+08
3  12  3.21146e+08
3  13  3.28342e+08
3  14  3.147e+08
3  15  2.40069e+08
3  16  2.91826e+08
3  17  3.43712e+08
3  18  3.28052e+08
3  19  3.18195e+08
3  20  3.26225e+08
3  21  3.85029e+08
3  22  3.93287e+08
3  23  4.31177e+08
3  24  4.67324e+08
3  25  4.22202e+08
3  26  3.48863e+08
3  27  4.51004e+08
3  28  4.58893e+08
3  29  4.46559e+08
3  30  4.79852e+08
3  31  5.38742e+08
3  32  5.36967e+08
3  33  4.63023e+08
3  34  4.7916e+08
3  35  4.12858e+08
3  36  4.53254e+08
3  37  4.82235e+08
3  38  4.00253e+08
3  39  5.71469e+08
3  40  5.4985e+08
3  41  5.38389e+08
3  42  8.03685e+08
3  43  6.07609e+08
3  44  6.71888e+08
3  45  7.32437e+08
3  46  6.17063e+08
3  47  4.30708e+08
3  48  5.129e+08
3  49  4.94378e+08
3  50  4.76745e+08
4  0  3.99633e+08
4  1  2.988e+08
