row  column  (images_10_7176.edf Mn_K*images_10_7176.edf Ar_K**2.3)
0  0  5.52908e+06
0  1  9.52554e+06
0  2  7.32154e+06
0  3  1.00648e+07
0  4  7.20216e+06
0  5  1.05431e+07
0  6  5.98259e+06
0  7  3.34776e+06
0  8  9.91037e+06
0  9  5.7009e+06
0  10  7.82284e+06
0  11  7.35126e+06
0  12  9.08512e+06
0  13  1.29646e+07
0  14  8.12208e+06
0  15  3.57649e+06
0  16  9.74603e+06
0  17  9.21865e+06
0  18  5.06903e+06
0  19  9.13266e+06
0  20  9.84428e+06
0  21  7.65064e+06
0  22  8.0673e+06
0  23  1.08287e+07
0  24  6.226e+06
0  25  9.28681e+06
0  26  6.26973e+06
0  27  7.78334e+06
0  28  8.58635e+06
0  29  7.03975e+06
0  30  7.75043e+06
0  31  5.82264e+06
0  32  4.21698e+06
0  33  6.36508e+06
0  34  4.77298e+06
0  35  3.99858e+06
0  36  8.02249e+06
0  37  6.94896e+06
0  38  5.43492e+06
0  39  5.46302e+06
0  40  8.6046e+06
0  41  5.99405e+06
0  42  7.00372e+06
0  43  7.12681e+06
0  44  7.90127e+06
0  45  9.23164e+06
0  46  9.64082e+06
0  47  3.15028e+06
0  48  5.35648e+06
0  49  7.66074e+06
0  50  5.78097e+06
0  51  1.22427e+07
0  52  7.23386e+06
0  53  6.39777e+06
0  54  4.23166e+06
0  55  1.01424e+07
0  56  1.07354e+07
0  57  7.77251e+06
0  58  5.71223e+06
0  59  5.28736e+06
0  60  7.36208e+06
0  61  7.55777e+06
0  62  9.18643e+06
0  63  8.98255e+06
0  64  9.1906e+06
0  65  2.50466e+06
0  66  1.06378e+07
0  67  8.08685e+06
0  68  5.15448e+06
0  69  8.39187e+06
0  70  9.68989e+06
0  71  9.21776e+06
0  72  8.84158e+06
0  73  8.52653e+06
0  74  5.80239e+06
0  75  7.80122e+06
0  76  3.92002e+06
0  77  4.60068e+06
0  78  7.31676e+06
0  79  9.69543e+06
0  80  1.45424e+07
0  81  9.07017e+06
0  82  4.47293e+06
0  83  1.26016e+07
0  84  8.64203e+06
0  85  6.55975e+06
0  86  7.77897e+06
0  87  6.88932e+06
0  88  1.2224e+07
0  89  1.00725e+07
0  90  3.64919e+06
0  91  1.08324e+07
0  92  8.5762e+06
0  93  1.28971e+07
0  94  3.91579e+06
0  95  9.81971e+06
0  96  1.12768e+07
0  97  7.94982e+06
0  98  1.2242e+07
0  99  1.08074e+07
0  100  7.3227e+06
1  0  6.73897e+06
1  1  6.16237e+06
1  2  4.55799e+06
1  3  8.77217e+06
1  4  8.09139e+06
1  5  7.79346e+06
1  6  7.55386e+06
1  7  3.67178e+06
1  8  6.24365e+06
1  9  6.22511e+06
1  10  5.22598e+06
