row  column  (images_10_7176.edf S_K*images_10_7176.edf Ar_K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  1.35239e+07
0  28  1.1316e+07
0  29  8.38204e+06
0  30  2.35622e+07
0  31  1.57411e+07
0  32  1.99405e+07
0  33  3.02032e+07
0  34  2.18088e+07
0  35  1.05169e+07
0  36  1.34621e+07
0  37  7.82518e+06
0  38  2.47601e+07
0  39  2.06339e+07
0  40  1.85932e+07
0  41  2.07867e+07
0  42  2.41341e+07
0  43  2.31677e+07
0  44  1.83587e+07
0  45  1.87994e+07
0  46  1.79924e+07
0  47  2.12806e+07
0  48  2.76665e+07
0  49  1.69466e+07
0  50  1.56966e+07
0  51  2.9798e+07
0  52  1.93351e+07
0  53  2.74961e+07
0  54  2.62499e+07
0  55  2.6808e+07
0  56  2.04022e+07
0  57  3.24001e+07
0  58  2.13069e+07
0  59  1.81015e+07
0  60  1.79168e+07
0  61  2.64409e+07
0  62  1.84619e+07
0  63  1.37172e+07
0  64  3.67101e+07
0  65  2.63696e+07
0  66  2.19622e+07
0  67  1.87731e+07
0  68  2.80459e+07
0  69  2.18212e+07
0  70  2.19872e+07
0  71  2.38892e+07
0  72  2.85047e+07
0  73  3.59219e+07
0  74  2.365e+07
0  75  2.88963e+07
0  76  2.49116e+07
0  77  1.99081e+07
0  78  2.52879e+07
0  79  1.70064e+07
0  80  2.82811e+07
0  81  3.04447e+07
0  82  2.24391e+07
0  83  1.98145e+07
0  84  1.42629e+07
0  85  1.90086e+07
0  86  2.74425e+07
0  87  2.42165e+07
0  88  2.48934e+07
0  89  3.31636e+07
0  90  2.59441e+07
0  91  3.64471e+07
0  92  2.67281e+07
0  93  2.81098e+07
0  94  2.58628e+07
0  95  2.85557e+07
0  96  1.97795e+07
0  97  3.42386e+07
0  98  2.71585e+07
0  99  3.11312e+07
0  100  4.40039e+07
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  766385
1  27  0
1  28  1.08324e+07
1  29  2.09104e+07
1  30  1.93634e+07
1  31  1.14916e+07
1  32  2.54506e+07
1  33  2.3686e+07
1  34  2.61201e+07
1  35  1.76571e+07
1  36  1.57924e+07
1  37  2.11834e+07
1  38  2.1086e+07
1  39  1.94729e+07
1  40  2.20157e+07
1  41  1.17663e+07
1  42  2.07927e+07
1  43  2.15285e+07
1  44  1.93559e+07
1  45  1.94716e+07
1  46  1.67329e+07
1  47  6.37929e+06
1  48  1.84763e+07
1  49  2.24311e+07
1  50  2.08483e+07
1  51  1.73459e+07
1  52  2.12262e+07
1  53  2.9453e+07
1  54  2.42758e+07
1  55  2.31483e+07
1  56  2.68121e+07
1  57  2.33436e+07
1  58  1.86471e+07
1  59  2.65602e+07
1  60  2.49375e+07
1  61  2.97464e+07
1  62  3.20504e+07
1  63  9.23357e+06
1  64  2.07986e+07
1  65  2.93882e+07
1  66  2.57033e+07
1  67  3.27205e+07
1  68  3.03612e+07
1  69  2.5306e+07
1  70  1.82196e+07
1  71  1.7831e+07
1  72  2.75746e+07
1  73  3.04885e+07
1  74  2.50584e+07
1  75  2.55308e+07
1  76  1.82228e+07
1  77  1.75932e+07
1  78  1.56414e+07
1  79  2.60648e+07
1  80  2.06553e+07
1  81  3.3725e+07
1  82  1.81977e+07
1  83  3.73253e+07
1  84  3.38758e+07
1  85  2.59368e+07
1  86  2.23846e+07
1  87  2.33977e+07
1  88  2.51507e+07
1  89  3.21315e+07
1  90  3.86665e+07
1  91  3.53969e+07
1  92  5.08027e+07
1  93  2.15276e+07
1  94  2.82383e+07
1  95  1.61297e+07
1  96  2.8248e+07
1  97  2.41597e+07
1  98  2.78144e+07
1  99  4.80178e+07
1  100  5.3784e+07
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  0
2  29  1.25141e+07
2  30  2.29548e+07
2  31  2.65813e+07
2  32  2.28227e+07
2  33  2.54457e+07
2  34  2.88524e+07
2  35  1.20741e+07
2  36  2.22623e+07
2  37  1.14113e+07
2  38  1.56565e+07
2  39  2.4984e+07
2  40  2.8878e+07
2  41  2.43465e+07
2  42  1.72048e+07
2  43  1.97992e+07
2  44  1.70643e+07
2  45  2.36479e+07
2  46  2.33883e+07
2  47  1.39081e+07
2  48  1.71245e+07
2  49  2.06079e+07
2  50  1.91087e+07
2  51  1.50554e+07
2  52  1.54809e+07
2  53  2.88791e+07
2  54  2.41037e+07
2  55  3.15662e+07
2  56  2.19585e+07
2  57  1.90569e+07
2  58  2.64101e+07
2  59  1.7852e+07
2  60  2.0146e+07
2  61  2.93423e+07
2  62  2.10095e+07
2  63  2.03277e+07
2  64  2.21656e+07
2  65  2.32632e+07
2  66  2.43423e+07
2  67  2.36853e+07
2  68  1.78757e+07
2  69  1.13982e+07
2  70  2.65938e+07
2  71  1.36505e+07
2  72  2.38192e+07
2  73  2.11735e+07
2  74  2.10868e+07
2  75  1.58883e+07
2  76  2.40826e+07
2  77  1.40405e+07
2  78  1.88677e+07
2  79  2.90017e+07
2  80  2.04398e+07
2  81  2.83006e+07
2  82  2.6377e+07
2  83  3.86216e+07
2  84  2.407e+07
2  85  2.4912e+07
2  86  1.97116e+07
2  87  2.33167e+07
2  88  1.35156e+07
2  89  1.88639e+07
2  90  2.70405e+07
2  91  3.56187e+07
2  92  3.71961e+07
2  93  3.76266e+07
2  94  3.15898e+07
2  95  2.72854e+07
2  96  2.57835e+07
2  97  4.15091e+07
2  98  3.3738e+07
2  99  3.28478e+07
2  100  4.44538e+07
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  0
3  16  0
3  17  0
3  18  0
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  0
3  27  0
3  28  7.35172e+06
3  29  8.79038e+06
3  30  1.40593e+07
3  31  1.3793e+07
3  32  2.05823e+07
3  33  2.33675e+07
3  34  1.85989e+07
3  35  1.65389e+07
3  36  1.81519e+07
3  37  1.74462e+07
3  38  1.19674e+07
3  39  1.44598e+07
3  40  1.94328e+07
3  41  2.85059e+07
3  42  2.05775e+07
3  43  1.55869e+07
3  44  2.39005e+07
3  45  1.41777e+07
3  46  1.69092e+07
3  47  1.00441e+07
3  48  2.31739e+07
3  49  3.16107e+07
3  50  2.14254e+07
3  51  1.70872e+07
3  52  1.75781e+07
3  53  2.81737e+07
3  54  2.13317e+07
3  55  2.60082e+07
3  56  2.44584e+07
3  57  2.7621e+07
3  58  2.27722e+07
3  59  1.64817e+07
3  60  2.38078e+07
