row  column  (images_10_7176.edf Zn_K*images_10_7176.edf Ar_K**2.3)
0  0  0
0  1  723107
0  2  2.05696e+06
0  3  442540
0  4  1.35636e+06
0  5  2.69162e+06
0  6  0
0  7  2.58847e+06
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  1.11755e+07
0  15  5.56312e+06
0  16  3.07551e+06
0  17  3.67634e+06
0  18  3.36439e+06
0  19  1.7521e+06
0  20  2.53882e+06
0  21  4.00433e+06
0  22  775093
0  23  4.28588e+06
0  24  7.9821e+06
0  25  1.01366e+07
0  26  1.69524e+07
0  27  2.39402e+07
0  28  2.52338e+07
0  29  3.40199e+07
0  30  6.88359e+07
0  31  8.52978e+07
0  32  7.90869e+07
0  33  1.07061e+08
0  34  8.24813e+07
0  35  4.62645e+07
0  36  3.38852e+07
0  37  5.12555e+07
0  38  5.84294e+07
0  39  7.2176e+07
0  40  8.64491e+07
0  41  8.52014e+07
0  42  8.28634e+07
0  43  7.01083e+07
0  44  5.68573e+07
0  45  6.03479e+07
0  46  4.16098e+07
0  47  4.99192e+07
0  48  7.76695e+07
0  49  5.4078e+07
0  50  4.5477e+07
0  51  4.62414e+07
0  52  5.4112e+07
0  53  5.42042e+07
0  54  6.41728e+07
0  55  5.48427e+07
0  56  5.56253e+07
0  57  4.08278e+07
0  58  4.0959e+07
0  59  4.78991e+07
0  60  5.74487e+07
0  61  6.79502e+07
0  62  4.10148e+07
0  63  3.16867e+07
0  64  4.42128e+07
0  65  5.22547e+07
0  66  5.36307e+07
0  67  5.51824e+07
0  68  6.46295e+07
0  69  6.78192e+07
0  70  5.82517e+07
0  71  6.51898e+07
0  72  5.88204e+07
0  73  7.51352e+07
0  74  7.41653e+07
0  75  6.8393e+07
0  76  4.73063e+07
0  77  6.12005e+07
0  78  5.17077e+07
0  79  3.27994e+07
0  80  4.93798e+07
0  81  5.91133e+07
0  82  6.86684e+07
0  83  6.04089e+07
0  84  6.77291e+07
0  85  5.12697e+07
0  86  5.42711e+07
0  87  5.13177e+07
0  88  5.64729e+07
0  89  6.05669e+07
0  90  7.48646e+07
0  91  8.27668e+07
0  92  5.73491e+07
0  93  5.85761e+07
0  94  3.7891e+07
0  95  4.36066e+07
0  96  2.77394e+07
0  97  2.6302e+07
0  98  2.92076e+07
0  99  3.48679e+07
0  100  7.30054e+07
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  1.64121e+06
1  6  0
1  7  1.57929e+06
1  8  0
1  9  0
1  10  0
1  11  651585
1  12  0
1  13  0
1  14  0
1  15  780230
1  16  5.71564e+06
1  17  7.61083e+06
1  18  4.60683e+06
1  19  1.4445e+07
1  20  5.50275e+06
1  21  3.5944e+06
1  22  0
1  23  5.93323e+06
1  24  9.77183e+06
1  25  1.52145e+07
1  26  7.03369e+06
1  27  1.4424e+07
1  28  2.27317e+07
1  29  3.58982e+07
1  30  5.32838e+07
1  31  8.10562e+07
1  32  8.49916e+07
1  33  9.17774e+07
1  34  8.64514e+07
1  35  4.04823e+07
1  36  3.99561e+07
1  37  4.52207e+07
1  38  6.154e+07
1  39  7.88764e+07
1  40  7.35825e+07
1  41  7.35185e+07
1  42  8.4151e+07
1  43  6.81091e+07
1  44  7.72911e+07
1  45  6.25843e+07
1  46  5.95242e+07
1  47  5.80522e+07
1  48  7.49141e+07
1  49  5.75344e+07
1  50  5.51313e+07
1  51  3.23722e+07
1  52  4.35821e+07
1  53  5.59474e+07
1  54  6.35544e+07
1  55  5.84438e+07
1  56  6.66734e+07
1  57  5.19407e+07
1  58  3.60083e+07
1  59  3.88683e+07
1  60  5.0785e+07
1  61  6.89975e+07
1  62  4.90214e+07
1  63  3.40663e+07
1  64  3.03327e+07
1  65  3.98226e+07
1  66  4.39158e+07
1  67  6.41897e+07
1  68  6.8913e+07
1  69  5.64701e+07
1  70  5.73681e+07
1  71  6.17234e+07
1  72  7.83373e+07
1  73  7.91528e+07
1  74  6.67959e+07
1  75  7.33754e+07
1  76  5.81079e+07
1  77  5.40329e+07
1  78  4.22401e+07
1  79  3.90451e+07
1  80  3.98681e+07
1  81  5.75791e+07
1  82  6.68341e+07
1  83  8.04615e+07
1  84  5.69787e+07
1  85  5.68416e+07
1  86  4.63971e+07
1  87  5.44529e+07
1  88  4.29273e+07
1  89  7.14689e+07
1  90  7.6691e+07
1  91  7.55999e+07
1  92  7.52191e+07
1  93  7.43486e+07
1  94  5.01751e+07
1  95  3.45546e+07
1  96  2.93481e+07
1  97  2.73238e+07
1  98  2.84178e+07
1  99  4.92491e+07
1  100  7.60159e+07
2  0  0
2  1  3.24701e+06
2  2  0
2  3  0
2  4  0
2  5  0
2  6  190682
2  7  1.38511e+06
2  8  0
2  9  0
2  10  0
2  11  629308
2  12  0
2  13  0
2  14  0
2  15  3.53869e+06
2  16  0
2  17  2.47562e+06
2  18  0
2  19  368595
2  20  0
2  21  3.83516e+06
2  22  6.27552e+06
2  23  4.18502e+06
2  24  4.60455e+06
2  25  1.67767e+07
2  26  1.24462e+07
2  27  1.37351e+07
2  28  2.04856e+07
2  29  2.33208e+07
2  30  3.65647e+07
2  31  7.95677e+07
2  32  9.78174e+07
2  33  9.89234e+07
2  34  9.07128e+07
2  35  4.83836e+07
2  36  3.74267e+07
2  37  5.42696e+07
2  38  6.26344e+07
2  39  7.61815e+07
2  40  7.58985e+07
2  41  6.68065e+07
2  42  6.58998e+07
2  43  6.15208e+07
2  44  7.23556e+07
2  45  5.57947e+07
2  46  5.99773e+07
2  47  5.539e+07
2  48  6.34742e+07
2  49  5.67951e+07
2  50  4.42067e+07
2  51  4.14016e+07
2  52  5.2589e+07
2  53  6.44388e+07
2  54  6.72566e+07
2  55  6.33649e+07
2  56  5.99202e+07
2  57  5.83909e+07
2  58  4.59446e+07
