row  column  (images_11.edf Ca_K*images_11.edf Ar_K**2.3)
0  0  1.71331e+08
0  1  2.99368e+08
0  2  4.14687e+08
0  3  5.73633e+08
0  4  6.80195e+08
0  5  8.46897e+08
0  6  1.25812e+09
0  7  1.79215e+09
0  8  2.6411e+09
0  9  2.85356e+09
0  10  2.34827e+09
0  11  1.67786e+09
0  12  2.02364e+09
0  13  1.7434e+09
0  14  2.05908e+09
0  15  2.23498e+09
0  16  1.58801e+09
0  17  1.35967e+09
0  18  9.71869e+08
0  19  9.78765e+08
0  20  8.33239e+08
0  21  9.31599e+08
0  22  1.12352e+09
0  23  1.27221e+09
0  24  1.85772e+09
0  25  2.75439e+09
0  26  4.58041e+09
0  27  6.21588e+09
0  28  6.40717e+09
0  29  6.10573e+09
0  30  6.68714e+09
0  31  6.5627e+09
0  32  6.02634e+09
0  33  6.03629e+09
0  34  6.43984e+09
0  35  6.27901e+09
0  36  5.5724e+09
0  37  5.35587e+09
0  38  4.236e+09
0  39  3.78316e+09
0  40  4.06398e+09
0  41  4.19258e+09
0  42  4.11429e+09
0  43  3.63005e+09
0  44  3.3457e+09
0  45  3.24269e+09
0  46  3.0085e+09
0  47  2.49665e+09
0  48  3.50638e+09
0  49  3.74678e+09
0  50  2.99316e+09
1  0  1.09455e+08
1  1  2.48561e+08
1  2  2.67787e+08
1  3  4.47717e+08
1  4  6.659e+08
1  5  7.73291e+08
1  6  9.48194e+08
1  7  1.44528e+09
1  8  2.56036e+09
1  9  2.99753e+09
1  10  2.68908e+09
1  11  2.10789e+09
1  12  2.12827e+09
1  13  2.2595e+09
1  14  2.0594e+09
1  15  2.56087e+09
1  16  2.24916e+09
1  17  1.57974e+09
1  18  1.46009e+09
1  19  1.0756e+09
1  20  1.05662e+09
1  21  9.09383e+08
1  22  1.08667e+09
1  23  1.15438e+09
1  24  1.55803e+09
1  25  2.09791e+09
1  26  3.18125e+09
1  27  4.73867e+09
1  28  5.41064e+09
1  29  6.33957e+09
1  30  6.68511e+09
1  31  6.16047e+09
1  32  5.87849e+09
1  33  6.6634e+09
1  34  5.62458e+09
1  35  6.89798e+09
1  36  6.12617e+09
1  37  5.43529e+09
1  38  4.55679e+09
1  39  3.68101e+09
1  40  3.88099e+09
1  41  4.17581e+09
1  42  4.10399e+09
1  43  3.28337e+09
1  44  2.83601e+09
1  45  3.156e+09
1  46  2.92724e+09
1  47  2.87758e+09
1  48  3.33679e+09
1  49  3.25758e+09
1  50  2.83985e+09
2  0  0
2  1  1.89818e+08
2  2  2.7792e+08
2  3  4.54548e+08
2  4  6.06615e+08
2  5  6.43284e+08
2  6  9.51387e+08
2  7  1.10338e+09
2  8  2.02765e+09
2  9  2.70833e+09
2  10  2.76043e+09
2  11  2.32067e+09
2  12  2.35648e+09
2  13  2.36534e+09
2  14  2.54773e+09
2  15  3.06899e+09
2  16  2.43147e+09
2  17  1.77767e+09
2  18  1.41427e+09
2  19  1.30383e+09
2  20  1.08184e+09
2  21  1.25254e+09
2  22  1.22409e+09
2  23  1.55302e+09
2  24  1.90148e+09
2  25  2.45667e+09
2  26  3.77973e+09
2  27  5.2053e+09
2  28  5.55159e+09
2  29  6.35109e+09
2  30  6.03262e+09
2  31  5.5946e+09
2  32  6.08236e+09
2  33  5.79902e+09
2  34  6.09744e+09
2  35  5.77843e+09
2  36  5.95494e+09
2  37  5.09512e+09
2  38  3.84456e+09
2  39  3.46664e+09
2  40  3.51464e+09
2  41  3.82141e+09
2  42  3.60933e+09
2  43  3.11825e+09
2  44  2.78744e+09
2  45  2.9817e+09
2  46  2.61231e+09
2  47  3.15507e+09
2  48  3.10348e+09
2  49  2.68187e+09
2  50  2.7727e+09
3  0  8.46985e+07
3  1  1.50616e+08
3  2  2.9334e+08
3  3  5.07422e+08
3  4  6.62695e+08
3  5  7.94004e+08
3  6  9.27094e+08
3  7  1.46522e+09
3  8  2.48012e+09
3  9  2.66624e+09
3  10  2.74725e+09
3  11  2.67316e+09
3  12  3.29217e+09
3  13  2.79804e+09
3  14  2.88027e+09
3  15  3.53485e+09
3  16  3.22876e+09
3  17  2.02868e+09
