row  column  (images_11.edf Fe_K*images_11.edf Ar_K**2.3)
0  0  0
0  1  5.66813e+07
0  2  2.0182e+08
0  3  2.57123e+08
0  4  1.89201e+08
0  5  2.89757e+08
0  6  2.42358e+08
0  7  3.31533e+08
0  8  4.11606e+08
0  9  4.2318e+08
0  10  5.0811e+08
0  11  4.62856e+08
0  12  3.21959e+08
0  13  3.22481e+08
0  14  3.40656e+08
0  15  2.72423e+08
0  16  3.23746e+08
0  17  3.63421e+08
0  18  2.79783e+08
0  19  2.91555e+08
0  20  2.3841e+08
0  21  2.93819e+08
0  22  2.73582e+08
0  23  3.0783e+08
0  24  3.49034e+08
0  25  4.24676e+08
0  26  5.14069e+08
0  27  5.58193e+08
0  28  6.34833e+08
0  29  4.82052e+08
0  30  4.23544e+08
0  31  3.76609e+08
0  32  3.60984e+08
0  33  3.46791e+08
0  34  4.73116e+08
0  35  5.21845e+08
0  36  4.43301e+08
0  37  4.91889e+08
0  38  4.78249e+08
0  39  5.05917e+08
0  40  6.28612e+08
0  41  4.30865e+08
0  42  4.65515e+08
0  43  4.80984e+08
0  44  4.33427e+08
0  45  5.65736e+08
0  46  3.88303e+08
0  47  3.1271e+08
0  48  4.46658e+08
0  49  3.25989e+08
0  50  3.39755e+08
1  0  0
1  1  3.5777e+07
1  2  1.24075e+08
1  3  1.7501e+08
1  4  3.11926e+08
1  5  2.62631e+08
1  6  2.99283e+08
1  7  3.26935e+08
1  8  4.38589e+08
1  9  4.96342e+08
1  10  4.59769e+08
1  11  4.1906e+08
1  12  3.7887e+08
1  13  2.58194e+08
1  14  3.24833e+08
1  15  2.39435e+08
1  16  3.59874e+08
1  17  2.7282e+08
1  18  3.3471e+08
1  19  2.95777e+08
1  20  3.55449e+08
1  21  2.74299e+08
1  22  2.196e+08
1  23  2.78466e+08
1  24  4.01646e+08
1  25  3.10401e+08
1  26  3.63328e+08
1  27  5.02736e+08
1  28  5.00314e+08
1  29  6.68818e+08
1  30  4.49662e+08
1  31  4.62541e+08
1  32  3.84185e+08
1  33  4.05622e+08
1  34  4.00933e+08
1  35  4.56316e+08
1  36  4.80768e+08
1  37  4.57298e+08
1  38  4.73952e+08
1  39  3.63479e+08
1  40  5.32596e+08
1  41  4.10585e+08
1  42  4.05919e+08
1  43  3.68003e+08
1  44  3.44387e+08
1  45  4.82529e+08
1  46  4.36837e+08
1  47  4.20562e+08
1  48  3.46473e+08
1  49  3.37761e+08
1  50  3.40903e+08
2  0  0
2  1  3.35297e+07
2  2  1.31117e+08
2  3  1.76915e+08
2  4  2.46933e+08
2  5  2.68277e+08
2  6  2.82686e+08
2  7  2.26806e+08
2  8  3.31012e+08
2  9  4.28816e+08
2  10  4.46575e+08
2  11  3.47452e+08
2  12  3.75747e+08
2  13  3.26117e+08
2  14  3.46488e+08
2  15  3.60947e+08
2  16  3.37127e+08
2  17  4.46036e+08
2  18  3.38605e+08
2  19  2.97404e+08
2  20  2.09318e+08
2  21  3.55049e+08
2  22  4.16343e+08
2  23  3.1893e+08
2  24  3.57675e+08
2  25  3.56811e+08
2  26  4.12243e+08
2  27  6.09339e+08
2  28  7.03882e+08
2  29  6.07806e+08
2  30  4.11373e+08
2  31  4.18854e+08
2  32  4.10912e+08
2  33  4.2564e+08
2  34  3.73913e+08
2  35  4.13022e+08
2  36  4.50015e+08
2  37  4.8495e+08
2  38  4.51484e+08
2  39  3.87419e+08
2  40  4.40105e+08
2  41  3.94675e+08
2  42  3.2208e+08
2  43  3.71511e+08
2  44  3.71595e+08
2  45  3.98274e+08
2  46  4.46403e+08
2  47  4.04715e+08
2  48  3.75775e+08
2  49  3.59352e+08
2  50  3.51096e+08
3  0  0
3  1  0
3  2  1.42641e+08
3  3  1.28e+08
3  4  2.32828e+08
3  5  2.08915e+08
3  6  2.16034e+08
3  7  2.73396e+08
3  8  4.03992e+08
3  9  4.24098e+08
3  10  3.89401e+08
3  11  3.72454e+08
3  12  4.5568e+08
3  13  3.19594e+08
3  14  3.05752e+08
3  15  4.14917e+08
3  16  3.42511e+08
3  17  3.86047e+08
3  18  3.14391e+08
3  19  3.56546e+08
3  20  3.26724e+08
3  21  3.22983e+08
3  22  3.10155e+08
3  23  3.43471e+08
3  24  3.71866e+08
3  25  4.16028e+08
3  26  5.5192e+08
3  27  5.83226e+08
3  28  1.00849e+09
3  29  5.12586e+08
3  30  5.08419e+08
3  31  3.25273e+08
3  32  3.87055e+08
3  33  4.10886e+08
3  34  4.06105e+08
3  35  4.77126e+08
3  36  4.26832e+08
3  37  4.3592e+08
3  38  3.79183e+08
3  39  4.02786e+08
3  40  3.92284e+08
3  41  4.78457e+08
3  42  3.63276e+08
3  43  3.64679e+08
3  44  3.56159e+08
3  45  3.43651e+08
3  46  3.00727e+08
3  47  3.72726e+08
3  48  4.34325e+08
