row  column  (images_12_23nov.edf Fe_K*images_12_23nov.edf Ar_K**2.3)
0  0  3.85408e+08
0  1  4.45289e+08
0  2  6.16963e+08
0  3  5.83954e+08
0  4  7.64979e+08
0  5  7.34123e+08
0  6  7.99393e+08
0  7  6.29603e+08
0  8  8.47098e+08
0  9  6.39726e+08
0  10  5.04456e+08
0  11  5.46484e+08
0  12  5.36664e+08
0  13  5.13022e+08
0  14  5.12533e+08
0  15  8.36861e+08
0  16  5.76209e+08
0  17  5.53069e+08
0  18  5.28474e+08
0  19  5.86042e+08
0  20  5.46487e+08
0  21  5.06597e+08
0  22  5.13371e+08
0  23  5.42961e+08
0  24  5.03132e+08
0  25  4.9521e+08
0  26  5.70147e+08
0  27  6.57518e+08
0  28  6.19644e+08
0  29  7.44122e+08
0  30  5.06364e+08
0  31  7.47747e+08
0  32  7.15719e+08
0  33  6.69559e+08
0  34  5.78972e+08
0  35  7.43287e+08
0  36  5.93885e+08
0  37  8.00036e+08
0  38  6.91144e+08
0  39  7.18691e+08
0  40  6.52152e+08
0  41  6.0737e+08
0  42  6.81672e+08
0  43  6.70413e+08
0  44  7.0326e+08
0  45  6.02366e+08
0  46  7.26879e+08
0  47  5.28064e+08
0  48  6.17929e+08
0  49  6.20159e+08
0  50  5.55691e+08
1  0  3.93622e+08
1  1  5.10104e+08
1  2  5.63419e+08
1  3  5.91299e+08
1  4  6.70383e+08
1  5  7.31173e+08
1  6  7.24344e+08
1  7  6.46941e+08
1  8  7.49611e+08
1  9  6.23024e+08
1  10  4.73828e+08
1  11  5.84967e+08
1  12  5.44935e+08
1  13  4.69807e+08
1  14  5.8173e+08
1  15  6.59593e+08
1  16  4.90927e+08
1  17  4.5534e+08
1  18  4.87347e+08
1  19  5.93377e+08
1  20  4.51588e+08
1  21  5.04097e+08
1  22  4.60485e+08
1  23  4.2836e+08
1  24  5.648e+08
1  25  5.25679e+08
1  26  6.77197e+08
1  27  6.23957e+08
1  28  5.55567e+08
1  29  5.66577e+08
1  30  6.33821e+08
1  31  9.25847e+08
1  32  6.83376e+08
1  33  6.03654e+08
1  34  6.0488e+08
1  35  5.99614e+08
1  36  7.10969e+08
1  37  5.93545e+08
1  38  7.45962e+08
1  39  6.20009e+08
1  40  4.81245e+08
1  41  6.11895e+08
1  42  6.06007e+08
1  43  6.19524e+08
1  44  5.56063e+08
1  45  7.57795e+08
1  46  6.73846e+08
1  47  5.35785e+08
1  48  6.71581e+08
1  49  5.22539e+08
1  50  6.52729e+08
2  0  3.81592e+08
2  1  3.59261e+08
2  2  5.25094e+08
2  3  7.47579e+08
2  4  6.26882e+08
2  5  6.02036e+08
2  6  6.26802e+08
2  7  6.78205e+08
2  8  5.63922e+08
