row  column  (images_12_23nov.edf P_K*images_12_23nov.edf Ar_K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  4.54138e+07
0  8  5.16159e+07
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  6.60569e+07
0  18  0
0  19  8.55391e+07
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  5.54506e+07
0  26  1.03654e+08
0  27  0
0  28  5.97126e+07
0  29  0
0  30  6.33951e+07
0  31  6.58445e+07
0  32  8.98741e+07
0  33  0
0  34  0
0  35  6.94e+06
0  36  0
0  37  0
0  38  0
0  39  0
0  40  0
0  41  0
0  42  0
0  43  0
0  44  7.29579e+07
0  45  1.18025e+08
0  46  1.72298e+08
0  47  1.19552e+08
0  48  8.18102e+07
0  49  8.94777e+07
0  50  1.0427e+08
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  4.79944e+07
1  17  0
1  18  7.1298e+07
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  7.57886e+07
1  26  4.87713e+07
1  27  1.27044e+07
1  28  4.36928e+07
1  29  0
1  30  7.16449e+07
1  31  1.23597e+08
1  32  2.79767e+07
1  33  0
1  34  3.42977e+07
1  35  0
1  36  0
1  37  0
1  38  0
1  39  0
1  40  0
1  41  0
1  42  0
1  43  0
1  44  1.01042e+08
1  45  4.07094e+07
1  46  1.41637e+08
1  47  1.88251e+08
1  48  1.92587e+08
1  49  1.29601e+08
1  50  1.32134e+08
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  3.89311e+07
2  17  6.17962e+07
2  18  5.07797e+07
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  1.35229e+07
2  26  7.2042e+07
2  27  0
2  28  0
2  29  0
2  30  1.21947e+08
2  31  4.74851e+07
2  32  0
2  33  0
2  34  0
2  35  0
2  36  0
2  37  0
2  38  0
2  39  0
2  40  0
2  41  0
2  42  6.70401e+07
2  43  9.36734e+07
2  44  7.83526e+07
2  45  9.32241e+07
2  46  1.26888e+08
2  47  2.09638e+08
2  48  1.49772e+08
2  49  1.69104e+08
2  50  1.76866e+08
3  0  0
3  1  0
3  2  0
3  3  0
3  4  3.52283e+07
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  5.5419e+07
3  16  8.76919e+07
3  17  0
3  18  0
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  1.35146e+08
3  26  6.51125e+07
3  27  6.89486e+07
3  28  3.25276e+07
3  29  7.34336e+07
3  30  5.89785e+07
3  31  1.1187e+08
3  32  0
3  33  0
3  34  0
3  35  0
3  36  0
3  37  0
3  38  0
3  39  0
3  40  0
3  41  5.00233e+07
3  42  9.53314e+07
3  43  1.0318e+08
3  44  1.26285e+08
3  45  1.53825e+08
3  46  1.6086e+08
3  47  2.07947e+08
3  48  1.73162e+08
3  49  8.75705e+07
3  50  1.74342e+08
4  0  0
4  1  0
4  2  0
4  3  0
4  4  4.64897e+07
4  5  0
4  6  0
4  7  0
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  6.37847e+06
4  18  0
4  19  3.40744e+07
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  7.78235e+07
4  26  6.67051e+07
4  27  7.31728e+06
4  28  6.2161e+07
4  29  3.66045e+07
4  30  7.79845e+07
4  31  6.83348e+07
4  32  4.04418e+07
4  33  0
4  34  7.88029e+07
4  35  1.39686e+07
4  36  0
4  37  0
4  38  0
4  39  0
4  40  0
4  41  0
4  42  7.08694e+07
4  43  5.59639e+07
4  44  1.14153e+08
4  45  1.21273e+08
4  46  4.84272e+07
4  47  2.02896e+08
4  48  1.68273e+08
4  49  1.7214e+08
4  50  1.47619e+08
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  0
5  8  0
5  9  0
5  10  0
5  11  3.93382e+07
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  4.53834e+07
5  18  0
5  19  0
5  20  0
5  21  0
5  22  0
5  23  0
5  24  0
5  25  5.99771e+07
5  26  4.39963e+07
5  27  4.19473e+07
5  28  8.58118e+07
5  29  2.93978e+07
5  30  1.04759e+08
5  31  7.32563e+07
5  32  0
5  33  0
5  34  4.17102e+07
5  35  4.10308e+07
5  36  0
5  37  0
5  38  0
5  39  0
5  40  0
5  41  0
5  42  1.10692e+08
5  43  1.07931e+08
5  44  1.45163e+08
5  45  1.31241e+08
5  46  1.31016e+08
5  47  1.54877e+08
5  48  1.50226e+08
5  49  1.37994e+08
5  50  1.45029e+08
6  0  0
6  1  0
6  2  0
6  3  0
6  4  8.07639e+07
6  5  0
6  6  0
6  7  0
6  8  0
6  9  0
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  0
6  16  0
6  17  0
6  18  5.7888e+07
6  19  0
6  20  0
6  21  0
6  22  0
6  23  0
6  24  0
6  25  0
6  26  5.31143e+07
6  27  3.93041e+07
6  28  1.28473e+07
6  29  8.23036e+07
6  30  0
6  31  6.94401e+07
6  32  0
6  33  0
6  34  0
6  35  0
6  36  0
6  37  0
6  38  0
6  39  0
6  40  0
6  41  0
6  42  8.63526e+07
6  43  1.27979e+08
6  44  1.05797e+08
6  45  1.21911e+08
6  46  1.83954e+08
6  47  1.48473e+08
6  48  2.17853e+08
6  49  2.0834e+08
6  50  1.56105e+08
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  8.60973e+06
7  6  0
7  7  0
7  8  0
7  9  4.18688e+07
7  10  0
7  11  0
7  12  0
7  13  0
7  14  0
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  4.90595e+07
7  21  0
7  22  0
7  23  0
7  24  0
7  25  0
7  26  0
7  27  0
7  28  7.35227e+07
7  29  7.32638e+07
7  30  2.81161e+07
7  31  4.17876e+07
7  32  3.25718e+07
7  33  5.59724e+07
7  34  0
7  35  0
7  36  0
7  37  0
7  38  0
7  39  0
7  40  7.31285e+07
7  41  8.19731e+07
7  42  7.63484e+07
7  43  1.27705e+08
7  44  1.19806e+08
7  45  1.64944e+08
7  46  1.94084e+08
7  47  1.43703e+08
7  48  1.91382e+08
7  49  1.61968e+08
7  50  1.96339e+08
8  0  0
8  1  0
8  2  0
8  3  0
8  4  7.91883e+07
8  5  5.88205e+07
8  6  0
8  7  0
8  8  0
8  9  5.58524e+07
8  10  6.13763e+07
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  4.09363e+07
8  18  0
8  19  0
8  20  0
8  21  0
8  22  0
8  23  0
8  24  0
8  25  0
8  26  0
8  27  0
8  28  6.97339e+07
8  29  1.04343e+08
8  30  5.60332e+07
8  31  0
8  32  0
8  33  0
8  34  0
8  35  0
8  36  0
8  37  0
8  38  0
8  39  0
8  40  5.73856e+07
8  41  4.44607e+07
8  42  1.32293e+08
8  43  1.66876e+08
8  44  7.52504e+07
8  45  7.36732e+07
