row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
0  0  7.88853e+07
0  1  1.95033e+08
0  2  1.99764e+08
0  3  3.10587e+08
0  4  3.67325e+08
0  5  2.85929e+08
0  6  2.6453e+08
0  7  3.47563e+08
0  8  3.10396e+08
0  9  3.56019e+08
0  10  2.47595e+08
0  11  2.35519e+08
0  12  3.00921e+08
0  13  1.70349e+08
0  14  3.39932e+08
0  15  3.52969e+08
0  16  2.34271e+08
0  17  1.76513e+08
0  18  2.91382e+08
0  19  4.22945e+08
0  20  3.67265e+08
0  21  3.0669e+08
0  22  2.22782e+08
0  23  2.05756e+08
0  24  1.12596e+08
0  25  1.3289e+08
0  26  2.29685e+08
0  27  3.18501e+08
0  28  3.79216e+08
0  29  3.67189e+08
0  30  4.14352e+08
0  31  3.87784e+08
0  32  2.81826e+08
0  33  3.45624e+08
0  34  2.13049e+08
0  35  4.12294e+08
0  36  4.26634e+08
0  37  7.4643e+08
0  38  6.24573e+08
0  39  4.29612e+08
0  40  3.56637e+08
0  41  5.0741e+08
0  42  4.72817e+08
0  43  5.88136e+08
0  44  5.70304e+08
0  45  5.85105e+08
0  46  6.98954e+08
0  47  6.63085e+08
0  48  6.67418e+08
0  49  4.88818e+08
0  50  6.71983e+08
1  0  2.047e+07
1  1  1.03374e+08
1  2  2.23624e+08
1  3  2.70516e+08
1  4  3.00228e+08
1  5  3.04642e+08
1  6  2.77912e+08
1  7  2.95991e+08
1  8  2.66223e+08
1  9  3.0872e+08
1  10  2.56653e+08
1  11  2.89373e+08
1  12  2.34108e+08
1  13  2.25851e+08
1  14  2.40835e+08
1  15  2.83768e+08
1  16  2.77426e+08
1  17  3.0278e+08
1  18  2.81591e+08
1  19  4.60774e+08
1  20  4.20443e+08
1  21  3.31643e+08
1  22  1.29939e+08
1  23  1.55528e+08
1  24  2.91468e+08
1  25  3.94552e+08
1  26  4.45276e+08
1  27  2.52501e+08
1  28  4.99737e+08
1  29  3.78103e+08
1  30  3.63685e+08
1  31  4.95045e+08
1  32  3.00141e+08
1  33  2.67771e+08
1  34  2.51689e+08
1  35  4.6956e+08
1  36  6.00053e+08
1  37  6.5349e+08
1  38  5.87367e+08
1  39  4.77754e+08
1  40  4.23467e+08
1  41  4.71137e+08
1  42  5.67757e+08
1  43  5.69994e+08
1  44  4.65481e+08
1  45  5.93236e+08
1  46  7.27282e+08
1  47  7.17971e+08
1  48  6.22778e+08
1  49  5.32954e+08
1  50  5.62441e+08
2  0  0
2  1  5.79281e+07
