row  column  (images_12_26nov.edf Ca_K*images_12_26nov.edf Ar_K**2.3)
0  0  2.21533e+09
0  1  3.11176e+09
0  2  5.31368e+09
0  3  6.34036e+09
0  4  7.10188e+09
0  5  6.12357e+09
0  6  6.08715e+09
0  7  6.42037e+09
0  8  6.61835e+09
0  9  6.16543e+09
0  10  5.9648e+09
0  11  6.46459e+09
0  12  6.43261e+09
0  13  5.82856e+09
0  14  6.1365e+09
0  15  6.46319e+09
0  16  6.62761e+09
0  17  6.4525e+09
0  18  6.04924e+09
0  19  7.33874e+09
0  20  6.55404e+09
0  21  6.60326e+09
0  22  5.76103e+09
0  23  5.05708e+09
0  24  5.30828e+09
0  25  5.25593e+09
0  26  6.96201e+09
0  27  7.56121e+09
0  28  7.23976e+09
0  29  7.33605e+09
0  30  7.42728e+09
0  31  8.16976e+09
0  32  8.15647e+09
0  33  7.05094e+09
0  34  5.71093e+09
0  35  6.68097e+09
0  36  7.26423e+09
0  37  8.129e+09
0  38  7.22846e+09
0  39  5.49014e+09
0  40  4.68349e+09
0  41  4.89713e+09
0  42  5.57983e+09
0  43  6.92992e+09
0  44  7.30895e+09
0  45  7.96666e+09
0  46  9.5428e+09
0  47  9.71115e+09
0  48  1.00511e+10
0  49  9.2399e+09
0  50  9.69774e+09
1  0  2.31158e+09
1  1  3.28114e+09
1  2  5.21238e+09
1  3  5.8817e+09
1  4  6.61866e+09
1  5  6.0474e+09
1  6  5.90741e+09
1  7  6.54664e+09
1  8  5.99571e+09
1  9  7.05389e+09
1  10  6.23168e+09
1  11  6.46023e+09
1  12  5.86472e+09
1  13  5.11807e+09
1  14  5.49769e+09
1  15  6.18039e+09
1  16  6.47382e+09
1  17  5.8908e+09
1  18  6.72431e+09
1  19  7.04964e+09
1  20  6.92554e+09
1  21  6.43611e+09
1  22  5.043e+09
1  23  5.2526e+09
1  24  5.24413e+09
1  25  6.66226e+09
1  26  7.56705e+09
1  27  6.45775e+09
1  28  6.62394e+09
1  29  7.06164e+09
1  30  7.51123e+09
1  31  8.16167e+09
1  32  6.71922e+09
1  33  6.25887e+09
1  34  5.69855e+09
1  35  6.71146e+09
1  36  7.25853e+09
1  37  6.64493e+09
1  38  6.35421e+09
1  39  5.51384e+09
1  40  4.65383e+09
1  41  5.34731e+09
1  42  6.39089e+09
1  43  6.66851e+09
1  44  7.26948e+09
1  45  7.82478e+09
1  46  9.87861e+09
1  47  9.80205e+09
1  48  9.97964e+09
1  49  9.21684e+09
1  50  9.89267e+09
2  0  2.10987e+09
2  1  2.92903e+09
2  2  4.66192e+09
2  3  5.64565e+09
2  4  6.595e+09
2  5  6.24367e+09
2  6  5.61662e+09
2  7  6.45621e+09
2  8  5.71481e+09
2  9  6.3393e+09
2  10  6.71476e+09
2  11  6.18729e+09
2  12  5.61518e+09
2  13  5.60342e+09
2  14  5.61613e+09
2  15  5.37952e+09
2  16  5.92839e+09
2  17  6.22435e+09
2  18  6.46295e+09
2  19  6.72371e+09
2  20  7.17219e+09
2  21  6.55675e+09
2  22  5.35463e+09
2  23  5.40304e+09
2  24  5.61077e+09
2  25  6.21345e+09
2  26  7.02948e+09
2  27  6.76102e+09
2  28  6.53152e+09
2  29  7.00622e+09
2  30  7.81583e+09
2  31  7.15319e+09
2  32  6.50094e+09
2  33  6.6459e+09
2  34  5.61922e+09
2  35  6.41211e+09
2  36  7.52393e+09
2  37  6.81832e+09
2  38  5.73606e+09
2  39  4.98899e+09
2  40  4.70724e+09
2  41  5.40774e+09
2  42  6.56663e+09
2  43  6.72968e+09
2  44  6.69521e+09
2  45  7.90517e+09
2  46  8.88324e+09
2  47  9.74452e+09
2  48  9.85059e+09
2  49  1.03296e+10
2  50  1.03019e+10
3  0  2.04988e+09
3  1  2.93954e+09
3  2  4.77276e+09
3  3  5.64427e+09
3  4  6.74495e+09
3  5  6.13266e+09
3  6  5.71317e+09
3  7  5.93131e+09
3  8  5.63053e+09
3  9  6.64805e+09
3  10  6.45736e+09
3  11  6.04455e+09
3  12  5.57106e+09
3  13  5.20627e+09
3  14  5.41413e+09
3  15  5.7278e+09
3  16  5.90714e+09
3  17  6.62835e+09
3  18  5.40969e+09
3  19  6.82124e+09
3  20  7.49031e+09
3  21  6.96168e+09
3  22  5.73152e+09
3  23  5.60391e+09
3  24  6.03238e+09
3  25  6.97363e+09
3  26  6.6709e+09
3  27  6.66655e+09
3  28  7.07122e+09
3  29  6.92807e+09
3  30  7.25987e+09
3  31  7.64242e+09
3  32  6.54539e+09
3  33  6.03105e+09
3  34  5.69726e+09
3  35  6.44163e+09
3  36  6.52647e+09
3  37  5.9786e+09
3  38  5.11712e+09
3  39  5.06434e+09
3  40  4.43629e+09
3  41  5.76718e+09
3  42  6.67039e+09
3  43  7.19667e+09
3  44  6.82594e+09
3  45  8.32036e+09
3  46  8.95763e+09
3  47  9.35663e+09
3  48  9.39557e+09
3  49  8.98482e+09
3  50  1.11315e+10
4  0  1.73467e+09
4  1  2.56642e+09
4  2  3.77482e+09
4  3  5.45038e+09
4  4  6.7718e+09
4  5  5.74448e+09
4  6  5.35572e+09
4  7  6.30593e+09
4  8  5.51333e+09
4  9  6.46945e+09
4  10  6.57519e+09
4  11  5.89942e+09
4  12  5.42088e+09
4  13  5.21824e+09
4  14  5.37446e+09
4  15  5.55353e+09
4  16  6.17106e+09
4  17  6.07075e+09
4  18  6.28593e+09
4  19  5.91565e+09
4  20  7.01794e+09
4  21  6.34624e+09
4  22  5.74418e+09
4  23  5.61293e+09
4  24  6.64699e+09
4  25  6.47005e+09
4  26  6.80965e+09
4  27  6.76298e+09
4  28  6.31687e+09
4  29  6.68084e+09
4  30  7.51863e+09
4  31  7.18433e+09
4  32  5.78858e+09
4  33  5.8752e+09
4  34  5.68132e+09
4  35  6.26491e+09
4  36  6.66997e+09
4  37  5.5994e+09
4  38  4.78774e+09
4  39  4.82727e+09
4  40  5.01997e+09
4  41  5.38308e+09
4  42  6.95372e+09
4  43  6.9363e+09
4  44  6.96261e+09
4  45  7.66565e+09
4  46  7.66679e+09
4  47  9.39686e+09
4  48  9.36461e+09
4  49  9.53145e+09
4  50  9.63699e+09
5  0  1.53347e+09
5  1  2.72973e+09
5  2  3.81592e+09
5  3  5.1056e+09
5  4  6.66441e+09
5  5  6.18033e+09
5  6  5.23552e+09
5  7  5.41015e+09
5  8  5.43364e+09
5  9  6.82578e+09
5  10  6.71224e+09
5  11  6.06459e+09
5  12  5.10917e+09
5  13  5.1863e+09
5  14  5.13363e+09
5  15  5.29383e+09
5  16  5.42839e+09
5  17  6.02166e+09
5  18  5.75752e+09
5  19  6.05222e+09
5  20  6.65869e+09
5  21  6.71145e+09
5  22  5.79291e+09
