row  column  (images_12_26nov.edf Cu_K*images_12_26nov.edf Ar_K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  4.18752e+07
0  6  545594
0  7  4.26625e+07
0  8  3.35534e+06
0  9  0
0  10  0
0  11  2.19868e+07
0  12  0
0  13  0
0  14  6.95001e+07
0  15  0
0  16  1.61123e+07
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  2.52034e+06
0  24  0
0  25  0
0  26  0
0  27  2.58803e+06
0  28  0
0  29  0
0  30  7.42563e+06
0  31  0
0  32  723245
0  33  4.09783e+07
0  34  0
0  35  0
0  36  0
0  37  0
0  38  4.17476e+07
0  39  0
0  40  6.21753e+06
0  41  0
0  42  0
0  43  0
0  44  5.75174e+06
0  45  4.19659e+07
0  46  1.32882e+07
0  47  4.66829e+06
0  48  1.58626e+07
0  49  5.14876e+07
0  50  3.26512e+07
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  1.24808e+07
1  6  0
1  7  1.1689e+07
1  8  0
1  9  5.1499e+06
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  4.03042e+07
1  18  0
1  19  0
1  20  1.20204e+07
1  21  0
1  22  0
1  23  6.21098e+07
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  4.23206e+07
1  30  0
1  31  0
1  32  0
1  33  0
1  34  0
1  35  1.65573e+07
1  36  0
1  37  3.14272e+07
1  38  0
1  39  0
1  40  0
1  41  0
1  42  5.89099e+06
1  43  0
1  44  0
1  45  0
1  46  6.2722e+06
1  47  2.94266e+07
1  48  1.25634e+07
1  49  3.19563e+07
1  50  9.82498e+07
2  0  0
2  1  0
2  2  0
2  3  0
2  4  4.59775e+07
2  5  4.12333e+07
2  6  3.10085e+07
2  7  0
2  8  3.52488e+07
2  9  2.98872e+07
2  10  1.42561e+07
2  11  0
2  12  6.68908e+06
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  691850
2  22  0
2  23  0
2  24  4.06458e+07
2  25  0
2  26  4.78408e+07
2  27  0
2  28  0
2  29  5.44673e+07
2  30  0
2  31  0
2  32  3.53689e+07
2  33  2.45376e+07
2  34  4.41156e+07
2  35  0
2  36  0
2  37  1.19521e+07
2  38  4.30036e+07
2  39  6.59464e+06
2  40  3.3602e+06
2  41  4.70063e+07
2  42  1.44605e+07
2  43  0
2  44  0
2  45  0
2  46  0
2  47  2.36007e+07
2  48  0
2  49  0
2  50  6.39321e+07
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  9.53585e+07
3  8  1.32779e+07
3  9  4.78639e+07
3  10  0
3  11  0
3  12  0
3  13  5.15743e+07
3  14  0
3  15  0
3  16  0
3  17  0
3  18  0
3  19  0
3  20  0
3  21  0
3  22  2.22035e+07
3  23  9.13892e+07
3  24  0
3  25  0
3  26  0
3  27  0
3  28  0
3  29  0
3  30  4.50056e+06
3  31  1.02316e+07
3  32  0
3  33  0
3  34  0
3  35  2.00631e+07
3  36  0
3  37  0
3  38  0
3  39  6.04661e+07
3  40  4.44676e+06
3  41  0
3  42  0
3  43  8.32451e+07
3  44  0
3  45  2.6279e+07
3  46  1.68306e+06
3  47  0
3  48  1.72517e+07
3  49  0
3  50  0
4  0  3.12932e+07
4  1  0
4  2  0
4  3  4.19684e+07
4  4  0
4  5  1.8914e+07
4  6  4.53593e+07
4  7  0
4  8  0
4  9  0
4  10  9.97837e+06
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  1.81682e+07
4  17  0
4  18  4.91651e+07
4  19  2.71964e+07
4  20  1.78808e+07
4  21  0
4  22  1.71723e+07
4  23  7.80077e+07
4  24  0
4  25  0
4  26  2.91885e+07
4  27  0
4  28  9.58573e+06
4  29  6.43411e+07
4  30  1.53438e+07
4  31  3.89714e+07
4  32  6.44663e+07
4  33  0
4  34  0
4  35  0
4  36  0
4  37  0
4  38  0
4  39  5.80127e+07
4  40  0
4  41  0
4  42  8.11705e+07
4  43  3.72476e+06
4  44  4.71089e+07
4  45  9.21521e+07
4  46  0
4  47  3.83986e+07
4  48  0
4  49  2.31625e+07
4  50  5.18615e+07
5  0  0
5  1  0
5  2  0
5  3  0
5  4  5.81948e+07
5  5  0
5  6  8.61794e+07
5  7  0
5  8  0
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  5.11158e+07
5  19  0
5  20  4.41301e+07
5  21  0
5  22  4.59794e+07
5  23  9.12614e+06
5  24  0
5  25  3.04847e+07
5  26  0
5  27  0
5  28  0
5  29  0
5  30  7.89165e+06
5  31  7.10955e+07
5  32  0
5  33  0
5  34  1.39038e+07
5  35  0
5  36  9.10022e+07
5  37  0
5  38  0
5  39  4.24234e+07
5  40  1.22217e+07
5  41  0
5  42  0
5  43  0
5  44  1.09738e+07
5  45  0
5  46  2.95265e+06
5  47  4.31974e+07
5  48  0
5  49  2.8555e+07
5  50  0
6  0  1.87874e+07
6  1  0
6  2  0
6  3  0
6  4  1.17604e+07
6  5  0
6  6  0
6  7  1.55531e+07
6  8  0
6  9  0
6  10  2.74914e+07
6  11  0
6  12  0
6  13  0
6  14  0
6  15  0
6  16  0
6  17  0
6  18  0
6  19  2.14852e+06
6  20  0
6  21  2.4535e+07
6  22  5.53296e+06
6  23  9.16599e+06
6  24  1.24534e+08
6  25  4.76433e+07
6  26  0
6  27  0
6  28  0
6  29  5.57509e+07
6  30  0
6  31  0
6  32  0
6  33  0
6  34  0
6  35  0
6  36  0
6  37  0
6  38  0
6  39  0
6  40  0
6  41  0
6  42  0
6  43  1.14106e+08
6  44  0
6  45  1.48908e+07
6  46  3.85099e+07
6  47  0
6  48  4.1003e+07
6  49  7.05146e+06
6  50  0
7  0  0
7  1  4.70685e+07
7  2  6.25988e+07
7  3  4.00272e+06
7  4  9.53401e+06
7  5  0
7  6  0
7  7  2.70299e+07
7  8  3.39134e+07
7  9  0
7  10  0
7  11  0
7  12  0
7  13  0
7  14  0
7  15  0
7  16  0
7  17  5.08177e+07
7  18  0
7  19  0
7  20  2.34022e+07
7  21  5.44835e+06
7  22  1.79563e+07
7  23  9.67233e+06
7  24  0
7  25  3.61837e+07
7  26  6.85705e+06
7  27  0
7  28  0
7  29  1.29321e+07
7  30  0
7  31  6.58307e+07
7  32  6.16742e+07
7  33  0
7  34  0
7  35  0
7  36  0
7  37  0
7  38  0
7  39  0
7  40  0
7  41  0
7  42  0
7  43  1.62325e+07
7  44  2.01078e+07
7  45  0
7  46  4.42361e+07
7  47  0
7  48  4.90857e+06
7  49  0
7  50  4.44117e+07
8  0  1.73031e+07
8  1  4.34297e+07
8  2  0
8  3  0
8  4  0
8  5  4.25793e+06
8  6  0
8  7  0
8  8  6.10305e+07
8  9  0
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  0
8  20  0
8  21  1.33548e+07
8  22  0
8  23  0
8  24  0
8  25  2.52546e+07
8  26  0
8  27  4.38324e+07
8  28  5.58546e+07
8  29  4.60513e+07
8  30  0
8  31  3.86036e+06
8  32  8.21665e+07
8  33  0
8  34  5.88118e+06
8  35  0
8  36  0
8  37  2.45484e+07
8  38  0
8  39  4.5264e+06
8  40  0
8  41  9.41339e+07
8  42  0
8  43  0
