row  column  (images_12_26nov.edf Mn_K*images_12_26nov.edf Ar_K**2.3)
0  0  1.80079e+08
0  1  1.45887e+08
0  2  1.87345e+08
0  3  1.37235e+08
0  4  9.80003e+07
0  5  7.61105e+07
0  6  1.10474e+08
0  7  4.92642e+07
0  8  1.29178e+08
0  9  1.18741e+08
0  10  1.40526e+08
0  11  1.64497e+08
0  12  1.18954e+08
0  13  7.52931e+07
0  14  1.58554e+08
0  15  1.06718e+08
0  16  1.4557e+08
0  17  1.39263e+08
0  18  1.67449e+08
0  19  9.64264e+07
0  20  1.33456e+08
0  21  1.26542e+08
0  22  1.67396e+08
0  23  1.14219e+08
0  24  2.52958e+08
0  25  1.40675e+08
0  26  1.69732e+08
0  27  1.63142e+08
0  28  1.45393e+08
0  29  1.79517e+08
0  30  1.41612e+08
0  31  1.13533e+08
0  32  7.0609e+07
0  33  1.06938e+08
0  34  1.38125e+08
0  35  1.76268e+08
0  36  1.35163e+08
0  37  6.04313e+07
0  38  1.44935e+08
0  39  1.12706e+08
0  40  1.15037e+08
0  41  1.1811e+08
0  42  1.60711e+08
0  43  9.02049e+07
0  44  1.14247e+08
0  45  1.13104e+08
0  46  8.76328e+07
0  47  7.20487e+07
0  48  1.23929e+08
0  49  1.34564e+08
0  50  1.644e+08
1  0  1.7737e+08
1  1  6.81893e+07
1  2  1.1494e+08
1  3  1.03525e+08
1  4  1.27143e+08
1  5  1.23455e+08
1  6  1.11162e+08
1  7  1.18726e+08
1  8  1.49557e+08
1  9  1.25194e+08
1  10  1.22695e+08
1  11  1.66317e+08
1  12  1.52992e+08
1  13  9.1189e+07
1  14  1.42307e+08
1  15  1.02028e+08
1  16  1.50738e+08
1  17  1.13141e+08
1  18  2.0111e+08
1  19  1.40035e+08
1  20  1.33912e+08
1  21  6.93123e+07
1  22  1.33396e+08
1  23  1.17766e+08
1  24  1.48634e+08
1  25  1.28639e+08
1  26  1.76663e+08
1  27  1.27593e+08
1  28  6.02489e+07
1  29  1.10528e+08
1  30  1.06608e+08
1  31  1.5968e+08
1  32  1.33025e+08
1  33  8.16984e+07
1  34  2.17772e+08
1  35  1.62979e+08
1  36  8.47357e+07
1  37  8.92412e+07
1  38  9.11419e+07
1  39  4.13781e+07
1  40  1.41038e+08
1  41  1.36088e+08
1  42  1.24473e+08
1  43  1.14024e+08
1  44  8.21078e+07
1  45  1.39964e+08
1  46  1.71439e+08
1  47  1.19456e+08
1  48  1.21567e+08
1  49  1.20076e+08
1  50  1.45882e+08
2  0  1.8619e+08
2  1  8.89523e+07
2  2  1.53638e+08
2  3  8.143e+07
2  4  1.16443e+08
2  5  9.97186e+07
2  6  1.01431e+08
2  7  1.12161e+08
2  8  1.72578e+08
2  9  1.20809e+08
2  10  1.38818e+08
2  11  1.8089e+08
2  12  9.05381e+07
2  13  1.84658e+08
2  14  1.78092e+08
2  15  6.78371e+07
2  16  5.90721e+07
2  17  1.59617e+08
2  18  9.96196e+07
2  19  1.57764e+08
2  20  1.18876e+08
2  21  1.49404e+08
2  22  1.00518e+08
2  23  1.38919e+08
2  24  7.89273e+07
2  25  1.37911e+08
2  26  1.63482e+08
2  27  8.66566e+07
2  28  7.43162e+07
2  29  1.45402e+08
2  30  1.74272e+08
2  31  9.50364e+07
2  32  8.73583e+07
2  33  1.45495e+08
2  34  1.58249e+08
2  35  1.20029e+08
2  36  1.28787e+08
2  37  1.05323e+08
2  38  1.18089e+08
2  39  1.5823e+08
2  40  1.12843e+08
2  41  1.39637e+08
2  42  1.03288e+08
2  43  1.0895e+08
2  44  1.52649e+08
2  45  1.00087e+08
2  46  1.14757e+08
2  47  8.89182e+07
2  48  1.51691e+08
2  49  1.76488e+08
2  50  1.00109e+08
3  0  1.65834e+08
3  1  7.43641e+07
3  2  1.16412e+08
3  3  1.08331e+08
3  4  1.31839e+08
3  5  1.15032e+08
3  6  8.40347e+07
3  7  7.94902e+07
3  8  6.47629e+07
3  9  1.33573e+08
3  10  9.72654e+07
3  11  1.41279e+08
3  12  1.07287e+08
3  13  1.761e+08
3  14  1.73355e+08
3  15  7.00147e+07
3  16  1.09669e+08
3  17  1.04839e+08
3  18  1.00934e+08
3  19  1.43018e+08
3  20  1.54939e+08
3  21  1.28791e+08
3  22  1.33977e+08
3  23  1.34631e+08
3  24  1.47251e+08
3  25  8.86272e+07
3  26  5.21516e+07
3  27  1.0232e+08
3  28  1.4359e+08
3  29  1.24519e+08
3  30  8.08205e+07
3  31  9.52146e+07
3  32  9.39253e+07
3  33  7.4714e+07
3  34  1.31708e+08
3  35  1.26958e+08
3  36  1.14061e+08
3  37  6.73912e+07
3  38  6.36273e+07
3  39  1.15291e+08
3  40  8.3633e+07
3  41  1.30498e+08
3  42  1.95157e+08
3  43  1.1072e+08
3  44  1.25045e+08
3  45  1.51257e+08
3  46  1.14037e+08
3  47  8.93966e+07
3  48  8.29284e+07
3  49  1.58713e+08
3  50  4.74427e+07
4  0  2.04949e+08
4  1  1.19622e+08
4  2  1.35867e+08
4  3  1.03256e+08
4  4  5.73406e+07
4  5  7.52892e+07
4  6  1.35561e+08
4  7  1.99815e+08
4  8  1.1138e+08
4  9  8.58601e+07
4  10  1.55628e+08
4  11  1.1001e+08
4  12  1.8513e+08
4  13  1.3454e+08
4  14  1.14758e+08
4  15  2.28775e+08
4  16  1.88358e+08
4  17  1.58999e+08
