row  column  (images_12_26nov.edf S_K*images_12_26nov.edf Ar_K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  1.09632e+08
0  5  6.53598e+07
0  6  1.43189e+08
0  7  2.08128e+08
0  8  2.1601e+08
0  9  1.85947e+08
0  10  1.7284e+08
0  11  2.02041e+08
0  12  1.32269e+08
0  13  1.87059e+08
0  14  1.39871e+08
0  15  2.00778e+08
0  16  1.42213e+08
0  17  2.25657e+08
0  18  1.74135e+08
0  19  2.75959e+08
0  20  2.55694e+08
0  21  2.49998e+08
0  22  1.35351e+08
0  23  1.05672e+08
0  24  1.58406e+08
0  25  1.8135e+08
0  26  1.80796e+08
0  27  2.38323e+08
0  28  2.5934e+08
0  29  2.75647e+08
0  30  2.53078e+08
0  31  2.04559e+08
0  32  2.65665e+08
0  33  2.32982e+08
0  34  1.78031e+08
0  35  2.52012e+08
0  36  2.78601e+08
0  37  2.25865e+08
0  38  1.72928e+08
0  39  1.13839e+08
0  40  0
0  41  0
0  42  0
0  43  1.2257e+08
0  44  1.77134e+08
0  45  2.91154e+08
0  46  4.38994e+08
0  47  3.57205e+08
0  48  2.56327e+08
0  49  3.0544e+08
0  50  3.03417e+08
1  0  0
1  1  0
1  2  9.09223e+07
1  3  1.23775e+08
1  4  0
1  5  8.26413e+07
1  6  1.44193e+08
1  7  1.70675e+08
1  8  1.35887e+08
1  9  1.90556e+08
1  10  1.30362e+08
1  11  1.97323e+08
1  12  2.42768e+08
1  13  1.97971e+08
1  14  2.49579e+08
1  15  2.85938e+08
1  16  1.64602e+08
1  17  1.39452e+08
1  18  2.35794e+08
1  19  2.77082e+08
1  20  2.84581e+08
1  21  2.35797e+08
1  22  1.59782e+08
1  23  1.88203e+08
1  24  1.6346e+08
1  25  1.47503e+08
1  26  2.19801e+08
1  27  1.87034e+08
1  28  2.0463e+08
1  29  2.35835e+08
1  30  2.42315e+08
1  31  2.51567e+08
1  32  2.06537e+08
1  33  2.50364e+08
1  34  1.56891e+08
1  35  3.01539e+08
1  36  2.70568e+08
1  37  1.80104e+08
1  38  8.20199e+07
1  39  1.12635e+08
1  40  0
1  41  1.04405e+08
1  42  1.37226e+08
1  43  1.86692e+08
1  44  2.83645e+08
1  45  2.98397e+08
1  46  4.37341e+08
1  47  4.27941e+08
1  48  3.41377e+08
1  49  3.08552e+08
1  50  2.70746e+08
2  0  0
2  1  0
2  2  1.11277e+08
2  3  1.04023e+08
2  4  1.01897e+08
2  5  9.10162e+07
2  6  1.74559e+08
2  7  1.802e+08
2  8  1.25726e+08
2  9  1.7197e+08
2  10  1.99645e+08
2  11  1.76403e+08
2  12  1.92784e+08
2  13  2.79611e+08
2  14  1.48104e+08
2  15  1.91114e+08
2  16  1.87489e+08
2  17  2.37916e+08
2  18  2.41727e+08
2  19  2.19716e+08
2  20  2.92568e+08
2  21  2.7609e+08
2  22  1.6173e+08
2  23  1.75806e+08
2  24  1.07976e+08
2  25  1.26623e+08
2  26  2.49385e+08
2  27  1.87681e+08
2  28  2.35391e+08
2  29  2.3316e+08
2  30  3.02031e+08
2  31  1.8316e+08
2  32  2.61514e+08
2  33  2.79489e+08
2  34  1.97068e+08
2  35  2.5083e+08
2  36  2.82713e+08
2  37  1.64621e+08
2  38  0
2  39  5.53291e+07
2  40  8.33037e+07
2  41  1.39569e+08
2  42  2.20945e+08
2  43  1.91022e+08
2  44  3.38909e+08
2  45  4.38555e+08
2  46  3.98799e+08
2  47  4.00484e+08
2  48  4.22564e+08
2  49  3.63787e+08
2  50  3.48859e+08
3  0  0
3  1  0
3  2  1.19212e+08
3  3  3.44174e+07
3  4  1.78083e+08
3  5  1.31389e+08
3  6  1.70215e+08
3  7  2.36683e+08
3  8  1.16684e+08
3  9  2.12256e+08
3  10  1.7648e+08
3  11  1.40812e+08
3  12  2.14218e+08
3  13  1.61845e+08
3  14  1.40632e+08
3  15  2.32836e+08
3  16  1.47626e+08
3  17  1.27059e+08
3  18  1.55044e+08
3  19  2.58207e+08
3  20  3.22213e+08
3  21  2.60608e+08
3  22  1.68837e+08
3  23  1.75737e+08
3  24  1.63979e+08
3  25  2.15941e+08
3  26  2.28846e+08
3  27  2.63126e+08
3  28  2.18662e+08
3  29  2.20789e+08
3  30  2.26645e+08
3  31  2.86264e+08
3  32  2.04946e+08
3  33  2.45857e+08
3  34  2.01124e+08
3  35  2.72547e+08
3  36  1.50239e+08
3  37  8.15185e+07
3  38  6.49608e+07
3  39  6.76773e+07
3  40  6.16553e+07
3  41  1.62928e+08
3  42  2.13463e+08
3  43  3.25155e+08
3  44  3.92415e+08
3  45  4.4777e+08
3  46  4.76018e+08
3  47  4.2066e+08
3  48  3.9181e+08
3  49  2.97898e+08
3  50  3.86364e+08
4  0  0
4  1  0
4  2  0
4  3  1.27232e+08
4  4  1.65086e+08
4  5  1.02732e+08
4  6  1.44111e+08
4  7  2.22576e+08
4  8  1.74664e+08
4  9  1.87241e+08
4  10  2.16239e+08
4  11  1.80029e+08
4  12  1.84322e+08
4  13  2.37931e+08
4  14  2.33168e+08
4  15  1.74142e+08
4  16  2.0225e+08
4  17  1.33169e+08
4  18  1.34561e+08
4  19  1.77021e+08
4  20  3.18176e+08
4  21  2.53749e+08
4  22  1.34614e+08
4  23  2.04105e+08
4  24  1.76755e+08
4  25  1.75623e+08
4  26  2.27412e+08
4  27  1.63496e+08
4  28  2.73681e+08
4  29  2.5236e+08
4  30  2.46216e+08
4  31  2.81719e+08
4  32  1.91079e+08
4  33  1.55066e+08
4  34  2.2335e+08
4  35  3.05662e+08
4  36  1.09012e+08
4  37  1.09968e+08
4  38  5.79559e+07
4  39  9.36396e+07
4  40  1.15521e+08
4  41  2.26058e+08
4  42  2.4486e+08
4  43  3.36387e+08
4  44  4.10764e+08
4  45  4.55998e+08
4  46  3.94578e+08
4  47  4.99755e+08
4  48  3.21447e+08
4  49  4.04975e+08
4  50  4.41496e+08
5  0  0
5  1  0
5  2  6.12484e+07
5  3  8.10077e+07
5  4  2.34358e+08
5  5  1.21671e+08
5  6  2.0255e+08
5  7  1.58433e+08
5  8  1.59985e+08
5  9  2.10795e+08
5  10  1.38235e+08
5  11  2.18552e+08
5  12  1.81384e+08
5  13  1.50437e+08
5  14  2.07158e+08
5  15  1.78558e+08
5  16  1.54058e+08
5  17  1.81438e+08
5  18  1.77117e+08
5  19  1.93389e+08
5  20  2.56368e+08
5  21  2.89902e+08
5  22  1.49507e+08
5  23  2.17157e+08
5  24  1.76152e+08
5  25  2.28594e+08
5  26  2.37379e+08
5  27  2.40595e+08
5  28  3.2898e+08
5  29  1.51016e+08
5  30  2.71652e+08
5  31  2.04443e+08
5  32  1.44315e+08
5  33  2.24808e+08
5  34  2.20343e+08
5  35  2.35384e+08
5  36  1.41329e+08
5  37  7.85741e+07
5  38  7.08767e+07
5  39  1.20223e+08
5  40  1.46875e+08
5  41  2.50007e+08
5  42  2.55438e+08
5  43  3.16413e+08
5  44  3.95152e+08
5  45  4.49744e+08
5  46  4.47324e+08
5  47  3.88406e+08
5  48  3.17437e+08
5  49  3.75281e+08
5  50  4.21758e+08
6  0  0
6  1  0
6  2  0
6  3  0
6  4  1.51302e+08
6  5  1.87768e+08
6  6  1.03732e+08
6  7  1.27026e+08
6  8  1.02053e+08
6  9  1.6294e+08
6  10  2.06823e+08
6  11  1.84353e+08
6  12  1.21743e+08
6  13  1.31839e+08
6  14  1.97938e+08
