row  column  (images_1_region2.edf Ca-K*images_1_region2.edf Ar-K**2.3)
0  0  7.83739e+07
0  1  7.6962e+07
0  2  7.49987e+07
0  3  8.64877e+07
0  4  8.97308e+07
0  5  8.64493e+07
0  6  1.07181e+08
0  7  1.12227e+08
0  8  1.16571e+08
0  9  1.1768e+08
0  10  1.34457e+08
0  11  1.48181e+08
0  12  1.46252e+08
0  13  1.59138e+08
0  14  1.7842e+08
0  15  2.01643e+08
0  16  2.15372e+08
0  17  2.2699e+08
0  18  2.57162e+08
0  19  2.57739e+08
0  20  2.98362e+08
0  21  3.15562e+08
0  22  2.88842e+08
0  23  2.80684e+08
0  24  2.98586e+08
0  25  2.93125e+08
0  26  3.11282e+08
0  27  2.98966e+08
0  28  3.25414e+08
0  29  3.37302e+08
0  30  3.26831e+08
0  31  3.36686e+08
0  32  3.65213e+08
0  33  4.16322e+08
0  34  4.17541e+08
0  35  3.77454e+08
0  36  4.122e+08
0  37  4.72956e+08
0  38  5.17907e+08
0  39  4.62236e+08
0  40  4.91485e+08
0  41  5.28194e+08
0  42  5.88233e+08
0  43  6.02789e+08
0  44  6.23e+08
0  45  5.8816e+08
0  46  5.73066e+08
0  47  5.68059e+08
0  48  6.02595e+08
0  49  5.24578e+08
0  50  6.11538e+08
0  51  5.93356e+08
0  52  5.71715e+08
0  53  6.21625e+08
0  54  6.63664e+08
0  55  6.17775e+08
0  56  6.05817e+08
0  57  5.38891e+08
0  58  6.14024e+08
0  59  5.98771e+08
0  60  5.0407e+08
0  61  4.2171e+08
0  62  3.50008e+08
0  63  2.84429e+08
0  64  2.33442e+08
0  65  2.06725e+08
0  66  1.71352e+08
0  67  1.49961e+08
1  0  7.47516e+07
1  1  7.86649e+07
1  2  8.69514e+07
1  3  8.88167e+07
1  4  9.42688e+07
1  5  1.01806e+08
1  6  1.11776e+08
1  7  1.24182e+08
1  8  1.32014e+08
1  9  1.43299e+08
1  10  1.82589e+08
1  11  1.61113e+08
1  12  1.84145e+08
1  13  1.9696e+08
1  14  2.06427e+08
1  15  2.14538e+08
1  16  2.75606e+08
1  17  2.79215e+08
1  18  3.00662e+08
1  19  2.92845e+08
1  20  3.11843e+08
1  21  3.5138e+08
1  22  3.05581e+08
1  23  3.08312e+08
1  24  3.17227e+08
1  25  3.11993e+08
1  26  3.19738e+08
1  27  3.40541e+08
1  28  3.27458e+08
1  29  3.41088e+08
1  30  3.61969e+08
1  31  4.25395e+08
1  32  3.99868e+08
1  33  4.21937e+08
1  34  4.48356e+08
1  35  4.13807e+08
1  36  4.76801e+08
1  37  4.86374e+08
1  38  5.2112e+08
1  39  5.74889e+08
1  40  5.44877e+08
1  41  6.12158e+08
1  42  6.46702e+08
