row  column  (images_1_region2.edf Cu-K*images_1_region2.edf Ar-K**2.3)
0  0  8.58131e+06
0  1  242785
0  2  0
0  3  3.39656e+06
0  4  1.11923e+06
0  5  2.80317e+06
0  6  0
0  7  1.18512e+06
0  8  0
0  9  2796.91
0  10  5.35644e+06
0  11  1.8997e+06
0  12  0
0  13  882003
0  14  6.98823e+06
0  15  188475
0  16  2.74092e+06
0  17  6.71224e+06
0  18  1.22769e+07
0  19  0
0  20  7.174e+06
0  21  8.91039e+06
0  22  9.43677e+06
0  23  3.53157e+06
0  24  8.9657e+06
0  25  0
0  26  5.16168e+06
0  27  1.20169e+07
0  28  4.17188e+06
0  29  1.95582e+06
0  30  6.25883e+06
0  31  0
0  32  5.27602e+06
0  33  0
0  34  6.08817e+06
0  35  5.18962e+06
0  36  0
0  37  1.64427e+07
0  38  2.3561e+06
0  39  0
0  40  4.35515e+06
0  41  1.54501e+06
0  42  1.15356e+07
0  43  1.57166e+07
0  44  5.01556e+06
0  45  8.41431e+06
0  46  3.7998e+06
0  47  0
0  48  1.37553e+07
0  49  0
0  50  1.28741e+07
0  51  2.57457e+06
0  52  0
0  53  1.26121e+07
0  54  8.12359e+06
0  55  1.1233e+07
0  56  8.85128e+06
0  57  3.54409e+06
0  58  3.19346e+06
0  59  1.2322e+07
0  60  0
0  61  0
0  62  3.27907e+06
0  63  1.13038e+07
0  64  1.53162e+06
0  65  2.51499e+06
0  66  4.45383e+06
0  67  0
1  0  0
1  1  2.40129e+06
1  2  766176
1  3  214502
1  4  5.73179e+06
1  5  903272
1  6  6.69551e+06
1  7  8.76813e+06
1  8  1.31719e+07
1  9  6.19052e+06
1  10  0
1  11  548799
1  12  5.66769e+06
1  13  0
1  14  1.79809e+06
1  15  329066
1  16  1.02065e+07
1  17  3.35516e+06
1  18  272126
1  19  0
1  20  1.71425e+07
1  21  98708.9
1  22  6.2311e+06
1  23  0
1  24  0
1  25  1.19451e+07
1  26  299281
1  27  8.83729e+06
1  28  3.47262e+06
1  29  2.3751e+06
1  30  679225
1  31  0
1  32  709475
1  33  1.18098e+07
1  34  9.22034e+06
1  35  0
1  36  4.43051e+06
1  37  4.26547e+06
1  38  0
1  39  5.20333e+06
1  40  0
1  41  8.65381e+06
1  42  330175
1  43  0
1  44  0
1  45  7.02288e+06
1  46  1.46364e+07
1  47  1.30512e+07
1  48  3.82903e+06
1  49  4.36792e+06
1  50  9.16141e+06
1  51  1.4335e+07
1  52  4.45513e+06
1  53  1.22033e+07
1  54  9.74987e+06
1  55  1.64309e+07
1  56  1.53977e+07
1  57  0
1  58  1.42146e+07
1  59  348334
1  60  0
1  61  460465
1  62  158722
1  63  1.25116e+07
1  64  6.8284e+06
1  65  4.84167e+06
1  66  3.9878e+06
1  67  716588
2  0  5.65716e+06
2  1  0
2  2  7.03252e+06
2  3  0
2  4  3.74047e+06
2  5  5.72417e+06
2  6  0
2  7  0
2  8  7.37104e+06
2  9  1.50079e+07
2  10  0
2  11  1.59812e+07
2  12  0
2  13  0
2  14  587103
2  15  0
2  16  0
2  17  0
2  18  3.44637e+06
2  19  6.9208e+06
2  20  6.18133e+06
2  21  0
2  22  2.29062e+07
2  23  0
2  24  0
2  25  1.47014e+07
2  26  2.21808e+06
2  27  29469.2
2  28  0
2  29  0
2  30  692267
2  31  745882
2  32  8.75927e+06
2  33  0
2  34  7.02439e+06
2  35  0
2  36  9.54944e+06
2  37  0
2  38  0
2  39  6.978e+06
2  40  0
2  41  1.07221e+06
2  42  0
2  43  0
2  44  4.56458e+06
2  45  1.20634e+07
2  46  0
2  47  6.72362e+06
2  48  9.4985e+06
2  49  1.24712e+07
2  50  3303.63
2  51  811049
2  52  2.39037e+06
2  53  8.04434e+06
2  54  9.20151e+06
2  55  0
2  56  4.09288e+06
2  57  4.73035e+06
2  58  0
2  59  0
2  60  5.60096e+06
2  61  0
2  62  1.48474e+07
2  63  0
2  64  0
2  65  3.81798e+06
2  66  0
2  67  90478
3  0  3.48944e+06
3  1  0
3  2  0
3  3  1.23253e+07
3  4  0
3  5  1.03366e+07
3  6  1.44602e+07
3  7  1.05924e+06
3  8  9.57613e+06
3  9  3.10019e+06
3  10  8.01835e+06
3  11  4.1869e+06
3  12  0
3  13  0
3  14  0
3  15  8.17224e+06
3  16  0
3  17  2.09606e+06
3  18  0
3  19  0
3  20  4.39172e+06
3  21  0
3  22  4.02989e+06
3  23  0
3  24  1.10952e+07
3  25  0
3  26  0
3  27  1.16666e+07
3  28  0
3  29  0
3  30  7.06725e+06
3  31  0
3  32  0
3  33  1.43707e+07
3  34  0
3  35  2.0025e+06
3  36  3.74954e+06
3  37  2.13162e+06
3  38  1.12115e+07
3  39  1.98814e+06
3  40  1.34036e+07
3  41  2.28259e+06
3  42  0
3  43  1.50158e+07
3  44  9.60568e+06
3  45  2.09871e+06
3  46  1.94106e+07
3  47  1.13899e+07
