row  column  (images_1_region2.edf Fe-K*images_1_region2.edf Ar-K**2.3)
0  0  2.11358e+07
0  1  2.09462e+07
0  2  2.5056e+07
0  3  1.83941e+07
0  4  2.13494e+07
0  5  1.83829e+07
0  6  2.58827e+07
0  7  2.05341e+07
0  8  2.51797e+07
0  9  2.54248e+07
0  10  3.40374e+07
0  11  3.29522e+07
0  12  3.81641e+07
0  13  3.3027e+07
0  14  3.11734e+07
0  15  2.28643e+07
0  16  3.57294e+07
0  17  3.21347e+07
0  18  2.13898e+07
0  19  4.5488e+07
0  20  4.71179e+07
0  21  2.96187e+07
0  22  4.51093e+07
0  23  4.14933e+07
0  24  4.04441e+07
0  25  4.066e+07
0  26  3.62567e+07
0  27  4.62172e+07
0  28  4.47855e+07
0  29  4.01791e+07
0  30  3.60622e+07
0  31  3.71449e+07
0  32  4.8416e+07
0  33  6.2852e+07
0  34  5.39773e+07
0  35  4.94972e+07
0  36  5.11292e+07
0  37  4.53041e+07
0  38  5.4484e+07
0  39  5.49606e+07
0  40  5.19985e+07
0  41  7.87309e+07
0  42  7.73729e+07
0  43  8.94705e+07
0  44  7.57467e+07
0  45  6.98263e+07
0  46  7.65543e+07
0  47  6.24531e+07
0  48  5.94527e+07
0  49  5.70103e+07
0  50  5.2912e+07
0  51  6.7864e+07
0  52  6.72036e+07
0  53  7.53145e+07
0  54  6.84951e+07
0  55  5.65767e+07
0  56  5.10453e+07
0  57  6.7018e+07
0  58  7.8336e+07
0  59  8.6561e+07
0  60  8.63572e+07
0  61  7.56828e+07
0  62  6.9043e+07
0  63  6.60401e+07
0  64  4.24533e+07
0  65  4.12348e+07
0  66  3.89409e+07
0  67  3.05353e+07
1  0  2.40056e+07
1  1  9.92416e+06
1  2  2.91478e+07
1  3  2.59105e+07
1  4  2.15432e+07
1  5  2.586e+07
1  6  2.25603e+07
1  7  2.08544e+07
1  8  3.07228e+07
1  9  3.81107e+07
1  10  3.35183e+07
1  11  4.36036e+07
1  12  9.41909e+06
1  13  3.04028e+07
1  14  3.49009e+07
1  15  3.33173e+07
1  16  2.94486e+07
1  17  4.10606e+07
1  18  4.19396e+07
1  19  3.591e+07
1  20  4.47047e+07
1  21  3.64504e+07
1  22  4.19367e+07
