row  column  (images_1_region2.edf K-K*images_1_region2.edf Ar-K**2.3)
0  0  1.25753e+07
0  1  1.1987e+07
0  2  0
0  3  1.90171e+06
0  4  8.55751e+06
0  5  8.58547e+06
0  6  4.03316e+06
0  7  8.08128e+06
0  8  2.85661e+06
0  9  2.26003e+06
0  10  7.68462e+06
0  11  4.30971e+06
0  12  2.63782e+06
0  13  2.7963e+06
0  14  6.96918e+06
0  15  3.05555e+06
0  16  0
0  17  4.69519e+06
0  18  9.56455e+06
0  19  0
0  20  3.96662e+06
0  21  3.1152e+06
0  22  8.29545e+06
0  23  7.74495e+06
0  24  1.13916e+07
0  25  3.84353e+06
0  26  5.48002e+06
0  27  6.50206e+06
0  28  0
0  29  6.61334e+06
0  30  3.47569e+06
0  31  8.00978e+06
0  32  8.25253e+06
0  33  9.20159e+06
0  34  1.11832e+07
0  35  3.88646e+06
0  36  5.90108e+06
0  37  1.49549e+07
0  38  0
0  39  3.29062e+06
0  40  5.12325e+06
0  41  6.66342e+06
0  42  3.26347e+06
0  43  8.27137e+06
0  44  6.64984e+06
0  45  8.91961e+06
0  46  7.66912e+06
0  47  1.02873e+07
0  48  1.72891e+06
0  49  4.83028e+06
0  50  1.55507e+07
0  51  4.02145e+06
0  52  290515
0  53  6.51583e+06
0  54  1.35165e+07
0  55  1.46657e+07
0  56  0
0  57  3.24803e+06
0  58  6.33911e+06
0  59  4.13389e+06
0  60  1.01587e+07
0  61  0
0  62  6.83298e+06
0  63  1.95999e+07
0  64  6.35787e+06
0  65  3.67983e+06
0  66  5.64684e+06
0  67  5.05392e+06
1  0  1.42586e+06
1  1  1.85222e+06
1  2  7.83659e+06
1  3  3.04632e+06
1  4  5.61874e+06
1  5  6.04468e+06
1  6  5.20271e+06
1  7  6.09183e+06
1  8  6.32922e+06
1  9  6.91417e+06
1  10  3.27403e+06
1  11  4.76945e+06
1  12  2.23747e+06
1  13  7.52614e+06
1  14  6.18224e+06
1  15  8.98363e+06
1  16  1.03059e+07
1  17  3.93124e+06
1  18  5.01525e+06
1  19  5.11246e+06
1  20  1.32153e+06
1  21  6.43428e+06
1  22  0
1  23  5.09868e+06
1  24  5.96824e+06
1  25  6.38048e+06
1  26  0
1  27  1.31915e+07
1  28  0
1  29  4.82282e+06
1  30  0
1  31  9.81316e+06
1  32  3.74e+06
1  33  0
