row  column  (images_1_region2.edf Mn-K*images_1_region2.edf Ar-K**2.3)
0  0  1.34731e+06
0  1  9.09195e+06
0  2  5.92728e+06
0  3  5.57283e+06
0  4  3.67792e+06
0  5  5.66708e+06
0  6  4.94015e+06
0  7  2.54647e+06
0  8  9.42491e+06
0  9  3.54551e+06
0  10  2.25161e+06
0  11  3.46518e+06
0  12  1.48688e+07
0  13  6.67147e+06
0  14  6.92455e+06
0  15  3.48327e+06
0  16  4.17545e+06
0  17  676978
0  18  0
0  19  9.35965e+06
0  20  4.33039e+06
0  21  4.7559e+06
0  22  953200
0  23  1.07316e+06
0  24  1.03485e+07
0  25  7.20334e+06
0  26  2.22311e+06
0  27  6.86305e+06
0  28  0
0  29  8.39307e+06
0  30  8.2053e+06
0  31  6.93797e+06
0  32  5.95239e+06
0  33  8.20508e+06
0  34  5.31713e+06
0  35  5.6462e+06
0  36  1.84252e+06
0  37  9.96483e+06
0  38  3.19603e+06
0  39  2.02832e+06
0  40  2.09569e+06
0  41  6.87751e+06
0  42  1.15389e+07
0  43  0
0  44  1.87626e+06
0  45  0
0  46  1.09985e+07
0  47  1.75598e+07
0  48  1.42364e+07
0  49  5.92599e+06
0  50  5.78647e+06
0  51  7.33481e+06
0  52  7.46348e+06
0  53  1.12986e+07
0  54  0
0  55  582869
0  56  5.34156e+06
0  57  6.17875e+06
0  58  2.58637e+06
0  59  6.57801e+06
0  60  4.64044e+06
0  61  8.93676e+06
0  62  7.34765e+06
0  63  0
0  64  3.62498e+06
0  65  1.15521e+07
0  66  3.75373e+06
0  67  1.20978e+07
1  0  4.95931e+06
1  1  7.09449e+06
1  2  758433
1  3  1.5438e+06
1  4  0
1  5  966627
1  6  3.53627e+06
1  7  0
1  8  2.2659e+06
1  9  7.95755e+06
1  10  3.05476e+06
1  11  6.58816e+06
1  12  5.79631e+06
1  13  3.285e+06
1  14  7.86653e+06
1  15  1.28505e+06
1  16  3.55919e+06
1  17  1.23925e+06
1  18  2.37513e+06
1  19  0
1  20  2.90718e+06
1  21  8.31539e+06
1  22  6.97723e+06
1  23  1.23069e+07
1  24  4.5065e+06
1  25  2.76684e+06
1  26  2.32403e+06
1  27  7.12972e+06
1  28  9.1089e+06
1  29  0
1  30  5.72185e+06
1  31  1.32159e+07
1  32  0
1  33  7.20308e+06
1  34  0
1  35  6.79787e+06
1  36  1.05459e+07
1  37  4.69753e+06
1  38  4.97737e+06
1  39  725686
1  40  2.38858e+06
1  41  0
1  42  0
1  43  4.73128e+06
1  44  4.93572e+06
1  45  1.24817e+07
1  46  0
1  47  6.37194e+06
1  48  9.1505e+06
1  49  8.5536e+06
1  50  1.36456e+07
1  51  2.39332e+06
1  52  3.60197e+06
1  53  1.04832e+07
1  54  0
1  55  1.49506e+07
1  56  1.21885e+07
1  57  8.20736e+06
1  58  0
1  59  9.4205e+06
1  60  6.25795e+06
1  61  0
1  62  4.74031e+06
1  63  8.91613e+06
1  64  8.91507e+06
1  65  3.85954e+06
1  66  8.42125e+06
1  67  8.1944e+06
2  0  1.31718e+06
2  1  3.56784e+06
2  2  0
2  3  9.18477e+06
2  4  1.85222e+06
2  5  2.41601e+06
2  6  8.83278e+06
2  7  1.08977e+07
2  8  4.65283e+06
2  9  1.42479e+06
2  10  3.39764e+06
2  11  0
2  12  8.89038e+06
2  13  2.22564e+06
2  14  0
2  15  7.59582e+06
2  16  7.61674e+06
2  17  7.51259e+06
2  18  9.18647e+06
2  19  5.71514e+06
2  20  2.9387e+06
2  21  0
2  22  828911
2  23  7.93085e+06
2  24  3.53039e+06
2  25  3.73124e+06
2  26  8.72883e+06
2  27  6.01037e+06
2  28  1.05102e+07
2  29  9.18615e+06
2  30  582428
2  31  373949
2  32  9.28894e+06
2  33  9.91186e+06
2  34  4.49774e+06
2  35  4.866e+06
2  36  4.25736e+06
2  37  7.51243e+06
2  38  9.2421e+06
2  39  6.22823e+06
2  40  9.98901e+06
2  41  9.08975e+06
2  42  1.01803e+07
2  43  8.4509e+06
2  44  1.0648e+07
2  45  1.83857e+07
2  46  1.13702e+07
2  47  2.39786e+06
2  48  8.85236e+06
2  49  7.39202e+06
2  50  9.94248e+06
2  51  2.94369e+06
2  52  1.0235e+06
2  53  2.26696e+06
2  54  9.0316e+06
2  55  0
2  56  9.0358e+06
2  57  3.43316e+06
2  58  0
2  59  680994
2  60  4.09373e+06
2  61  9.78735e+06
2  62  1.29019e+06
2  63  3.46484e+06
2  64  7.48658e+06
2  65  0
2  66  5.01736e+06
2  67  2.28264e+06
3  0  3.28105e+06
3  1  1.74361e+06
3  2  5.8128e+06
3  3  280611
3  4  7.42125e+06
3  5  1.75371e+06
3  6  5.6133e+06
3  7  8.54015e+06
3  8  18408.9
3  9  5.98335e+06
3  10  8.22014e+06
3  11  5.14835e+06
3  12  5.3893e+06
3  13  4.38437e+06
3  14  9.98292e+06
3  15  2.79609e+06
3  16  8.55572e+06
3  17  6.14622e+06
3  18  5.71701e+06
3  19  9.2882e+06
3  20  1.16073e+07
3  21  1.10351e+07
3  22  1.75463e+06
3  23  3.53393e+06
3  24  9.01526e+06
3  25  4.88892e+06
3  26  9.24501e+06
3  27  4.02752e+06
3  28  7.465e+06
3  29  9.27357e+06
3  30  1.04709e+07
3  31  1.15957e+07
3  32  4.59863e+06
3  33  2.23076e+06
3  34  1.08137e+07
3  35  5.32179e+06
3  36  5.63218e+06
3  37  1.1299e+07
3  38  900912
3  39  5.67932e+06
3  40  875934
3  41  1.21861e+06
3  42  6.70704e+06
3  43  4.13271e+06
3  44  1.11155e+07
3  45  3.61401e+06
3  46  482013
3  47  1.35823e+07
3  48  1.10066e+07
3  49  900918
3  50  6.55166e+06
3  51  8.0617e+06
3  52  3.80302e+06
3  53  7.54941e+06
3  54  5.88749e+06
3  55  0
3  56  6.75047e+06
3  57  9.28638e+06
3  58  3.86687e+06
3  59  1.36204e+07
3  60  1.16547e+07
3  61  7.17141e+06
3  62  2.94022e+06
3  63  7.97276e+06
3  64  9.9571e+06
3  65  0
3  66  0
3  67  1.61387e+06
4  0  8.99706e+06
4  1  4.63892e+06
4  2  2.91508e+06
4  3  5.58134e+06
4  4  1.64285e+06
4  5  4.93607e+06
4  6  4.04866e+06
4  7  9.32219e+06
4  8  1.36415e+06
4  9  2.29569e+06
4  10  4.15049e+06
4  11  4.40604e+06
4  12  5.05125e+06
4  13  7.88449e+06
4  14  4.59413e+06
4  15  4.2794e+06
4  16  399463
4  17  6.37892e+06
4  18  6.42762e+06
4  19  8.01519e+06
4  20  1.85304e+06
4  21  5.40314e+06
4  22  4.23376e+06
4  23  0
