row  column  (images_1_region2.edf P-K*images_1_region2.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  789336
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  665977
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  616750
0  27  741030
0  28  0
0  29  0
0  30  0
0  31  994952
0  32  0
0  33  82139
0  34  445376
0  35  0
0  36  0
0  37  1.56921e+06
0  38  4.76507e+06
0  39  0
0  40  71673.3
0  41  0
0  42  1.22462e+06
0  43  1.90618e+06
0  44  0
0  45  4.3559e+06
0  46  405524
0  47  0
0  48  2.51904e+06
0  49  1.62323e+06
0  50  794763
0  51  0
0  52  0
0  53  766208
0  54  0
0  55  0
0  56  906105
0  57  1.07121e+06
0  58  0
0  59  1.15635e+06
0  60  0
0  61  0
0  62  207615
0  63  4.20544e+06
0  64  0
0  65  0
0  66  0
0  67  0
1  0  0
1  1  23536.2
1  2  0
1  3  0
1  4  0
1  5  1.32842e+06
1  6  0
1  7  497744
1  8  684279
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  522721
1  17  0
1  18  0
1  19  288589
1  20  67722
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  290689
1  27  1.24256e+06
1  28  0
1  29  0
1  30  0
1  31  0
1  32  0
1  33  0
1  34  2.26927e+06
1  35  0
1  36  0
1  37  2.23316e+06
1  38  0
1  39  45960.6
1  40  1.1078e+06
1  41  3.39077e+06
1  42  1.71492e+06
1  43  0
1  44  3.31233e+06
1  45  68242.7
1  46  2.20087e+06
1  47  2.01648e+06
1  48  3.87815e+06
1  49  755753
1  50  1.44461e+06
1  51  4.1297e+06
1  52  0
1  53  782387
1  54  1.49973e+06
1  55  575743
1  56  691185
1  57  0
1  58  714143
1  59  375056
1  60  56013.4
1  61  1.32811e+06
1  62  0
1  63  123225
1  64  0
1  65  405234
1  66  1.17322e+06
1  67  0
2  0  0
2  1  0
2  2  78726
2  3  1.02739e+06
2  4  0
2  5  0
2  6  0
2  7  84846.4
2  8  549329
2  9  853074
2  10  0
2  11  252733
2  12  0
2  13  0
2  14  92196.6
2  15  1.20208e+06
2  16  282903
2  17  0
2  18  0
2  19  0
2  20  314638
2  21  0
2  22  737201
2  23  0
2  24  0
2  25  511284
2  26  1.55772e+06
2  27  1.12028e+06
2  28  0
2  29  0
2  30  0
2  31  0
2  32  1.18817e+06
2  33  0
2  34  0
2  35  0
2  36  0
2  37  0
2  38  0
2  39  1.98758e+06
2  40  0
2  41  0
2  42  0
2  43  138783
2  44  4.60327e+06
2  45  4.08677e+06
2  46  0
2  47  692404
2  48  573445
2  49  5.0791e+06
2  50  0
2  51  3.36273e+06
2  52  0
2  53  0
2  54  4.81159e+06
2  55  0
2  56  997949
2  57  0
2  58  3.95409e+06
2  59  1.13356e+06
2  60  0
2  61  0
2  62  650974
2  63  0
2  64  0
2  65  252506
2  66  0
2  67  110728
3  0  0
3  1  241168
3  2  0
3  3  192509
3  4  0
3  5  115234
3  6  11891.3
3  7  0
3  8  536207
3  9  0
3  10  0
3  11  0
3  12  0
3  13  25316.9
3  14  1.16243e+06
3  15  533169
3  16  0
3  17  0
3  18  383563
3  19  0
3  20  1.00131e+06
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  0
3  27  214635
3  28  0
3  29  0
3  30  0
3  31  0
3  32  0
3  33  3.08123e+06
3  34  0
3  35  0
3  36  0
3  37  2.65737e+06
3  38  1.21534e+06
3  39  1.44051e+06
3  40  4.95319e+06
3  41  0
3  42  0
3  43  2.24005e+06
3  44  400993
3  45  2.63191e+06
3  46  2.2564e+06
3  47  2.26888e+06
3  48  1.64644e+06
3  49  0
3  50  4.83973e+06
3  51  2.0311e+06
3  52  5.20425e+06
3  53  427495
3  54  3.52708e+06
3  55  0
3  56  6.13415e+06
3  57  0
3  58  3.42255e+06
3  59  2.50357e+06
3  60  814144
3  61  1.36083e+06
3  62  0
3  63  0
3  64  1.08209e+06
3  65  0
3  66  0
3  67  25483.3
4  0  0
4  1  0
4  2  0
4  3  0
4  4  166901
4  5  0
4  6  1.58377e+06
4  7  0
4  8  43706
4  9  993160
4  10  0
4  11  0
4  12  0
4  13  227220
4  14  70737.5
4  15  428802
4  16  289461
4  17  550227
4  18  0
4  19  0
4  20  797688
4  21  0
4  22  445993
4  23  0
4  24  0
4  25  0
4  26  407365
4  27  0
4  28  0
4  29  0
4  30  3.74324e+06
4  31  1.45655e+06
4  32  1.22315e+06
4  33  0
4  34  0
4  35  982311
4  36  4.43004e+06
4  37  0
4  38  2.5723e+06
4  39  0
4  40  1.86763e+06
4  41  1.29389e+06
4  42  0
4  43  4.45335e+06
4  44  2.99057e+06
4  45  273915
4  46  2.92239e+06
4  47  0
4  48  814295
4  49  3.15917e+06
4  50  411458
4  51  1.28118e+06
4  52  5.76372e+06
4  53  6.98458e+06
4  54  3.58498e+06
4  55  0
4  56  3.17909e+06
4  57  0
4  58  663183
4  59  52033.4
4  60  0
4  61  0
4  62  1.0794e+06
4  63  0
4  64  0
4  65  0
4  66  0
4  67  0
5  0  0
5  1  0
5  2  8921.19
5  3  0
5  4  0
5  5  720722
5  6  0
5  7  0
5  8  0
5  9  0
5  10  0
5  11  0
5  12  868788
5  13  1.15822e+06
5  14  0
5  15  962469
5  16  0
5  17  1.89732e+06
5  18  719948
5  19  0
5  20  156987
5  21  0
5  22  0
5  23  1.945e+06
5  24  0
5  25  565464
5  26  239034
5  27  147351
5  28  0
5  29  1.86524e+06
5  30  0
5  31  359482
5  32  745739
5  33  2.12877e+06
5  34  4.16707e+06
5  35  19287.1
5  36  3.18086e+06
5  37  1.16747e+06
5  38  0
5  39  27041.7
5  40  3.36139e+06
5  41  1.84565e+06
5  42  1.47318e+06
5  43  0
5  44  0
5  45  567746
5  46  0
5  47  4.48306e+06
5  48  0
5  49  5.05455e+06
5  50  0
5  51  2.20982e+06
5  52  2.46058e+06
5  53  2.67718e+06
5  54  3.36957e+06
5  55  1.30759e+06
5  56  2.83885e+06
5  57  0
5  58  1.68418e+06
5  59  0
5  60  0
5  61  440411
5  62  88418.4
5  63  0
5  64  0
5  65  0
5  66  1.16332e+06
5  67  407426
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  354667
6  6  0
6  7  0
6  8  0
6  9  1.31097e+06
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  2.95461e+06
6  16  63822.4
6  17  1.24791e+06
6  18  1.2327e+06
6  19  1.47303e+06
6  20  617538
6  21  0
6  22  775247
6  23  0
6  24  0
6  25  1.36238e+06
6  26  0
6  27  0
6  28  1.9885e+06
6  29  0
6  30  0
6  31  2.5803e+06
6  32  0
6  33  0
6  34  722565
6  35  0
6  36  0
6  37  0
6  38  708994
6  39  3.92919e+06
6  40  300392
6  41  0
6  42  4.52215e+06
6  43  1.18462e+06
6  44  2.2596e+06
6  45  7.18864e+06
6  46  2.00836e+06
6  47  2.25432e+06
6  48  4.87279e+06
6  49  2.58961e+06
6  50  5.48189e+06
6  51  6.09601e+06
6  52  2.20808e+06
6  53  1.02098e+06
6  54  7.25465e+06
6  55  8.67522e+06
6  56  0
6  57  3.35679e+06
6  58  2.58228e+06
6  59  511559
6  60  0
6  61  736003
