row  column  (images_1_region2.edf S-K*images_1_region2.edf Ar-K**2.3)
0  0  2.10403e+06
0  1  0
0  2  0
0  3  0
0  4  1.28397e+06
0  5  0
0  6  0
0  7  633521
0  8  0
0  9  0
0  10  3.00674e+06
0  11  610995
0  12  0
0  13  0
0  14  0
0  15  0
0  16  1.23054e+06
0  17  2.62396e+06
0  18  3.67748e+06
0  19  0
0  20  0
0  21  2.58048e+06
0  22  5.05131e+06
0  23  4.71149e+06
0  24  3.02114e+06
0  25  1.0449e+06
0  26  3.00969e+06
0  27  3.02871e+06
0  28  1.01672e+06
0  29  1.87073e+06
0  30  772814
0  31  1.36212e+06
0  32  1.54969e+06
0  33  2.13557e+06
0  34  1.13707e+06
0  35  2.77522e+06
0  36  0
0  37  1.23099e+07
0  38  8.04898e+06
0  39  3.45789e+06
0  40  4.87728e+06
0  41  15431.1
0  42  7.28864e+06
0  43  6.37186e+06
0  44  7.70613e+06
0  45  4.8656e+06
0  46  7.22479e+06
0  47  0
0  48  8.93841e+06
0  49  5.13999e+06
0  50  9.75733e+06
0  51  1.28988e+06
0  52  5.93198e+06
0  53  8.25531e+06
0  54  9.59645e+06
0  55  8.5981e+06
0  56  7.25887e+06
0  57  4.40711e+06
0  58  7.14916e+06
0  59  7.64604e+06
0  60  3.56775e+06
0  61  4.36246e+06
0  62  4.0092e+06
0  63  6.69861e+06
0  64  0
0  65  93267.4
0  66  0
0  67  1.02652e+06
1  0  0
1  1  0
1  2  0
1  3  0
1  4  859814
1  5  454926
1  6  1.92487e+06
1  7  2.98544e+06
1  8  2.72098e+06
1  9  1.83413e+06
1  10  0
1  11  39246.9
1  12  0
1  13  572443
1  14  514936
1  15  2.81842e+06
1  16  2.51211e+06
1  17  1.32655e+06
1  18  870082
1  19  3.26491e+06
1  20  939633
1  21  0
1  22  811689
1  23  0
1  24  802454
1  25  2.06307e+06
1  26  1.9856e+06
1  27  3.54415e+06
1  28  0
1  29  3.20929e+06
1  30  1.33054e+06
1  31  0
1  32  1.73139e+06
1  33  0
1  34  8.71753e+06
1  35  0
1  36  0
1  37  2.61637e+06
1  38  4.04546e+06
1  39  7.49196e+06
1  40  7.14763e+06
1  41  7.98714e+06
1  42  5.50284e+06
1  43  3.12931e+06
1  44  6.17902e+06
1  45  3.84833e+06
1  46  4.97279e+06
1  47  8.22843e+06
1  48  5.70861e+06
1  49  8.93726e+06
1  50  1.64977e+06
1  51  9.58573e+06
1  52  6.49095e+06
1  53  7.74247e+06
1  54  4.27049e+06
1  55  4.76727e+06
1  56  3.0268e+06
1  57  6.42913e+06
1  58  1.1375e+07
1  59  1.88971e+06
1  60  1.20256e+06
1  61  4.02866e+06
1  62  0
1  63  3.28651e+06
1  64  0
1  65  0
1  66  1.03095e+06
1  67  0
2  0  464352
2  1  0
2  2  1.37151e+06
2  3  0
2  4  0
2  5  2.50894e+06
2  6  0
2  7  969784
