row  column  (images_1_region2.edf Zn-K*images_1_region2.edf Ar-K**2.3)
0  0  1.46739e+07
0  1  1.10165e+06
0  2  0
0  3  5.79915e+06
0  4  4.62541e+06
0  5  635793
0  6  1.77081e+06
0  7  4.22627e+06
0  8  6.00808e+06
0  9  4.6267e+06
0  10  1.11207e+07
0  11  7.76588e+06
0  12  0
0  13  2.8862e+06
0  14  6.5756e+06
0  15  4.23867e+06
0  16  5.34652e+06
0  17  1.92739e+07
0  18  2.51529e+07
0  19  0
0  20  1.81177e+07
0  21  2.88715e+07
0  22  1.13763e+07
0  23  1.21876e+07
0  24  1.35532e+07
0  25  5.13725e+06
0  26  1.29497e+07
0  27  2.95683e+07
0  28  6.65019e+06
0  29  1.67046e+07
0  30  3.9539e+06
0  31  1.97505e+07
0  32  1.41142e+07
0  33  2.49048e+07
0  34  2.84576e+07
0  35  1.28875e+07
0  36  2.09927e+07
0  37  4.47858e+07
0  38  2.38323e+07
0  39  2.89956e+07
0  40  4.03029e+07
0  41  4.61694e+07
0  42  3.92718e+07
0  43  6.59752e+07
0  44  4.36168e+07
0  45  4.91064e+07
0  46  4.80565e+07
0  47  3.64255e+07
0  48  6.81196e+07
0  49  3.14606e+07
0  50  6.33928e+07
0  51  7.34317e+07
0  52  7.35756e+07
0  53  8.52062e+07
0  54  7.57623e+07
0  55  7.21389e+07
0  56  6.53514e+07
0  57  6.25298e+07
0  58  6.34914e+07
0  59  8.71035e+07
0  60  7.38299e+07
0  61  6.37348e+07
0  62  4.95095e+07
0  63  6.27096e+07
0  64  2.44014e+07
0  65  1.68782e+07
0  66  1.13415e+07
0  67  3.30741e+06
1  0  144799
1  1  6.46586e+06
1  2  0
1  3  2.57451e+06
1  4  8.36074e+06
1  5  7.29463e+06
1  6  1.46163e+07
1  7  1.96983e+07
1  8  2.17225e+06
1  9  3.95402e+06
1  10  1.09558e+07
1  11  2.67185e+06
1  12  0
1  13  3.46601e+06
1  14  3.1113e+06
1  15  1.42188e+07
1  16  9.78963e+06
1  17  1.70471e+07
1  18  1.64435e+07
1  19  1.81075e+07
1  20  2.61297e+07
1  21  3.57404e+06
1  22  9.97362e+06
1  23  3.92813e+06
1  24  9.27073e+06
1  25  2.24382e+06
1  26  2.63367e+07
1  27  2.54425e+07
1  28  1.39858e+07
1  29  2.83352e+07
1  30  1.71489e+07
1  31  2.05628e+07
1  32  2.51344e+07
1  33  3.9527e+07
1  34  4.33531e+07
1  35  2.09087e+07
1  36  2.06095e+07
1  37  3.33042e+07
1  38  3.28411e+07
1  39  4.68137e+07
1  40  4.54741e+07
1  41  7.86609e+07
1  42  5.68782e+07
1  43  5.65855e+07
1  44  4.79761e+07
1  45  3.21545e+07
1  46  4.56233e+07
1  47  5.66431e+07
1  48  4.73968e+07
1  49  6.42273e+07
1  50  7.82841e+07
1  51  1.12188e+08
1  52  7.81843e+07
1  53  6.96301e+07
1  54  8.60902e+07
1  55  7.86598e+07
1  56  5.36225e+07
1  57  6.84073e+07
1  58  1.06642e+08
1  59  7.12283e+07
1  60  7.16294e+07
1  61  6.77273e+07
1  62  3.22703e+07
1  63  4.59474e+07
1  64  2.35481e+07
1  65  9.17636e+06
1  66  7.66054e+06
1  67  0
2  0  8.86148e+06
2  1  5.64315e+06
2  2  5.48099e+06
2  3  0
2  4  1.17569e+07
2  5  1.31375e+07
2  6  1.25925e+07
2  7  4.84683e+06
2  8  1.41803e+07
2  9  1.51908e+07
2  10  8.04719e+06
2  11  8.87294e+06
2  12  2.264e+06
2  13  0
2  14  5.18976e+06
2  15  8.23873e+06
2  16  8.57722e+06
2  17  1.51107e+07
2  18  1.18579e+07
2  19  2.74771e+07
2  20  9.16066e+06
2  21  1.30315e+06
2  22  0
2  23  3.3091e+07
2  24  1.30335e+07
2  25  3.25084e+07
2  26  5.54546e+06
2  27  1.59559e+07
2  28  1.88832e+07
2  29  2.43876e+07
2  30  1.54313e+07
2  31  2.13301e+07
