row  column  (images_2.edf Cu-K*images_2.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  2.89774e+06
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  744502
0  10  950146
0  11  93462.3
0  12  0
0  13  0
0  14  1.91817e+06
0  15  0
0  16  1.69148e+06
0  17  0
0  18  0
0  19  1.7553e+06
0  20  0
0  21  0
0  22  0
0  23  2.4254e+06
0  24  0
0  25  0
0  26  0
0  27  0
0  28  4.2903e+06
0  29  0
0  30  0
0  31  6.60136e+06
0  32  0
0  33  0
0  34  0
0  35  0
0  36  0
0  37  0
0  38  0
0  39  0
0  40  0
0  41  0
0  42  0
0  43  0
0  44  0
0  45  0
0  46  0
0  47  0
0  48  6.005e+06
0  49  9.78911e+06
0  50  1.04986e+07
0  51  2.08715e+07
0  52  1.17436e+07
0  53  2.89629e+07
0  54  2.73119e+07
0  55  1.41746e+07
0  56  3.02911e+07
0  57  2.93291e+07
0  58  2.72451e+07
0  59  2.73844e+07
0  60  2.44326e+07
0  61  1.08738e+07
0  62  1.16699e+07
0  63  8.0757e+06
0  64  2.02537e+07
0  65  1.64034e+07
0  66  2.33606e+07
0  67  2.03302e+07
0  68  1.7116e+07
0  69  1.64392e+07
0  70  2.146e+07
0  71  2.71079e+07
0  72  2.19452e+07
0  73  1.33583e+07
0  74  1.74522e+07
0  75  0
0  76  1.0657e+07
0  77  4.22522e+06
0  78  1.23693e+07
0  79  0
0  80  4.6444e+06
0  81  6.45667e+06
0  82  5.0675e+06
0  83  8.32282e+06
0  84  1.10327e+07
0  85  3.59063e+06
0  86  0
0  87  1.93717e+06
0  88  1.24057e+07
0  89  0
0  90  0
0  91  0
0  92  6.78064e+06
0  93  5.28631e+06
0  94  0
0  95  4.51823e+06
0  96  0
0  97  0
0  98  0
0  99  0
0  100  0
1  0  0
1  1  0
1  2  4.99328e+06
1  3  1.30234e+06
1  4  0
1  5  3.12839e+06
1  6  993153
1  7  6.95109e+06
1  8  0
1  9  1.53135e+06
1  10  0
1  11  0
1  12  0
1  13  3.24973e+06
1  14  1.76954e+06
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  114635
1  21  0
1  22  1.33263e+06
1  23  4.28978e+06
1  24  0
1  25  0
1  26  4.00054e+06
1  27  0
1  28  1.08768e+07
1  29  107304
1  30  459020
1  31  0
1  32  0
1  33  0
1  34  4.03057e+06
1  35  0
1  36  0
1  37  0
1  38  0
1  39  0
1  40  0
1  41  0
1  42  0
1  43  0
1  44  0
1  45  0
1  46  0
1  47  0
1  48  9.01988e+06
1  49  0
1  50  1.281e+07
1  51  1.29293e+07
1  52  1.70391e+07
1  53  2.05434e+07
1  54  1.81229e+07
1  55  2.78116e+07
1  56  3.26703e+07
1  57  2.59067e+07
1  58  2.23716e+07
1  59  1.92989e+07
1  60  1.33425e+07
1  61  1.39629e+07
1  62  4.96124e+06
1  63  2.23317e+07
1  64  2.42357e+07
1  65  2.22994e+07
1  66  2.34704e+07
1  67  2.08974e+07
1  68  1.98268e+07
1  69  1.88603e+07
1  70  1.18635e+07
1  71  1.60109e+07
1  72  1.59923e+07
1  73  7.86024e+06
1  74  23425.6
1  75  0
1  76  2.27565e+06
1  77  1.32204e+07
1  78  5.37413e+06
1  79  7.97387e+06
1  80  0
1  81  7.80089e+06
1  82  7.16118e+06
1  83  1.49235e+07
1  84  6.73329e+06
1  85  7.63602e+06
1  86  8.96807e+06
1  87  7.55031e+06
1  88  3.03767e+06
1  89  0
1  90  0
1  91  8.71826e+06
1  92  3.24078e+06
1  93  3.14e+06
1  94  0
1  95  8.68886e+06
1  96  1.31291e+06
1  97  0
1  98  0
1  99  0
1  100  5.36711e+06
2  0  0
2  1  3.31403e+06
2  2  428037
2  3  0
2  4  0
2  5  28293.4
2  6  0
2  7  0
2  8  4.88592e+06
2  9  0
2  10  8.50602e+06
2  11  0
2  12  0
2  13  2.72535e+06
2  14  0
2  15  0
2  16  1.14353e+06
2  17  4.45521e+06
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  842359
2  24  5.46298e+06
2  25  0
2  26  0
2  27  0
2  28  0
2  29  3.56321e+06
2  30  3.38871e+06
2  31  0
2  32  0
2  33  0
2  34  0
2  35  0
2  36  0
2  37  0
2  38  0
2  39  0
2  40  0
2  41  0
2  42  0
2  43  0
2  44  0
2  45  0
2  46  0
2  47  2.39796e+06
2  48  1.31467e+06
2  49  4.27282e+06
2  50  4.0507e+06
2  51  7.95785e+06
2  52  2.37081e+07
2  53  3.22343e+07
2  54  1.55485e+07
2  55  2.55868e+07
2  56  1.63117e+07
2  57  3.23586e+07
2  58  2.49703e+07
2  59  2.28993e+07
2  60  1.95668e+07
2  61  2.62051e+06
2  62  7.56774e+06
2  63  4.20814e+06
2  64  1.15653e+07
2  65  2.93388e+07
2  66  1.17942e+07
2  67  2.18384e+07
2  68  2.21675e+07
2  69  2.88259e+07
2  70  2.08031e+07
2  71  2.43549e+07
2  72  8.4804e+06
2  73  6.82649e+06
2  74  1.58055e+06
2  75  1.04294e+07
2  76  6.18097e+06
2  77  8.05927e+06
2  78  1.10747e+07
2  79  4.17536e+06
2  80  1.0486e+07
2  81  1.10748e+07
2  82  8.77416e+06
2  83  8.76461e+06
2  84  9.35543e+06
2  85  0
2  86  1.02877e+07
2  87  1.55135e+07
2  88  6.56463e+06
2  89  2.25386e+06
2  90  0
2  91  862388
2  92  1.03669e+07
2  93  471155
2  94  2.82772e+06
2  95  0
2  96  1.75311e+06
2  97  0
2  98  2.65912e+06
2  99  0
2  100  2.68837e+06
3  0  2.01145e+06
3  1  0
3  2  1.91543e+06
3  3  4.49891e+06
3  4  5.68924e+06
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  2.1005e+06
3  12  2.52498e+06
3  13  0
3  14  0
3  15  2.49054e+06
3  16  0
3  17  1.2647e+06
3  18  0
3  19  2.95933e+06
3  20  0
3  21  0
3  22  0
3  23  0
3  24  3.33855e+06
3  25  0
3  26  0
3  27  0
3  28  0
3  29  0
3  30  0
3  31  0
3  32  0
3  33  0
3  34  0
3  35  0
3  36  0
3  37  0
3  38  0
3  39  0
3  40  0
3  41  0
3  42  0
3  43  0
3  44  0
3  45  0
3  46  0
3  47  5.27502e+06
3  48  7.01527e+06
3  49  8.40099e+06
3  50  6.85153e+06
3  51  1.47238e+07
3  52  1.73057e+07
3  53  2.91935e+07
3  54  2.68818e+07
3  55  3.02129e+07
3  56  3.42518e+07
3  57  2.58139e+07
3  58  2.60172e+07
3  59  2.33096e+07
3  60  2.57256e+07
3  61  9.42327e+06
3  62  4.23733e+06
3  63  2.27616e+07
3  64  1.54733e+07
3  65  2.37927e+07
3  66  1.30834e+07
3  67  2.70967e+07
3  68  1.98605e+07
3  69  2.24594e+07
3  70  2.03097e+07
3  71  2.19437e+07
3  72  6.46146e+06
3  73  4.10433e+06
3  74  1.35785e+07
3  75  1.39581e+07
3  76  835516
3  77  7.69537e+06
3  78  5.78925e+06
3  79  8.59822e+06
3  80  7.83103e+06
3  81  8.76068e+06
3  82  1.85724e+07
3  83  0
3  84  1.47917e+07
3  85  1.30845e+07
3  86  6.87306e+06
3  87  1.36927e+07
3  88  1.31967e+07
3  89  9.03694e+06
3  90  2.11266e+06
3  91  1.82009e+06
3  92  1.15409e+07
3  93  1.06608e+07
3  94  0
3  95  9.38413e+06
3  96  0
