row  column  (images_2.edf Fe-K*images_2.edf Ar-K**2.3)
0  0  3.90649e+07
0  1  4.46281e+07
0  2  3.26791e+07
0  3  3.35011e+07
0  4  2.94006e+07
0  5  4.051e+07
0  6  3.91138e+07
0  7  4.97863e+07
0  8  8.1028e+07
0  9  4.52338e+07
0  10  4.16556e+07
0  11  5.98796e+07
0  12  3.2835e+07
0  13  3.46598e+07
0  14  3.11054e+07
0  15  3.65794e+07
0  16  3.55801e+07
0  17  2.9249e+07
0  18  5.2891e+07
0  19  5.29212e+07
0  20  2.48828e+07
0  21  3.08268e+07
0  22  5.09534e+07
0  23  3.46489e+07
0  24  4.69176e+07
0  25  3.34797e+07
0  26  2.83198e+07
0  27  2.94464e+07
0  28  2.75055e+07
0  29  3.83892e+07
0  30  3.04587e+07
0  31  3.38829e+07
0  32  3.56265e+07
0  33  2.46044e+07
0  34  2.44496e+07
0  35  2.27104e+07
0  36  1.29976e+07
0  37  0
0  38  0
0  39  0
0  40  0
0  41  0
0  42  0
0  43  0
0  44  0
0  45  2.27372e+07
0  46  7.76648e+07
0  47  1.08866e+08
0  48  1.61433e+08
0  49  1.50536e+08
0  50  1.60208e+08
0  51  9.68449e+07
0  52  1.50363e+08
0  53  2.06802e+08
0  54  2.19574e+08
0  55  1.61453e+08
0  56  2.04131e+08
0  57  2.21508e+08
0  58  2.07411e+08
0  59  1.93114e+08
0  60  2.06897e+08
0  61  1.5778e+08
0  62  1.85157e+08
0  63  1.04319e+08
0  64  1.338e+08
0  65  1.4055e+08
0  66  1.56902e+08
0  67  1.52705e+08
0  68  1.39268e+08
0  69  1.24636e+08
0  70  1.68551e+08
0  71  2.07264e+08
0  72  2.06756e+08
0  73  2.3492e+08
0  74  1.74995e+08
0  75  1.40602e+08
0  76  1.51865e+08
0  77  1.08344e+08
0  78  1.23617e+08
0  79  1.5373e+08
0  80  1.37038e+08
0  81  1.19073e+08
0  82  1.23548e+08
0  83  1.07664e+08
0  84  1.52838e+08
0  85  1.42555e+08
0  86  1.45108e+08
0  87  1.91089e+08
0  88  2.15215e+08
0  89  3.47322e+08
0  90  7.88667e+08
0  91  6.74242e+08
0  92  2.80558e+08
0  93  1.77011e+08
0  94  1.3967e+08
0  95  1.20358e+08
0  96  1.44523e+08
0  97  1.06598e+08
0  98  9.44037e+07
0  99  1.03756e+08
0  100  1.02504e+08
1  0  5.18032e+07
1  1  3.82103e+07
1  2  3.52322e+07
1  3  3.10024e+07
1  4  3.13427e+07
1  5  3.3247e+07
1  6  4.67918e+07
1  7  6.83634e+07
1  8  3.69254e+07
1  9  6.05293e+07
1  10  5.72743e+07
1  11  3.46015e+07
1  12  2.91916e+07
1  13  4.03146e+07
1  14  3.10599e+07
1  15  3.3897e+07
1  16  4.06445e+07
1  17  7.05239e+07
1  18  5.67908e+07
1  19  3.02453e+07
1  20  3.70255e+07
1  21  5.72305e+07
1  22  4.52605e+07
1  23  4.73862e+07
1  24  3.90816e+07
1  25  3.0949e+07
1  26  3.32534e+07
1  27  3.10994e+07
1  28  3.11668e+07
1  29  3.8648e+07
1  30  3.92483e+07
1  31  2.47666e+07
1  32  2.98334e+07
1  33  1.92323e+07
1  34  1.81466e+07
1  35  1.89355e+07
1  36  0
1  37  0
1  38  0
1  39  0
1  40  0
1  41  0
1  42  0
1  43  0
1  44  0
1  45  1.38213e+08
1  46  9.09664e+07
1  47  1.19559e+08
1  48  1.22039e+08
1  49  1.65326e+08
1  50  1.03658e+08
1  51  1.09509e+08
1  52  1.5838e+08
1  53  1.88981e+08
1  54  2.00848e+08
1  55  2.10692e+08
1  56  2.28806e+08
1  57  1.87984e+08
1  58  1.95335e+08
1  59  1.81925e+08
1  60  1.74841e+08
1  61  1.67495e+08
1  62  1.39157e+08
1  63  1.37429e+08
1  64  1.69244e+08
1  65  1.44859e+08
1  66  1.66964e+08
1  67  1.58864e+08
1  68  1.42846e+08
1  69  1.75822e+08
1  70  1.75041e+08
1  71  1.96454e+08
1  72  1.85909e+08
1  73  1.31516e+08
1  74  1.49376e+08
1  75  1.44682e+08
1  76  1.29269e+08
1  77  1.13855e+08
1  78  1.55755e+08
1  79  1.45749e+08
1  80  1.0674e+08
1  81  1.55311e+08
1  82  1.46694e+08
1  83  1.60648e+08
1  84  1.56609e+08
1  85  1.44918e+08
1  86  1.43704e+08
1  87  1.71325e+08
1  88  2.49849e+08
1  89  5.34117e+08
1  90  7.57682e+08
1  91  3.37899e+08
1  92  1.67755e+08
1  93  1.39147e+08
1  94  1.26107e+08
1  95  1.46226e+08
1  96  1.1314e+08
1  97  1.04216e+08
1  98  9.2158e+07
1  99  1.02915e+08
1  100  9.2884e+07
2  0  6.23303e+07
2  1  4.94531e+07
2  2  4.95109e+07
2  3  3.3765e+07
2  4  3.6961e+07
2  5  3.07802e+07
2  6  4.80007e+07
2  7  6.40872e+07
2  8  4.01213e+07
2  9  4.15435e+07
2  10  5.64585e+07
2  11  4.28179e+07
2  12  3.9459e+07
2  13  3.82887e+07
2  14  3.55393e+07
2  15  3.66404e+07
2  16  3.3587e+07
2  17  6.1133e+07
2  18  7.13904e+07
2  19  3.78936e+07
2  20  3.07079e+07
2  21  3.84182e+07
2  22  3.98877e+07
2  23  2.86604e+07
2  24  3.5141e+07
2  25  3.10631e+07
2  26  3.01647e+07
2  27  3.00803e+07
2  28  3.4583e+07
2  29  3.18369e+07
2  30  2.58649e+07
2  31  2.71927e+07
2  32  3.38474e+07
2  33  2.49285e+07
2  34  1.86386e+07
2  35  1.90755e+07
2  36  0
2  37  0
2  38  0
2  39  0
2  40  0
2  41  0
2  42  0
2  43  0
2  44  0
2  45  1.92777e+08
2  46  8.93915e+07
2  47  1.01662e+08
2  48  1.26907e+08
2  49  1.46388e+08
2  50  1.10698e+08
2  51  9.68571e+07
2  52  1.56006e+08
2  53  1.87411e+08
2  54  1.96429e+08
2  55  1.84259e+08
2  56  2.19948e+08
2  57  1.8963e+08
2  58  1.93658e+08
2  59  2.20622e+08
2  60  1.96701e+08
2  61  2.19169e+08
2  62  1.47341e+08
2  63  1.35661e+08
2  64  1.46579e+08
2  65  1.83772e+08
2  66  1.55104e+08
2  67  1.47246e+08
2  68  1.69195e+08
2  69  1.87663e+08
2  70  2.00712e+08
2  71  1.70818e+08
2  72  1.95687e+08
2  73  1.58375e+08
2  74  1.24092e+08
2  75  1.52004e+08
2  76  9.39617e+07
2  77  1.05653e+08
2  78  1.2303e+08
2  79  1.65435e+08
2  80  1.20838e+08
2  81  1.12139e+08
2  82  1.24367e+08
2  83  1.50521e+08
2  84  1.46752e+08
2  85  1.35542e+08
