row  column  (images_4.edf P-K*images_4.edf Ar-K**2.3)
0  0  1.29912e+07
0  1  9.70194e+06
0  2  1.02629e+07
0  3  1.63145e+07
0  4  1.00208e+07
0  5  7.51069e+06
0  6  6.74974e+06
0  7  1.15126e+07
0  8  5.71697e+06
0  9  279077
0  10  3.93997e+06
0  11  6.18859e+06
0  12  8.7163e+06
0  13  4.09125e+06
0  14  2.85176e+06
0  15  1.45695e+06
0  16  0
0  17  0
0  18  2.86868e+06
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  1.27791e+06
0  28  0
0  29  0
0  30  1.37426e+06
0  31  449032
0  32  0
0  33  4.2698e+06
0  34  1.37956e+06
0  35  7318.65
0  36  9.24539e+06
0  37  0
0  38  4.90555e+06
0  39  2.55595e+06
0  40  909188
0  41  173586
0  42  4.34249e+06
0  43  2.75013e+06
0  44  2.65568e+06
0  45  5.58217e+06
0  46  7.96011e+06
0  47  7.9434e+06
0  48  797914
0  49  2.44339e+06
0  50  4.31414e+06
0  51  6.10169e+06
0  52  3.43632e+06
0  53  5.68138e+06
0  54  5.10673e+06
0  55  4.61494e+06
0  56  3.39689e+06
0  57  2.50989e+06
0  58  1.87182e+06
0  59  4.2522e+06
0  60  911032
0  61  1.09526e+06
0  62  4.14328e+06
0  63  1.18996e+07
0  64  3.89353e+06
0  65  5.72527e+06
0  66  4.23677e+06
0  67  0
0  68  472988
0  69  1.66835e+06
0  70  6.57369e+06
0  71  2.87391e+06
0  72  0
0  73  4.57611e+06
0  74  4.95357e+06
0  75  4.98823e+06
0  76  4.47374e+06
0  77  4.86892e+06
0  78  7.36488e+06
0  79  8.04211e+06
0  80  6.19731e+06
0  81  4.9289e+06
0  82  1.57503e+06
0  83  5.98666e+06
0  84  5.12775e+06
0  85  2.26385e+06
0  86  5.95384e+06
0  87  6.4825e+06
0  88  5.6168e+06
0  89  350502
0  90  0
0  91  0
0  92  1.3392e+06
0  93  774633
0  94  1.5536e+06
0  95  0
0  96  0
0  97  714769
0  98  3.90233e+06
0  99  5.14338e+06
0  100  8.44143e+06
1  0  9.40407e+06
1  1  9.52414e+06
1  2  1.04939e+07
1  3  9.91935e+06
1  4  7.20829e+06
1  5  3.11657e+06
1  6  7.22995e+06
1  7  8.3123e+06
1  8  817769
1  9  2.13159e+06
1  10  8.08282e+06
1  11  4.21334e+06
1  12  5.79735e+06
1  13  4.67735e+06
1  14  4.96048e+06
1  15  4.1381e+06
1  16  1.4479e+06
1  17  3.25306e+06
1  18  4.44529e+06
1  19  1.63175e+06
1  20  0
1  21  2.34641e+06
1  22  0
1  23  0
1  24  0
1  25  2.86719e+06
1  26  0
1  27  0
1  28  0
1  29  0
1  30  1.59679e+06
1  31  2.04178e+06
1  32  0
1  33  429848
1  34  2.16271e+06
1  35  1.56932e+06
1  36  251272
1  37  3.731e+06
1  38  1.36044e+06
1  39  2.6854e+06
1  40  1.78201e+06
1  41  7.50666e+06
1  42  3.78193e+06
1  43  1.80999e+06
1  44  3.15884e+06
1  45  4.29016e+06
1  46  1.84845e+06
1  47  1.20191e+06
1  48  6.45717e+06
1  49  482061
1  50  0
1  51  3.45203e+06
1  52  2.06399e+06
1  53  0
1  54  1.43069e+06
1  55  2.64233e+06
1  56  1.57932e+06
1  57  3.09301e+06
1  58  4.34198e+06
1  59  3.78611e+06
1  60  7.01092e+06
1  61  1.2332e+06
1  62  3.31068e+06
1  63  4.67206e+06
1  64  7.64074e+06
1  65  6.17319e+06
1  66  547664
1  67  1.05051e+07
1  68  3.09818e+06
1  69  3.68077e+06
1  70  2.1151e+06
1  71  0
1  72  361478
1  73  1.45111e+06
1  74  4.88843e+06
1  75  3.78633e+06
1  76  4.54483e+06
1  77  4.00728e+06
1  78  2.19903e+06
1  79  5.19752e+06
1  80  6.5435e+06
1  81  0
1  82  3.39773e+06
1  83  5.66728e+06
1  84  5.74563e+06
1  85  4.79724e+06
1  86  7.98693e+06
1  87  4.10282e+06
1  88  6.27435e+06
1  89  5.32734e+06
1  90  5.64138e+06
1  91  5.02159e+06
1  92  0
1  93  1.43862e+06
1  94  0
1  95  4.7154e+06
1  96  2.56011e+06
1  97  5.3266e+06
1  98  7.8427e+06
1  99  3.07914e+06
1  100  5.51805e+06
2  0  8.45248e+06
2  1  1.92959e+07
2  2  1.07938e+07
2  3  2.36904e+06
2  4  7.81017e+06
2  5  5.45568e+06
2  6  6.56475e+06
2  7  7.02119e+06
2  8  1.03095e+07
2  9  5.0115e+06
2  10  5.18295e+06
2  11  1.04664e+06
2  12  6.31458e+06
2  13  6.78528e+06
2  14  5.22002e+06
2  15  3.27724e+06
2  16  0
2  17  0
2  18  0
2  19  2.33803e+06
2  20  267870
2  21  517276
2  22  0
2  23  0
2  24  446260
2  25  555010
2  26  0
2  27  0
2  28  0
2  29  0
2  30  0
2  31  0
2  32  4.01538e+06
2  33  0
2  34  2.6892e+06
2  35  3.59431e+06
2  36  706883
2  37  703373
2  38  1.05873e+06
2  39  3.0817e+06
2  40  1.04301e+06
2  41  11024.9
2  42  1.76292e+06
2  43  1.9602e+06
2  44  3.29025e+06
2  45  3.12993e+06
2  46  5.75899e+06
2  47  1.85448e+06
2  48  162271
2  49  1.06643e+06
2  50  2.96175e+06
2  51  995595
2  52  3.7604e+06
2  53  2.7637e+06
2  54  797803
2  55  0
2  56  0
2  57  514030
2  58  2.19989e+06
2  59  4.24247e+06
2  60  5.11269e+06
2  61  5.28743e+06
2  62  2.42535e+06
2  63  4.31774e+06
2  64  3.25271e+06
2  65  1.75204e+06
2  66  6.68428e+06
2  67  3.90907e+06
2  68  2.75916e+06
2  69  6.28926e+06
