row  column  (images_4.edf Zn-K*images_4.edf Ar-K**2.3)
0  0  8.09248e+07
0  1  6.22371e+07
0  2  6.65625e+07
0  3  6.30037e+07
0  4  7.06331e+07
0  5  4.19379e+07
0  6  3.47498e+07
0  7  4.02286e+07
0  8  6.28363e+07
0  9  4.3362e+07
0  10  4.61003e+07
0  11  4.83008e+07
0  12  4.01535e+07
0  13  3.45399e+07
0  14  4.24093e+07
0  15  3.63527e+07
0  16  2.32414e+07
0  17  2.3934e+07
0  18  5.00039e+07
0  19  5.39935e+07
0  20  5.10927e+07
0  21  3.39897e+07
0  22  1.11386e+07
0  23  3.29752e+07
0  24  5.99792e+07
0  25  4.8996e+07
0  26  5.12595e+07
0  27  4.43514e+07
0  28  5.00645e+07
0  29  4.07069e+07
0  30  4.05369e+07
0  31  4.55332e+07
0  32  4.79468e+07
0  33  4.81932e+07
0  34  4.06834e+07
0  35  5.06582e+07
0  36  3.54445e+07
0  37  4.01915e+07
0  38  4.68324e+07
0  39  4.34884e+07
0  40  4.99335e+07
0  41  7.07357e+07
0  42  5.68532e+07
0  43  3.44224e+07
0  44  5.35707e+07
0  45  5.49891e+07
0  46  4.08082e+07
0  47  3.84346e+07
0  48  4.18407e+07
0  49  6.41914e+07
0  50  5.58505e+07
0  51  3.57579e+07
0  52  4.81044e+07
0  53  5.62306e+07
0  54  2.07772e+07
0  55  7.26057e+07
0  56  6.78853e+07
0  57  4.84268e+07
0  58  2.82527e+07
0  59  4.13308e+07
0  60  4.66556e+07
0  61  5.59991e+07
0  62  3.52415e+07
0  63  7.44861e+07
0  64  4.54935e+07
0  65  4.26383e+07
0  66  5.45258e+07
0  67  4.21545e+07
0  68  4.7902e+07
0  69  7.53404e+07
0  70  5.09136e+07
0  71  5.25366e+07
0  72  3.99634e+07
0  73  4.54843e+07
0  74  1.37621e+07
0  75  3.3639e+07
0  76  4.1682e+07
0  77  4.18377e+07
0  78  3.61915e+07
0  79  1.66858e+07
0  80  3.09575e+07
0  81  4.3956e+07
0  82  4.39984e+07
0  83  4.71528e+07
0  84  3.63367e+07
0  85  5.00821e+07
0  86  5.07111e+07
0  87  5.35936e+07
0  88  7.76799e+07
0  89  5.25997e+07
0  90  5.33378e+07
0  91  6.14387e+07
0  92  5.27825e+07
0  93  4.81802e+07
0  94  8.43374e+07
0  95  5.87169e+07
0  96  7.43162e+07
0  97  5.25045e+07
0  98  4.70739e+07
0  99  4.10746e+07
0  100  5.52038e+07
1  0  5.75209e+07
1  1  6.02823e+07
1  2  6.50576e+07
1  3  7.50976e+07
1  4  6.74023e+07
1  5  2.79362e+07
1  6  5.08068e+07
1  7  5.22648e+07
1  8  7.17935e+07
1  9  4.46619e+07
1  10  5.57547e+07
1  11  4.64353e+07
1  12  5.63473e+07
1  13  4.0063e+07
1  14  3.42372e+07
1  15  3.90448e+07
1  16  3.684e+07
1  17  7.35246e+07
1  18  6.40473e+07
1  19  4.41367e+07
1  20  3.55633e+07
1  21  4.13599e+07
1  22  3.97012e+07
1  23  3.70646e+07
1  24  3.9176e+07
1  25  4.62564e+07
1  26  3.87085e+07
1  27  3.43694e+07
1  28  4.60585e+07
1  29  5.40069e+07
1  30  3.06114e+07
1  31  6.01965e+07
1  32  5.36917e+07
1  33  4.14789e+07
1  34  3.385e+07
1  35  3.55881e+07
1  36  3.00853e+07
1  37  3.52912e+07
1  38  6.76446e+07
1  39  4.2729e+07
1  40  4.09206e+07
1  41  5.87241e+07
1  42  5.93961e+07
1  43  5.45408e+07
1  44  4.07154e+07
1  45  5.56304e+07
1  46  4.24522e+07
1  47  4.74309e+07
1  48  6.58197e+07
1  49  2.95293e+07
1  50  3.87813e+07
1  51  3.93123e+07
1  52  5.31939e+07
1  53  5.90084e+07
1  54  6.37852e+07
1  55  4.97896e+07
1  56  4.79612e+07
1  57  5.6467e+07
1  58  6.05798e+07
1  59  5.06975e+07
1  60  4.79724e+07
1  61  4.19893e+07
1  62  5.54113e+07
1  63  5.48258e+07
1  64  4.33358e+07
1  65  5.966e+07
1  66  5.0676e+07
1  67  6.94216e+07
1  68  4.26006e+07
1  69  5.05475e+07
1  70  4.37259e+07
1  71  3.50771e+07
1  72  3.7103e+07
1  73  1.84563e+07
1  74  4.54809e+07
1  75  3.28104e+07
1  76  3.46186e+07
1  77  2.65286e+07
1  78  4.19428e+07
1  79  3.9686e+07
1  80  4.06136e+07
1  81  4.27992e+07
1  82  4.96045e+07
1  83  4.61064e+07
1  84  5.05861e+07
1  85  4.8034e+07
1  86  5.77888e+07
1  87  3.87324e+07
1  88  4.58215e+07
1  89  5.15724e+07
1  90  5.62552e+07
1  91  4.90154e+07
1  92  5.93305e+07
1  93  4.91355e+07
1  94  5.56465e+07
1  95  6.16119e+07
1  96  6.53629e+07
1  97  4.7975e+07
1  98  4.95865e+07
1  99  4.63751e+07
1  100  3.79307e+07
2  0  4.6596e+07
2  1  6.82517e+07
2  2  5.38286e+07
2  3  5.51155e+07
2  4  5.10986e+07
2  5  3.95009e+07
2  6  2.49008e+07
2  7  5.27915e+07
2  8  6.28534e+07
2  9  5.1019e+07
2  10  3.97978e+07
2  11  4.76972e+07
2  12  4.76898e+07
2  13  2.98806e+07
2  14  4.07916e+07
2  15  4.41008e+07
2  16  2.74385e+07
2  17  6.65862e+07
2  18  6.76381e+07
2  19  5.43866e+07
2  20  4.23685e+07
2  21  3.55751e+07
2  22  6.21425e+07
2  23  3.07914e+07
