row  column  (images_6a.edf Ca-K*images_6a.edf Ar-K**2.3)
0  0  6.71099e+08
0  1  6.89154e+08
0  2  7.14187e+08
0  3  7.06554e+08
0  4  7.3973e+08
0  5  8.24361e+08
0  6  9.39565e+08
0  7  9.91715e+08
0  8  9.27008e+08
0  9  8.7833e+08
0  10  8.73165e+08
0  11  8.62401e+08
0  12  9.5243e+08
0  13  1.00755e+09
0  14  1.01804e+09
0  15  9.44379e+08
0  16  1.06679e+09
0  17  9.50873e+08
0  18  8.58242e+08
0  19  7.9853e+08
0  20  7.14219e+08
0  21  8.07156e+08
0  22  7.51899e+08
0  23  6.87865e+08
0  24  7.13381e+08
0  25  8.09706e+08
0  26  7.76352e+08
0  27  8.80066e+08
0  28  8.35366e+08
0  29  7.59459e+08
0  30  8.03886e+08
0  31  8.30843e+08
0  32  7.3232e+08
0  33  7.33925e+08
0  34  7.53988e+08
0  35  7.42933e+08
0  36  7.38135e+08
0  37  8.41563e+08
0  38  9.34757e+08
0  39  1.0491e+09
0  40  9.01993e+08
0  41  7.70385e+08
0  42  6.18336e+08
0  43  5.7834e+08
0  44  4.78307e+08
0  45  4.53193e+08
0  46  4.52889e+08
0  47  5.25352e+08
0  48  5.34374e+08
0  49  5.36241e+08
0  50  5.90592e+08
0  51  6.18533e+08
0  52  6.50063e+08
0  53  6.49432e+08
0  54  7.31973e+08
0  55  7.50831e+08
0  56  7.36956e+08
0  57  5.84501e+08
0  58  6.43254e+08
0  59  5.89873e+08
0  60  6.34316e+08
0  61  6.00163e+08
0  62  4.90712e+08
0  63  4.65673e+08
0  64  4.94785e+08
0  65  4.31306e+08
0  66  3.80213e+08
0  67  3.9539e+08
0  68  3.92775e+08
0  69  2.95934e+08
0  70  3.16438e+08
0  71  2.86851e+08
0  72  2.67264e+08
0  73  2.68314e+08
0  74  2.49518e+08
0  75  2.77203e+08
0  76  2.49739e+08
0  77  2.4518e+08
0  78  1.92567e+08
0  79  1.9518e+08
0  80  1.85166e+08
0  81  1.76442e+08
0  82  1.41601e+08
0  83  1.61665e+08
0  84  1.40898e+08
0  85  1.45431e+08
0  86  1.11253e+08
0  87  1.3772e+08
0  88  1.39981e+08
0  89  1.15465e+08
0  90  1.14198e+08
0  91  1.1584e+08
0  92  1.07006e+08
0  93  1.17527e+08
0  94  1.27911e+08
0  95  9.15665e+07
0  96  1.06267e+08
0  97  1.1304e+08
0  98  1.03632e+08
0  99  1.51779e+08
0  100  2.07647e+08
1  0  7.76668e+08
1  1  8.06354e+08
1  2  7.62747e+08
1  3  7.92615e+08
1  4  7.95408e+08
1  5  9.70602e+08
1  6  9.59132e+08
1  7  8.97667e+08
1  8  8.37009e+08
1  9  9.11066e+08
1  10  9.27258e+08
1  11  1.08476e+09
1  12  9.97973e+08
1  13  9.58345e+08
1  14  1.03517e+09
1  15  1.06684e+09
1  16  1.01339e+09
1  17  9.07342e+08
1  18  8.42179e+08
1  19  8.12987e+08
1  20  7.38052e+08
1  21  7.78527e+08
1  22  8.03995e+08
1  23  8.33831e+08
1  24  7.87203e+08
1  25  7.49752e+08
1  26  8.81275e+08
1  27  8.79658e+08
1  28  9.24636e+08
1  29  8.48607e+08
1  30  8.34449e+08
1  31  9.02418e+08
1  32  8.27437e+08
1  33  7.90418e+08
1  34  7.76908e+08
1  35  8.05998e+08
1  36  1.04057e+09
1  37  1.04499e+09
1  38  1.19009e+09
1  39  9.94623e+08
1  40  7.99318e+08
1  41  6.68939e+08
1  42  6.8979e+08
1  43  6.149e+08
1  44  4.89701e+08
1  45  4.52344e+08
1  46  5.59316e+08
1  47  5.31712e+08
1  48  7.19192e+08
1  49  6.57056e+08
1  50  6.41822e+08
1  51  6.78628e+08
1  52  6.52318e+08
1  53  7.54989e+08
1  54  7.68709e+08
1  55  8.34256e+08
1  56  7.53837e+08
1  57  6.83895e+08
1  58  7.06212e+08
1  59  7.51198e+08
1  60  7.70108e+08
1  61  6.41647e+08
1  62  5.86707e+08
1  63  4.97445e+08
1  64  5.20603e+08
1  65  4.31801e+08
1  66  3.90727e+08
1  67  3.69432e+08
1  68  3.79051e+08
1  69  3.56497e+08
1  70  2.70568e+08
1  71  3.02454e+08
1  72  2.72343e+08
1  73  2.53374e+08
1  74  3.13026e+08
1  75  2.65664e+08
1  76  2.66566e+08
1  77  2.39962e+08
1  78  2.30131e+08
1  79  1.87952e+08
1  80  1.87225e+08
1  81  1.53513e+08
1  82  1.49431e+08
1  83  1.29074e+08
1  84  1.17634e+08
1  85  1.63416e+08
1  86  1.34718e+08
1  87  1.2868e+08
1  88  1.24611e+08
1  89  1.25692e+08
1  90  9.03022e+07
1  91  1.15755e+08
1  92  1.26784e+08
1  93  1.20421e+08
1  94  1.03268e+08
1  95  9.99409e+07
1  96  1.10496e+08
1  97  8.05028e+07
1  98  1.48237e+08
1  99  2.35605e+08
1  100  1.45914e+08
2  0  8.62071e+08
2  1  8.17697e+08
2  2  8.22111e+08
2  3  8.35326e+08
2  4  9.3734e+08
2  5  1.02748e+09
2  6  9.28882e+08
2  7  1.00392e+09
2  8  8.96487e+08
2  9  9.65981e+08
2  10  9.74177e+08
2  11  1.01983e+09
2  12  1.05531e+09
2  13  1.04032e+09
2  14  1.11297e+09
2  15  1.04248e+09
2  16  9.6228e+08
2  17  1.00767e+09
2  18  8.99153e+08
2  19  9.1262e+08
2  20  8.51854e+08
2  21  7.84081e+08
2  22  8.05348e+08
2  23  8.29029e+08
2  24  8.74294e+08
2  25  8.30743e+08
2  26  8.16325e+08
2  27  8.90192e+08
2  28  8.76222e+08
2  29  9.26025e+08
2  30  9.13235e+08
2  31  9.46478e+08
2  32  8.25481e+08
2  33  8.97413e+08
2  34  9.5822e+08
2  35  9.25717e+08
2  36  9.91727e+08
2  37  1.10287e+09
2  38  1.21171e+09
2  39  1.0612e+09
2  40  8.76099e+08
2  41  7.34624e+08
2  42  6.40347e+08
2  43  5.35242e+08
2  44  5.31735e+08
2  45  5.22667e+08
2  46  5.47075e+08
2  47  6.49195e+08
2  48  6.81663e+08
2  49  7.59379e+08
2  50  7.29005e+08
2  51  7.90476e+08
2  52  7.43321e+08
2  53  7.98078e+08
2  54  8.79762e+08
2  55  9.21643e+08
2  56  7.66538e+08
2  57  7.57125e+08
2  58  7.37134e+08
2  59  7.45603e+08
2  60  8.16994e+08
2  61  6.9751e+08
2  62  6.86439e+08
2  63  5.47708e+08
2  64  5.05749e+08
2  65  4.44377e+08
2  66  4.26783e+08
2  67  4.05932e+08
2  68  3.87255e+08
2  69  3.54157e+08
2  70  3.5197e+08
2  71  2.96374e+08
2  72  3.53993e+08
2  73  2.82093e+08
2  74  3.02597e+08
2  75  2.81718e+08
2  76  2.59348e+08
2  77  2.57833e+08
2  78  2.16839e+08
2  79  2.06459e+08
2  80  1.70994e+08
2  81  1.48995e+08
2  82  1.47487e+08
2  83  1.66899e+08
2  84  1.30723e+08
2  85  1.00057e+08
2  86  1.33794e+08
2  87  1.26179e+08
2  88  1.31856e+08
2  89  1.31882e+08
2  90  9.60633e+07
2  91  1.0172e+08
2  92  1.01592e+08
2  93  9.73511e+07
2  94  1.17832e+08
2  95  1.02337e+08
2  96  1.10857e+08
2  97  1.12324e+08
2  98  1.50137e+08
2  99  3.00542e+08
2  100  1.43468e+08
3  0  8.78051e+08
3  1  8.69614e+08
3  2  8.76796e+08
3  3  9.46228e+08
3  4  8.84592e+08
3  5  9.43928e+08
3  6  1.01108e+09
3  7  1.01451e+09
3  8  1.08993e+09
3  9  1.01642e+09
3  10  1.00124e+09
3  11  1.00513e+09
3  12  1.12425e+09
3  13  1.13699e+09
3  14  1.1237e+09
3  15  1.07586e+09
3  16  1.05708e+09
3  17  1.013e+09
3  18  9.42193e+08
3  19  9.66338e+08
3  20  9.58662e+08
3  21  7.49383e+08
3  22  8.25162e+08
3  23  8.44127e+08
3  24  8.63383e+08
3  25  8.87505e+08
3  26  9.69481e+08
3  27  9.8991e+08
3  28  9.51539e+08
3  29  1.04871e+09
3  30  9.87859e+08
3  31  9.48478e+08
3  32  9.0454e+08
3  33  9.49778e+08
3  34  9.66009e+08
3  35  1.06165e+09
3  36  1.17877e+09
3  37  1.19585e+09
3  38  1.25342e+09
3  39  1.18241e+09
3  40  9.42559e+08
3  41  7.31221e+08
3  42  6.69135e+08
3  43  6.02905e+08
3  44  5.78144e+08
3  45  5.91278e+08
3  46  5.5757e+08
3  47  6.66778e+08
3  48  7.25312e+08
3  49  8.32216e+08
3  50  7.65278e+08
3  51  7.78757e+08
3  52  9.43878e+08
3  53  9.50469e+08
3  54  9.4462e+08
3  55  9.04203e+08
3  56  9.19869e+08
3  57  8.49097e+08
3  58  8.19025e+08
3  59  8.53043e+08
3  60  9.09351e+08
3  61  7.49896e+08
