row  column  (images_6a.edf Cu-K*images_6a.edf Ar-K**2.3)
0  0  2.16215e+07
0  1  1.91593e+07
0  2  6.25214e+06
0  3  7.09001e+06
0  4  2.10715e+07
0  5  9.21804e+06
0  6  1.19931e+07
0  7  1.9339e+07
0  8  4.77523e+06
0  9  2.67488e+07
0  10  1.42855e+07
0  11  0
0  12  2.26976e+07
0  13  873830
0  14  5.34545e+06
0  15  0
0  16  7.72015e+06
0  17  1.91685e+06
0  18  1.93548e+07
0  19  1.70175e+07
0  20  4.08442e+06
0  21  2.42464e+07
0  22  4.48925e+06
0  23  0
0  24  1.41048e+07
0  25  0
0  26  5.29807e+06
0  27  6.57981e+06
0  28  7.10772e+06
0  29  1.97142e+07
0  30  6.31213e+06
0  31  1.90518e+06
0  32  3.44536e+06
0  33  2.38247e+06
0  34  1.03479e+07
0  35  2.32452e+07
0  36  0
0  37  1.40096e+07
0  38  1.47673e+07
0  39  3.27334e+06
0  40  0
0  41  1.92293e+07
0  42  4.16304e+06
0  43  1.75731e+07
0  44  6.51211e+06
0  45  5.38248e+06
0  46  2.23624e+07
0  47  2.43319e+07
0  48  0
0  49  4.39535e+06
0  50  0
0  51  4.09138e+06
0  52  819960
0  53  1.57011e+07
0  54  3.90027e+06
0  55  0
0  56  5.06912e+06
0  57  2.59013e+06
0  58  7.12303e+06
0  59  7.36283e+06
0  60  2.18831e+07
0  61  0
0  62  1.4887e+07
0  63  0
0  64  0
0  65  2.02045e+07
0  66  4.64182e+06
0  67  7.22449e+06
0  68  5.57946e+06
0  69  1.60247e+07
0  70  1.5536e+07
0  71  6.41958e+06
0  72  1.31313e+07
0  73  0
0  74  999508
0  75  2.63195e+07
0  76  7.70987e+06
0  77  2.31446e+06
0  78  1.49387e+07
0  79  0
0  80  1.08517e+07
0  81  4.46953e+06
0  82  4.60799e+06
0  83  2.23133e+07
0  84  0
0  85  2.31789e+06
0  86  2.37555e+07
0  87  1.22608e+07
0  88  6.15284e+06
0  89  9.88397e+06
0  90  2.15018e+07
0  91  3.28775e+06
0  92  0
0  93  2.18406e+07
0  94  1.03471e+07
0  95  9.09345e+06
0  96  0
0  97  0
0  98  3.2649e+06
0  99  0
0  100  2.68524e+07
1  0  1.80899e+06
1  1  5.58016e+06
1  2  4.28988e+06
1  3  6.18934e+06
1  4  3.45351e+06
1  5  1.2195e+07
1  6  1.12948e+07
1  7  2.59879e+07
1  8  7.45167e+06
1  9  2.53898e+06
1  10  2.13712e+07
1  11  2.42675e+07
1  12  7.31844e+06
1  13  1.98947e+07
1  14  0
1  15  2.5673e+07
1  16  0
1  17  2.05351e+07
1  18  0
1  19  2.64188e+07
1  20  0
1  21  1.17021e+06
1  22  0
1  23  691609
1  24  1.9919e+07
1  25  7.8552e+06
1  26  6.42402e+06
1  27  1.32034e+07
1  28  0
1  29  5.39812e+06
1  30  8.6745e+06
1  31  2.81159e+07
1  32  8.5824e+06
1  33  3.10745e+06
1  34  4.29247e+06
1  35  7.59596e+06
1  36  1.75866e+07
1  37  6.01793e+06
1  38  1.75255e+06
1  39  1.21183e+07
1  40  1.76045e+07
1  41  2.21393e+07
1  42  8.19228e+06
1  43  9.61564e+06
1  44  0
1  45  1.6604e+06
1  46  8.89687e+06
1  47  6.38348e+06
1  48  1.73971e+07
1  49  1.98459e+06
1  50  2.10143e+07
1  51  1.39043e+07
1  52  0
1  53  1.08904e+07
1  54  3.70527e+06
1  55  1.29713e+07
1  56  0
1  57  7.17453e+06
1  58  7.31445e+06
1  59  2.28468e+06
1  60  0
1  61  7.75807e+06
1  62  3.20408e+07
1  63  3.72712e+07
1  64  1.97993e+07
1  65  2.45738e+07
1  66  2.71045e+06
1  67  4.26275e+06
1  68  6.87508e+06
1  69  6.95222e+06
1  70  0
1  71  0
1  72  6.67475e+06
1  73  1.55769e+06
1  74  1.18387e+07
1  75  7.23171e+06
1  76  0
1  77  4.92078e+06
1  78  0
1  79  1.67654e+06
1  80  1.61462e+07
1  81  1.22946e+07
1  82  1.36688e+07
1  83  4.35339e+06
1  84  0
1  85  2.07402e+07
1  86  4.72443e+06
1  87  1.13304e+06
1  88  0
1  89  5.66795e+06
1  90  0
1  91  0
1  92  4.86988e+06
1  93  2.12884e+07
1  94  9.48859e+06
1  95  0
1  96  0
1  97  1.34791e+07
1  98  1.45226e+06
1  99  0
1  100  2.56824e+06
2  0  1.81813e+07
2  1  1.49987e+06
2  2  1.29824e+07
2  3  3.19229e+06
2  4  4.02052e+06
2  5  490524
2  6  2.06879e+07
2  7  0
2  8  2.81033e+06
2  9  4.79439e+06
2  10  2.94501e+07
2  11  2.11392e+07
2  12  1.97239e+06
2  13  0
2  14  0
2  15  1.25228e+07
2  16  0
2  17  1.85837e+06
2  18  2.0522e+07
2  19  6.49298e+06
2  20  5.77514e+06
2  21  287474
2  22  6.46287e+06
2  23  8.37422e+06
2  24  3.95588e+06
2  25  2.02637e+07
2  26  1.68668e+06
2  27  8.68346e+06
2  28  2.34202e+07
2  29  0
2  30  1.80987e+07
2  31  3.53119e+06
2  32  1.54492e+07
2  33  2.16278e+07
2  34  0
2  35  4.67357e+06
2  36  1.65698e+07
2  37  8.75168e+06
2  38  2.06835e+07
2  39  1.36815e+07
2  40  0
2  41  0
2  42  1.47494e+07
2  43  384804
2  44  1.23828e+07
2  45  2.68125e+07
2  46  8.81463e+06
2  47  1.73458e+07
2  48  1.61208e+06
2  49  1.43127e+06
2  50  1.91669e+07
2  51  2.13332e+07
2  52  1.39567e+07
2  53  6.3887e+06
2  54  0
2  55  8.83903e+06
2  56  4.62253e+06
2  57  1.39449e+06
2  58  0
2  59  1.13459e+07
2  60  1.68711e+07
2  61  4.97786e+06
2  62  5.18038e+06
2  63  2.24952e+07
2  64  2.41529e+07
2  65  3.13052e+06
2  66  889594
2  67  1.90349e+07
2  68  4.90392e+06
2  69  6.5152e+06
2  70  0
2  71  9.52161e+06
2  72  2.29861e+07
2  73  1.13711e+07
2  74  6.03261e+06
2  75  1.82549e+06
2  76  9.37856e+06
2  77  1.14206e+06
2  78  1.30473e+07
2  79  1.37628e+07
2  80  8.5936e+06
2  81  6.12063e+06
2  82  1.53087e+07
2  83  1.24722e+07
2  84  1.0462e+07
2  85  0
2  86  1.34138e+06
2  87  0
2  88  0
2  89  8.44502e+06
2  90  0
2  91  2.45615e+06
2  92  0
2  93  4.78015e+06
2  94  2.19473e+07
2  95  0
2  96  9.89008e+06
2  97  1.0269e+07
2  98  0
2  99  4.46372e+07
2  100  7.55505e+06
3  0  2.28194e+07
3  1  1.3862e+07
3  2  2.3114e+06
3  3  3.71588e+06
3  4  1.18833e+07
3  5  3.22642e+07
3  6  5.80028e+06
3  7  0
3  8  1.17418e+07
3  9  1.03327e+07
3  10  2.49664e+06
3  11  3.61999e+06
3  12  0
3  13  2.04578e+06
3  14  4.44125e+06
3  15  1.095e+06
3  16  0
3  17  0
3  18  4.71764e+06
3  19  1.48902e+07
3  20  1.8355e+07
