row  column  (images_6a.edf Fe-K*images_6a.edf Ar-K**2.3)
0  0  4.80987e+07
0  1  6.98212e+07
0  2  5.71676e+07
0  3  6.66088e+07
0  4  7.7079e+07
0  5  7.52874e+07
0  6  9.99721e+07
0  7  9.62234e+07
0  8  9.27798e+07
0  9  7.50059e+07
0  10  8.72483e+07
0  11  7.55925e+07
0  12  8.63666e+07
0  13  8.46262e+07
0  14  8.88106e+07
0  15  6.19652e+07
0  16  1.13184e+08
0  17  1.01439e+08
0  18  9.1863e+07
0  19  6.44216e+07
0  20  7.17032e+07
0  21  5.53095e+07
0  22  6.70825e+07
0  23  7.69231e+07
0  24  6.78865e+07
0  25  6.5338e+07
0  26  6.23297e+07
0  27  9.44167e+07
0  28  6.95545e+07
0  29  8.25212e+07
0  30  6.32922e+07
0  31  6.85496e+07
0  32  6.97273e+07
0  33  5.75741e+07
0  34  7.89439e+07
0  35  1.06064e+08
0  36  9.25729e+07
0  37  8.652e+07
0  38  5.40594e+07
0  39  9.27612e+07
0  40  8.20113e+07
0  41  5.61581e+07
0  42  4.21403e+07
0  43  6.67449e+07
0  44  8.37924e+07
0  45  4.98387e+07
0  46  3.17226e+07
0  47  5.5863e+07
0  48  5.72804e+07
0  49  7.16559e+07
0  50  6.9142e+07
0  51  6.13835e+07
0  52  6.22493e+07
0  53  7.05231e+07
0  54  1.15265e+08
0  55  1.00753e+08
0  56  1.01559e+08
0  57  7.50816e+07
0  58  7.02497e+07
0  59  7.53602e+07
0  60  9.94337e+07
0  61  1.24243e+08
0  62  3.12818e+07
0  63  7.49212e+07
0  64  6.09932e+07
0  65  5.97809e+07
0  66  6.12986e+07
0  67  5.79328e+07
0  68  5.27385e+07
0  69  5.54141e+07
0  70  2.49066e+07
0  71  5.54323e+06
0  72  3.80055e+07
0  73  5.26786e+07
0  74  7.82544e+07
0  75  9.80524e+07
0  76  6.12112e+07
0  77  1.98918e+07
0  78  3.84125e+07
0  79  1.79028e+07
0  80  3.38493e+07
0  81  2.1173e+07
0  82  3.475e+07
0  83  1.95808e+07
0  84  0
0  85  1.5568e+07
0  86  4.1531e+07
0  87  2.55179e+07
