row  column  (images_6a.edf K-K*images_6a.edf Ar-K**2.3)
0  0  0
0  1  1.36117e+07
0  2  2.68804e+06
0  3  7.83758e+06
0  4  1.5739e+06
0  5  0
0  6  1.50317e+07
0  7  1.03418e+07
0  8  1.64571e+07
0  9  5.37761e+06
0  10  1.05256e+07
0  11  1.12682e+07
0  12  0
0  13  0
0  14  1.00653e+07
0  15  1.07056e+07
0  16  0
0  17  2.07549e+06
0  18  8.84234e+06
0  19  5.48014e+06
0  20  1.05627e+07
0  21  1.63537e+07
0  22  1.43661e+07
0  23  1.04225e+07
0  24  7.87747e+06
0  25  9.49965e+06
0  26  1.10276e+07
0  27  1.12944e+07
0  28  9.3415e+06
0  29  0
0  30  6.18079e+06
0  31  8.3536e+06
0  32  6.81472e+06
0  33  1.47326e+07
0  34  2.62447e+07
0  35  0
0  36  1.89938e+07
0  37  1.91292e+07
0  38  6.55777e+06
0  39  0
0  40  1.08554e+06
0  41  2.42327e+07
0  42  2.04071e+07
0  43  8.24071e+06
0  44  9.31178e+06
0  45  1.10384e+07
0  46  2.24505e+07
0  47  2.16619e+07
0  48  1.61221e+07
0  49  5.05563e+06
0  50  1.90142e+07
0  51  0
0  52  1.52454e+07
0  53  7.35088e+06
0  54  1.57164e+07
0  55  1.62582e+07
0  56  4.60125e+06
0  57  8.76759e+06
0  58  1.39442e+07
0  59  146133
0  60  1.50522e+07
0  61  1.12153e+07
0  62  9.17806e+06
0  63  3.60801e+06
0  64  1.08028e+07
0  65  1.07651e+07
0  66  1.48505e+07
0  67  1.96728e+07
0  68  8.61499e+06
0  69  1.94397e+07
0  70  1.43398e+07
0  71  1.43466e+07
0  72  1.18452e+07
0  73  2.22615e+07
0  74  1.0983e+07
0  75  3.00513e+07
0  76  2.89508e+07
0  77  2.65973e+07
0  78  9.70331e+06
0  79  8.30054e+06
0  80  2.76937e+07
0  81  1.12666e+07
0  82  2.30772e+07
0  83  2.44253e+07
0  84  6.68187e+06
0  85  3.43675e+06
0  86  833709
0  87  9.82969e+06
0  88  1.27181e+07
0  89  2.23854e+06
0  90  2.59517e+06
0  91  1.88148e+07
0  92  9.19347e+06
0  93  2.18839e+07
0  94  2.26506e+07
0  95  6.47279e+06
0  96  1.10496e+07
0  97  2.00099e+07
0  98  5.93847e+06
0  99  3.20062e+07
0  100  1.89736e+07
1  0  3.50654e+06
1  1  7.86193e+06
1  2  4.14615e+06
1  3  3.36382e+06
1  4  8.95479e+06
1  5  2.32082e+06
1  6  1.55913e+06
1  7  0
1  8  3.1021e+06
1  9  6.8636e+06
1  10  1.98703e+06
1  11  0
1  12  1.43987e+07
1  13  7.9208e+06
1  14  4.19544e+06
1  15  4.31351e+06
1  16  1.31573e+07
1  17  8.73462e+06
1  18  1.46042e+07
1  19  2.88272e+07
1  20  1.00101e+07
1  21  1.44838e+07
1  22  1.75367e+07
1  23  1.00947e+07
1  24  1.02202e+07
1  25  0
1  26  0
1  27  0
1  28  6.08463e+06
1  29  1.10522e+07
1  30  7.28724e+06
1  31  8.15095e+06
1  32  1.21782e+07
1  33  5.49298e+06
1  34  2.03891e+07
1  35  6.22556e+06
1  36  0
1  37  0
1  38  1.64293e+07
1  39  1.04937e+07
1  40  3.79441e+06
1  41  1.66475e+07
1  42  7.22886e+06
1  43  1.63056e+07
1  44  1.78207e+07
1  45  1.70317e+07
1  46  1.95768e+07
1  47  1.17244e+06
1  48  1.00468e+07
1  49  7.64286e+06
1  50  1.42997e+07
1  51  9.38936e+06
1  52  805112
1  53  1.35278e+07
1  54  1.19427e+07
1  55  0
1  56  1.18777e+07
1  57  6.33711e+06
1  58  2.7117e+06
1  59  2.87908e+07
1  60  1.24544e+07
1  61  6.73724e+06
1  62  3.20975e+06
1  63  9.04746e+06
1  64  1.3643e+07
1  65  8.98884e+06
1  66  1.6493e+07
1  67  1.33337e+07
1  68  0
1  69  1.62624e+07
1  70  8.49283e+06
1  71  1.85347e+07
1  72  1.65787e+07
1  73  1.77961e+07
1  74  3.60265e+07
1  75  1.73984e+07
1  76  2.21628e+07
1  77  1.14184e+07
1  78  1.23298e+07
1  79  1.72937e+07
1  80  2.88313e+07
1  81  2.40696e+07
1  82  1.05694e+07
1  83  1.12986e+07
1  84  1.42336e+07
1  85  1.79664e+07
