row  column  (images_6a.edf Mn-K*images_6a.edf Ar-K**2.3)
0  0  1.16653e+07
0  1  4.85914e+06
0  2  1.04758e+07
0  3  9.88776e+06
0  4  1.77842e+07
0  5  3.74876e+06
0  6  2.69716e+06
0  7  1.15336e+07
0  8  4.8097e+06
0  9  1.00002e+07
0  10  2.27434e+06
0  11  3.95924e+06
0  12  1.27463e+07
0  13  4.98393e+06
0  14  4.45509e+06
0  15  6.3139e+06
0  16  1.48529e+07
0  17  2.6168e+06
0  18  1.29636e+07
0  19  5.37154e+06
0  20  1.17726e+07
0  21  0
0  22  3.37018e+06
0  23  1.08904e+07
0  24  1.53128e+07
0  25  3.44935e+06
0  26  1.96874e+07
0  27  1.43132e+07
0  28  2.22627e+07
0  29  3.90135e+07
0  30  2.09956e+07
0  31  1.2977e+07
0  32  2.03466e+07
0  33  1.34142e+07
0  34  7.78349e+06
0  35  1.78614e+07
0  36  4.77039e+06
0  37  1.01197e+07
0  38  0
0  39  5.6527e+06
0  40  1.18634e+07
0  41  1.05437e+06
0  42  1.43752e+07
0  43  0
0  44  1.46116e+07
0  45  2.60047e+06
0  46  4.9212e+06
0  47  0
0  48  7.11537e+06
0  49  9.11804e+06
0  50  1.20516e+07
0  51  1.05601e+07
0  52  9.36415e+06
0  53  6.84214e+06
0  54  6.54057e+06
0  55  0
0  56  1.01043e+07
0  57  2.03698e+07
0  58  3.98463e+06
0  59  2.02999e+07
0  60  1.19838e+07
0  61  1.72895e+07
0  62  1.82407e+07
0  63  1.33696e+07
0  64  1.24099e+07
0  65  2.33847e+07
0  66  8.60719e+06
0  67  1.0143e+07
0  68  1.31435e+07
0  69  7.21673e+06
0  70  4.5495e+06
0  71  2.03807e+07
0  72  9.74138e+06
0  73  6.74457e+06
0  74  4.93559e+06
0  75  0
0  76  7.17291e+06
0  77  5.69098e+06
0  78  1.27034e+07
0  79  1.2907e+07
0  80  0
0  81  1.89121e+07
0  82  1.65853e+07
0  83  0
0  84  7.47288e+06
0  85  1.25345e+07
0  86  2.2365e+07
0  87  1.94896e+07
0  88  0
0  89  2.72695e+07
0  90  0
0  91  1.82341e+07
0  92  1.77543e+07
0  93  3.51099e+06
0  94  2.54853e+06
0  95  1.80061e+07
0  96  2.23523e+07
0  97  9.28414e+06
0  98  2.04505e+07
0  99  1.85089e+07
0  100  1.47826e+06
1  0  2.24609e+06
1  1  8.71563e+06
1  2  4.49519e+06
1  3  1.1402e+06
