row  column  (images_6a.edf P-K*images_6a.edf Ar-K**2.3)
0  0  0
0  1  4.39034e+06
0  2  0
0  3  5.65096e+06
0  4  718283
0  5  5.43081e+06
0  6  1.34477e+07
0  7  5.79654e+06
0  8  9.2702e+06
0  9  3.05156e+06
0  10  7.78514e+06
0  11  7.56521e+06
0  12  5.17656e+06
0  13  8.68152e+06
0  14  6.51861e+06
0  15  3.11215e+06
0  16  3.30286e+06
0  17  6.61179e+06
0  18  6.62849e+06
0  19  6.23077e+06
0  20  8.36997e+06
0  21  3.89611e+06
0  22  6.84789e+06
0  23  4.89127e+06
0  24  3.00605e+06
0  25  0
0  26  3.56445e+06
0  27  3.11682e+06
0  28  5.14805e+06
0  29  1.73343e+06
0  30  5.65659e+06
0  31  3.78488e+06
0  32  5.61175e+06
0  33  6.87129e+06
0  34  6.5805e+06
0  35  8.84268e+06
0  36  1.16434e+06
0  37  5.95472e+06
0  38  3.41968e+06
0  39  6.64485e+06
0  40  5.31128e+06
0  41  5.29953e+06
0  42  3.44709e+06
0  43  4.22136e+06
0  44  0
0  45  5.3078e+06
0  46  406562
0  47  7.0176e+06
0  48  0
0  49  0
0  50  4.42037e+06
0  51  4.48812e+06
0  52  0
0  53  1.88547e+06
0  54  9.71064e+06
0  55  5.6076e+06
0  56  6.75e+06
0  57  0
0  58  3.4394e+06
0  59  3.71619e+06
0  60  3.49918e+06
0  61  0
0  62  1.31511e+06
0  63  0
0  64  124123
0  65  2.92741e+06
0  66  0
0  67  0
0  68  0
0  69  497882
0  70  2.35573e+06
0  71  1.44885e+06
0  72  754302
0  73  0
0  74  0
0  75  1.4192e+06
0  76  0
0  77  0
0  78  1.24626e+06
0  79  267633
0  80  3.13929e+06
0  81  825648
0  82  76815.4
0  83  694337
0  84  0
0  85  0
0  86  0
0  87  0
0  88  0
0  89  119492
0  90  263971
0  91  0
0  92  0
0  93  1.49392e+06
0  94  0
0  95  726561
0  96  1.76286e+06
0  97  1.66186e+06
0  98  0
0  99  1.23304e+06
0  100  1.26798e+06
1  0  3.76163e+06
1  1  2.01332e+06
1  2  3.76632e+06
1  3  9.06686e+06
1  4  3.54717e+06
1  5  9.63372e+06
1  6  9.87246e+06
1  7  5.74136e+06
1  8  6.82531e+06
1  9  8.58881e+06
1  10  1.13159e+07
1  11  2.05599e+07
1  12  1.01889e+07
1  13  5.54908e+06
1  14  4.70923e+06
1  15  1.85959e+07
1  16  1.20008e+07
1  17  4.06503e+06
1  18  6.18411e+06
1  19  1.10458e+07
1  20  4.3346e+06
1  21  4.37295e+06
1  22  3.96226e+06
1  23  6.53286e+06
1  24  5.74785e+06
1  25  7.5566e+06
1  26  4.10808e+06
1  27  3.85461e+06
1  28  4.6031e+06
1  29  1.2293e+07
1  30  1.29174e+07
1  31  1.19948e+07
1  32  1.53613e+07
1  33  1.94727e+06
1  34  9.10406e+06
1  35  6.51993e+06
1  36  1.27078e+07
1  37  5.50627e+06
1  38  6.93825e+06
1  39  5.42934e+06
1  40  1.69786e+06
1  41  2.65707e+06
1  42  1.88975e+06
1  43  0
1  44  4.46607e+06
1  45  0
1  46  5.44105e+06
1  47  1.74336e+06
1  48  2.63607e+06
1  49  1.99789e+06
1  50  1.49268e+06
1  51  4.78961e+06
1  52  7.15488e+06
1  53  6.64305e+06
1  54  4.51179e+06
1  55  1.05597e+07
1  56  3.83894e+06
1  57  3.84413e+06
1  58  1.36429e+06
1  59  4.44576e+06
1  60  3.99378e+06
1  61  2.71115e+06
1  62  1.3677e+06
1  63  1.09799e+06
1  64  0
1  65  243236
1  66  743614
1  67  1.24393e+06
1  68  0
1  69  561526
1  70  0
1  71  325219
1  72  1.53906e+06
1  73  0
1  74  0
1  75  0
1  76  0
1  77  0
1  78  0
1  79  464717
1  80  1.74632e+06
1  81  2.23339e+06
1  82  48661.2
1  83  801008
1  84  220192
1  85  0
1  86  1.00881e+06
1  87  87854.4
1  88  0
1  89  326664
1  90  404601
1  91  2.98219e+06
1  92  157694
1  93  1.98039e+06
1  94  1.59171e+06
1  95  213131
1  96  566437
1  97  0
1  98  0
1  99  859970
1  100  1.16117e+06
2  0  7.06029e+06
2  1  5.10355e+06
2  2  4.15996e+06
2  3  8.30655e+06
2  4  5.80216e+06
