row  column  (images_6a.edf S-K*images_6a.edf Ar-K**2.3)
0  0  1.25891e+07
0  1  2.9145e+07
0  2  1.75105e+07
0  3  1.61753e+07
0  4  2.07909e+07
0  5  2.56586e+07
0  6  4.51111e+07
0  7  4.35999e+07
0  8  4.53723e+07
0  9  3.37989e+07
0  10  3.25428e+07
0  11  3.54715e+07
0  12  2.41212e+07
0  13  5.06594e+07
0  14  3.67951e+07
0  15  3.8211e+07
0  16  5.009e+07
0  17  3.80472e+07
0  18  3.90549e+07
0  19  3.53373e+07
0  20  3.22151e+07
0  21  3.00307e+07
0  22  2.89744e+07
0  23  1.46154e+07
0  24  1.81277e+07
0  25  2.135e+07
0  26  2.51072e+07
0  27  2.90706e+07
0  28  2.96387e+07
0  29  1.59289e+07
0  30  2.10607e+07
0  31  2.82036e+07
0  32  1.43833e+07
0  33  2.75024e+07
0  34  3.07851e+07
0  35  3.05817e+07
0  36  1.91911e+07
0  37  2.75644e+07
0  38  3.45548e+07
0  39  2.01544e+07
0  40  2.15714e+07
0  41  2.31339e+07
0  42  1.87779e+07
0  43  1.1627e+07
0  44  1.53953e+07
0  45  1.58673e+07
0  46  1.70584e+07
0  47  1.91702e+07
0  48  1.53444e+07
0  49  1.8852e+07
0  50  1.56041e+07
0  51  1.34028e+07
0  52  1.49998e+07
0  53  1.79592e+07
0  54  2.35715e+07
0  55  3.55333e+07
0  56  2.48256e+07
0  57  1.09841e+07
0  58  1.63705e+07
0  59  1.43848e+07
0  60  2.62586e+07
0  61  1.17186e+07
0  62  8.30534e+06
0  63  1.38134e+07
0  64  1.06898e+07
0  65  8.59468e+06
0  66  8.21228e+06
0  67  1.49324e+07
0  68  1.09791e+06
0  69  1.00983e+07
0  70  9.2754e+06
0  71  5.33042e+06
0  72  8.72956e+06
0  73  4.90135e+06
0  74  4.50191e+06
0  75  7.22654e+06
0  76  4.46349e+06
0  77  9.67116e+06
0  78  7.16649e+06
0  79  0
0  80  9.67403e+06
0  81  2.2257e+06
0  82  3.03268e+06
0  83  4.88306e+06
0  84  198093
0  85  502615
0  86  0
0  87  5.56702e+06
0  88  471685
0  89  991167
0  90  0
0  91  221169
0  92  0
0  93  3.92687e+06
0  94  4.75509e+06
0  95  0
0  96  1.03005e+06
0  97  0
0  98  0
0  99  0
0  100  5.9829e+06
1  0  2.49426e+07
1  1  2.65409e+07
1  2  2.22569e+07
1  3  3.26899e+07
1  4  2.81026e+07
1  5  3.65371e+07
1  6  5.33369e+07
1  7  2.97092e+07
1  8  2.65994e+07
1  9  3.30486e+07
1  10  3.81453e+07
1  11  5.84631e+07
1  12  2.98479e+07
1  13  4.11481e+07
1  14  4.52627e+07
1  15  4.85077e+07
1  16  3.71268e+07
1  17  4.43606e+07
1  18  3.08399e+07
1  19  4.47667e+07
1  20  2.34029e+07
1  21  2.6063e+07
1  22  2.59255e+07
1  23  3.45445e+07
1  24  3.92592e+07
1  25  2.63521e+07
1  26  5.49402e+07
1  27  2.50653e+07
1  28  3.11387e+07
1  29  3.95416e+07
1  30  3.37034e+07
1  31  2.83167e+07
1  32  2.70461e+07
1  33  2.08022e+07
1  34  2.8337e+07
1  35  2.99584e+07
1  36  3.59715e+07
1  37  3.78143e+07
