row  column  (images_6a.edf Zn-K*images_6a.edf Ar-K**2.3)
0  0  5.78367e+07
0  1  6.62945e+07
0  2  5.25535e+07
0  3  4.47099e+07
0  4  7.36888e+07
0  5  8.31824e+07
0  6  8.23633e+07
0  7  8.49283e+07
0  8  6.44962e+07
0  9  8.13011e+07
0  10  2.56232e+07
0  11  4.22737e+07
0  12  5.59137e+07
0  13  4.4861e+07
0  14  6.45507e+07
0  15  4.84532e+07
0  16  8.71411e+07
0  17  5.2387e+07
0  18  0
0  19  4.27065e+07
0  20  0
0  21  6.45776e+07
0  22  4.53551e+07
0  23  2.90528e+07
0  24  4.18112e+07
0  25  4.70779e+07
0  26  3.65549e+07
0  27  3.2279e+07
0  28  3.98699e+07
0  29  4.99197e+07
0  30  4.63377e+07
0  31  3.14799e+07
0  32  3.29143e+07
0  33  4.02284e+07
0  34  5.49803e+07
0  35  4.70502e+07
0  36  1.07095e+07
0  37  4.80516e+07
0  38  3.87949e+07
0  39  4.24747e+07
0  40  2.36928e+07
0  41  5.30923e+07
0  42  2.10683e+07
0  43  3.99013e+07
0  44  1.92607e+07
0  45  1.6063e+07
0  46  4.74583e+07
0  47  3.14341e+07
0  48  0
0  49  2.56338e+07
0  50  1.83222e+07
0  51  2.59466e+07
0  52  1.24194e+07
0  53  3.82892e+07
0  54  0
0  55  2.34825e+07
0  56  3.20645e+07
0  57  2.34654e+07
0  58  9.97822e+06
0  59  2.16625e+07
0  60  3.36349e+07
0  61  2.61747e+06
0  62  5.67171e+06
0  63  0
0  64  8.48941e+06
0  65  1.3943e+07
0  66  6.64381e+06
0  67  2.69311e+07
0  68  3.22691e+06
0  69  2.57499e+07
0  70  3.29321e+07
0  71  877094
0  72  1.309e+07
0  73  1.72989e+07
0  74  1.13079e+07
0  75  3.56643e+07
0  76  8.14323e+06
0  77  2.2061e+07
0  78  0
0  79  0
0  80  2.34392e+07
0  81  4.84815e+06
0  82  3.28671e+06
0  83  1.94039e+07
0  84  1.24489e+07
0  85  0
0  86  2.42489e+07
0  87  1.5575e+07
0  88  1.15789e+07
0  89  7.22416e+06
0  90  1.87817e+07
0  91  8.12426e+06
0  92  1.91219e+06
0  93  4.83448e+07
0  94  7.30883e+06
0  95  1.75401e+07
0  96  0
0  97  0
0  98  9.86288e+06
0  99  4.10654e+06
0  100  3.71741e+07
1  0  6.90781e+07
1  1  4.73196e+07
1  2  4.151e+07
1  3  5.23873e+07
1  4  5.54859e+07
