row  column  (images_7.edf K-K*images_7.edf Ar-K**2.3)
0  0  2.45122e+07
0  1  1.21554e+07
0  2  9.98374e+06
0  3  2.24938e+07
0  4  2.20449e+07
0  5  2.78015e+07
0  6  3.47928e+07
0  7  2.17377e+07
0  8  2.88706e+07
0  9  1.58673e+07
0  10  1.55886e+07
0  11  3.38248e+07
0  12  1.6104e+06
0  13  535694
0  14  3.30604e+06
0  15  2.48155e+07
0  16  1.73974e+07
0  17  1.70236e+07
0  18  1.08284e+07
0  19  2.60548e+07
0  20  2.86691e+07
0  21  0
0  22  9.99816e+06
0  23  1.32763e+07
0  24  3.10944e+07
0  25  2.00166e+07
0  26  0
0  27  2.47749e+07
0  28  7.04048e+06
0  29  1.86778e+07
0  30  1.75118e+07
0  31  2.21906e+07
0  32  2.08571e+07
0  33  2.27325e+07
0  34  2.12639e+07
0  35  1.05855e+06
0  36  1.61502e+07
0  37  3.42056e+07
0  38  5.18524e+06
0  39  1.85074e+07
0  40  2.26706e+07
0  41  1.60764e+07
0  42  1.29929e+06
0  43  2.82224e+07
0  44  3.15367e+07
0  45  3.55759e+07
0  46  2.88425e+07
0  47  3.05624e+07
0  48  1.19151e+07
0  49  3.14316e+07
0  50  1.53408e+07
0  51  3.38841e+06
0  52  2.07328e+07
0  53  2.97403e+07
0  54  9.19999e+06
0  55  3.51551e+07
0  56  8.76945e+06
0  57  1.90197e+07
0  58  3.52899e+07
0  59  9.342e+06
0  60  3.05539e+07
0  61  5.09748e+06
0  62  0
0  63  2.42037e+07
0  64  0
0  65  2.01397e+07
0  66  0
0  67  1.83156e+07
0  68  1.70174e+07
0  69  8.49892e+06
0  70  3.0049e+07
0  71  5.31768e+07
0  72  2.34186e+07
0  73  6.6426e+07
0  74  5.13727e+07
0  75  3.90064e+07
0  76  2.97412e+07
0  77  5.57306e+07
0  78  7.92476e+07
0  79  6.19581e+07
0  80  1.87192e+07
0  81  5.50408e+07
0  82  7.85064e+06
0  83  2.78555e+07
0  84  3.03349e+07
0  85  2.43368e+07
0  86  2.60416e+07
0  87  4.69793e+07
0  88  4.30691e+07
0  89  1.73893e+06
0  90  2.38333e+07
0  91  2.79146e+07
0  92  0
0  93  2.93413e+07
0  94  3.12886e+07
0  95  2.68608e+07
0  96  1.1459e+07
0  97  1.19861e+07
0  98  3.46143e+07
0  99  4.69663e+07
0  100  2.0793e+07
1  0  1.57696e+07
1  1  1.58095e+07
1  2  1.0297e+07
1  3  1.09983e+07
1  4  1.81521e+07
1  5  1.27218e+07
1  6  3.91512e+07
1  7  2.06543e+07
1  8  2.24477e+07
1  9  2.52523e+07
1  10  2.87176e+07
1  11  1.36988e+07
1  12  3.33181e+07
1  13  0
1  14  1.35973e+07
1  15  3.38411e+07
1  16  1.01166e+07
1  17  2.90018e+07
1  18  3.29917e+06
1  19  8.06085e+06
1  20  7.85353e+06
1  21  1.82705e+07
1  22  2.21675e+07
1  23  1.26265e+07
1  24  8.94574e+06
1  25  8.07907e+06
1  26  2.77195e+07
1  27  1.97491e+07
1  28  2.85768e+07
1  29  3.1377e+07
1  30  7.46602e+06
1  31  2.53589e+07
1  32  0
1  33  2.18498e+07
1  34  2.92619e+07
1  35  3.37506e+07
1  36  4.3807e+06
1  37  2.26789e+07
1  38  3.02885e+07
1  39  1.37065e+07
1  40  3.66461e+07
1  41  2.81315e+07
1  42  1.83466e+07
1  43  3.06566e+07
