row  column  (images_7.edf Mn-K*images_7.edf Ar-K**2.3)
0  0  2.38322e+07
0  1  1.39317e+07
0  2  8.68633e+06
0  3  6.20644e+06
0  4  0
0  5  9.70343e+06
0  6  1.17775e+07
0  7  5.38145e+06
0  8  8.93526e+06
0  9  1.56185e+06
0  10  1.56995e+07
0  11  7.16161e+06
0  12  7.37678e+06
0  13  2.44291e+06
0  14  1.41412e+07
0  15  6.00332e+06
0  16  1.15426e+07
0  17  8.45915e+06
0  18  2.75645e+06
0  19  0
0  20  7.81759e+06
0  21  5.65259e+06
0  22  6.73805e+06
0  23  1.46742e+07
0  24  3.46156e+06
0  25  0
0  26  5.90144e+06
0  27  0
0  28  1.66069e+07
0  29  0
0  30  7.79897e+06
0  31  4.95111e+06
0  32  1.28569e+07
0  33  2.4033e+06
0  34  1.10622e+07
0  35  9.84756e+06
0  36  8.80396e+06
0  37  5.02311e+06
0  38  9.3814e+06
0  39  1.15075e+07
0  40  8.90934e+06
0  41  7.96157e+06
0  42  8.32965e+06
0  43  8.39984e+06
0  44  1.26705e+07
0  45  1.41757e+06
0  46  0
0  47  9.86235e+06
0  48  7.96868e+06
0  49  3.91131e+06
0  50  7.2455e+06
0  51  6.60857e+06
0  52  1.17558e+07
0  53  0
0  54  1.10441e+07
0  55  7.7503e+06
0  56  5.30663e+06
0  57  1.22366e+07
0  58  8.10632e+06
0  59  2.33585e+07
0  60  7.64918e+06
0  61  7.98402e+06
0  62  6.9078e+06
0  63  1.98174e+07
0  64  6.53788e+06
0  65  1.23974e+07
0  66  4.72954e+06
0  67  1.16274e+06
0  68  1.84466e+07
0  69  5.99052e+06
0  70  3.03127e+06
0  71  1.24619e+07
0  72  1.91821e+07
0  73  0
0  74  2.04195e+07
0  75  2.24899e+07
0  76  5.99081e+06
0  77  5.71355e+07
0  78  1.51322e+07
0  79  6.11122e+06
0  80  2.54252e+07
0  81  9.34259e+06
0  82  3.25792e+07
0  83  0
0  84  5.80725e+06
