row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
0  0  1.75608e+06
0  1  4.39205e+06
0  2  2.56335e+06
0  3  5.39818e+06
0  4  9.21985e+06
0  5  1.03304e+07
0  6  1.05411e+07
0  7  1.23006e+07
0  8  1.38225e+07
0  9  1.85006e+07
0  10  3.11319e+07
0  11  3.55122e+07
0  12  4.0764e+07
0  13  4.92297e+07
0  14  3.48363e+07
0  15  3.88544e+07
0  16  4.09001e+07
0  17  4.47126e+07
0  18  3.48845e+07
0  19  5.53155e+07
0  20  5.51229e+07
0  21  4.29579e+07
0  22  5.50649e+07
0  23  6.68907e+07
0  24  6.24958e+07
0  25  7.80928e+07
0  26  8.1786e+07
0  27  8.10864e+07
0  28  7.70465e+07
0  29  8.43744e+07
0  30  9.37497e+07
0  31  8.80492e+07
0  32  8.9047e+07
0  33  1.05026e+08
0  34  9.34149e+07
0  35  1.09898e+08
0  36  9.22962e+07
0  37  1.07889e+08
0  38  1.23261e+08
0  39  8.58389e+07
0  40  8.06606e+07
0  41  1.03847e+08
0  42  8.43967e+07
0  43  6.28209e+07
0  44  6.90406e+07
0  45  7.83834e+07
0  46  7.29148e+07
0  47  6.56315e+07
0  48  8.03768e+07
0  49  7.17439e+07
0  50  6.33178e+07
0  51  7.0032e+07
0  52  5.48008e+07
0  53  7.41566e+07
0  54  6.35886e+07
0  55  7.46728e+07
0  56  9.23808e+07
0  57  6.48737e+07
0  58  7.05002e+07
0  59  1.03011e+08
0  60  8.49937e+07
0  61  8.18895e+07
0  62  6.04695e+07
0  63  8.2811e+07
0  64  9.05799e+07
0  65  7.7675e+07
0  66  1.01986e+08
0  67  9.59504e+07
0  68  6.74095e+07
0  69  8.5146e+07
0  70  8.48195e+07
0  71  7.78592e+07
0  72  6.10411e+07
0  73  1.05313e+08
0  74  5.8678e+07
0  75  7.31318e+07
0  76  5.91102e+07
0  77  5.84987e+07
0  78  5.31855e+07
0  79  4.74362e+07
0  80  4.27528e+07
0  81  5.74661e+07
0  82  5.20591e+07
0  83  5.7897e+07
0  84  6.40955e+07
0  85  4.46233e+07
0  86  3.91637e+07
0  87  6.19097e+07
0  88  4.86665e+07
0  89  6.58107e+07
0  90  5.3858e+07
0  91  4.66202e+07
0  92  5.47109e+07
0  93  4.14705e+07
0  94  5.86628e+07
0  95  2.83868e+07
0  96  4.20265e+07
0  97  4.23394e+07
0  98  4.92165e+07
0  99  4.60313e+07
0  100  2.71831e+07
1  0  2.65303e+06
1  1  4.12263e+06
1  2  2.96974e+06
1  3  4.51881e+06
1  4  6.55798e+06
1  5  6.57423e+06
1  6  2.3935e+07
1  7  1.02892e+07
1  8  1.27298e+07
1  9  2.93424e+07
1  10  1.83896e+07
1  11  2.16319e+07
1  12  4.71136e+07
1  13  1.88767e+07
1  14  4.38014e+07
1  15  4.43687e+07
1  16  3.64275e+07
1  17  4.97224e+07
1  18  3.989e+07
1  19  6.73876e+07
1  20  5.78427e+07
1  21  5.45945e+07
1  22  5.14058e+07
1  23  5.78901e+07
1  24  7.0067e+07
1  25  7.01097e+07
1  26  7.17052e+07
1  27  8.80358e+07
1  28  9.74871e+07
1  29  7.15476e+07
1  30  6.94396e+07
1  31  1.11696e+08
1  32  7.81539e+07
1  33  8.62024e+07
1  34  1.01869e+08
1  35  8.91506e+07
1  36  9.50511e+07
1  37  1.03932e+08
1  38  8.68914e+07
1  39  9.30739e+07
1  40  9.89248e+07
1  41  8.56676e+07
1  42  7.74945e+07
1  43  8.5994e+07
1  44  1.00294e+08
1  45  8.90906e+07
1  46  8.0974e+07
1  47  8.27115e+07
1  48  8.74814e+07
1  49  6.24086e+07
1  50  5.72907e+07
1  51  6.63055e+07
1  52  8.14068e+07
1  53  8.73201e+07
1  54  8.31576e+07
1  55  8.04515e+07
1  56  7.27507e+07
1  57  8.01151e+07
1  58  8.69035e+07
1  59  7.59261e+07
1  60  7.49082e+07
1  61  8.78486e+07
1  62  8.68447e+07
1  63  1.14613e+08
1  64  7.5195e+07
1  65  9.88444e+07
1  66  9.2929e+07
1  67  6.53509e+07
1  68  8.04014e+07
1  69  9.182e+07
1  70  9.09196e+07
1  71  6.65103e+07
1  72  6.09104e+07
1  73  7.5445e+07
1  74  4.96171e+07
