row  column  (images_7.edf Cu-K*images_7.edf Ar-K**2.3)
0  0  1.06851e+07
0  1  5.45229e+06
0  2  0
0  3  0
0  4  5.73811e+06
0  5  0
0  6  2.04863e+07
0  7  1.27038e+07
0  8  0
0  9  8.13816e+06
0  10  1.77474e+07
0  11  2.28879e+07
0  12  703031
0  13  2.1098e+06
0  14  4.66743e+06
0  15  1.05372e+06
0  16  1.14831e+07
0  17  3.429e+06
0  18  1.33003e+07
0  19  78364.7
0  20  1.62655e+06
0  21  0
0  22  2.67074e+06
0  23  0
0  24  2.82993e+07
0  25  2.69385e+07
0  26  2.52193e+06
0  27  6.98304e+06
0  28  6.99173e+06
0  29  8.61603e+06
0  30  2.62604e+07
0  31  7.36788e+06
0  32  1.34685e+07
0  33  1.18222e+07
0  34  2.18801e+06
0  35  2.56247e+07
0  36  3.02553e+06
0  37  2.33606e+07
0  38  2.94541e+07
0  39  7.16399e+06
0  40  1.4682e+06
0  41  2.61315e+07
0  42  1.89609e+07
0  43  9.23754e+06
0  44  0
0  45  4.51265e+06
0  46  0
0  47  6.24227e+06
0  48  2.68644e+06
0  49  1.10583e+07
0  50  1.21068e+07
0  51  8.79662e+06
0  52  1.2497e+07
0  53  0
0  54  6.10736e+06
0  55  1.31515e+07
0  56  3.46743e+06
0  57  7.18951e+06
0  58  2.01675e+07
0  59  1.18163e+07
0  60  1.46532e+07
0  61  2.6866e+07
0  62  1.69548e+07
0  63  6.7461e+06
0  64  0
0  65  9.70028e+06
0  66  0
0  67  1.58781e+07
0  68  2.95617e+07
0  69  5.30645e+06
0  70  1.26199e+07
0  71  7.77893e+06
0  72  1.86873e+07
0  73  2.96738e+07
0  74  0
0  75  1.76747e+07
0  76  1.07983e+07
0  77  0
0  78  3.87814e+06
0  79  2.61922e+07
0  80  2.97203e+07
0  81  2.03381e+07
0  82  3.29085e+07
0  83  1.90641e+07
0  84  1.72336e+07
0  85  0
0  86  0
0  87  2.02991e+07
0  88  0
0  89  198259
0  90  1.4409e+07
0  91  1.21016e+06
0  92  9.39158e+06
0  93  786272
0  94  3.12357e+07
0  95  0
0  96  3.24573e+07
0  97  0
0  98  1.85759e+07
0  99  0
0  100  2.51683e+07
1  0  0
1  1  43550.9
1  2  0
1  3  2.26573e+06
1  4  4.9221e+06
1  5  0
1  6  1.64386e+07
1  7  8.13605e+06
1  8  0
1  9  1.12334e+07
1  10  0
1  11  6.99929e+06
1  12  1.74725e+07
1  13  0
1  14  749367
1  15  0
1  16  1.11841e+07
1  17  0
1  18  1.20461e+07
1  19  5.93458e+06
1  20  916028
1  21  8.40314e+06
1  22  1.44104e+07
1  23  477829
1  24  2.44608e+07
1  25  1.92678e+06
1  26  8.33004e+06
1  27  4.54263e+06
1  28  2.3828e+07
1  29  7.43297e+06
1  30  2.96184e+07
1  31  3.03573e+07
1  32  1.07427e+07
1  33  1.07952e+07
1  34  0
1  35  6.33994e+06
1  36  2.14666e+07
1  37  2.64805e+07
1  38  3.11919e+07
1  39  1.0422e+07
1  40  1.31665e+07
1  41  8.11604e+06
1  42  1.95538e+07
1  43  4.75724e+06
1  44  4.71313e+06
1  45  3.04127e+07
1  46  5.17707e+06
1  47  2.76897e+07
1  48  1.69127e+07
1  49  55297
1  50  1.38266e+07
1  51  4.35115e+06
1  52  3.29837e+07
1  53  8.70981e+06
1  54  1.2521e+07
1  55  4.94749e+06
1  56  1.92045e+07
1  57  0
1  58  0
1  59  2.13204e+06
1  60  1.72628e+06
1  61  3.34378e+07
1  62  1.93604e+06
1  63  3.20461e+07
1  64  9.10103e+06
1  65  3.75151e+07
1  66  7.67972e+06
1  67  621762
1  68  2.65545e+07
1  69  0
1  70  6.79208e+06
1  71  4.63976e+07
1  72  7.48819e+06
1  73  2.69248e+07
1  74  8.98027e+06
1  75  4.55287e+06
1  76  1.30415e+07
1  77  0
1  78  0
1  79  7.78257e+06
1  80  0
1  81  9.48376e+06
1  82  1.05658e+07
1  83  0
1  84  1.04568e+07
1  85  6.33158e+06
1  86  0
1  87  2.71224e+07
1  88  1.67431e+07
1  89  1.28907e+07
1  90  3.29974e+07
1  91  4.48726e+06
1  92  7.88602e+06
1  93  3.72897e+07
1  94  5.13063e+06
1  95  0
1  96  0
1  97  19083.4
1  98  4.94677e+06
1  99  1.11996e+07
1  100  645332
2  0  3.61102e+06
2  1  0
2  2  616869
2  3  4.3576e+06
2  4  3.11233e+06
2  5  5.94565e+06
2  6  7.94654e+06
2  7  8.47098e+06
2  8  1.61217e+07
2  9  0
2  10  6.27741e+06
2  11  2.8438e+06
2  12  2.23133e+07
2  13  0
2  14  0
2  15  1.30501e+07
