row  column  (images_8.edf Ca_K*images_8.edf Ar_K**2.3)
0  0  1.19185e+09
0  1  1.20436e+09
0  2  1.18181e+09
0  3  1.06504e+09
0  4  1.20547e+09
0  5  1.00018e+09
0  6  1.00464e+09
0  7  1.17765e+09
0  8  1.22686e+09
0  9  1.09432e+09
0  10  1.13278e+09
0  11  1.16195e+09
0  12  1.12764e+09
0  13  1.23182e+09
0  14  1.25213e+09
0  15  1.01918e+09
0  16  1.0938e+09
0  17  1.07321e+09
0  18  1.29517e+09
0  19  1.4934e+09
0  20  1.40922e+09
0  21  1.23611e+09
0  22  1.12191e+09
0  23  1.03644e+09
0  24  1.17178e+09
0  25  1.21576e+09
0  26  1.241e+09
0  27  1.22776e+09
0  28  1.0589e+09
0  29  9.12441e+08
0  30  6.50298e+08
0  31  7.64336e+08
0  32  8.52678e+08
0  33  7.24287e+08
0  34  6.34933e+08
0  35  5.19732e+08
0  36  4.33447e+08
0  37  4.5858e+08
0  38  4.77065e+08
0  39  3.43568e+08
0  40  1.73365e+08
0  41  1.63112e+08
0  42  1.3486e+08
0  43  1.06433e+08
0  44  9.25867e+07
0  45  1.03951e+08
0  46  9.74615e+07
0  47  7.42143e+07
0  48  7.73007e+07
0  49  8.42479e+07
0  50  7.92467e+07
1  0  1.11474e+09
1  1  1.19119e+09
1  2  1.10536e+09
1  3  1.20202e+09
1  4  1.04595e+09
1  5  9.60523e+08
1  6  9.73611e+08
1  7  1.02904e+09
1  8  1.06667e+09
1  9  1.13929e+09
1  10  1.10152e+09
1  11  1.18731e+09
1  12  1.21099e+09
1  13  1.15868e+09
1  14  1.20856e+09
1  15  1.15946e+09
1  16  1.0469e+09
1  17  1.15944e+09
1  18  1.48854e+09
1  19  1.36792e+09
1  20  1.33756e+09
1  21  1.21337e+09
1  22  1.10509e+09
1  23  1.21646e+09
1  24  1.38147e+09
1  25  1.36487e+09
1  26  1.13466e+09
1  27  1.23125e+09
1  28  1.11692e+09
1  29  8.2448e+08
1  30  8.57486e+08
1  31  8.68327e+08
1  32  1.0192e+09
1  33  8.64179e+08
1  34  7.4643e+08
1  35  6.37853e+08
1  36  7.44988e+08
1  37  5.6278e+08
1  38  4.98778e+08
1  39  3.5152e+08
1  40  2.24387e+08
1  41  1.53759e+08
1  42  1.45618e+08
1  43  1.46304e+08
1  44  1.13181e+08
1  45  1.17758e+08
1  46  1.12922e+08
1  47  9.48058e+07
1  48  8.09132e+07
1  49  8.39535e+07
1  50  9.00123e+07
2  0  1.2337e+09
2  1  1.16182e+09
2  2  1.19401e+09
2  3  1.30321e+09
2  4  1.14029e+09
2  5  9.39527e+08
2  6  1.0077e+09
2  7  1.00854e+09
2  8  1.16793e+09
2  9  1.2097e+09
2  10  9.73066e+08
2  11  1.07031e+09
2  12  1.24035e+09
2  13  1.18828e+09
2  14  1.14478e+09
2  15  1.10716e+09
2  16  1.02333e+09
2  17  1.03948e+09
2  18  1.5509e+09
2  19  1.45395e+09
2  20  1.31707e+09
2  21  1.27541e+09
2  22  1.3105e+09
2  23  1.28235e+09
2  24  1.33805e+09
2  25  1.4636e+09
2  26  1.31994e+09
2  27  1.35149e+09
2  28  1.3577e+09
2  29  9.50423e+08
2  30  8.85214e+08
2  31  1.12402e+09
2  32  1.26182e+09
2  33  1.09482e+09
2  34  7.98722e+08
2  35  7.36297e+08
2  36  7.94652e+08
2  37  6.9572e+08
2  38  6.08714e+08
2  39  4.20638e+08
2  40  3.02741e+08
2  41  2.1617e+08
2  42  1.55733e+08
2  43  1.43793e+08
2  44  1.35406e+08
2  45  1.20619e+08
2  46  1.24516e+08
2  47  1.04167e+08
2  48  9.97273e+07
2  49  9.61938e+07
2  50  9.69538e+07
3  0  1.1996e+09
3  1  1.05855e+09
3  2  1.07451e+09
3  3  1.1558e+09
3  4  1.08391e+09
3  5  9.27432e+08
3  6  1.05723e+09
3  7  1.11887e+09
3  8  1.12013e+09
3  9  9.53929e+08
3  10  1.01024e+09
3  11  1.04096e+09
3  12  1.11178e+09
3  13  1.01176e+09
3  14  1.02535e+09
3  15  1.073e+09
3  16  1.03893e+09
3  17  1.09763e+09
3  18  1.56027e+09
3  19  1.22998e+09
3  20  1.34313e+09
3  21  1.44492e+09
3  22  1.36903e+09
3  23  1.51926e+09
3  24  1.24592e+09
3  25  1.58243e+09
3  26  1.19859e+09
3  27  1.23281e+09
3  28  1.23617e+09
3  29  8.57023e+08
3  30  9.00533e+08
3  31  1.22652e+09
3  32  1.16175e+09
3  33  1.25229e+09
3  34  9.52064e+08
3  35  8.97581e+08
3  36  9.67887e+08
3  37  8.46201e+08
3  38  7.33287e+08
3  39  4.57965e+08
3  40  3.3919e+08
3  41  2.28512e+08
3  42  1.85531e+08
3  43  1.66658e+08
3  44  1.46798e+08
3  45  1.24431e+08
3  46  1.30198e+08
3  47  1.1288e+08
3  48  1.24139e+08
3  49  9.88648e+07
3  50  1.06275e+08
4  0  1.17229e+09
4  1  1.18631e+09
4  2  1.17832e+09
4  3  1.14407e+09
4  4  1.14542e+09
4  5  9.91974e+08
4  6  8.95083e+08
4  7  1.13461e+09
4  8  1.27534e+09
4  9  1.14349e+09
4  10  1.18838e+09
4  11  1.0785e+09
4  12  1.06749e+09
4  13  1.10567e+09
4  14  1.06722e+09
4  15  1.14786e+09
4  16  1.18972e+09
4  17  1.25747e+09
4  18  1.59075e+09
4  19  1.53991e+09
4  20  1.5328e+09
4  21  1.37372e+09
4  22  1.4015e+09
4  23  1.36985e+09
4  24  1.43137e+09
4  25  1.39587e+09
4  26  1.30792e+09
4  27  1.24546e+09
4  28  1.22554e+09
4  29  8.48714e+08
4  30  9.38994e+08
4  31  1.1825e+09
4  32  1.22129e+09
4  33  1.16426e+09
4  34  1.17053e+09
4  35  1.04965e+09
4  36  1.14679e+09
4  37  9.63488e+08
4  38  9.20428e+08
4  39  5.9099e+08
4  40  4.29785e+08
4  41  3.38455e+08
4  42  2.64157e+08
4  43  2.26838e+08
4  44  1.99203e+08
4  45  1.67147e+08
4  46  1.58957e+08
4  47  1.66159e+08
4  48  1.42337e+08
4  49  1.47426e+08
4  50  1.01475e+08
5  0  1.2497e+09
5  1  1.10892e+09
5  2  1.29671e+09
5  3  1.36839e+09
5  4  1.18096e+09
5  5  9.73825e+08
5  6  9.68251e+08
5  7  1.12137e+09
5  8  1.18181e+09
5  9  1.02718e+09
5  10  1.2e+09
5  11  1.07018e+09
5  12  1.24872e+09
5  13  1.23329e+09
5  14  1.26867e+09
5  15  1.29631e+09
5  16  1.36861e+09
5  17  1.26312e+09
5  18  1.4525e+09
5  19  1.56911e+09
5  20  1.28224e+09
5  21  1.50489e+09
5  22  1.61138e+09
5  23  1.57667e+09
5  24  1.48964e+09
5  25  1.46132e+09
5  26  1.22575e+09
5  27  1.25812e+09
5  28  1.15249e+09
5  29  8.99671e+08
5  30  1.00922e+09
5  31  1.21261e+09
5  32  1.09944e+09
5  33  1.23837e+09
5  34  1.21948e+09
5  35  1.12614e+09
5  36  1.16171e+09
5  37  1.12947e+09
5  38  9.85222e+08
5  39  6.65379e+08
5  40  4.4351e+08
5  41  3.94421e+08
5  42  3.09726e+08
5  43  2.86434e+08
5  44  2.36729e+08
5  45  2.36684e+08
5  46  1.72428e+08
5  47  1.85761e+08
5  48  1.51165e+08
5  49  1.20259e+08
5  50  1.05888e+08
6  0  1.25118e+09
6  1  1.1916e+09
6  2  1.23983e+09
6  3  1.33048e+09
6  4  1.14753e+09
6  5  9.56425e+08
6  6  9.43878e+08
6  7  1.09206e+09
6  8  1.02436e+09
6  9  1.23193e+09
6  10  1.15701e+09
6  11  1.21603e+09
6  12  1.1835e+09
6  13  1.2188e+09
6  14  1.33159e+09
6  15  1.45593e+09
6  16  1.45829e+09
6  17  1.3552e+09
6  18  1.32745e+09
6  19  1.4095e+09
6  20  1.48173e+09
6  21  1.49774e+09
6  22  1.49332e+09
6  23  1.57818e+09
6  24  1.53292e+09
6  25  1.53643e+09
6  26  1.24087e+09
6  27  1.11629e+09
6  28  1.18369e+09
6  29  9.38325e+08
6  30  1.10518e+09
6  31  1.35565e+09
6  32  1.24712e+09
6  33  1.19524e+09
6  34  1.22714e+09
6  35  1.39219e+09
6  36  1.30173e+09
6  37  1.22173e+09
6  38  1.0043e+09
6  39  7.89021e+08
6  40  5.32007e+08
6  41  4.09509e+08
6  42  3.41167e+08
6  43  3.5221e+08
6  44  3.17627e+08
6  45  2.56814e+08
6  46  2.24973e+08
6  47  2.2884e+08
6  48  1.60484e+08
6  49  1.68497e+08
6  50  1.4403e+08
7  0  1.21897e+09
7  1  1.2605e+09
7  2  1.32295e+09
7  3  1.2011e+09
7  4  1.09833e+09
7  5  1.05642e+09
7  6  1.05895e+09
7  7  1.06532e+09
7  8  1.00796e+09
7  9  1.13144e+09
7  10  1.06369e+09
7  11  1.19873e+09
7  12  1.11667e+09
7  13  1.3219e+09
7  14  1.28228e+09
