row  column  (images_8.edf Cu_K*images_8.edf Ar_K**2.3)
0  0  1.0323e+07
0  1  5.13953e+06
0  2  1.42116e+07
0  3  6.85033e+06
0  4  1.01572e+07
0  5  1.1006e+07
0  6  4.93202e+06
0  7  2.79448e+06
0  8  581782
0  9  1.05267e+07
0  10  6.14956e+06
0  11  2.67517e+06
0  12  2.63808e+06
0  13  9.40913e+06
0  14  7.63056e+06
0  15  5.94095e+06
0  16  6.75329e+06
0  17  1.13015e+07
0  18  8.48234e+06
0  19  5.91994e+06
0  20  4.12316e+06
0  21  6.56013e+06
0  22  7.85117e+06
0  23  1.02656e+07
0  24  0
0  25  224579
0  26  5.56564e+06
0  27  9.87029e+06
0  28  1.12834e+07
0  29  1.79155e+07
0  30  4.5894e+06
0  31  4.19984e+06
0  32  8.68127e+06
0  33  460136
0  34  5.23665e+06
0  35  5.55738e+06
0  36  827838
0  37  8.18113e+06
0  38  2.59714e+06
0  39  1.07155e+07
0  40  2.84278e+06
0  41  3.29853e+06
0  42  8.8535e+06
0  43  0
0  44  3.94493e+06
0  45  6.96356e+06
0  46  940582
0  47  7.40867e+06
0  48  4.64701e+06
0  49  369638
0  50  4.45489e+06
1  0  7.8831e+06
1  1  1.25236e+07
1  2  3.78901e+06
1  3  6.69274e+06
1  4  6.05129e+06
1  5  9.17709e+06
1  6  7.64425e+06
1  7  4.21401e+06
1  8  7.1296e+06
1  9  6.34245e+06
1  10  5.75372e+06
1  11  6.70566e+06
1  12  5.06313e+06
1  13  5.6166e+06
1  14  7.53949e+06
1  15  8.74833e+06
1  16  9.2531e+06
1  17  5.98819e+06
1  18  7.0738e+06
1  19  4.59921e+06
1  20  8.21199e+06
1  21  0
1  22  1.25864e+07
1  23  1.03867e+07
1  24  7.43798e+06
1  25  5.6017e+06
1  26  1.07539e+07
1  27  8.82225e+06
1  28  1.488e+07
1  29  6.77688e+06
1  30  1.16974e+07
1  31  2.39299e+06
1  32  8.99716e+06
1  33  7.09477e+06
1  34  4.59571e+06
1  35  4.76394e+06
1  36  1.01483e+07
1  37  1.34744e+07
1  38  0
1  39  3.80585e+06
1  40  2.39484e+06
1  41  0
1  42  9.2424e+06
1  43  435243
1  44  4.36451e+06
1  45  9.38098e+06
1  46  9.11283e+06
1  47  3.39941e+06
1  48  0
1  49  0
1  50  1.50101e+07
2  0  2.68253e+06
2  1  9.78832e+06
2  2  4.04786e+06
2  3  9.09235e+06
2  4  7.49984e+06
2  5  5.16166e+06
2  6  1.90703e+06
2  7  9.14834e+06
2  8  9.58318e+06
2  9  1.32602e+07
2  10  1.27422e+07
2  11  3.64509e+06
2  12  1.52411e+07
2  13  1.03253e+07
2  14  6.0723e+06
2  15  5.95773e+06
2  16  7.54968e+06
2  17  8.40675e+06
2  18  6.83036e+06
2  19  7.18261e+06
2  20  5.7112e+06
2  21  1.05758e+07
2  22  6.42918e+06
2  23  8.99487e+06
2  24  8.54593e+06
2  25  1.08463e+07
2  26  8.4496e+06
2  27  8.74241e+06
2  28  1.0754e+07
2  29  8.34737e+06
2  30  8.66487e+06
2  31  9.77409e+06
2  32  5.39355e+06
2  33  1.50685e+06
2  34  1.03608e+07
2  35  4.91159e+06
2  36  2.97242e+06
2  37  304304
2  38  6.22801e+06
2  39  7.18721e+06
2  40  2.46588e+06
2  41  388566
2  42  2.67676e+06
2  43  7.08903e+06
2  44  0
2  45  1.95502e+07
2  46  0
2  47  7.12208e+06
2  48  0
2  49  1.02804e+07
2  50  0
3  0  9.32926e+06
3  1  7.42065e+06
3  2  1.12909e+06
3  3  1.11051e+07
3  4  7.93047e+06
3  5  2.64723e+06
3  6  9.23394e+06
3  7  1.02665e+07
3  8  1.11886e+07
3  9  6.194e+06
3  10  4.74595e+06
3  11  7.36131e+06
3  12  9.19217e+06
3  13  5.98558e+06
3  14  7.314e+06
3  15  8.69609e+06
3  16  0
3  17  1.25329e+07
3  18  8.06977e+06
3  19  7.74392e+06
3  20  9.91499e+06
3  21  8.34948e+06
3  22  7.27524e+06
3  23  1.5268e+07
3  24  7.31858e+06
3  25  7.74205e+06
3  26  937038
3  27  1.44454e+07
3  28  9.81295e+06
3  29  4.76369e+06
3  30  522850
3  31  1.63294e+06
3  32  1.515e+07
3  33  1.08927e+07
3  34  727995
3  35  5.65876e+06
3  36  1.03541e+07
3  37  4.81529e+06
3  38  8.225e+06
3  39  9.75126e+06
3  40  0
3  41  1.1509e+07
3  42  0
3  43  0
3  44  1.12148e+07
3  45  1.68684e+06
3  46  0
3  47  6.03367e+06
3  48  708552
3  49  1.43846e+06
3  50  1.28543e+07
4  0  1.29565e+07
4  1  8.09104e+06
4  2  7.52357e+06
4  3  1.09699e+07
4  4  7.21691e+06
4  5  1.12095e+07
4  6  6.09792e+06
4  7  4.82167e+06
4  8  9.79548e+06
4  9  9.32019e+06
4  10  5.94011e+06
4  11  7.10248e+06
4  12  3.55598e+06
4  13  1.10514e+07
4  14  9.0488e+06
4  15  0
4  16  5.79557e+06
4  17  4.71084e+06
4  18  8.764e+06
4  19  8.11223e+06
4  20  2.1356e+06
4  21  7.77955e+06
4  22  1.3975e+07
4  23  4.5876e+06
4  24  6.2309e+06
4  25  9.41108e+06
4  26  4.72121e+06
4  27  8.96619e+06
4  28  9.19602e+06
4  29  9.86163e+06
4  30  5.85406e+06
4  31  1.74979e+06
4  32  7.90063e+06
4  33  1.78728e+07
4  34  3.61647e+06
4  35  1.03112e+07
4  36  1.55172e+07
4  37  7.55064e+06
4  38  1.24414e+06
4  39  8.13396e+06
4  40  1.48356e+06
4  41  6.15125e+06
4  42  4.30779e+06
4  43  5.25293e+06
4  44  0
4  45  704141
4  46  0
4  47  8.16099e+06
4  48  9.65564e+06
4  49  4.80295e+06
4  50  0
5  0  1.00905e+07
5  1  1.00019e+07
5  2  9.67446e+06
5  3  1.74478e+07
5  4  8.33848e+06
5  5  7.54963e+06
5  6  1.55816e+07
5  7  9.53325e+06
5  8  4.74566e+06
5  9  9.41487e+06
5  10  7.20916e+06
5  11  3.77533e+06
5  12  1.4192e+07
5  13  6.28408e+06
5  14  9.21791e+06
5  15  1.63668e+06
5  16  6.79033e+06
5  17  6.37832e+06
5  18  1.33596e+07
5  19  9.30103e+06
5  20  1.02297e+07
5  21  1.37532e+07
5  22  1.00205e+07
5  23  1.5143e+07
5  24  8.09733e+06
5  25  9.2661e+06
5  26  9.75214e+06
5  27  9.27447e+06
5  28  0
5  29  9.50749e+06
5  30  1.32219e+07
5  31  4.1654e+06
5  32  1.10922e+07
5  33  5.76123e+06
5  34  1.55438e+07
5  35  4.06315e+06
5  36  1.55307e+07
5  37  1.39645e+07
5  38  734044
5  39  5.2803e+06
5  40  9.81054e+06
5  41  1.13233e+07
5  42  1.08164e+07
5  43  0
5  44  4.68814e+06
5  45  942716
5  46  0
5  47  3.05479e+06
5  48  4.95339e+06
5  49  2.9478e+06
5  50  6.15783e+06
6  0  7.53656e+06
6  1  8.69477e+06
6  2  9.11192e+06
6  3  5.64126e+06
6  4  6.39898e+06
6  5  1.79161e+06
6  6  1.32567e+07
6  7  399754
6  8  1.11034e+07
6  9  5.58341e+06
6  10  6.22539e+06
6  11  3.34082e+06
6  12  5.83676e+06
6  13  6.19738e+06
6  14  8.26973e+06
6  15  6.26262e+06
6  16  9.79384e+06
6  17  1.1798e+07
6  18  7.43819e+06
6  19  1.09935e+07
6  20  9.78409e+06
6  21  9.57528e+06
6  22  7.05403e+06
6  23  8.42865e+06
6  24  1.04342e+07
6  25  1.43974e+07
6  26  4.1718e+06
6  27  2.81178e+06
6  28  1.16176e+07
6  29  1.29005e+07
6  30  7.21586e+06
6  31  5.38884e+06
6  32  1.06844e+07
6  33  5.93448e+06
6  34  4.08302e+06
6  35  1.26765e+06
6  36  6.9853e+06
6  37  1.68143e+06
6  38  1.03863e+07
6  39  5.07107e+06
6  40  0
6  41  9.93809e+06
6  42  6.44689e+06
6  43  3.6732e+06
6  44  0
6  45  8.89695e+06
6  46  0
6  47  0
6  48  2.20746e+06
6  49  0
6  50  0
7  0  8.13795e+06
7  1  4.08744e+06
7  2  6.16609e+06
7  3  6.44623e+06
7  4  8.62753e+06
7  5  6.44582e+06
7  6  9.19129e+06
7  7  0
7  8  5.2834e+06
7  9  9.64991e+06
7  10  1.12402e+07
7  11  9.00832e+06
7  12  1.0069e+07
7  13  7.59176e+06
7  14  1.1931e+07
7  15  4.18845e+06
7  16  8.77028e+06
7  17  7.86667e+06
7  18  1.37261e+07
7  19  1.18368e+07
7  20  5.11115e+06
7  21  7.15088e+06
7  22  1.35776e+07
7  23  1.92366e+07
7  24  6.93787e+06
7  25  5.34307e+06
7  26  1.08643e+07
7  27  3.91809e+06
7  28  6.41833e+06
7  29  8.43197e+06
7  30  1.07177e+07
7  31  5.81106e+06
7  32  1.68219e+07
7  33  7.49327e+06
7  34  4.36423e+06
7  35  1.07521e+07
7  36  1.23618e+07
7  37  4.63004e+06
7  38  5.76788e+06
7  39  3.95566e+06
7  40  1.96325e+06
7  41  6.66531e+06
7  42  4.51278e+06
7  43  0
7  44  4.90691e+06
7  45  490106
7  46  1.17427e+06
7  47  4.26269e+06
7  48  1.51021e+07
7  49  1.2334e+07
7  50  0
8  0  7.26848e+06
8  1  8.13999e+06
8  2  9.48162e+06
8  3  1.0107e+07
8  4  9.2249e+06
8  5  6.78457e+06
8  6  1.51594e+07
8  7  2.88808e+06
8  8  5.0109e+06
8  9  6.59297e+06
