row  column  (images_8.edf Fe_K*images_8.edf Ar_K**2.3)
0  0  5.73701e+07
0  1  5.84656e+07
0  2  6.78406e+07
0  3  6.48827e+07
0  4  7.49801e+07
0  5  5.96187e+07
0  6  8.09007e+07
0  7  6.19304e+07
0  8  5.90978e+07
0  9  6.60311e+07
0  10  5.89709e+07
0  11  5.98156e+07
0  12  6.84968e+07
0  13  6.3021e+07
0  14  6.44623e+07
0  15  5.24529e+07
0  16  8.04076e+07
0  17  9.30392e+07
0  18  5.36359e+07
0  19  8.58428e+07
0  20  7.74554e+07
0  21  6.36024e+07
0  22  6.27804e+07
0  23  6.78686e+07
0  24  7.62474e+07
0  25  6.16309e+07
0  26  6.88299e+07
0  27  7.70659e+07
0  28  1.00721e+08
0  29  8.43075e+07
0  30  4.77643e+07
0  31  5.30361e+07
0  32  7.20822e+07
0  33  5.5808e+07
0  34  5.84184e+07
0  35  6.57973e+07
0  36  6.03107e+07
0  37  5.2302e+07
0  38  5.32136e+07
0  39  5.03576e+07
0  40  2.6277e+07
0  41  2.47217e+07
0  42  2.85733e+07
0  43  3.49926e+07
0  44  2.70015e+07
0  45  3.82955e+07
0  46  3.15637e+07
0  47  3.56442e+07
0  48  3.18714e+07
0  49  2.79009e+07
0  50  3.76957e+07
1  0  5.76707e+07
1  1  6.23938e+07
1  2  5.75534e+07
1  3  8.1389e+07
1  4  5.83208e+07
1  5  7.15501e+07
1  6  6.32157e+07
1  7  5.02389e+07
1  8  4.68184e+07
1  9  6.80951e+07
1  10  5.83692e+07
1  11  5.80038e+07
1  12  6.19183e+07
1  13  7.06111e+07
1  14  6.24742e+07
1  15  6.63111e+07
1  16  9.16274e+07
1  17  6.14873e+07
1  18  7.19578e+07
1  19  6.94352e+07
1  20  7.01752e+07
1  21  7.21632e+07
1  22  6.47927e+07
1  23  7.69007e+07
1  24  8.19196e+07
1  25  7.70186e+07
1  26  7.72076e+07
1  27  8.38837e+07
1  28  1.07581e+08
1  29  7.17744e+07
1  30  6.20398e+07
1  31  4.31462e+07
1  32  8.92473e+07
1  33  7.06125e+07
1  34  7.97832e+07
1  35  7.8108e+07
1  36  5.8535e+07
1  37  4.93006e+07
1  38  5.48879e+07
1  39  3.80082e+07
1  40  2.92033e+07
1  41  3.2386e+07
1  42  3.10222e+07
1  43  3.72685e+07
1  44  3.39219e+07
1  45  3.97775e+07
1  46  3.96874e+07
1  47  4.02605e+07
1  48  2.59302e+07
1  49  2.91188e+07
1  50  4.49672e+07
2  0  6.10741e+07
2  1  7.57675e+07
2  2  5.92303e+07
2  3  7.29031e+07
2  4  6.33989e+07
2  5  6.48239e+07
2  6  6.53397e+07
2  7  5.58938e+07
2  8  5.50886e+07
2  9  7.972e+07
2  10  5.98891e+07
2  11  4.85652e+07
2  12  6.47635e+07
2  13  5.46036e+07
