row  column  (images_8.edf Mn_K*images_8.edf Ar_K**2.3)
0  0  0
0  1  6.55374e+06
0  2  1.06527e+07
0  3  2.26665e+06
0  4  1.09608e+07
0  5  7.3154e+06
0  6  8.52284e+06
0  7  5.21648e+06
0  8  1.23237e+07
0  9  1.04095e+07
0  10  1.27707e+07
0  11  1.30416e+07
0  12  8.09877e+06
0  13  1.18536e+07
0  14  1.04266e+07
0  15  1.10263e+07
0  16  1.48756e+07
0  17  1.36639e+07
0  18  1.56697e+07
0  19  1.66368e+07
0  20  1.17714e+07
0  21  8.56448e+06
0  22  8.76324e+06
0  23  1.39348e+07
0  24  9.19569e+06
0  25  5.9243e+06
0  26  5.52008e+06
0  27  1.59193e+07
0  28  6.82707e+06
0  29  8.77034e+06
0  30  1.16059e+07
0  31  1.19773e+07
0  32  1.47391e+07
0  33  1.6465e+07
0  34  1.22615e+07
0  35  2.35004e+07
0  36  1.19817e+07
0  37  1.78662e+07
0  38  1.28508e+07
0  39  2.58673e+07
0  40  2.15724e+07
0  41  1.9268e+07
0  42  1.64318e+07
0  43  1.70403e+07
0  44  1.45017e+07
0  45  1.44399e+07
0  46  1.09535e+07
0  47  1.00189e+07
0  48  1.93863e+07
0  49  1.83155e+07
0  50  1.42282e+07
1  0  3.94017e+06
1  1  9.42378e+06
1  2  2.31407e+06
1  3  8.61018e+06
1  4  1.10888e+07
1  5  1.04284e+07
1  6  8.14346e+06
1  7  7.9472e+06
1  8  8.53178e+06
1  9  8.96608e+06
1  10  6.03729e+06
1  11  1.41348e+07
1  12  9.32095e+06
1  13  1.20374e+07
1  14  8.98117e+06
1  15  1.06217e+07
1  16  1.27034e+07
1  17  9.74414e+06
1  18  1.2999e+07
1  19  9.08159e+06
1  20  1.04879e+07
1  21  1.51571e+07
1  22  1.05365e+07
1  23  7.9643e+06
1  24  1.17638e+07
1  25  1.04404e+07
1  26  9.26867e+06
1  27  1.29757e+07
1  28  1.73601e+07
1  29  1.13837e+07
1  30  1.78924e+07
1  31  1.96603e+07
1  32  1.50372e+07
1  33  1.35234e+07
1  34  1.55663e+07
1  35  1.52769e+07
1  36  1.39263e+07
1  37  1.05587e+07
1  38  1.04466e+07
1  39  1.0807e+07
1  40  1.96278e+07
1  41  2.05802e+07
1  42  1.93106e+07
1  43  1.52305e+07
1  44  2.1033e+07
1  45  2.09088e+07
1  46  2.40468e+07
1  47  2.07813e+07
1  48  1.59727e+07
1  49  1.94622e+07
1  50  2.68235e+07
2  0  1.176e+07
2  1  1.21556e+07
2  2  7.78762e+06
2  3  1.23269e+07
2  4  9.28589e+06
2  5  1.32304e+07
2  6  1.02508e+07
2  7  6.41719e+06
2  8  7.90075e+06
2  9  1.01739e+07
2  10  1.34919e+07
2  11  6.91273e+06
2  12  8.94479e+06
2  13  4.68588e+06
2  14  9.70161e+06
2  15  1.04128e+07
2  16  1.01186e+07
2  17  1.18841e+07
2  18  8.29475e+06
2  19  9.25498e+06
2  20  9.03795e+06
2  21  8.85449e+06
2  22  1.37394e+07
2  23  1.97164e+07
2  24  1.08501e+07
2  25  1.56702e+07
2  26  8.27652e+06
2  27  1.20323e+07
2  28  1.2392e+07
2  29  1.27315e+07
2  30  1.17002e+07
2  31  1.16688e+07
2  32  1.17857e+07
2  33  3.9943e+06
2  34  1.41354e+07
2  35  1.82066e+07
2  36  1.5273e+07
2  37  1.41846e+07
2  38  6.22664e+06
2  39  1.69441e+07
2  40  1.43582e+07
2  41  1.33276e+07
2  42  1.94327e+07
2  43  1.23204e+07
2  44  1.7944e+07
2  45  1.63344e+07
2  46  1.76476e+07
2  47  2.52641e+07
2  48  1.76919e+07
2  49  1.76865e+07
2  50  2.51825e+07
3  0  1.35266e+07
3  1  6.21437e+06
3  2  7.07263e+06
3  3  1.13689e+07
3  4  6.08765e+06
3  5  1.32335e+07
3  6  1.70207e+07
3  7  1.0686e+07
3  8  1.32064e+07
3  9  7.12503e+06
3  10  8.61379e+06
3  11  1.23878e+07
3  12  9.94898e+06
3  13  4.40618e+06
3  14  1.27547e+07
3  15  5.35337e+06
3  16  9.23053e+06
3  17  1.07671e+07
3  18  4.14018e+06
3  19  6.29734e+06
3  20  1.05383e+07
3  21  7.71966e+06
3  22  8.98997e+06
3  23  9.79245e+06
3  24  6.66466e+06
3  25  9.9451e+06
3  26  1.0868e+07
3  27  1.19344e+07
3  28  9.14496e+06
3  29  1.39798e+07
3  30  1.19711e+07
3  31  1.39982e+07
3  32  1.39823e+07
3  33  1.97771e+07
3  34  1.27726e+07
3  35  1.8571e+07
3  36  1.13573e+07
3  37  8.4257e+06
3  38  1.39887e+07
3  39  1.14019e+07
3  40  1.58303e+07
3  41  1.37581e+07
3  42  1.94699e+07
3  43  1.63602e+07
3  44  1.2966e+07
3  45  1.67992e+07
3  46  1.17621e+07
3  47  1.42072e+07
3  48  2.22093e+07
3  49  1.71035e+07
3  50  2.21513e+07
4  0  1.25287e+07
4  1  5.99982e+06
4  2  6.69669e+06
4  3  5.71765e+06
4  4  4.77694e+06
4  5  1.00131e+07
4  6  4.04935e+06
4  7  5.47289e+06
4  8  1.27586e+07
4  9  7.24964e+06
4  10  2.10078e+07
4  11  8.11756e+06
4  12  9.60322e+06
4  13  9.42191e+06
4  14  1.39359e+07
4  15  1.07644e+07
4  16  1.43058e+07
4  17  7.14805e+06
4  18  1.52053e+07
4  19  7.93673e+06
4  20  7.31521e+06
4  21  1.07521e+07
4  22  7.05926e+06
4  23  1.09146e+07
4  24  1.2081e+07
4  25  1.588e+07
4  26  1.02843e+07
4  27  1.24932e+07
4  28  1.2047e+07
4  29  1.18342e+07
4  30  1.2052e+07
4  31  1.99001e+07
4  32  1.10879e+07
4  33  8.06441e+06
4  34  1.40396e+07
4  35  9.26645e+06
4  36  1.87925e+07
4  37  1.71655e+07
4  38  2.097e+07
4  39  1.63875e+07
4  40  3.93887e+06
4  41  1.03964e+07
4  42  1.2884e+07
4  43  2.22135e+07
4  44  1.65078e+07
4  45  1.90776e+07
4  46  1.9777e+07
4  47  2.94284e+07
4  48  2.11921e+07
4  49  2.2142e+07
4  50  1.96562e+07
5  0  9.6e+06
5  1  8.89517e+06
5  2  7.57868e+06
5  3  1.10609e+07
5  4  4.01895e+06
5  5  9.0692e+06
5  6  9.04512e+06
5  7  7.95396e+06
5  8  6.1672e+06
5  9  1.25666e+07
5  10  8.23213e+06
5  11  2.72733e+06
5  12  1.33633e+07
5  13  1.28653e+07
5  14  9.21288e+06
5  15  5.36021e+06
5  16  1.84711e+07
5  17  8.7061e+06
5  18  4.28929e+06
5  19  8.42179e+06
5  20  1.39897e+07
5  21  7.2095e+06
5  22  1.03295e+07
5  23  8.03376e+06
5  24  6.73109e+06
5  25  1.19135e+07
5  26  9.40345e+06
5  27  1.49519e+07
5  28  8.33328e+06
5  29  1.69291e+07
5  30  1.76717e+07
5  31  1.53514e+07
5  32  1.03254e+07
5  33  1.11641e+07
5  34  1.18978e+07
5  35  1.12612e+07
5  36  1.06722e+07
5  37  1.49388e+07
5  38  1.27049e+07
5  39  1.68542e+07
5  40  1.20588e+07
5  41  1.32716e+07
5  42  1.98084e+07
5  43  9.9704e+06
5  44  1.13666e+07
5  45  1.18313e+07
5  46  2.78177e+07
5  47  1.67713e+07
5  48  2.13457e+07
5  49  2.34674e+07
5  50  1.6855e+07
6  0  3.83632e+06
6  1  4.32844e+06
6  2  1.00301e+07
6  3  1.25664e+07
6  4  8.82821e+06
6  5  6.275e+06
6  6  8.3198e+06
6  7  6.76641e+06
6  8  8.35698e+06
6  9  8.71251e+06
6  10  7.44414e+06
6  11  1.00066e+07
6  12  9.87797e+06
6  13  9.11652e+06
6  14  5.95644e+06
6  15  7.53862e+06
6  16  1.14182e+07
6  17  7.18311e+06
6  18  7.48942e+06
6  19  8.83922e+06
6  20  6.04587e+06
6  21  5.4011e+06
6  22  9.32286e+06
6  23  1.34881e+07
6  24  1.29973e+07
6  25  4.46506e+06
6  26  1.58565e+07
6  27  8.59731e+06
6  28  1.24781e+07
6  29  8.74237e+06
6  30  1.99413e+07
6  31  1.33188e+07
6  32  8.71299e+06
6  33  7.71072e+06
6  34  1.24508e+07
6  35  1.20587e+07
6  36  8.5887e+06
6  37  1.17605e+07
6  38  1.76638e+07
6  39  1.57826e+07
6  40  1.06968e+07
6  41  2.40297e+07
6  42  2.52961e+07
