row  column  (images_8.edf P_K*images_8.edf Ar_K**2.3)
0  0  1.0232e+06
0  1  0
0  2  1.39145e+06
0  3  3.37743e+06
0  4  9.93049e+06
0  5  2.25162e+06
0  6  2.4129e+06
0  7  0
0  8  8.11022e+06
0  9  0
0  10  6.00478e+06
0  11  0
0  12  1.25316e+07
0  13  0
0  14  0
0  15  0
0  16  0
0  17  5.91722e+06
0  18  1.13906e+07
0  19  9.22365e+06
0  20  0
0  21  8.25478e+06
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  1.04139e+07
0  29  0
0  30  0
0  31  0
0  32  0
0  33  0
0  34  0
0  35  0
0  36  0
0  37  0
0  38  0
0  39  0
0  40  0
0  41  0
0  42  0
0  43  0
0  44  0
0  45  0
0  46  0
0  47  0
0  48  0
0  49  0
0  50  0
1  0  0
1  1  2.14692e+06
1  2  0
1  3  1.78172e+06
1  4  3.34836e+06
1  5  0
1  6  8.43651e+06
1  7  3.49062e+06
1  8  0
1  9  4.76547e+06
1  10  0
1  11  4.42823e+06
1  12  4.39472e+06
1  13  0
1  14  0
1  15  0
1  16  0
1  17  9.0246e+06
1  18  1.65931e+07
1  19  1.01223e+07
1  20  1.08703e+07
1  21  1.21542e+06
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0
1  30  0
1  31  0
1  32  0
1  33  348164
1  34  0
1  35  0
1  36  0
1  37  0
1  38  0
1  39  0
1  40  0
1  41  0
1  42  0
1  43  0
1  44  0
1  45  0
1  46  0
1  47  0
1  48  0
1  49  0
1  50  0
2  0  0
2  1  1.45913e+06
2  2  0
2  3  6.38451e+06
2  4  3.43635e+06
2  5  0
2  6  6.26266e+06
2  7  6.05621e+06
2  8  8.82511e+06
2  9  7.73606e+06
2  10  4.30447e+06
2  11  0
2  12  0
2  13  5.07501e+06
2  14  0
2  15  0
2  16  7.60473e+06
2  17  0
2  18  1.03563e+07
2  19  9.93428e+06
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  8.16923e+06
2  29  0
2  30  0
2  31  0
2  32  0
2  33  0
2  34  0
2  35  0
2  36  0
2  37  0
2  38  0
2  39  0
2  40  0
2  41  0
2  42  0
2  43  0
2  44  0
2  45  0
2  46  0
2  47  0
2  48  0
2  49  0
2  50  0
3  0  2.21621e+06
3  1  0
3  2  0
3  3  5.5636e+06
3  4  0
3  5  0
3  6  0
3  7  0
3  8  1.00377e+07
3  9  7.5552e+06
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  0
3  16  0
3  17  6.95451e+06
3  18  9.02572e+06
3  19  1.05565e+07
3  20  0
3  21  6.24413e+06
3  22  8.0403e+06
3  23  0
3  24  0
3  25  9.21943e+06
3  26  0
3  27  6.30721e+06
3  28  0
3  29  0
3  30  0
3  31  0
3  32  0
3  33  0
3  34  0
3  35  0
3  36  6.70194e+06
3  37  0
3  38  0
3  39  0
3  40  0
3  41  0
3  42  0
3  43  0
3  44  0
3  45  0
3  46  0
3  47  0
3  48  0
3  49  0
3  50  0
4  0  0
4  1  0
4  2  0
4  3  6.44784e+06
4  4  0
4  5  0
4  6  3.15534e+06
4  7  5.11984e+06
4  8  1.01465e+07
4  9  3.9157e+06
4  10  0
4  11  8.66725e+06
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  1.31144e+07
4  20  0
4  21  9.43522e+06
4  22  2.06436e+07
4  23  0
4  24  9.96845e+06
4  25  9.06532e+06
4  26  0
4  27  0
4  28  9.92276e+06
4  29  0
4  30  0
4  31  0
4  32  0
4  33  9.42632e+06
4  34  0
4  35  0
4  36  0
4  37  0
4  38  0
4  39  0
4  40  0
4  41  0
4  42  0
4  43  0
4  44  0
4  45  0
4  46  0
4  47  0
4  48  0
4  49  0
4  50  0
5  0  6.80761e+06
5  1  0
5  2  0
5  3  1.26625e+07
5  4  5.11692e+06
5  5  4.16527e+06
5  6  0
5  7  5.64654e+06
5  8  6.91574e+06
5  9  0
5  10  1.15998e+07
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  6.61099e+06
5  17  1.05519e+07
5  18  1.11189e+07
5  19  0
5  20  7.35444e+06
5  21  1.14166e+07
5  22  1.53386e+07
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  3.08043e+06
5  29  0
5  30  0
5  31  9.02653e+06
5  32  0
5  33  0
5  34  0
5  35  0
5  36  0
5  37  0
5  38  0
5  39  0
5  40  0
5  41  0
5  42  0
5  43  0
5  44  0
5  45  0
5  46  0
5  47  0
5  48  0
5  49  0
5  50  0
6  0  0
6  1  0
6  2  7.85397e+06
6  3  1.32551e+07
6  4  0
6  5  0
6  6  0
6  7  7.56308e+06
6  8  0
6  9  5.2553e+06
6  10  1.01632e+07
6  11  9.1578e+06
6  12  0
6  13  0
6  14  8.5663e+06
6  15  0
6  16  0
6  17  0
6  18  0
6  19  8.62294e+06
6  20  7.97149e+06
6  21  1.68812e+07
6  22  1.29589e+07
6  23  8.86795e+06
6  24  0
6  25  9.66027e+06
6  26  0
6  27  0
6  28  1.54296e+07
6  29  0
6  30  0
6  31  0
6  32  0
6  33  0
6  34  9.62678e+06
6  35  1.35969e+07
6  36  0
6  37  0
6  38  0
6  39  0
6  40  0
6  41  0
6  42  0
6  43  0
6  44  0
6  45  0
6  46  0
6  47  0
6  48  0
6  49  0
6  50  0
7  0  0
7  1  5.37486e+06
7  2  5.23047e+06
7  3  5.86962e+06
7  4  6.54e+06
7  5  0
7  6  0
7  7  0
7  8  0
7  9  0
7  10  0
7  11  1.20308e+07
7  12  0
7  13  0
7  14  0
7  15  6.65551e+06
7  16  1.38835e+07
7  17  9.36093e+06
7  18  0
7  19  8.05973e+06
7  20  1.09489e+07
7  21  1.68839e+07
7  22  1.18686e+07
7  23  1.15916e+07
7  24  1.17058e+07
7  25  6.92425e+06
7  26  0
7  27  7.13526e+06
7  28  0
7  29  0
7  30  9.00755e+06
7  31  0
7  32  8.23964e+06
7  33  1.18507e+07
7  34  6.35398e+06
7  35  9.23616e+06
7  36  9.12208e+06
7  37  0
7  38  6.65624e+06
7  39  0
7  40  0
7  41  0
7  42  0
7  43  0
7  44  0
7  45  0
7  46  0
7  47  0
7  48  0
7  49  0
7  50  0
8  0  0
8  1  0
8  2  8.72156e+06
8  3  0
8  4  0
8  5  0
8  6  0
8  7  7.31823e+06
8  8  6.76156e+06
8  9  7.58705e+06
8  10  0
8  11  9.42292e+06
8  12  0
8  13  0
8  14  0
8  15  0
8  16  1.33506e+07
8  17  1.32558e+07
8  18  7.7813e+06
8  19  9.3214e+06
8  20  1.64168e+07
8  21  1.126e+07
