row  column  (images_8.edf S_K*images_8.edf Ar_K**2.3)
0  0  0
0  1  7.66074e+06
0  2  0
0  3  8.56365e+06
0  4  1.62733e+07
0  5  1.35945e+07
0  6  1.41899e+07
0  7  2.06759e+07
0  8  3.01659e+07
0  9  3.04651e+07
0  10  3.40902e+07
0  11  3.86304e+07
0  12  3.34843e+07
0  13  4.40181e+07
0  14  4.48961e+07
0  15  3.38582e+07
0  16  2.85092e+07
0  17  2.78808e+07
0  18  4.35755e+07
0  19  5.90301e+07
0  20  2.90165e+07
0  21  2.69471e+07
0  22  2.41807e+07
0  23  2.18171e+07
0  24  2.95205e+07
0  25  2.9822e+07
0  26  3.63691e+07
0  27  2.59774e+07
0  28  1.89755e+07
0  29  1.86747e+07
0  30  0
0  31  0
0  32  0
0  33  0
0  34  0
0  35  0
0  36  0
0  37  0
0  38  0
0  39  0
0  40  0
0  41  0
0  42  0
0  43  0
0  44  0
0  45  0
0  46  0
0  47  0
0  48  0
0  49  0
0  50  0
1  0  0
1  1  7.31304e+06
1  2  3.21861e+06
1  3  1.60833e+07
1  4  1.97147e+07
1  5  1.02137e+07
1  6  1.70091e+07
1  7  1.10743e+07
1  8  2.80239e+07
1  9  2.99034e+07
1  10  3.44478e+07
1  11  3.60345e+07
1  12  4.01922e+07
1  13  4.41206e+07
1  14  4.35204e+07
1  15  4.12262e+07
1  16  2.74474e+07
1  17  3.59747e+07
1  18  5.77259e+07
1  19  4.92606e+07
1  20  3.62684e+07
1  21  3.76671e+07
1  22  2.70164e+07
1  23  3.51719e+07
1  24  3.54586e+07
1  25  2.92876e+07
1  26  2.30874e+07
1  27  2.82743e+07
1  28  0
1  29  0
1  30  1.97728e+07
1  31  0
1  32  0
1  33  0
1  34  0
1  35  0
1  36  0
1  37  0
1  38  0
1  39  0
1  40  0
1  41  0
1  42  0
1  43  0
1  44  0
1  45  0
1  46  0
1  47  0
1  48  0
1  49  0
1  50  0
2  0  1.76214e+07
2  1  8.54901e+06
