row  column  (images_8.edf Zn_K*images_8.edf Ar_K**2.3)
0  0  2.17693e+07
0  1  2.07922e+07
0  2  2.77142e+07
0  3  2.35925e+07
0  4  2.63263e+07
0  5  3.09394e+07
0  6  3.58338e+07
0  7  3.42455e+07
0  8  3.49271e+07
0  9  3.7202e+07
0  10  4.91725e+07
0  11  4.08374e+07
0  12  4.90744e+07
0  13  6.45422e+07
0  14  6.42902e+07
0  15  4.23503e+07
0  16  5.51798e+07
0  17  4.01806e+07
0  18  5.32246e+07
0  19  8.12079e+07
0  20  6.74619e+07
0  21  5.25877e+07
0  22  4.63574e+07
0  23  3.54542e+07
0  24  5.54357e+07
0  25  4.38219e+07
0  26  5.4834e+07
0  27  6.5544e+07
0  28  5.17546e+07
0  29  2.42156e+07
0  30  2.18866e+07
0  31  2.57233e+07
0  32  1.70932e+07
0  33  2.11465e+07
0  34  1.51358e+07
0  35  0
0  36  1.04986e+07
0  37  5.83678e+06
0  38  1.68083e+07
0  39  6.188e+06
0  40  0
0  41  0
0  42  0
0  43  0
0  44  5.63831e+06
0  45  848808
0  46  0
0  47  7.28406e+06
0  48  1.63317e+06
0  49  0
0  50  0
1  0  2.20416e+07
1  1  2.1439e+07
1  2  1.63434e+07
1  3  3.05347e+07
1  4  3.02202e+07
1  5  2.05898e+07
1  6  2.46523e+07
1  7  2.17947e+07
1  8  2.36169e+07
1  9  4.15907e+07
1  10  4.29371e+07
1  11  4.55289e+07
1  12  5.06357e+07
1  13  4.93447e+07
1  14  4.54351e+07
1  15  5.14617e+07
1  16  5.62002e+07
1  17  4.99643e+07
1  18  6.97078e+07
1  19  7.04717e+07
1  20  5.83114e+07
1  21  4.72789e+07
1  22  5.36145e+07
1  23  6.03038e+07
1  24  6.52954e+07
1  25  5.91395e+07
1  26  4.61169e+07
1  27  5.53035e+07
1  28  5.45629e+07
1  29  3.08913e+07
1  30  3.35274e+07
1  31  2.5876e+07
1  32  3.87129e+07
1  33  3.32398e+07
1  34  1.17609e+07
1  35  1.38532e+07
1  36  1.69369e+07
1  37  1.58783e+07
1  38  2.87561e+06
1  39  6.97938e+06
1  40  7.48645e+06
1  41  0
1  42  0
1  43  0
1  44  0
1  45  0
1  46  0
1  47  0
1  48  0
1  49  0
1  50  0
2  0  1.3692e+07
2  1  2.28214e+07
