row  column  (images_9.edf Cu_K*images_9.edf Ar_K**2.3)
0  0  2.28734e+06
0  1  8.74353e+06
0  2  4.33877e+07
0  3  7.43149e+06
0  4  2.15453e+07
0  5  5.78433e+07
0  6  0
0  7  1.94912e+07
0  8  0
0  9  2.66925e+07
0  10  4.36742e+07
0  11  1.58192e+07
0  12  4.41856e+07
0  13  0
0  14  0
0  15  0
0  16  0
0  17  4.06609e+06
0  18  2.54372e+07
0  19  0
0  20  0
0  21  0
0  22  2.49628e+07
0  23  0
0  24  0
0  25  0
0  26  8.63209e+07
0  27  5.77822e+07
0  28  0
0  29  0
0  30  0
0  31  6.08729e+06
0  32  0
0  33  5.28063e+07
0  34  2.15035e+07
0  35  0
0  36  9.92517e+06
0  37  0
0  38  2.20103e+07
0  39  2.92234e+07
0  40  7.3537e+07
0  41  0
0  42  0
0  43  1.59751e+07
0  44  2.85329e+07
0  45  0
0  46  0
0  47  1.25143e+06
0  48  0
0  49  5.55995e+07
0  50  1.84381e+07
1  0  0
1  1  8.57558e+06
1  2  0
1  3  0
1  4  0
1  5  0
1  6  5.40453e+06
1  7  0
1  8  3.52285e+06
1  9  0
1  10  4.71786e+07
1  11  0
1  12  7.13521e+07
1  13  1.66337e+07
1  14  1.22328e+07
1  15  0
1  16  0
1  17  0
1  18  1.71501e+06
1  19  0
1  20  0
1  21  0
1  22  0
1  23  7.23215e+07
1  24  0
1  25  0
1  26  1.96709e+07
1  27  0
1  28  5.0002e+07
1  29  6.78153e+06
1  30  2.57712e+07
1  31  0
1  32  0
1  33  4.11754e+07
1  34  0
1  35  8.78005e+06
1  36  0
1  37  0
1  38  3.87184e+06
1  39  0
1  40  6.43722e+07
1  41  0
1  42  2.42898e+07
1  43  9.41771e+06
1  44  0
1  45  1.56696e+06
1  46  0
1  47  0
1  48  7.53838e+06
1  49  1.736e+07
1  50  0
2  0  3.75876e+07
2  1  0
2  2  2.63835e+07
2  3  0
2  4  5.30431e+07
2  5  1.97651e+07
2  6  0
2  7  0
2  8  2.7214e+06
2  9  0
2  10  0
2  11  3.73549e+07
2  12  0
2  13  1.64205e+06
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  3.10237e+07
2  20  7.78804e+06
2  21  2.13879e+07
2  22  3.97864e+07
2  23  0
2  24  5.26536e+07
2  25  0
2  26  1.3573e+07
2  27  0
2  28  0
2  29  0
2  30  1.50751e+06
2  31  1.81418e+07
2  32  0
2  33  3.89109e+07
2  34  3.9788e+07
2  35  0
2  36  5.67756e+07
2  37  1.62229e+07
2  38  4.84459e+07
2  39  1.96821e+07
2  40  0
2  41  0
2  42  0
2  43  0
2  44  5.52415e+06
2  45  0
2  46  2.82571e+07
2  47  1.11301e+07
2  48  0
2  49  3.05012e+07
2  50  0
3  0  8.30943e+07
3  1  2.84787e+06
3  2  0
3  3  1.64487e+07
3  4  6.3871e+06
3  5  4.49137e+06
3  6  8.15348e+07
3  7  3.6367e+07
3  8  0
3  9  1.73104e+07
3  10  5.70313e+07
3  11  2.15682e+07
3  12  0
3  13  5.54177e+07
3  14  2.33499e+07
3  15  0
3  16  0
3  17  5.69463e+07
3  18  4.2937e+07
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  2.19748e+07
3  27  1.61642e+07
3  28  0
3  29  911845
3  30  0
3  31  6.492e+06
3  32  3.6526e+06
3  33  0
3  34  0
3  35  0
3  36  0
3  37  4.94167e+07
3  38  0
3  39  2.89117e+07
3  40  0
3  41  0
3  42  0
3  43  2.33031e+07
3  44  0
3  45  0
3  46  9.76105e+06
3  47  0
3  48  0
3  49  0
3  50  3.08651e+07
4  0  7.86799e+07
4  1  4.85041e+07
4  2  0
4  3  2.96822e+07
4  4  7.32279e+07
4  5  0
4  6  0
4  7  3.91229e+06
4  8  2.33165e+07
4  9  0
4  10  0
4  11  0
4  12  0
4  13  1.40251e+07
4  14  1.74567e+07
4  15  2.3262e+07
4  16  0
4  17  0
4  18  2.74832e+07
4  19  0
4  20  0
4  21  0
4  22  0
4  23  6.19363e+07
4  24  0
4  25  1.22397e+07
4  26  2.48907e+07
4  27  0
4  28  0
4  29  0
4  30  3.13507e+07
4  31  4.66422e+07
4  32  0
4  33  49222.7
4  34  1.10476e+07
4  35  0
4  36  4.2496e+07
4  37  0
4  38  1.49751e+07
4  39  0
4  40  0
4  41  0
4  42  2.80625e+07
4  43  3.76214e+07
4  44  3.69882e+07
4  45  6.99442e+06
4  46  3.11937e+07
4  47  2.98724e+07
4  48  0
4  49  0
4  50  0
5  0  7.82294e+06
5  1  9.87554e+07
5  2  2.73794e+07
5  3  4.75499e+07
5  4  0
5  5  1.7969e+07
5  6  0
5  7  0
5  8  2.73448e+07
5  9  0
5  10  8.39995e+06
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  3.31014e+07
5  21  0
5  22  3.21226e+07
5  23  9.21639e+07
5  24  0
5  25  0
5  26  1.32049e+07
5  27  0
5  28  0
5  29  1.84903e+06
5  30  0
5  31  5.42053e+07
5  32  996920
5  33  0
5  34  4.0694e+07
5  35  0
5  36  0
5  37  0
5  38  0
5  39  8.764e+06
5  40  2.9243e+07
5  41  5.10266e+07
5  42  0
5  43  0
5  44  0
5  45  4.9507e+07
5  46  7.92893e+06
5  47  3.5441e+07
5  48  7.24395e+07
5  49  0
5  50  0
6  0  6.92637e+07
6  1  2.35799e+07
6  2  0
6  3  1.2078e+07
6  4  1.91194e+07
6  5  1.42532e+07
6  6  0
6  7  2.53515e+07
6  8  1.8878e+07
6  9  247044
6  10  0
6  11  0
6  12  7.23162e+06
6  13  0
6  14  0
6  15  3.07085e+07
6  16  0
6  17  5.65278e+07
6  18  0
6  19  0
6  20  6.77309e+07
6  21  7.44741e+06
6  22  0
6  23  2.83696e+07
6  24  0
6  25  0
6  26  0
6  27  2.73219e+07
6  28  0
6  29  2.71879e+07
6  30  1.46672e+07
6  31  0
6  32  2.02609e+07
6  33  4.52617e+07
6  34  0
6  35  0
6  36  0
6  37  0
6  38  0
6  39  0
6  40  1.40962e+07
6  41  3.08578e+07
6  42  5.79389e+07
6  43  0
6  44  0
6  45  6.26856e+06
6  46  0
6  47  8.13287e+06
6  48  0
6  49  0
6  50  0
7  0  2.59694e+07
7  1  6.10176e+07
7  2  6.686e+06
7  3  0
7  4  0
7  5  3.35097e+06
7  6  1.25934e+07
7  7  0
7  8  0
7  9  5.58072e+07
7  10  0
7  11  0
7  12  2.35602e+07
7  13  0
7  14  1.80985e+07
7  15  1.98062e+07
7  16  0
7  17  6.14217e+07
7  18  0
7  19  1.55495e+07
7  20  0
7  21  0
7  22  0
7  23  9.11964e+07
7  24  0
7  25  0
7  26  0
7  27  0
7  28  1.25643e+06
7  29  0
7  30  0
7  31  5.79576e+07
7  32  0
7  33  2.58908e+06
7  34  0
7  35  0
7  36  7.03172e+07
7  37  1.26639e+07
7  38  0
7  39  1.32275e+07
7  40  1.74032e+07
7  41  1.17766e+07
7  42  0
7  43  1.91971e+07
7  44  0
7  45  1.79208e+06
7  46  0
7  47  0
7  48  2.28917e+07
7  49  0
7  50  0
8  0  0
8  1  3.02628e+07
8  2  2.53255e+07
8  3  3.04027e+07
8  4  0
8  5  0
8  6  7.01734e+07
8  7  0
8  8  6.19669e+07
8  9  3.08889e+07
8  10  0
8  11  0
8  12  1.59908e+07
8  13  1.45121e+07
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  3.66414e+07
8  20  0
