row  column  (images_9.edf Mn_K*images_9.edf Ar_K**2.3)
0  0  8.80112e+07
0  1  1.02575e+08
0  2  1.23083e+08
0  3  1.33958e+08
0  4  1.0802e+08
0  5  8.91477e+07
0  6  1.53991e+08
0  7  1.28133e+08
0  8  1.41892e+08
0  9  1.42453e+08
0  10  1.39453e+08
0  11  1.05e+08
0  12  1.33797e+08
0  13  1.45439e+08
0  14  1.47584e+08
0  15  9.65701e+07
0  16  1.26441e+08
0  17  1.14316e+08
0  18  1.13956e+08
0  19  1.25894e+08
0  20  1.36079e+08
0  21  1.37608e+08
0  22  8.38774e+07
0  23  1.63121e+08
0  24  9.24569e+07
0  25  1.58943e+08
0  26  8.87899e+07
0  27  5.93695e+07
0  28  1.45086e+08
0  29  1.29107e+08
0  30  1.33416e+08
0  31  1.81816e+08
0  32  1.55547e+08
0  33  1.08047e+08
0  34  1.63634e+08
0  35  1.32879e+08
0  36  1.80667e+08
0  37  1.50663e+08
0  38  1.22734e+08
0  39  1.34464e+08
0  40  8.05732e+07
0  41  1.33342e+08
0  42  1.34663e+08
0  43  1.35706e+08
0  44  1.38699e+08
0  45  1.08169e+08
0  46  1.19464e+08
0  47  7.60516e+07
0  48  1.78341e+08
0  49  1.05675e+08
0  50  1.70171e+08
1  0  1.45909e+08
1  1  8.01031e+07
1  2  8.1288e+07
1  3  7.8089e+07
1  4  1.09341e+08
1  5  5.80319e+07
1  6  1.52731e+08
1  7  1.36226e+08
1  8  1.2254e+08
1  9  1.02545e+08
1  10  1.21739e+08
1  11  1.30259e+08
1  12  1.34778e+08
1  13  1.00256e+08
1  14  1.33875e+08
1  15  1.12033e+08
1  16  1.19554e+08
1  17  1.59967e+08
1  18  8.57904e+07
1  19  1.02221e+08
1  20  1.37127e+08
1  21  1.8546e+08
1  22  1.72515e+08
1  23  1.1387e+08
1  24  1.06261e+08
1  25  1.0885e+08
1  26  1.22537e+08
1  27  7.88761e+07
1  28  1.22186e+08
1  29  1.75854e+08
1  30  1.36635e+08
1  31  1.92902e+08
1  32  1.53385e+08
1  33  9.46417e+07
1  34  1.52447e+08
1  35  1.43306e+08
1  36  1.92925e+08
1  37  1.38614e+08
1  38  1.27914e+08
1  39  1.0188e+08
1  40  1.60365e+08
1  41  1.0381e+08
1  42  1.36438e+08
1  43  1.64547e+08
1  44  1.15598e+08
1  45  1.29292e+08
1  46  1.37423e+08
1  47  9.04357e+07
1  48  1.32832e+08
1  49  1.12253e+08
1  50  1.29831e+08
2  0  9.35034e+07
2  1  1.11876e+08
2  2  7.6057e+07
2  3  9.85572e+07
2  4  7.62411e+07
2  5  1.10914e+08
2  6  1.02049e+08
2  7  1.48084e+08
2  8  6.00929e+07
2  9  1.06383e+08
2  10  1.05607e+08
2  11  9.38373e+07
2  12  1.41255e+08
2  13  1.29827e+08
2  14  1.76091e+08
2  15  1.51097e+08
2  16  1.42652e+08
2  17  1.22433e+08
2  18  1.02994e+08
2  19  1.11049e+08
2  20  1.58593e+08
2  21  1.39889e+08
2  22  1.1331e+08
2  23  1.08359e+08
2  24  1.33152e+08
2  25  1.4002e+08
2  26  1.43593e+08
2  27  8.25161e+07
2  28  7.27451e+07
2  29  1.06205e+08
2  30  1.41034e+08
2  31  1.52767e+08
2  32  8.11372e+07
2  33  9.30281e+07
2  34  1.43668e+08
2  35  7.23962e+07
2  36  6.43557e+07
2  37  1.21862e+08
2  38  5.38045e+07
2  39  9.19582e+07
2  40  1.03148e+08
2  41  4.67379e+07
2  42  8.14034e+07
2  43  6.71098e+07
2  44  1.15206e+08
2  45  1.17883e+08
2  46  1.83855e+08
2  47  1.32017e+08
2  48  9.16647e+07
2  49  9.46558e+07
2  50  1.15608e+08
3  0  8.8127e+07
3  1  1.24209e+08
3  2  1.28589e+08
3  3  1.31912e+08
3  4  7.09665e+07
3  5  4.40083e+07
3  6  1.22245e+08
3  7  7.29597e+07
3  8  1.44449e+08
3  9  9.97043e+07
3  10  1.01069e+08
3  11  1.34052e+08
3  12  8.2163e+07
3  13  1.10945e+08
3  14  8.83001e+07
3  15  1.34209e+08
3  16  1.25781e+08
3  17  1.19175e+08
3  18  1.14587e+08
3  19  1.35935e+08
3  20  9.81053e+07
3  21  1.34502e+08
3  22  2.00299e+08
3  23  9.78114e+07
3  24  8.52556e+07
3  25  1.14624e+08
3  26  1.12815e+08
3  27  1.81381e+08
3  28  1.15568e+08
3  29  1.14185e+08
3  30  1.34638e+08
3  31  1.40695e+08
3  32  8.7491e+07
3  33  1.12124e+08
3  34  1.4106e+08
3  35  1.6005e+08
3  36  1.16776e+08
3  37  1.48957e+08
3  38  9.29331e+07
3  39  9.52369e+07
3  40  1.79041e+08
3  41  9.72643e+07
3  42  1.26326e+08
3  43  8.74326e+07
3  44  1.04486e+08
3  45  1.95307e+08
3  46  1.2789e+08
3  47  1.7454e+08
3  48  1.33827e+08
3  49  1.48671e+08
3  50  1.50761e+08
4  0  5.43096e+07
4  1  6.52663e+07
4  2  8.11014e+07
4  3  9.11468e+07
4  4  1.35221e+08
4  5  1.33563e+08
4  6  9.54181e+07
4  7  1.16788e+08
4  8  1.47205e+08
4  9  7.77884e+07
4  10  1.38758e+08
4  11  1.04691e+08
4  12  8.6404e+07
4  13  1.07427e+08
4  14  1.36356e+08
4  15  1.38025e+08
4  16  1.56217e+08
4  17  1.03009e+08
4  18  1.26871e+08
4  19  8.78934e+07
4  20  1.42008e+08
4  21  1.19907e+08
4  22  1.26222e+08
4  23  7.03639e+07
4  24  1.13994e+08
4  25  1.50684e+08
4  26  1.57567e+08
4  27  1.00188e+08
4  28  1.19873e+08
4  29  1.40344e+08
4  30  1.12576e+08
4  31  1.0678e+08
4  32  1.31681e+08
4  33  1.09288e+08
4  34  1.26644e+08
4  35  1.39025e+08
4  36  7.65559e+07
4  37  1.41738e+08
4  38  1.20452e+08
4  39  9.33847e+07
4  40  1.32085e+08
4  41  1.54016e+08
4  42  1.08135e+08
4  43  1.44767e+08
4  44  9.11245e+07
4  45  1.52556e+08
4  46  1.06418e+08
4  47  7.15394e+07
4  48  1.43299e+08
4  49  6.93668e+07
4  50  7.27784e+07
5  0  6.21058e+07
5  1  5.80301e+07
5  2  1.15677e+08
5  3  1.08069e+08
5  4  1.06779e+08
5  5  8.95711e+07
5  6  1.57155e+08
5  7  1.07033e+08
5  8  7.13031e+07
5  9  1.28474e+08
5  10  1.65757e+08
5  11  1.04454e+08
5  12  1.29084e+08
5  13  1.62058e+08
5  14  9.62987e+07
5  15  8.80596e+07
5  16  7.98769e+07
5  17  1.50262e+08
5  18  1.1792e+08
5  19  1.66373e+08
5  20  1.19466e+08
5  21  1.26261e+08
5  22  1.42966e+08
5  23  1.64195e+08
5  24  1.22128e+08
5  25  1.17336e+08
5  26  1.11249e+08
5  27  9.47445e+07
5  28  1.33983e+08
5  29  1.53006e+08
5  30  1.51898e+08
5  31  1.24984e+08
5  32  1.50552e+08
5  33  9.31858e+07
5  34  9.93602e+07
5  35  8.79856e+07
5  36  6.9234e+07
5  37  1.23209e+08
5  38  1.32829e+08
5  39  1.15369e+08
5  40  8.82133e+07
5  41  1.1895e+08
5  42  1.5184e+08
5  43  1.10249e+08
5  44  1.24168e+08
5  45  1.26214e+08
5  46  9.84057e+07
5  47  1.10304e+08
5  48  1.38771e+08
5  49  1.23342e+08
5  50  1.43013e+08
6  0  6.58886e+07
6  1  8.84819e+07
6  2  1.26972e+08
6  3  1.1066e+08
6  4  9.78451e+07
6  5  1.0948e+08
6  6  8.78489e+07
6  7  1.54502e+08
6  8  8.52352e+07
6  9  1.41409e+08
6  10  1.15734e+08
6  11  1.3668e+08
6  12  9.20028e+07
6  13  1.13362e+08
6  14  9.32255e+07
6  15  1.28565e+08
6  16  1.73478e+08
6  17  8.58122e+07
6  18  1.52947e+08
6  19  1.58006e+08
6  20  1.08674e+08
6  21  1.86685e+08
6  22  1.45587e+08
6  23  1.19483e+08
6  24  1.15215e+08
6  25  1.40425e+08
6  26  1.31999e+08
6  27  2.11457e+08
6  28  1.09578e+08
6  29  8.76733e+07
6  30  1.55984e+08
6  31  1.46573e+08
6  32  1.30364e+08
6  33  1.13929e+08
6  34  1.53842e+08
6  35  1.36076e+08
6  36  1.0286e+08
6  37  9.76138e+07
6  38  1.41929e+08
6  39  1.32602e+08
6  40  8.87172e+07
6  41  1.55071e+08
6  42  5.30485e+07
6  43  6.88989e+07
6  44  1.09982e+08
6  45  1.93925e+08
6  46  1.74485e+08
6  47  1.25454e+08
6  48  1.72368e+08
6  49  1.52525e+08
6  50  1.48741e+08
7  0  6.67636e+07
7  1  1.17816e+08
7  2  1.20806e+08
7  3  7.95361e+07
7  4  1.3881e+08
7  5  1.05904e+08
7  6  1.08251e+08
7  7  1.32641e+08
7  8  7.65505e+07
7  9  1.02976e+08
7  10  1.06309e+08
7  11  1.20164e+08
7  12  1.54969e+08
7  13  1.27166e+08
7  14  1.09404e+08
7  15  1.12037e+08
7  16  1.42285e+08
7  17  9.41779e+07
7  18  9.68904e+07
7  19  1.2941e+08
7  20  9.45966e+07
7  21  1.03725e+08
7  22  1.10007e+08
7  23  1.02382e+08
7  24  1.43405e+08
7  25  9.80157e+07
7  26  7.65104e+07
7  27  1.15877e+08
7  28  1.4987e+08
7  29  1.49826e+08
7  30  9.24871e+07
7  31  8.07267e+07
7  32  1.40995e+08
7  33  1.40122e+08
7  34  1.09512e+08
7  35  1.23523e+08
7  36  1.86387e+08
7  37  1.76096e+08
7  38  1.2353e+08
7  39  1.13522e+08
7  40  1.03638e+08
7  41  1.20572e+08
7  42  1.78563e+08
7  43  9.84013e+07
7  44  2.02287e+08
7  45  1.2898e+08
7  46  1.17899e+08
7  47  1.36949e+08
7  48  1.08079e+08
7  49  9.41183e+07
7  50  9.99843e+07
8  0  4.71064e+07
8  1  6.43561e+07
8  2  1.09094e+08
8  3  1.71255e+08
8  4  1.36858e+08
8  5  8.90965e+07
8  6  1.37968e+08
8  7  1.11944e+08
8  8  9.81135e+07
8  9  9.68228e+07
8  10  1.06561e+08
8  11  1.35831e+08
8  12  1.16277e+08
8  13  1.19277e+08
8  14  1.0818e+08
8  15  7.12742e+07
8  16  1.50295e+08
8  17  5.6544e+07
8  18  4.86329e+07
8  19  1.20654e+08
8  20  1.20158e+08
8  21  1.25548e+08
8  22  1.35523e+08
8  23  1.15144e+08
8  24  1.00266e+08
8  25  1.00123e+08
8  26  1.06996e+08
8  27  1.05648e+08
8  28  1.40099e+08
8  29  9.72882e+07
8  30  7.65926e+07
8  31  8.1752e+07
8  32  1.02952e+08
8  33  1.73885e+08
8  34  1.60405e+08
8  35  1.12623e+08
8  36  1.82915e+08
8  37  1.45684e+08
8  38  1.05268e+08
8  39  1.24952e+08
8  40  6.71121e+07
8  41  1.19802e+08
8  42  1.09006e+08
8  43  1.24631e+08
8  44  1.54123e+08
8  45  1.41129e+08
8  46  1.69441e+08
8  47  1.90229e+08
8  48  1.42072e+08
8  49  1.75335e+08
8  50  8.3893e+07
9  0  7.9057e+07
9  1  9.49315e+07
9  2  6.49993e+07
9  3  6.49801e+07
9  4  1.08612e+08
9  5  1.08628e+08
9  6  9.42841e+07
9  7  7.41239e+07
9  8  1.15687e+08
9  9  9.23965e+07
9  10  7.13234e+07
9  11  1.00215e+08
9  12  1.00214e+08
9  13  1.07803e+08
9  14  1.14754e+08
9  15  1.36616e+08
9  16  1.36147e+08
9  17  7.8395e+07
9  18  1.18847e+08
9  19  1.24506e+08
9  20  1.50185e+08
9  21  1.35778e+08
9  22  8.21796e+07
9  23  1.1929e+08
9  24  1.1703e+08
9  25  1.69362e+08
9  26  1.16083e+08
9  27  1.09413e+08
9  28  1.21974e+08
9  29  1.00024e+08
9  30  9.61453e+07
9  31  1.32309e+08
9  32  1.24771e+08
9  33  1.03118e+08
9  34  8.04744e+07
9  35  1.37608e+08
9  36  1.21316e+08
9  37  1.2554e+08
9  38  1.61497e+08
9  39  1.51401e+08
9  40  1.01416e+08
9  41  1.68598e+08
9  42  1.29482e+08
9  43  1.73663e+08
9  44  1.3306e+08
9  45  1.43577e+08
9  46  1.07033e+08
9  47  1.59299e+08
9  48  1.31873e+08
9  49  1.50049e+08
9  50  1.02466e+08
10  0  7.345e+07
10  1  6.9441e+07
10  2  9.17001e+07
10  3  8.98011e+07
10  4  1.0441e+08
10  5  1.02998e+08
10  6  8.11514e+07
10  7  1.19894e+08
10  8  1.14859e+08
10  9  9.05472e+07
10  10  1.11028e+08
10  11  8.09949e+07
10  12  1.03317e+08
10  13  1.51174e+08
10  14  1.18611e+08
10  15  7.96718e+07
10  16  1.01117e+08
10  17  1.03687e+08
10  18  8.51007e+07
10  19  1.03303e+08
10  20  1.59982e+08
10  21  1.21797e+08
10  22  1.16944e+08
10  23  1.59631e+08
10  24  1.6824e+08
10  25  1.27517e+08
10  26  8.29351e+07
10  27  1.28838e+08
10  28  8.94069e+07
10  29  1.17665e+08
10  30  1.38198e+08
10  31  1.3249e+08
10  32  1.54837e+08
10  33  1.19708e+08
10  34  1.42882e+08
10  35  1.81495e+08
10  36  1.3676e+08
10  37  1.35605e+08
10  38  1.64752e+08
10  39  1.37388e+08
10  40  1.19025e+08
10  41  1.59496e+08
10  42  9.59874e+07
10  43  1.64272e+08
10  44  1.0142e+08
10  45  1.26781e+08
10  46  1.87469e+08
10  47  1.35709e+08
10  48  1.26438e+08
10  49  1.42758e+08
10  50  1.26875e+08
11  0  8.94396e+07
11  1  4.15996e+07
11  2  9.37478e+07
11  3  1.18324e+08
11  4  5.54282e+07
11  5  1.21372e+08
11  6  1.1117e+08
11  7  9.79444e+07
11  8  1.49277e+08
