row  column  (images_9.edf P_K*images_9.edf Ar_K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  0
0  30  0
0  31  0
0  32  0
0  33  0
0  34  2.61295e+07
0  35  0
0  36  5.46978e+07
0  37  0
0  38  7.04199e+07
0  39  7.87929e+07
0  40  9.55366e+07
0  41  1.30143e+08
0  42  5.48189e+07
0  43  6.25442e+07
0  44  7.81964e+07
0  45  7.70806e+07
0  46  3.99507e+07
0  47  7.42834e+07
0  48  4.02093e+07
0  49  9.58597e+07
0  50  4.9664e+07
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0
1  30  0
1  31  0
1  32  0
1  33  0
1  34  6.75173e+07
1  35  0
1  36  6.37473e+07
1  37  8.52037e+07
1  38  6.53396e+07
1  39  6.10677e+07
1  40  9.82975e+07
1  41  1.07835e+08
1  42  7.13575e+07
1  43  5.24402e+07
1  44  1.00609e+08
1  45  7.45172e+07
1  46  5.9998e+07
1  47  2.37943e+07
1  48  8.8401e+07
1  49  8.11772e+07
1  50  8.78984e+07
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  0
2  29  0
2  30  0
2  31  0
2  32  0
2  33  0
2  34  0
2  35  0
2  36  7.2441e+07
2  37  0
2  38  4.58875e+07
2  39  9.6651e+07
2  40  5.62749e+07
2  41  8.00696e+07
2  42  5.8053e+07
2  43  5.39605e+07
2  44  8.18087e+07
2  45  8.57945e+07
2  46  7.13585e+07
2  47  1.05817e+08
2  48  8.84504e+07
2  49  5.68076e+07
2  50  3.55148e+07
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  0
3  16  0
3  17  0
3  18  0
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  0
3  27  0
3  28  0
3  29  0
3  30  0
3  31  0
3  32  0
3  33  0
3  34  0
3  35  0
3  36  4.43066e+07
3  37  0
3  38  4.46887e+07
3  39  6.69322e+07
3  40  1.03147e+08
3  41  7.00975e+07
3  42  4.46282e+07
3  43  4.87552e+07
3  44  4.71866e+07
3  45  7.42517e+07
3  46  5.75722e+07
3  47  1.99479e+07
3  48  1.18571e+08
3  49  6.7674e+07
3  50  6.52821e+07
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  0
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  0
4  26  0
4  27  0
4  28  0
4  29  0
4  30  0
4  31  0
4  32  0
4  33  0
4  34  0
4  35  0
4  36  3.65637e+07
4  37  8.04778e+07
4  38  4.01318e+07
4  39  6.13121e+07
4  40  5.98891e+07
4  41  6.96628e+07
4  42  7.46152e+07
4  43  0
4  44  4.98897e+07
4  45  5.50812e+07
4  46  0
4  47  7.81642e+07
4  48  7.7148e+07
4  49  7.00954e+07
4  50  5.28535e+07
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  3.08537e+07
5  8  3.42819e+07
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  0
5  21  0
5  22  0
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  0
5  29  0
5  30  0
5  31  0
5  32  0
5  33  0
5  34  0
5  35  0
5  36  3.46233e+07
5  37  3.99867e+07
5  38  6.30098e+07
5  39  6.46027e+07
5  40  6.77007e+07
5  41  9.57327e+07
5  42  0
5  43  0
5  44  4.20742e+07
5  45  3.82903e+07
5  46  6.17852e+07
5  47  0
5  48  6.13258e+07
5  49  1.51339e+08
5  50  6.52009e+07
6  0  1.16774e+07
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  0
6  8  3.72673e+07
6  9  0
6  10  5.86782e+06
6  11  0
6  12  0
6  13  0
6  14  0
6  15  0
6  16  0
6  17  0
6  18  0
6  19  0
6  20  0
6  21  0
6  22  0
6  23  0
6  24  0
6  25  0
6  26  0
6  27  0
6  28  0
6  29  0
6  30  0
6  31  0
6  32  0
6  33  0
6  34  0
6  35  0
6  36  0
6  37  5.96388e+07
6  38  0
6  39  3.18098e+07
6  40  6.17815e+07
6  41  6.2597e+07
6  42  4.21862e+07
6  43  3.71484e+07
6  44  4.16549e+07
6  45  3.33286e+07
6  46  0
6  47  6.0887e+07
6  48  1.23112e+08
6  49  6.98067e+07
6  50  2.95008e+07
7  0  3.30617e+07
7  1  0
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  0
7  8  0
7  9  0
7  10  0
7  11  3.16227e+07
7  12  0
7  13  0
7  14  0
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  0
7  21  0
7  22  0
7  23  0
7  24  0
7  25  0
7  26  0
7  27  0
7  28  0
7  29  0
7  30  0
7  31  0
7  32  0
7  33  0
7  34  0
7  35  0
7  36  0
7  37  0
7  38  0
7  39  0
7  40  5.28774e+07
7  41  7.32654e+07
7  42  7.49073e+07
7  43  3.62147e+07
7  44  3.76315e+07
7  45  3.50139e+07
7  46  0
7  47  2.71845e+07
7  48  9.90353e+07
7  49  1.06928e+08
7  50  7.8936e+07
8  0  0
8  1  0
8  2  0
8  3  0
8  4  0
8  5  0
8  6  0
8  7  0
8  8  0
8  9  0
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  0
8  16  0
8  17  0
8  18  0
8  19  0
8  20  0
8  21  0
8  22  0
8  23  0
8  24  0
8  25  0
8  26  0
8  27  0
8  28  0
8  29  0
8  30  3.82348e+06
8  31  0
8  32  0
8  33  0
8  34  0
8  35  0
8  36  0
8  37  3.63552e+07
8  38  0
8  39  0
8  40  5.15771e+07
8  41  4.41698e+07
8  42  6.65394e+07
8  43  4.84496e+07
8  44  0
8  45  0
8  46  0
8  47  0
8  48  5.35277e+07
8  49  9.16596e+07
8  50  3.79998e+07
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
9  6  0
9  7  0
9  8  4.32646e+07
9  9  0
9  10  0
9  11  0
9  12  0
9  13  0
9  14  0
9  15  0
9  16  0
9  17  0
9  18  0
9  19  0
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
9  26  0
9  27  0
9  28  3.58798e+07
9  29  0
9  30  7.00416e+06
9  31  0
9  32  0
9  33  0
