row  column  (images_9.edf S_K*images_9.edf Ar_K**2.3)
0  0  4.50451e+07
0  1  3.05602e+06
0  2  4.32437e+07
0  3  0
0  4  0
0  5  3.3683e+07
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  3.05504e+07
0  12  0
0  13  0
0  14  4.09897e+07
0  15  0
0  16  5.07011e+07
0  17  7.28157e+07
0  18  3.65671e+07
0  19  6.42422e+07
0  20  9.32368e+07
0  21  8.68394e+07
0  22  4.50699e+07
0  23  0
0  24  6.218e+07
0  25  0
0  26  0
0  27  0
0  28  0
0  29  4.18926e+07
0  30  0
0  31  0
0  32  0
0  33  0
0  34  6.60665e+07
0  35  7.60922e+07
0  36  7.86029e+07
0  37  1.09061e+08
0  38  1.16555e+08
0  39  1.23158e+08
0  40  1.30983e+08
0  41  1.77766e+08
0  42  1.37666e+08
0  43  8.84697e+07
0  44  1.0021e+08
0  45  4.40977e+07
0  46  6.25782e+07
0  47  7.44412e+07
0  48  5.96629e+07
0  49  1.07699e+08
0  50  0
1  0  7.6594e+07
1  1  2.13059e+07
1  2  0
1  3  0
1  4  3.78554e+07
1  5  0
1  6  3.64577e+07
1  7  0
1  8  0
1  9  3.75372e+07
1  10  0
1  11  3.84392e+07
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  7.36866e+07
1  19  8.81749e+07
1  20  9.89994e+07
1  21  5.54128e+07
1  22  5.33396e+07
1  23  6.26693e+07
1  24  0
1  25  0
1  26  2.24803e+07
1  27  0
1  28  0
1  29  0
1  30  0
1  31  7.20081e+07
1  32  0
1  33  4.82198e+07
1  34  9.1671e+07
1  35  7.73596e+07
1  36  1.22306e+08
1  37  1.17291e+08
1  38  9.6055e+07
1  39  1.00234e+08
1  40  1.49716e+08
1  41  1.86568e+08
1  42  1.28025e+08
1  43  1.02464e+08
1  44  1.51414e+08
1  45  1.2894e+08
1  46  1.05396e+08
1  47  7.67516e+07
1  48  8.39874e+07
1  49  7.18502e+07
1  50  1.08765e+08
2  0  4.37951e+06
2  1  0
2  2  0
2  3  0
2  4  3.56265e+07
2  5  0
2  6  0
2  7  0
2  8  5.25816e+07
2  9  0
2  10  6.69079e+07
2  11  0
2  12  0
2  13  5.78296e+07
2  14  0
2  15  3.86203e+07
2  16  0
2  17  4.71704e+07
2  18  5.95849e+07
2  19  7.81014e+07
2  20  5.75545e+07
2  21  5.55668e+07
2  22  0
