row  column  (images_9.edf Zn_K*images_9.edf Ar_K**2.3)
0  0  2.03736e+08
0  1  2.11145e+08
0  2  3.05542e+08
0  3  1.20455e+08
0  4  2.08102e+08
0  5  1.53437e+08
0  6  1.37445e+08
0  7  5.85506e+07
0  8  1.25625e+08
0  9  5.94927e+07
0  10  1.71765e+08
0  11  1.36211e+08
0  12  1.73547e+08
0  13  8.65551e+07
0  14  1.43882e+08
0  15  1.65034e+08
0  16  6.82252e+07
0  17  1.34651e+08
0  18  1.84166e+08
0  19  2.03973e+08
0  20  2.28048e+08
0  21  1.92796e+08
0  22  1.95889e+08
0  23  2.74062e+08
0  24  1.15175e+08
0  25  1.42335e+08
0  26  1.21783e+08
0  27  2.633e+08
0  28  1.77707e+08
0  29  1.11007e+08
0  30  8.30342e+07
0  31  1.76798e+08
0  32  4.78338e+07
0  33  1.91371e+08
0  34  1.48024e+08
0  35  1.79428e+08
0  36  2.04014e+08
0  37  1.93139e+08
0  38  2.29674e+08
0  39  2.41471e+08
0  40  3.49434e+08
0  41  2.75477e+08
0  42  2.52368e+08
0  43  3.48986e+08
0  44  3.52933e+08
0  45  2.68989e+08
0  46  2.91448e+08
0  47  1.82191e+08
0  48  2.18459e+08
0  49  2.78127e+08
0  50  2.95603e+08
1  0  2.73998e+08
1  1  2.24218e+08
1  2  1.68399e+08
1  3  1.59675e+08
1  4  1.74389e+08
1  5  2.31933e+08
1  6  1.52499e+08
1  7  1.68591e+08
1  8  1.45286e+08
1  9  1.22864e+08
1  10  1.2558e+08
1  11  9.35477e+07
1  12  1.11835e+08
1  13  1.08412e+08
1  14  1.56996e+08
1  15  7.92075e+07
1  16  1.31719e+08
1  17  1.92106e+08
1  18  2.02184e+08
1  19  1.79566e+08
1  20  2.27731e+08
1  21  1.17957e+08
1  22  1.15709e+08
1  23  1.27016e+08
1  24  1.69131e+08
1  25  8.29148e+07
1  26  1.65152e+08
1  27  1.16937e+08
1  28  1.28132e+08
1  29  1.92423e+08
1  30  8.46088e+07
1  31  2.05341e+07
1  32  4.51588e+07
1  33  1.71522e+08
1  34  1.1121e+08
1  35  2.00391e+08
1  36  1.68169e+08
1  37  1.85525e+08
1  38  2.20966e+08
1  39  2.70303e+08
1  40  2.58223e+08
1  41  2.4851e+08
1  42  2.506e+08
1  43  3.19081e+08
1  44  2.05039e+08
1  45  3.03158e+08
1  46  1.821e+08
1  47  1.75544e+08
1  48  3.02061e+08
1  49  1.96674e+08
1  50  2.4251e+08
2  0  3.7491e+08
2  1  2.69293e+08
2  2  2.38844e+08
2  3  2.30416e+08
2  4  1.90879e+08
2  5  1.52714e+08
2  6  1.26937e+08
2  7  1.63429e+08
2  8  1.94039e+08
2  9  1.40062e+08
2  10  1.77175e+08
2  11  1.3752e+08
2  12  1.39013e+08
2  13  7.74576e+07
2  14  1.33055e+08
2  15  1.51007e+08
2  16  1.51189e+08
2  17  1.16872e+08
2  18  1.09549e+08
2  19  1.9022e+08
2  20  2.16872e+08
2  21  1.71865e+08
2  22  1.42766e+08
2  23  7.82452e+07
2  24  1.76792e+08
2  25  8.99702e+07
2  26  1.50003e+08
2  27  1.71288e+08
2  28  5.85728e+07
2  29  9.05575e+07
2  30  7.70406e+07
2  31  7.43372e+07
2  32  8.8317e+07
2  33  1.80069e+08
2  34  2.09486e+08
2  35  2.0198e+08
2  36  2.13953e+08
2  37  2.25892e+08
2  38  2.5836e+08
2  39  3.11256e+08
2  40  2.16063e+08
2  41  1.40966e+08
2  42  2.37448e+08
2  43  2.5532e+08
2  44  2.21844e+08
2  45  2.31067e+08
2  46  1.88966e+08
2  47  2.42702e+08
2  48  2.2118e+08
2  49  2.04286e+08
2  50  2.79335e+08
3  0  3.93171e+08
3  1  3.27539e+08
3  2  1.85169e+08
3  3  2.37569e+08
3  4  1.63071e+08
3  5  1.93248e+08
3  6  1.70283e+08
3  7  2.08841e+08
3  8  1.76804e+08
3  9  8.53132e+07
3  10  1.62792e+08
3  11  9.36632e+07
3  12  6.39671e+07
3  13  1.05141e+08
3  14  1.47031e+08
3  15  1.14229e+08
3  16  1.05506e+08
3  17  1.37343e+08
3  18  1.71647e+08
3  19  2.36543e+08
3  20  1.30989e+08
3  21  2.02801e+08
3  22  1.95388e+08
3  23  1.10556e+08
3  24  1.39423e+08
3  25  1.44869e+08
3  26  2.09741e+08
3  27  1.55819e+08
3  28  8.22762e+07
3  29  1.49424e+08
3  30  1.08353e+08
3  31  1.28603e+08
3  32  1.00063e+08
3  33  2.2982e+08
3  34  1.4348e+08
3  35  1.82202e+08
3  36  1.96631e+08
3  37  2.16274e+08
3  38  1.80694e+08
3  39  2.73475e+08
3  40  2.98506e+08
3  41  1.82101e+08
3  42  2.06789e+08
3  43  2.07915e+08
3  44  2.84832e+08
3  45  1.47587e+08
3  46  1.67092e+08
3  47  2.03893e+08
3  48  2.73385e+08
3  49  2.01907e+08
3  50  2.82935e+08
4  0  4.17339e+08
4  1  3.11297e+08
4  2  2.08876e+08
4  3  1.50625e+08
4  4  1.95153e+08
4  5  1.87656e+08
4  6  1.80281e+08
4  7  1.4004e+08
4  8  1.68582e+08
4  9  2.02816e+08
4  10  1.57487e+08
4  11  8.77751e+07
4  12  2.12447e+07
4  13  1.06487e+08
