row  column  (images_27.edf Cu-K*images_27.edf Ar-K**2.3)
0  0  5.93733e+06
0  1  4.5237e+06
0  2  6.05724e+06
0  3  0
0  4  9.40549e+06
0  5  5.0351e+06
0  6  1.01786e+07
0  7  4.91386e+06
0  8  1.09871e+07
0  9  1.00748e+07
0  10  3.81966e+06
0  11  1.04671e+07
0  12  4.4802e+06
0  13  1.15844e+07
0  14  0
0  15  1.11559e+06
0  16  1.64616e+06
0  17  2.86012e+06
0  18  7.68148e+06
0  19  8.71924e+06
0  20  7.2145e+06
0  21  1.42215e+07
0  22  2.74372e+06
0  23  2.05999e+06
0  24  4.67231e+06
0  25  2.68317e+06
0  26  5.69272e+06
0  27  5.44274e+06
0  28  764367
0  29  2.11557e+06
0  30  1.41139e+07
0  31  81030.6
0  32  1.58902e+07
0  33  3.09957e+06
0  34  2.38925e+06
0  35  0
0  36  840269
0  37  3.62581e+06
0  38  286919
0  39  9.88255e+06
0  40  3.19451e+06
0  41  9.13935e+06
0  42  1.97712e+06
0  43  0
0  44  0
0  45  5.8495e+06
0  46  6.74631e+06
0  47  7.09756e+06
0  48  1.00939e+07
0  49  9.90798e+06
0  50  1.8395e+07
1  0  9.73612e+06
1  1  1.28892e+07
1  2  414591
1  3  1.60695e+06
1  4  9.22419e+06
1  5  7.68825e+06
1  6  5.65256e+06
1  7  1.42746e+07
1  8  5.10993e+06
1  9  640260
1  10  4.14074e+06
1  11  1.04341e+07
1  12  118638
1  13  0
1  14  3.12623e+06
1  15  0
1  16  7.81944e+06
1  17  3.13856e+06
1  18  1.2645e+07
1  19  4.56259e+06
1  20  2.1173e+07
1  21  1.27958e+07
1  22  2.90814e+06
1  23  6.0841e+06
1  24  2.41675e+06
1  25  5.99579e+06
1  26  0
1  27  9.22531e+06
1  28  0
1  29  1.57948e+07
1  30  1.0622e+07
1  31  2.58961e+06
1  32  0
1  33  7.92079e+06
1  34  1.33136e+07
1  35  1.53593e+07
1  36  677933
1  37  1.41955e+06
1  38  6.30115e+06
1  39  5.21435e+06
1  40  1.17642e+07
1  41  6.31393e+06
1  42  9.81763e+06
1  43  6.07074e+06
1  44  1.54058e+06
1  45  0
1  46  8.80391e+06
1  47  1.48288e+07
1  48  3.32254e+06
1  49  164417
1  50  0
2  0  2.27447e+07
2  1  1.29831e+07
2  2  1.32879e+07
2  3  1.25073e+07
2  4  0
2  5  6.90612e+06
2  6  3.91338e+06
2  7  277207
2  8  0
2  9  1.44301e+06
2  10  0
2  11  6.16731e+06
2  12  749393
2  13  1.26764e+07
2  14  3.62115e+06
2  15  1.09142e+06
2  16  0
2  17  9.59577e+06
2  18  1.00376e+07
2  19  5.46128e+06
2  20  1.12734e+07
2  21  2.38944e+07
2  22  2.83174e+06
2  23  4.18311e+06
2  24  5.32214e+06
2  25  0
2  26  2.13949e+06
2  27  3.94759e+06
2  28  1.92704e+06
2  29  0
2  30  6.02165e+06
2  31  3.07358e+06
2  32  3.22134e+06
2  33  4.78707e+06
2  34  1.12147e+07
2  35  6.10726e+06
2  36  3.37121e+06
2  37  2.5905e+06
2  38  8.50238e+06
2  39  3.29033e+06
2  40  9.22833e+06
2  41  1.06106e+07
2  42  5.62341e+06
2  43  0
2  44  5.9458e+06
2  45  7.43037e+06
2  46  2.6957e+06
2  47  9.36059e+06
2  48  0
2  49  7.73277e+06
2  50  6.63263e+06
3  0  2.01614e+07
3  1  8.46973e+06
3  2  0
3  3  0
3  4  0
3  5  8.28112e+06
3  6  0
3  7  8.95663e+06
3  8  1.21943e+07
3  9  0
3  10  3.82883e+06
3  11  1.11422e+07
3  12  6.78415e+06
3  13  9.68912e+06
3  14  5.28101e+06
3  15  1.25801e+07
3  16  0
3  17  1.71247e+07
3  18  1.4254e+07
3  19  365889
3  20  9.36902e+06
3  21  8.40033e+06
3  22  6.7501e+06
3  23  2.22399e+06
3  24  0
3  25  0
3  26  9.36021e+06
3  27  0
3  28  0
3  29  4.61268e+06
3  30  7.24145e+06
3  31  9.23581e+06
3  32  7.33693e+06
3  33  1.00828e+07
3  34  1.15657e+07
3  35  1.27015e+07
3  36  614712
3  37  8.00936e+06
3  38  7.06442e+06
3  39  1.24059e+07
3  40  1.51962e+07
3  41  1.05788e+07
3  42  6.09721e+06
3  43  285258
3  44  1.64037e+07
3  45  1.06211e+07
3  46  7.6645e+06
3  47  7.68252e+06
3  48  1.02522e+07
3  49  8.56629e+06
3  50  9.5336e+06
4  0  0
4  1  1.05944e+07
4  2  1.1537e+07
4  3  4.98893e+06
4  4  0
4  5  7.4627e+06
4  6  0
4  7  5.10278e+06
4  8  1.04791e+07
4  9  5.17375e+06
4  10  0
4  11  1.53223e+06
4  12  6.49806e+06
4  13  1.29728e+07
4  14  1.05081e+07
4  15  4.14996e+06
4  16  2.36836e+06
4  17  0
4  18  4.82701e+06
4  19  4.96751e+06
4  20  1.42551e+07
4  21  2.09744e+06
4  22  5.20072e+06
4  23  0
4  24  0
4  25  6.24058e+06
4  26  1.22855e+07
4  27  1.35738e+07
4  28  0
4  29  5.17575e+06
4  30  6.98771e+06
4  31  4.32611e+06
4  32  7.81326e+06
4  33  6.75546e+06
4  34  1.03689e+07
4  35  5.39907e+06
4  36  9.10617e+06
4  37  1.00062e+07
4  38  8.60045e+06
4  39  9.8098e+06
4  40  9.50256e+06
4  41  4.37167e+06
4  42  1.18587e+06
4  43  8.65483e+06
4  44  0
4  45  5.83835e+06
4  46  9.74626e+06
4  47  8.75747e+06
4  48  8.45213e+06
4  49  9.83225e+06
4  50  4.13651e+06
5  0  7.87422e+06
5  1  1.11866e+07
5  2  1.01402e+06
5  3  3.28724e+06
5  4  1.34885e+07
5  5  0
5  6  273546
5  7  2.03094e+06
5  8  6.93537e+06
5  9  1.04036e+07
5  10  6.23215e+06
5  11  3.29305e+06
5  12  8.29959e+06
5  13  720094
5  14  2.14937e+06
5  15  1.12208e+07
5  16  6.52328e+06
5  17  8.70889e+06
5  18  2.6596e+06
5  19  0
5  20  3.0592e+06
5  21  0
5  22  2.81442e+06
5  23  0
5  24  3.1752e+06
5  25  2.7732e+06
5  26  0
5  27  0
5  28  1.0992e+07
5  29  2.75658e+06
5  30  1.22419e+07
5  31  1.00802e+07
5  32  3.4857e+06
5  33  6.35468e+06
5  34  5.28376e+06
5  35  1.69285e+06
5  36  6.17206e+06
5  37  1.10736e+07
5  38  8.43819e+06
5  39  5.53659e+06
5  40  7.39099e+06
5  41  6.92454e+06
5  42  6.19199e+06
5  43  1.21395e+07
5  44  7.29261e+06
5  45  6.02721e+06
5  46  5.86959e+06
5  47  8.15822e+06
5  48  9.37488e+06
5  49  1.00998e+07
5  50  0
6  0  9.38836e+06
6  1  2.97832e+06
6  2  6.72617e+06
6  3  1.647e+07
6  4  4.77999e+06
6  5  0
6  6  0
6  7  5.42262e+06
6  8  3.27609e+06
6  9  6.15329e+06
6  10  0
6  11  0
6  12  1.21168e+07
6  13  3.34731e+06
6  14  1.78434e+06
6  15  1.24793e+07
6  16  7.80137e+06
6  17  0
6  18  0
6  19  1.77208e+07
6  20  7.08189e+06
6  21  1.4287e+07
6  22  1.74237e+07
6  23  0
6  24  7.31181e+06
6  25  6.77443e+06
6  26  0
6  27  0
6  28  982988
6  29  3.73329e+06
6  30  1.10005e+07
6  31  4.05223e+06
6  32  3.81003e+06
6  33  1.40765e+07
6  34  1.35534e+07
6  35  1.06745e+07
6  36  0
6  37  0
6  38  0
6  39  7.58705e+06
6  40  4.51967e+06
6  41  0
6  42  6.45621e+06
6  43  0
6  44  8.14765e+06
6  45  1.50049e+07
6  46  7.41863e+06
6  47  1.39058e+07
6  48  1.7593e+06
6  49  0
6  50  6.30637e+06
7  0  3.72968e+06
7  1  9.50667e+06
7  2  8.29414e+06
7  3  1.17268e+07
7  4  1.04573e+07
7  5  1.07759e+07
7  6  5.86142e+06
7  7  2.23042e+06
7  8  1.75905e+06
7  9  0
7  10  0
7  11  0
7  12  6.75906e+06
7  13  1.06045e+07
7  14  0
7  15  682502
7  16  2.05031e+07
7  17  1.19845e+07
7  18  6.60001e+06
7  19  520562
7  20  3.18483e+06
7  21  3.70005e+06
7  22  1.23651e+07
7  23  8.42252e+06
7  24  1.06922e+07
7  25  8.08801e+06
7  26  1.70675e+07
7  27  1.98074e+06
7  28  7.06314e+06
7  29  3.73948e+06
7  30  332160
7  31  1.01167e+07
7  32  1.08659e+07
7  33  7.41607e+06
7  34  6.79871e+06
7  35  4.02631e+06
7  36  1.45362e+07
7  37  5.31445e+06
7  38  6.65292e+06
7  39  7.77921e+06
7  40  2.14677e+07
7  41  2.13058e+06
7  42  8.83874e+06
7  43  1.73076e+07
7  44  1.0686e+07
7  45  6.56972e+06
7  46  8.42397e+06
7  47  1.26119e+06
7  48  1.04111e+07
7  49  1.40964e+07
7  50  3.45493e+06
8  0  5.79907e+06
8  1  1.04572e+07
8  2  8.06409e+06
8  3  1.17847e+07
8  4  5.50077e+06
8  5  4.72367e+06
8  6  6.38572e+06
8  7  624420
8  8  7.67986e+06
8  9  1.01346e+07
8  10  1.51112e+07
8  11  1.12331e+07
8  12  6.3751e+06
8  13  4.49159e+06
8  14  6.87489e+06
8  15  1.7343e+06
8  16  0
8  17  6.212e+06
8  18  3.75902e+06
8  19  8.0777e+06
8  20  8.61085e+06
8  21  0
8  22  0
8  23  1.16699e+07
8  24  0
8  25  3.4104e+06
8  26  5.72428e+06
8  27  8.43842e+06
8  28  8.58358e+06
8  29  3.91156e+06
8  30  0
8  31  5.72912e+06
8  32  9.5396e+06
8  33  1.14212e+07
8  34  1.58892e+07
8  35  1.08094e+07
8  36  1.39904e+07
8  37  7.00747e+06
8  38  0
8  39  1.2737e+07
8  40  1.53089e+07
8  41  6.86803e+06
8  42  4.80801e+06
8  43  3.11472e+06
8  44  5.58361e+06
8  45  0
8  46  1.73472e+07
8  47  1.05478e+07
8  48  2.8103e+06
8  49  0
8  50  946119
9  0  3.21706e+06
9  1  1.04642e+07
9  2  9.97478e+06
9  3  1.00391e+07
9  4  0
9  5  1.30564e+06
9  6  2.03907e+07
9  7  0
9  8  3.74359e+06
9  9  2.22292e+07
9  10  7.95556e+06
9  11  0
9  12  92969.3
9  13  0
9  14  6.13867e+06
9  15  1.2164e+07
9  16  0
9  17  3.81722e+06
9  18  0
9  19  1.34922e+07
9  20  8.65112e+06
9  21  8.69168e+06
9  22  0
9  23  0
9  24  1.03569e+06
9  25  6.12067e+06
9  26  874029
9  27  2.00049e+07
9  28  9.87666e+06
9  29  7.50368e+06
9  30  4.79694e+06
9  31  7.03616e+06
9  32  1.01561e+07
9  33  7.65989e+06
9  34  1.08734e+07
9  35  1.73118e+07
9  36  1.9162e+06
9  37  0
9  38  0
9  39  1.01914e+07
9  40  1.13485e+07
9  41  5.208e+06
9  42  5.59523e+06
9  43  6.31208e+06
9  44  4.71846e+06
9  45  5.09226e+06
9  46  1.51953e+06
9  47  7.7915e+06
9  48  5.73626e+06
9  49  1.37054e+07
9  50  1.12895e+07
10  0  3.36872e+06
10  1  1.05072e+07
10  2  5.97131e+06
10  3  3.45735e+06
10  4  7.97839e+06
10  5  5.57848e+06
10  6  1.21301e+07
10  7  254536
10  8  2.23368e+06
10  9  9.42923e+06
10  10  1.424e+07
10  11  1.94545e+06
10  12  8.13452e+06
10  13  3.78982e+06
10  14  4.40753e+06
10  15  1.78005e+07
10  16  5.29416e+06
10  17  1.28321e+07
10  18  7.68273e+06
10  19  2.77227e+06
10  20  0
10  21  1.55437e+07
10  22  9.89559e+06
10  23  6.95745e+06
10  24  1.11208e+06
10  25  3.5845e+06
10  26  0
10  27  9.74769e+06
10  28  8.72391e+06
10  29  7.41979e+06
10  30  6.67775e+06
10  31  1.47748e+06
10  32  0
10  33  4.71837e+06
10  34  0
10  35  0
10  36  2.67743e+06
10  37  1.047e+07
10  38  1.24612e+07
10  39  1.32016e+07
10  40  350671
10  41  6.95304e+06
10  42  3.78426e+06
10  43  1.08154e+07
10  44  1.75417e+07
10  45  0
10  46  103062
10  47  0
10  48  1.2595e+07
10  49  231180
10  50  6.27036e+06
11  0  9.93281e+06
11  1  6.98674e+06
11  2  6.08435e+06
11  3  1.86347e+07
11  4  1.70959e+07
11  5  1.1333e+07
11  6  4.15466e+06
11  7  1.37818e+07
11  8  4.53942e+06
11  9  3.33355e+06
11  10  5.81843e+06
11  11  9.0173e+06
11  12  0
11  13  1.55344e+07
11  14  3.41695e+06
11  15  4.54126e+06
11  16  8.68425e+06
11  17  0
11  18  0
11  19  0
11  20  1.21424e+07
11  21  1.58209e+07
11  22  3.54214e+06
11  23  4.33696e+06
11  24  3.40911e+06
11  25  9.47907e+06
11  26  4.39248e+06
11  27  520911
11  28  8.31879e+06
11  29  3.85508e+06
11  30  7.7105e+06
11  31  8.27594e+06
11  32  1.10137e+07
11  33  1.06086e+07
11  34  1.00167e+07
11  35  6.7646e+06
11  36  0
11  37  7.21263e+06
11  38  1.26674e+06
11  39  1.07352e+07
11  40  0
11  41  3.77257e+06
11  42  5.36828e+06
11  43  6.82621e+06
11  44  0
11  45  0
11  46  3.94705e+06
11  47  9.77686e+06
11  48  0
11  49  0
11  50  3.83048e+06
12  0  4.25096e+06
12  1  7.32907e+06
12  2  1.4154e+07
12  3  8.77677e+06
12  4  118617
12  5  6.04735e+06
12  6  4.14245e+06
12  7  292025
12  8  3.05701e+06
12  9  1.61846e+07
12  10  0
12  11  1.08953e+07
12  12  1.00365e+07
12  13  1.83154e+06
12  14  0
12  15  5.26714e+06
12  16  4.62042e+06
12  17  0
12  18  5.53485e+06
12  19  8.35548e+06
12  20  3.92944e+06
12  21  0
12  22  1.53285e+07
12  23  8.72311e+06
12  24  0
12  25  0
12  26  7.42922e+06
12  27  217745
12  28  1.44635e+06
12  29  1.55854e+07
12  30  2.96684e+06
12  31  8.5018e+06
12  32  1.07938e+07
12  33  128547
12  34  0
12  35  1.24908e+07
12  36  4.83941e+06
12  37  1.13912e+07
12  38  4.59057e+06
12  39  1.153e+07
12  40  1.51507e+07
12  41  1.25679e+07
12  42  8.46484e+06
12  43  7.09101e+06
12  44  2.44898e+06
12  45  1.27184e+07
12  46  0
12  47  9.56494e+06
12  48  1.29996e+07
12  49  0
12  50  1.86979e+07
13  0  3.67542e+06
13  1  1.442e+06
13  2  1.1807e+07
13  3  1.09821e+07
13  4  8.78449e+06
13  5  9.29282e+06
13  6  1.08996e+07
13  7  6.64443e+06
13  8  1.50197e+07
13  9  1.54005e+07
13  10  7.36715e+06
13  11  0
13  12  1.11649e+07
13  13  2.6906e+06
13  14  2.74395e+06
13  15  1.10147e+07
13  16  4.25504e+06
13  17  0
13  18  0
13  19  1.99648e+06
13  20  0
13  21  1.09238e+06
13  22  1.00252e+07
13  23  2.24506e+07
13  24  1.25089e+07
13  25  52581.6
13  26  1.12017e+07
13  27  4.10165e+06
13  28  2.26244e+06
13  29  0
13  30  6.08203e+06
13  31  1.03419e+07
13  32  7.2715e+06
13  33  1.41912e+07
13  34  8.4468e+06
13  35  788594
13  36  4.15351e+06
13  37  6.06039e+06
13  38  1.33904e+07
13  39  0
13  40  3.19866e+06
13  41  1.83722e+07
13  42  7.47451e+06
13  43  8.59371e+06
13  44  0
13  45  7.18907e+06
13  46  0
13  47  699719
13  48  741866
13  49  2.19394e+06
13  50  2.51709e+06
14  0  4.9492e+06
14  1  5.68396e+06
14  2  1.13735e+07
14  3  8.1483e+06
14  4  3.92088e+06
14  5  255696
14  6  1.54978e+07
14  7  0
14  8  6.78749e+06
14  9  1.54534e+06
14  10  7.60681e+06
14  11  1.06922e+07
14  12  6.48262e+06
14  13  1.47455e+07
14  14  1.23741e+07
14  15  8.96196e+06
14  16  0
14  17  0
14  18  0
14  19  8.26468e+06
14  20  1.4185e+07
14  21  7.72483e+06
14  22  1.06285e+07
14  23  1.523e+07
14  24  3.39254e+06
14  25  1.3148e+07
14  26  0
14  27  1.21312e+07
14  28  6.70695e+06
14  29  2.06958e+06
14  30  514888
14  31  7.84414e+06
14  32  3.69732e+06
14  33  2.02458e+07
14  34  8.85169e+06
