row  column  (images_28.edf Ca-K*images_28.edf Ar-K**2.3)
0  0  2.03593e+08
0  1  2.18041e+08
0  2  1.96853e+08
0  3  2.75346e+08
0  4  2.64754e+08
0  5  2.80989e+08
0  6  3.71146e+08
0  7  4.54689e+08
0  8  5.30092e+08
0  9  7.10978e+08
0  10  6.95441e+08
0  11  6.96918e+08
0  12  7.87207e+08
0  13  7.24703e+08
0  14  6.90604e+08
0  15  7.33115e+08
0  16  7.39351e+08
0  17  6.0586e+08
0  18  5.33614e+08
0  19  4.74981e+08
0  20  3.74295e+08
0  21  3.42003e+08
0  22  3.485e+08
0  23  3.13568e+08
0  24  2.81154e+08
0  25  2.85639e+08
0  26  3.50572e+08
0  27  3.41236e+08
0  28  4.1041e+08
0  29  4.56502e+08
0  30  5.11423e+08
0  31  5.38675e+08
0  32  6.22358e+08
0  33  5.38359e+08
0  34  5.09708e+08
0  35  5.90076e+08
0  36  5.25115e+08
0  37  5.76808e+08
0  38  6.16705e+08
0  39  6.51035e+08
0  40  6.05482e+08
0  41  5.70109e+08
0  42  5.49274e+08
0  43  5.78127e+08
0  44  5.84349e+08
0  45  6.04127e+08
0  46  5.86632e+08
0  47  5.2718e+08
0  48  5.73942e+08
0  49  6.11247e+08
0  50  5.98881e+08
0  51  6.22868e+08
0  52  6.35876e+08
0  53  6.54925e+08
0  54  7.04038e+08
0  55  6.03998e+08
0  56  6.09446e+08
0  57  6.05709e+08
0  58  6.38244e+08
0  59  6.29554e+08
0  60  5.76829e+08
0  61  5.90041e+08
0  62  5.98082e+08
0  63  5.73254e+08
0  64  5.9044e+08
0  65  6.78872e+08
0  66  6.76777e+08
0  67  9.55411e+08
0  68  1.38969e+09
0  69  1.33168e+09
0  70  7.82249e+08
0  71  6.3971e+08
0  72  6.24049e+08
0  73  6.62703e+08
0  74  5.60034e+08
0  75  6.36578e+08
0  76  6.33174e+08
0  77  6.53904e+08
0  78  5.78178e+08
0  79  7.04303e+08
0  80  7.44956e+08
0  81  6.66533e+08
0  82  6.84953e+08
0  83  6.47287e+08
0  84  6.76108e+08
0  85  7.47653e+08
0  86  7.40395e+08
0  87  7.18764e+08
0  88  8.45387e+08
0  89  7.15234e+08
0  90  7.30107e+08
0  91  7.94657e+08
0  92  7.31201e+08
0  93  7.45265e+08
0  94  7.56095e+08
0  95  7.04398e+08
0  96  7.92048e+08
0  97  7.83828e+08
0  98  6.30577e+08
0  99  5.25193e+08
0  100  5.14749e+08
0  101  3.96922e+08
0  102  4.05622e+08
0  103  3.37715e+08
0  104  2.92075e+08
0  105  2.47064e+08
0  106  2.43944e+08
0  107  1.86126e+08
0  108  1.66041e+08
0  109  1.53028e+08
0  110  1.32962e+08
0  111  1.30239e+08
0  112  9.38618e+07
0  113  1.14524e+08
0  114  9.89338e+07
0  115  7.9999e+07
0  116  6.96634e+07
0  117  7.15389e+07
0  118  4.73315e+07
0  119  2.97963e+07
0  120  2.173e+07
1  0  1.97948e+08
1  1  2.11758e+08
1  2  2.78447e+08
1  3  2.33663e+08
1  4  2.98106e+08
1  5  3.71956e+08
1  6  4.50299e+08
1  7  4.87623e+08
1  8  6.28389e+08
1  9  6.84282e+08
1  10  7.23601e+08
1  11  6.93281e+08
1  12  6.81644e+08
1  13  7.29745e+08
1  14  7.23794e+08
1  15  6.54058e+08
1  16  5.45173e+08
1  17  5.74005e+08
1  18  4.91989e+08
1  19  3.97599e+08
1  20  3.84396e+08
1  21  3.5548e+08
1  22  3.21946e+08
1  23  3.11699e+08
1  24  3.33415e+08
1  25  3.17344e+08
1  26  3.32196e+08
1  27  4.2856e+08
1  28  4.5679e+08
1  29  5.51831e+08
1  30  5.33612e+08
1  31  5.25122e+08
1  32  5.72264e+08
1  33  5.4049e+08
1  34  5.46063e+08
1  35  6.18042e+08
1  36  5.54247e+08
1  37  5.1748e+08
1  38  5.07913e+08
1  39  6.26803e+08
1  40  5.62018e+08
1  41  6.12919e+08
1  42  5.3798e+08
1  43  5.26724e+08
1  44  6.10743e+08
1  45  5.60298e+08
1  46  5.38864e+08
1  47  5.46001e+08
1  48  5.59087e+08
1  49  5.82493e+08
1  50  6.4887e+08
1  51  6.59905e+08
1  52  6.4359e+08
1  53  5.46018e+08
1  54  6.34612e+08
1  55  6.57187e+08
1  56  5.98011e+08
1  57  5.98424e+08
1  58  5.89634e+08
1  59  5.77118e+08
1  60  5.26603e+08
1  61  5.91855e+08
1  62  5.58227e+08
1  63  5.91871e+08
1  64  6.37186e+08
1  65  7.15382e+08
1  66  8.65396e+08
1  67  1.29455e+09
1  68  1.32213e+09
1  69  9.23418e+08
1  70  6.72544e+08
1  71  6.26965e+08
1  72  5.94266e+08
1  73  6.43065e+08
1  74  6.29456e+08
1  75  6.38307e+08
1  76  6.17782e+08
1  77  5.94248e+08
1  78  6.65443e+08
1  79  6.82783e+08
1  80  6.27202e+08
1  81  7.12438e+08
1  82  7.4392e+08
1  83  6.76025e+08
1  84  7.36165e+08
1  85  7.66941e+08
1  86  8.27068e+08
1  87  8.134e+08
1  88  7.63975e+08
1  89  7.88281e+08
1  90  7.41439e+08
1  91  7.3152e+08
1  92  6.78899e+08
1  93  6.87793e+08
1  94  7.97377e+08
1  95  7.86732e+08
1  96  8.7675e+08
1  97  6.77335e+08
1  98  6.07492e+08
1  99  5.60615e+08
1  100  5.21061e+08
