row  column  (images_28.edf Zn-K*images_28.edf Ar-K**2.3)
0  0  3.40175e+06
0  1  197378
0  2  4.51362e+06
0  3  4.86974e+06
0  4  5.48892e+06
0  5  3.92656e+06
0  6  9.00696e+06
0  7  1.33709e+07
0  8  1.97091e+07
0  9  4.0104e+07
0  10  4.62726e+07
0  11  4.76726e+07
0  12  4.91779e+07
0  13  5.06261e+07
0  14  3.76605e+07
0  15  4.30981e+07
0  16  5.08047e+07
0  17  3.55675e+07
0  18  2.87317e+07
0  19  2.34221e+07
0  20  1.47317e+07
0  21  1.51248e+07
0  22  1.47925e+07
0  23  4.77366e+06
0  24  1.10214e+07
0  25  1.22633e+07
0  26  6.50672e+06
0  27  7.22222e+06
0  28  1.23113e+07
0  29  1.95264e+07
0  30  1.96062e+07
0  31  2.07946e+07
0  32  2.14745e+07
0  33  2.75868e+07
0  34  2.77424e+07
0  35  3.19522e+07
0  36  3.12514e+07
0  37  3.79771e+07
0  38  3.25136e+07
0  39  3.63187e+07
0  40  3.52376e+07
0  41  3.72198e+07
0  42  4.3331e+07
0  43  3.00936e+07
0  44  3.01039e+07
0  45  3.37801e+07
0  46  3.55013e+07
0  47  3.69063e+07
0  48  4.34158e+07
0  49  4.40448e+07
0  50  4.50687e+07
0  51  4.91209e+07
0  52  5.08082e+07
0  53  4.38214e+07
0  54  4.29863e+07
0  55  4.32623e+07
0  56  5.0069e+07
0  57  4.91924e+07
0  58  4.66785e+07
0  59  4.75258e+07
0  60  4.52123e+07
0  61  3.70114e+07
0  62  5.0035e+07
0  63  4.15187e+07
0  64  4.33352e+07
0  65  4.18662e+07
0  66  3.93409e+07
0  67  3.50178e+07
0  68  2.91816e+07
0  69  3.09688e+07
0  70  3.76615e+07
0  71  4.83536e+07
0  72  4.48902e+07
0  73  4.18451e+07
0  74  3.7455e+07
0  75  2.60075e+07
0  76  3.3887e+07
0  77  4.24316e+07
0  78  4.10091e+07
0  79  6.55101e+07
0  80  4.72224e+07
0  81  5.20981e+07
0  82  4.78256e+07
0  83  4.04333e+07
0  84  4.07849e+07
0  85  4.47313e+07
0  86  4.64194e+07
0  87  3.84516e+07
0  88  4.9777e+07
0  89  4.24435e+07
0  90  5.75473e+07
0  91  5.84584e+07
0  92  5.18294e+07
0  93  4.98969e+07
0  94  6.30025e+07
0  95  5.24312e+07
0  96  5.57033e+07
0  97  5.75365e+07
0  98  4.83402e+07
0  99  4.5059e+07
0  100  3.77447e+07
0  101  2.76988e+07
0  102  2.40148e+07
0  103  1.46774e+07
0  104  1.65559e+07
0  105  1.0294e+07
0  106  1.31486e+07
0  107  9.2497e+06
0  108  9.69752e+06
0  109  6.34273e+06
0  110  4.85521e+06
0  111  1.14229e+07
0  112  1.10587e+07
0  113  1.19494e+07
0  114  8.15146e+06
0  115  1.68453e+06
0  116  122429
0  117  1.27839e+07
0  118  3.72898e+06
0  119  6.13412e+06
0  120  874102
1  0  3.48707e+06
1  1  4.61034e+06
1  2  1.0487e+06
1  3  6.03117e+06
1  4  1.43747e+07
1  5  6.69593e+06
1  6  1.58167e+07
1  7  2.37085e+07
1  8  3.1231e+07
1  9  4.79529e+07
1  10  4.78115e+07
1  11  4.51481e+07
1  12  4.22873e+07
1  13  3.911e+07
1  14  4.51209e+07
1  15  3.97729e+07
1  16  3.32209e+07
1  17  3.46071e+07
1  18  1.8147e+07
1  19  1.55625e+07
1  20  1.41173e+07
1  21  9.67319e+06
1  22  1.02067e+07
1  23  3.25644e+06
1  24  6.45777e+06
1  25  1.02621e+07
1  26  8.39533e+06
1  27  1.47307e+07
1  28  2.38001e+07
1  29  2.63331e+07
1  30  2.24624e+07
1  31  2.7985e+07
1  32  2.65713e+07
1  33  3.04973e+07
1  34  3.1861e+07
1  35  3.65904e+07
1  36  3.2053e+07
1  37  3.76249e+07
1  38  3.35546e+07
1  39  4.88758e+07
1  40  3.76076e+07
1  41  4.05455e+07
1  42  3.19482e+07
1  43  3.29782e+07
1  44  3.50622e+07
1  45  3.18586e+07
1  46  3.64473e+07
1  47  4.04031e+07
1  48  3.77686e+07
1  49  4.30113e+07
1  50  5.19194e+07
1  51  5.02326e+07
1  52  4.80282e+07
1  53  3.66095e+07
1  54  3.92711e+07
1  55  5.54226e+07
1  56  3.65107e+07
1  57  3.74458e+07
1  58  4.31791e+07
1  59  4.33246e+07
1  60  3.07706e+07
1  61  4.46304e+07
1  62  4.06169e+07
1  63  3.43307e+07
1  64  4.54324e+07
1  65  4.60274e+07
1  66  3.6804e+07
1  67  3.09655e+07
1  68  3.25207e+07
1  69  2.9279e+07
1  70  3.3978e+07
1  71  3.93298e+07
1  72  4.38943e+07
1  73  3.95101e+07
1  74  3.81333e+07
1  75  3.56128e+07
1  76  3.57565e+07
1  77  3.80219e+07
1  78  4.67336e+07
1  79  4.68512e+07
1  80  4.51279e+07
1  81  4.66077e+07
1  82  5.81161e+07
1  83  3.97196e+07
1  84  4.26979e+07
1  85  4.60586e+07
1  86  3.95122e+07
1  87  4.59012e+07
1  88  4.34862e+07
1  89  4.96645e+07
1  90  6.64353e+07
1  91  4.89294e+07
1  92  4.84674e+07
1  93  4.71661e+07
1  94  5.96707e+07
1  95  5.51889e+07
1  96  6.85716e+07
1  97  5.49299e+07
1  98  4.7652e+07
1  99  4.42465e+07
1  100  5.33112e+07
1  101  2.03724e+07
1  102  2.49509e+07
1  103  2.1712e+07
1  104  6.52275e+06
1  105  9.34838e+06
1  106  6.71834e+06
1  107  1.15204e+07
1  108  2.64998e+06
1  109  5.38401e+06
1  110  7.98337e+06
1  111  9.05293e+06
1  112  9.41023e+06
1  113  1.30038e+07
1  114  7.34063e+06
1  115  4.10097e+06
1  116  7.23974e+06
1  117  0
1  118  0
1  119  0
1  120  0
2  0  4.17736e+06
2  1  7.27548e+06
2  2  5.17009e+06
2  3  9.70972e+06
2  4  7.41236e+06
2  5  1.01945e+07
2  6  1.75612e+07
2  7  1.77652e+07
2  8  3.62852e+07
2  9  4.13306e+07
2  10  4.92016e+07
2  11  4.41252e+07
2  12  3.91269e+07
2  13  4.0654e+07
2  14  4.35063e+07
2  15  3.62054e+07
2  16  2.94145e+07
2  17  2.5507e+07
2  18  1.83481e+07
2  19  7.27828e+06
2  20  6.83763e+06
2  21  1.10925e+07
2  22  9.85445e+06
2  23  1.49243e+06
2  24  1.05513e+07
2  25  1.10531e+07
2  26  1.16117e+07
2  27  1.98418e+07
2  28  2.43676e+07
2  29  2.54956e+07
2  30  2.79177e+07
2  31  3.16908e+07
2  32  2.73407e+07
2  33  3.21557e+07
2  34  3.74533e+07
2  35  3.28473e+07
2  36  3.72172e+07
2  37  4.04746e+07
2  38  4.2547e+07
2  39  3.18931e+07
2  40  3.73369e+07
2  41  2.28162e+07
2  42  3.35462e+07
2  43  3.18339e+07
2  44  3.68074e+07
2  45  3.44573e+07
2  46  4.20128e+07
2  47  3.81129e+07
2  48  3.7416e+07
2  49  3.90907e+07
2  50  4.51862e+07
2  51  4.11925e+07
2  52  4.34427e+07
2  53  3.76384e+07
2  54  4.47606e+07
2  55  5.04631e+07
2  56  5.17257e+07
2  57  4.74249e+07
2  58  4.91706e+07
2  59  4.56463e+07
2  60  5.30765e+07
2  61  3.84549e+07
2  62  4.25256e+07
2  63  3.98276e+07
2  64  4.04866e+07
2  65  3.09995e+07
2  66  3.00282e+07
2  67  2.24404e+07
2  68  3.45461e+07
2  69  3.99438e+07
2  70  3.23013e+07
2  71  4.66266e+07
2  72  4.09743e+07
2  73  3.98639e+07
2  74  3.28959e+07
2  75  4.53016e+07
2  76  4.78107e+07
2  77  4.65754e+07
2  78  3.93973e+07
2  79  4.02576e+07
2  80  5.46655e+07
2  81  5.76798e+07
2  82  4.94397e+07
2  83  3.95494e+07
2  84  4.38317e+07
2  85  4.38164e+07
2  86  4.38133e+07
2  87  4.83569e+07
2  88  4.22076e+07
2  89  5.42055e+07
2  90  5.61058e+07
2  91  5.74342e+07
2  92  4.58226e+07
