row  column  (images_32.edf P-K*images_32.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  1.48527e+07
0  9  4.28169e+07
0  10  5.04254e+07
0  11  6.27843e+07
0  12  6.21924e+07
0  13  4.22816e+07
0  14  4.24429e+07
0  15  2.1044e+07
0  16  0
0  17  0
0  18  6.95798e+06
0  19  0
0  20  9.62298e+06
0  21  7.65193e+06
0  22  2.26069e+07
0  23  3.01245e+07
0  24  2.13743e+07
0  25  3.07839e+07
0  26  1.43483e+07
0  27  1.27996e+07
0  28  0
0  29  1.12593e+07
0  30  0
0  31  5.0309e+06
0  32  6.88772e+06
0  33  0
0  34  0
0  35  2.31466e+07
0  36  1.23471e+07
0  37  0
0  38  0
0  39  0
0  40  0
0  41  7.15305e+06
0  42  1.43558e+07
0  43  1.08788e+07
0  44  1.25734e+07
0  45  2.05261e+07
0  46  5.17068e+06
0  47  0
0  48  0
0  49  3.00069e+06
0  50  1.2166e+07
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  3.74946e+07
1  9  5.38916e+07
1  10  5.36826e+07
1  11  5.38553e+07
1  12  3.73804e+07
1  13  3.67132e+07
1  14  3.06893e+07
1  15  2.07692e+07
1  16  0
1  17  1.73501e+07
1  18  0
1  19  1.14466e+07
1  20  2.03823e+07
1  21  2.05126e+07
1  22  1.81806e+07
1  23  2.97604e+07
1  24  2.76909e+07
1  25  4.16916e+07
1  26  2.62069e+07
1  27  0
1  28  4.74709e+06
1  29  0
1  30  0
1  31  0
1  32  0
1  33  9.9133e+06
1  34  5.9903e+06
1  35  2.31609e+07
1  36  1.60745e+07
1  37  0
1  38  5.90333e+06
1  39  0
1  40  0
1  41  0
1  42  8.27284e+06
1  43  2.77278e+07
1  44  1.80353e+07
1  45  4.71371e+06
1  46  0
1  47  4.42907e+06
1  48  7.97203e+06
1  49  1.92166e+07
1  50  2.13693e+07
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  3.50227e+07
2  9  4.14785e+07
2  10  5.80664e+07
2  11  4.06017e+07
2  12  5.06106e+07
2  13  4.92663e+07
2  14  4.02715e+07
2  15  1.30511e+07
2  16  2.99249e+07
2  17  0
2  18  0
2  19  0
2  20  0
2  21  1.45781e+07
2  22  2.14891e+07
2  23  1.93743e+07
2  24  3.14158e+07
2  25  2.21398e+07
2  26  1.25721e+07
2  27  0
2  28  1.02474e+07
2  29  8.59134e+06
2  30  0
2  31  3.71501e+06
2  32  2.19469e+07
2  33  3.76104e+06
2  34  2.23921e+07
2  35  1.01433e+07
2  36  1.00647e+07
2  37  1.53824e+07
2  38  1.48338e+07
2  39  0
2  40  0
2  41  1.30743e+07
2  42  1.0773e+07
2  43  2.26361e+07
2  44  1.1995e+07
2  45  1.64957e+07
2  46  8.2046e+06
2  47  6.44516e+06
2  48  5.86336e+06
2  49  6.06754e+06
2  50  2.43778e+07
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  3.5028e+06
3  8  4.65689e+07
3  9  6.17858e+07
3  10  5.46736e+07
3  11  4.20517e+07
3  12  3.18413e+07
3  13  3.29702e+07
3  14  2.30757e+07
3  15  1.53868e+07
3  16  2.18969e+07
3  17  0
3  18  0
3  19  2.6066e+07
3  20  0
3  21  1.3389e+07
3  22  2.66696e+07
3  23  3.26322e+07
3  24  1.91739e+07
3  25  1.09901e+07
3  26  1.65365e+07
3  27  0
3  28  4.93766e+06
3  29  0
3  30  0
3  31  0
3  32  1.4305e+07
3  33  0
3  34  1.62831e+07
3  35  2.27207e+07
3  36  0
3  37  0
3  38  0
3  39  0
3  40  1.16794e+07
3  41  1.85328e+07
3  42  6.65749e+06
3  43  1.59886e+07
3  44  7.93046e+06
3  45  1.41231e+07
3  46  3.28248e+06
3  47  0
3  48  1.96711e+07
3  49  2.06337e+07
3  50  1.70541e+07
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  4.27764e+07
4  9  6.30517e+07
4  10  5.20878e+07
4  11  3.43286e+07
4  12  3.00737e+07
4  13  2.66924e+07
4  14  2.93745e+07
4  15  1.90111e+07
4  16  1.13435e+07
4  17  8.78792e+06
4  18  6.22572e+06
4  19  5.71704e+06
4  20  7.21306e+06
4  21  1.90289e+07
4  22  3.30685e+07
4  23  4.20991e+07
4  24  2.24867e+07
4  25  1.0391e+07
4  26  7.15491e+06
4  27  0
4  28  0
4  29  1.22487e+07
4  30  9.33096e+06
4  31  0
4  32  0
4  33  1.32857e+07
4  34  1.77711e+07
4  35  1.52063e+07
4  36  7.3961e+06
4  37  1.65217e+07
4  38  0
4  39  0
4  40  5.03317e+06
4  41  1.44416e+07
4  42  1.98174e+07
4  43  1.68763e+07
4  44  1.19966e+07
4  45  2.24321e+07
4  46  7.52571e+06
4  47  2.11818e+07
4  48  4.3553e+06
4  49  1.68671e+07
4  50  3.92018e+07
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  0
5  8  5.02965e+07
5  9  5.03084e+07
5  10  5.14379e+07
5  11  1.99694e+07
5  12  4.3856e+07
5  13  2.70066e+07
5  14  1.46959e+07
5  15  8.13405e+06
5  16  2.30479e+07
5  17  7.57477e+06
5  18  0
5  19  1.16548e+07
5  20  6.78985e+06
5  21  0
5  22  1.55012e+07
5  23  1.7996e+07
5  24  3.72121e+07
5  25  1.54668e+07
5  26  1.12676e+07
5  27  8.91869e+06
5  28  6.28009e+06
5  29  5.71602e+06
5  30  1.1489e+07
5  31  5.38375e+06
5  32  1.1087e+07
5  33  1.43723e+07
5  34  8.24773e+06
5  35  2.59797e+07
5  36  1.21195e+07
5  37  4.62328e+06
5  38  6.6067e+06
5  39  1.99041e+07
5  40  1.01703e+07
5  41  1.90193e+07
5  42  1.00562e+07
5  43  1.67754e+07
5  44  1.25206e+07
5  45  1.06726e+07
5  46  1.32725e+07
5  47  1.35596e+07
5  48  2.60536e+07
5  49  0
5  50  2.27353e+07
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  6.66656e+06
6  8  4.10728e+07
6  9  4.82844e+07
6  10  2.78597e+07
6  11  3.51232e+07
6  12  1.78417e+07
6  13  0
6  14  0
6  15  3.22845e+07
6  16  2.86344e+07
6  17  7.92263e+06
6  18  0
6  19  1.66968e+07
6  20  0
6  21  1.96603e+07
6  22  3.30235e+07
6  23  2.06795e+07
6  24  4.28561e+07
6  25  0
6  26  1.54614e+07
6  27  1.62185e+07
6  28  1.59331e+07
6  29  1.2218e+07
6  30  6.95598e+06
6  31  0
6  32  0
6  33  1.24484e+07
6  34  1.58209e+07
6  35  1.83442e+07
6  36  7.48577e+06
6  37  2.0667e+07
6  38  1.04687e+07
6  39  1.45877e+07
6  40  2.27401e+06
6  41  1.73026e+07
6  42  5.67251e+06
6  43  9.03964e+06
6  44  9.61147e+06
6  45  2.09325e+07
6  46  1.2968e+07
6  47  5.08544e+06
6  48  1.95249e+07
6  49  1.21122e+07
6  50  2.8072e+07
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  0
7  8  5.82341e+07
7  9  3.40341e+07
7  10  3.14997e+07
7  11  1.94454e+07
7  12  1.11461e+07
7  13  8.81595e+06
