row  column  (images_33.edf Fe-K*images_33.edf Ar-K**2.3)
0  0  0
0  1  5.18731e+07
0  2  4.11264e+07
0  3  7.86821e+07
0  4  7.5241e+07
0  5  1.17194e+08
0  6  1.73992e+08
0  7  1.19673e+08
0  8  9.37408e+07
0  9  1.31244e+08
0  10  1.03119e+08
0  11  1.25511e+08
0  12  1.38464e+08
0  13  1.74814e+08
0  14  2.24898e+08
0  15  1.95183e+08
0  16  2.13157e+08
0  17  2.26624e+08
0  18  2.33258e+08
0  19  2.06161e+08
0  20  1.33194e+08
0  21  2.04405e+08
0  22  2.09356e+08
0  23  2.24484e+08
0  24  1.63818e+08
0  25  1.64649e+08
0  26  1.35703e+08
0  27  1.07984e+08
0  28  1.24841e+08
0  29  1.51397e+08
0  30  1.73487e+08
0  31  1.91938e+08
0  32  1.66742e+08
0  33  1.58257e+08
0  34  1.96629e+08
0  35  1.61943e+08
0  36  1.95155e+08
0  37  1.39276e+08
0  38  1.19475e+08
0  39  1.81028e+08
0  40  1.46414e+08
0  41  1.78076e+08
0  42  2.11802e+08
0  43  3.01845e+08
0  44  3.36264e+08
0  45  4.49599e+08
0  46  5.94295e+08
0  47  2.67354e+08
0  48  3.07821e+08
0  49  2.60942e+08
0  50  2.28758e+08
1  0  0
1  1  3.33434e+07
1  2  2.7264e+07
1  3  5.30744e+07
1  4  7.35673e+07
1  5  2.02771e+08
1  6  1.27851e+08
1  7  1.27086e+08
1  8  1.23183e+08
1  9  1.21014e+08
1  10  1.15665e+08
1  11  1.13756e+08
1  12  1.62478e+08
1  13  1.81508e+08
1  14  1.77209e+08
1  15  2.12076e+08
1  16  2.49233e+08
1  17  2.30052e+08
1  18  2.45129e+08
1  19  1.71192e+08
1  20  1.24803e+08
1  21  1.98249e+08
1  22  2.29339e+08
1  23  2.41674e+08
1  24  1.5048e+08
1  25  1.50623e+08
1  26  9.93375e+07
1  27  1.10421e+08
1  28  1.2276e+08
1  29  1.31221e+08
1  30  1.94736e+08
1  31  1.6833e+08
1  32  2.24865e+08
1  33  1.92342e+08
1  34  1.47965e+08
1  35  2.18622e+08
1  36  1.96489e+08
1  37  1.6031e+08
1  38  1.59289e+08
1  39  1.77056e+08
1  40  1.78499e+08
1  41  1.90209e+08
1  42  2.68414e+08
1  43  2.79338e+08
1  44  3.45206e+08
1  45  3.81435e+08
1  46  4.11722e+08
1  47  2.90674e+08
