row  column  (images_33.edf S-K*images_33.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  2.70408e+07
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  2.9565e+07
0  17  0
0  18  3.55883e+07
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  0
0  30  0
0  31  0
0  32  0
0  33  0
0  34  0
0  35  0
0  36  0
0  37  1.66208e+07
0  38  0
0  39  2.16251e+07
0  40  3.89515e+07
0  41  0
0  42  0
0  43  0
0  44  3.44524e+07
0  45  0
0  46  0
0  47  0
0  48  0
0  49  0
0  50  0
1  0  0
1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  2.82139e+07
1  9  2.64293e+07
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  3.76354e+07
1  16  3.58999e+07
1  17  4.79672e+07
1  18  2.88389e+07
1  19  0
1  20  2.0939e+07
1  21  0
1  22  4.17533e+07
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0
1  30  0
1  31  1.71821e+07
1  32  0
1  33  0
1  34  0
1  35  0
1  36  0
1  37  0
1  38  3.05002e+06
1  39  1.5398e+07
1  40  0
1  41  0
1  42  0
1  43  0
1  44  0
1  45  2.09356e+07
1  46  0
1  47  0
1  48  0
1  49  0
1  50  0
2  0  0
2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  2.99005e+07
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  2.90724e+07
2  16  3.49011e+07
2  17  4.97302e+07
2  18  2.1726e+07
2  19  0
2  20  2.87038e+07
2  21  0
2  22  4.12982e+07
2  23  0
2  24  0
2  25  0
2  26  1.97137e+07
2  27  3.0131e+07
2  28  0
2  29  0
2  30  0
2  31  0
2  32  0
2  33  0
2  34  0
2  35  0
2  36  0
2  37  0
2  38  1.25782e+07
2  39  0
2  40  0
2  41  0
2  42  0
2  43  0
2  44  0
2  45  0
2  46  0
2  47  0
2  48  0
2  49  0
2  50  0
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  0
3  8  6.02642e+07
3  9  2.86488e+07
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  0
3  16  2.57891e+07
3  17  3.56997e+07
3  18  3.57454e+07
3  19  2.13154e+07
3  20  0
3  21  1.87144e+07
3  22  2.9447e+07
3  23  0
3  24  0
3  25  0
3  26  0
3  27  0
3  28  0
3  29  0
3  30  0
3  31  0
3  32  0
3  33  0
3  34  0
3  35  0
3  36  0
3  37  0
3  38  1.42275e+07
3  39  9.6038e+06
3  40  0
3  41  0
3  42  1.98675e+07
3  43  0
3  44  0
3  45  0
3  46  0
3  47  0
3  48  0
3  49  0
3  50  0
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  0
4  7  2.44827e+07
4  8  6.76673e+07
4  9  3.14997e+07
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  1.87442e+07
4  16  4.19882e+07
4  17  5.62222e+07
4  18  3.71893e+07
4  19  3.28198e+07
4  20  2.46409e+07
4  21  2.14747e+07
4  22  2.4913e+07
4  23  3.22699e+07
4  24  0
4  25  0
4  26  0
4  27  0
4  28  0
4  29  0
4  30  2.58258e+07
4  31  2.47111e+07
4  32  0
4  33  2.02614e+07
4  34  0
4  35  0
4  36  0
4  37  0
4  38  2.33388e+07
4  39  1.0317e+07
4  40  0
4  41  0
4  42  0
4  43  0
4  44  0
4  45  0
4  46  0
4  47  0
4  48  0
4  49  0
4  50  0
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  1.46841e+07
5  8  4.82111e+07
5  9  3.06883e+07
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  5.14206e+07
5  17  3.57339e+07
5  18  3.60143e+07
5  19  2.62922e+07
5  20  3.58964e+07
5  21  5.47402e+07
5  22  3.39703e+07
5  23  2.68376e+07
5  24  0
5  25  2.32531e+07
5  26  0
5  27  0
5  28  0
5  29  2.39504e+07
5  30  2.55024e+07
5  31  0
5  32  0
5  33  2.18923e+07
5  34  2.3273e+07
5  35  1.50496e+07
5  36  1.80053e+07
5  37  2.70057e+07
5  38  8.99752e+06
5  39  4.05837e+06
5  40  0
5  41  0
5  42  0
5  43  0
5  44  0
5  45  0
5  46  0
5  47  0
5  48  0
5  49  0
5  50  0
6  0  0
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  3.7424e+07
6  8  7.09267e+07
6  9  4.7615e+07
6  10  0
6  11  0
6  12  0
6  13  0
6  14  0
6  15  2.11962e+07
6  16  3.97186e+07
6  17  3.01433e+07
6  18  3.6163e+07
6  19  3.0324e+07
6  20  4.24257e+07
6  21  5.64179e+07
6  22  2.8861e+07
6  23  3.02911e+07
6  24  0
6  25  3.29586e+07
6  26  0
6  27  2.38333e+07
6  28  2.76728e+07
6  29  0
6  30  2.22239e+07
6  31  0
6  32  0
6  33  0
6  34  0
6  35  0
6  36  0
6  37  0
6  38  2.02461e+07
6  39  4.18229e+06
6  40  0
6  41  0
6  42  0
6  43  0
6  44  0
6  45  0
6  46  0
6  47  0
6  48  0
6  49  0
6  50  0
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  0
7  6  0
7  7  2.8473e+07
7  8  5.86801e+07
7  9  6.29881e+07
7  10  0
7  11  0
7  12  0
7  13  0
7  14  0
7  15  2.20423e+07
7  16  1.76344e+07
7  17  4.34147e+07
7  18  0
7  19  3.48456e+07
7  20  3.93164e+07
7  21  3.62832e+07
7  22  3.11086e+07
7  23  2.93277e+07
7  24  0
7  25  2.4282e+07
7  26  0
7  27  0
7  28  0
7  29  0
7  30  0
7  31  0
7  32  0
7  33  0
7  34  2.90117e+07
7  35  0
7  36  0
7  37  3.29086e+07
7  38  2.41115e+06
7  39  3.53999e+07
7  40  0
7  41  0
7  42  0
7  43  0
7  44  0
7  45  0
7  46  0
7  47  0
7  48  0
7  49  0
7  50  0
8  0  0
8  1  0
8  2  0
8  3  0
8  4  0
8  5  0
8  6  0
8  7  2.78604e+07
8  8  6.79694e+07
8  9  6.01084e+07
8  10  0
8  11  0
8  12  0
8  13  0
8  14  0
8  15  2.0527e+07
8  16  2.15908e+07
8  17  3.20543e+07
8  18  3.19157e+07
8  19  3.33932e+07
8  20  2.81243e+07
8  21  7.84634e+07
8  22  0
8  23  2.62773e+07
8  24  2.54594e+07
8  25  0
8  26  0
8  27  0
8  28  3.2116e+07
8  29  2.44654e+07
8  30  2.70058e+07
8  31  0
8  32  0
8  33  2.83991e+07
8  34  4.41026e+07
8  35  4.98761e+07
8  36  1.91583e+07
8  37  2.6634e+07
8  38  2.67997e+07
8  39  3.76447e+07
8  40  0
8  41  0
8  42  2.12073e+07
8  43  3.2204e+07
8  44  0
8  45  3.42571e+07
8  46  0
8  47  0
8  48  0
8  49  0
8  50  0
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  0
9  6  2.22957e+07
9  7  2.36671e+07
9  8  7.27074e+07
9  9  6.75705e+07
9  10  0
9  11  0
9  12  0
9  13  0
9  14  0
9  15  0
9  16  0
9  17  0
