row  column  (images_35.edf K-K*images_35.edf Ar-K**2.3)
0  0  0
0  1  1.87728e+07
0  2  6.59055e+07
0  3  3.33957e+07
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  7.303e+06
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  3.22681e+07
0  28  1.86412e+07
0  29  0
0  30  4.55077e+07
0  31  0
0  32  6.07276e+07
0  33  0
0  34  0
0  35  4.14949e+07
0  36  0
0  37  3.00254e+07
0  38  4.31723e+07
0  39  0
0  40  0
0  41  0
0  42  0
0  43  2.18778e+06
0  44  0
0  45  0
0  46  0
0  47  0
0  48  0
0  49  0
0  50  0
1  0  1.83227e+07
1  1  0
1  2  4.93231e+07
1  3  1.6438e+07
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  1.79199e+07
1  28  2.68586e+07
1  29  1.92105e+07
1  30  1.8694e+07
1  31  0
1  32  0
1  33  2.77073e+07
1  34  0
1  35  2.43346e+07
1  36  5.6311e+07
1  37  0
1  38  0
1  39  0
1  40  0
1  41  0
1  42  0
1  43  0
1  44  0
1  45  2.36311e+07
1  46  0
1  47  0
1  48  0
1  49  0
1  50  0
2  0  0
2  1  0
2  2  2.17507e+07
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  2.38462e+07
2  28  1.57121e+07
2  29  0
2  30  5.20072e+07
2  31  2.50257e+07
2  32  0
2  33  2.23675e+07
2  34  0
2  35  0
2  36  0
2  37  0
2  38  2.06987e+07
2  39  3.8545e+06
2  40  0
2  41  0
2  42  0
2  43  0
2  44  0
2  45  0
2  46  3.64111e+07
2  47  2.69494e+07
2  48  0
2  49  2.69282e+07
2  50  0
3  0  0
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  0
3  16  0
3  17  1.43701e+07
3  18  0
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  0
3  27  0
3  28  4.45171e+07
3  29  2.83157e+07
3  30  0
3  31  0
3  32  0
3  33  0
3  34  0
3  35  2.17461e+07
3  36  2.88212e+07
3  37  1.81892e+07
3  38  4.10452e+07
3  39  1.43221e+07
3  40  2.06876e+07
3  41  6.96039e+06
3  42  0
3  43  0
3  44  2.23758e+07
3  45  0
3  46  2.45753e+07
3  47  0
3  48  0
3  49  0
3  50  2.11961e+07
4  0  0
4  1  0
4  2  0
4  3  0
4  4  0
4  5  0
4  6  0
4  7  0
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  0
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  0
4  26  0
4  27  3.09297e+07
4  28  0
4  29  0
4  30  0
4  31  2.07812e+07
4  32  0
4  33  0
4  34  0
4  35  0
4  36  4.251e+07
4  37  1.74037e+07
4  38  1.91743e+07
4  39  1.58635e+07
4  40  0
4  41  0
4  42  0
4  43  5.5487e+06
4  44  0
4  45  0
4  46  3.70065e+07
4  47  0
4  48  0
4  49  0
4  50  0
5  0  0
5  1  0
5  2  0
5  3  0
5  4  0
5  5  0
5  6  0
5  7  0
5  8  0
5  9  0
5  10  0
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  0
5  21  0
5  22  0
5  23  0
5  24  0
