row  column  (image_36_a.edf Ca-K*image_36_a.edf Ar-K**2.3)
0  0  1.86869e+09
0  1  1.88207e+09
0  2  1.78982e+09
0  3  1.74397e+09
0  4  1.74747e+09
0  5  1.59721e+09
0  6  1.5149e+09
0  7  1.35187e+09
0  8  1.28015e+09
0  9  1.37058e+09
0  10  1.12158e+09
0  11  1.06292e+09
0  12  1.04443e+09
0  13  1.04806e+09
0  14  9.58355e+08
0  15  9.38547e+08
0  16  8.58733e+08
0  17  7.92831e+08
0  18  7.98103e+08
0  19  7.95066e+08
0  20  7.50119e+08
0  21  7.48027e+08
0  22  7.40153e+08
0  23  7.3271e+08
0  24  6.79579e+08
0  25  6.14493e+08
0  26  6.46838e+08
0  27  5.99983e+08
0  28  5.67084e+08
0  29  4.88438e+08
0  30  5.26456e+08
1  0  2.05356e+09
1  1  1.99164e+09
1  2  1.91003e+09
1  3  1.82872e+09
1  4  1.86335e+09
1  5  1.66855e+09
1  6  1.4382e+09
1  7  1.52745e+09
1  8  1.55048e+09
1  9  1.55056e+09
1  10  1.29227e+09
1  11  1.33812e+09
1  12  1.08835e+09
1  13  1.02683e+09
1  14  1.00764e+09
1  15  1.02771e+09
1  16  9.35457e+08
1  17  9.14175e+08
1  18  8.33305e+08
1  19  8.40575e+08
1  20  8.10823e+08
1  21  9.38178e+08
1  22  8.89076e+08
1  23  7.72289e+08
1  24  7.28906e+08
1  25  7.73554e+08
1  26  6.56849e+08
1  27  6.6864e+08
1  28  6.17629e+08
1  29  6.26952e+08
1  30  6.553e+08
2  0  2.00863e+09
2  1  2.17511e+09
2  2  2.14749e+09
2  3  1.99883e+09
2  4  2.07435e+09
2  5  1.93427e+09
2  6  1.91122e+09
2  7  1.69638e+09
2  8  1.79475e+09
2  9  1.66682e+09
2  10  1.52156e+09
2  11  1.38275e+09
2  12  1.28204e+09
2  13  1.17298e+09
2  14  1.17895e+09
2  15  1.1667e+09
2  16  1.18735e+09
2  17  1.05937e+09
2  18  9.76944e+08
2  19  9.52241e+08
2  20  9.03251e+08
2  21  9.85769e+08
2  22  9.68099e+08
2  23  8.97973e+08
2  24  7.88558e+08
2  25  8.70633e+08
2  26  7.72894e+08
2  27  7.25292e+08
2  28  6.85909e+08
2  29  6.33033e+08
2  30  7.22952e+08
3  0  2.17096e+09
3  1  2.16711e+09
3  2  1.91102e+09
3  3  1.97909e+09
3  4  2.08531e+09
3  5  2.0157e+09
3  6  1.9053e+09
3  7  2.03362e+09
3  8  2.31606e+09
3  9  1.95312e+09
3  10  1.85923e+09
3  11  1.6332e+09
3  12  1.45898e+09
3  13  1.42629e+09
3  14  1.44253e+09
3  15  1.29312e+09
3  16  1.19099e+09
3  17  1.29322e+09
3  18  1.18751e+09
3  19  1.15639e+09
3  20  1.04194e+09
3  21  1.02532e+09
3  22  1.13472e+09
3  23  1.0244e+09
3  24  9.8002e+08
3  25  9.68708e+08
3  26  9.60871e+08
3  27  8.53401e+08
3  28  8.79504e+08
3  29  9.01996e+08
3  30  8.93948e+08
4  0  2.34521e+09
4  1  2.10133e+09
4  2  2.32507e+09
4  3  2.22932e+09
4  4  2.38936e+09
4  5  2.1406e+09
4  6  2.2199e+09
4  7  2.27761e+09
4  8  2.19947e+09
4  9  2.21256e+09
4  10  2.29495e+09
4  11  1.76704e+09
4  12  1.78529e+09
4  13  1.62163e+09
4  14  1.59277e+09
4  15  1.46075e+09
4  16  1.46203e+09
4  17  1.47613e+09
4  18  1.26082e+09
4  19  1.1834e+09
4  20  1.22612e+09
4  21  1.35697e+09
4  22  1.38223e+09
4  23  1.33724e+09
4  24  1.21057e+09
4  25  1.18156e+09
4  26  1.09504e+09
4  27  1.02427e+09
4  28  9.73946e+08
4  29  1.01577e+09
4  30  1.04258e+09
5  0  2.57588e+09
5  1  2.29438e+09
5  2  2.55004e+09
5  3  2.54227e+09
5  4  2.31853e+09
5  5  2.23308e+09
5  6  2.262e+09
5  7  2.33858e+09
5  8  2.47612e+09
5  9  2.32844e+09
5  10  2.42374e+09
5  11  2.30847e+09
5  12  2.0097e+09
5  13  1.80014e+09
5  14  1.80802e+09
5  15  1.7724e+09
5  16  1.66837e+09
5  17  1.61008e+09
5  18  1.42922e+09
5  19  1.47758e+09
5  20  1.45153e+09
5  21  1.5621e+09
5  22  1.63983e+09
5  23  1.45717e+09
5  24  1.32187e+09
5  25  1.36157e+09
5  26  1.27328e+09
5  27  1.23662e+09
5  28  1.2068e+09
5  29  1.16177e+09
5  30  1.33777e+09
6  0  2.8026e+09
6  1  2.51571e+09
6  2  2.46398e+09
6  3  2.43261e+09
6  4  2.51511e+09
6  5  2.51827e+09
6  6  2.42973e+09
6  7  2.7476e+09
6  8  2.6382e+09
6  9  2.74202e+09
6  10  2.70813e+09
6  11  2.25883e+09
6  12  2.45712e+09
6  13  2.36285e+09
6  14  2.18312e+09
6  15  1.9832e+09
6  16  1.8519e+09
6  17  1.89863e+09
6  18  1.92311e+09
6  19  1.80836e+09
6  20  1.58659e+09
6  21  1.91822e+09
6  22  1.94948e+09
6  23  1.8003e+09
6  24  1.69241e+09
6  25  1.62404e+09
6  26  1.5238e+09
6  27  1.463e+09
6  28  1.43341e+09
6  29  1.36333e+09
6  30  1.55203e+09
7  0  2.72407e+09
7  1  2.6087e+09
7  2  2.76991e+09
7  3  2.74484e+09
7  4  2.4746e+09
7  5  2.59319e+09
7  6  2.40305e+09
7  7  3.02852e+09
7  8  2.8793e+09
7  9  2.88599e+09
7  10  3.00994e+09
7  11  2.80172e+09
7  12  2.90564e+09
7  13  2.56808e+09
7  14  2.70643e+09
7  15  2.39405e+09
7  16  2.19871e+09
7  17  2.12642e+09
7  18  1.99913e+09
7  19  2.11563e+09
7  20  2.02384e+09
7  21  2.38759e+09
7  22  2.38476e+09
7  23  2.11123e+09
7  24  1.90571e+09
7  25  1.98014e+09
7  26  1.85467e+09
7  27  1.62807e+09
7  28  1.70781e+09
7  29  1.76423e+09
7  30  1.89013e+09
8  0  2.71836e+09
8  1  2.79001e+09
8  2  2.78443e+09
8  3  2.74379e+09
8  4  2.75666e+09
8  5  2.50175e+09
8  6  2.39235e+09
8  7  3.00178e+09
8  8  3.13843e+09
8  9  2.88689e+09
8  10  3.01629e+09
8  11  2.96696e+09
8  12  3.08715e+09
8  13  2.68361e+09
8  14  2.80865e+09
8  15  2.58228e+09
8  16  2.58726e+09
8  17  2.52172e+09
8  18  2.28969e+09
8  19  2.31972e+09
8  20  2.33803e+09
8  21  2.50093e+09
8  22  2.61213e+09
8  23  2.47951e+09
8  24  2.42057e+09
8  25  2.26809e+09
8  26  2.12137e+09
8  27  1.96735e+09
8  28  2.019e+09
8  29  1.84833e+09
8  30  2.28289e+09
9  0  2.85731e+09
9  1  2.64568e+09
9  2  2.59028e+09
9  3  2.93185e+09
9  4  2.64839e+09
9  5  2.59476e+09
9  6  2.65504e+09
9  7  2.94829e+09
9  8  3.12458e+09
9  9  3.25773e+09
9  10  3.18597e+09
9  11  2.99031e+09
9  12  2.84006e+09
9  13  2.7399e+09
9  14  2.99151e+09
9  15  2.83408e+09
9  16  2.83467e+09
9  17  2.3539e+09
9  18  2.36416e+09
9  19  2.38409e+09
9  20  2.66529e+09
9  21  2.65815e+09
9  22  2.89241e+09
9  23  2.66536e+09
9  24  2.57769e+09
9  25  2.44781e+09
9  26  2.3845e+09
9  27  2.08626e+09
9  28  2.11672e+09
9  29  1.96765e+09
9  30  2.23203e+09
10  0  2.87677e+09
10  1  2.62798e+09
10  2  2.80677e+09
10  3  2.8033e+09
10  4  2.70638e+09
10  5  2.58028e+09
10  6  2.6175e+09
10  7  2.92209e+09
10  8  3.21515e+09
10  9  3.22616e+09
10  10  3.25701e+09
10  11  3.08501e+09
10  12  2.89764e+09
10  13  3.11072e+09
10  14  3.15743e+09
10  15  3.06406e+09
10  16  2.76508e+09
10  17  2.63389e+09
10  18  2.67308e+09
10  19  2.73627e+09
10  20  2.96893e+09
10  21  2.68283e+09
10  22  3.31321e+09
10  23  3.14168e+09
10  24  2.73504e+09
10  25  2.52373e+09
10  26  2.59326e+09
10  27  2.50762e+09
10  28  2.34693e+09
10  29  2.17495e+09
10  30  2.53863e+09
11  0  2.47046e+09
11  1  2.82815e+09
11  2  2.91654e+09
11  3  2.50541e+09
11  4  2.64097e+09
11  5  2.58579e+09
11  6  2.79831e+09
11  7  3.30622e+09
11  8  3.27233e+09
11  9  3.22492e+09
11  10  3.31633e+09
11  11  2.73869e+09
11  12  3.0746e+09
11  13  2.95952e+09
11  14  2.79135e+09
11  15  2.97784e+09
11  16  2.87426e+09
11  17  2.6177e+09
11  18  2.94359e+09
11  19  2.57749e+09
11  20  2.93661e+09
11  21  2.95351e+09
11  22  3.29607e+09
11  23  2.96865e+09
11  24  2.79508e+09
11  25  2.78718e+09
11  26  2.37316e+09
11  27  2.32948e+09
11  28  2.48004e+09
11  29  2.11097e+09
11  30  2.39465e+09
12  0  2.71953e+09
12  1  2.95748e+09
12  2  2.60459e+09
12  3  2.46189e+09
12  4  2.65959e+09
12  5  2.40844e+09
12  6  2.49901e+09
12  7  2.80871e+09
12  8  3.05777e+09
12  9  3.05887e+09
12  10  3.28971e+09
12  11  2.93045e+09
12  12  2.99039e+09
12  13  3.07348e+09
12  14  2.97089e+09
12  15  3.09467e+09
12  16  2.77617e+09
12  17  2.71811e+09
12  18  2.80642e+09
12  19  2.663e+09
12  20  3.10063e+09
12  21  3.16104e+09
12  22  3.29465e+09
12  23  2.88168e+09
12  24  2.86431e+09
12  25  2.80354e+09
12  26  2.63176e+09
12  27  2.46527e+09
12  28  2.47352e+09
12  29  2.0963e+09
12  30  2.61485e+09
13  0  2.7649e+09
13  1  2.71442e+09
13  2  2.62334e+09
13  3  2.61177e+09
13  4  2.6175e+09
13  5  2.31797e+09
13  6  2.70946e+09
13  7  2.85522e+09
13  8  2.90365e+09
13  9  3.04355e+09
13  10  2.91204e+09
13  11  3.12663e+09
13  12  3.13435e+09
13  13  3.06856e+09
13  14  2.91589e+09
13  15  3.16046e+09
13  16  2.57521e+09
13  17  2.67389e+09
13  18  2.71728e+09
13  19  2.94581e+09
13  20  3.04894e+09
13  21  3.40282e+09
13  22  3.29675e+09
13  23  3.17219e+09
13  24  3.00403e+09
13  25  2.90247e+09
13  26  2.4279e+09
13  27  2.43048e+09
13  28  2.3512e+09
13  29  2.36533e+09
13  30  2.65748e+09
14  0  2.70278e+09
14  1  2.75298e+09
14  2  2.87437e+09
14  3  2.3776e+09
14  4  2.51774e+09
14  5  2.23247e+09
14  6  2.55463e+09
14  7  2.79832e+09
14  8  3.01498e+09
14  9  2.8249e+09
14  10  2.8673e+09
14  11  3.00466e+09
14  12  3.08354e+09
14  13  3.17179e+09
14  14  2.97008e+09
14  15  3.03352e+09
14  16  3.06996e+09
14  17  2.86149e+09
14  18  2.50645e+09
14  19  3.23683e+09
14  20  3.15654e+09
14  21  3.23365e+09
14  22  3.12614e+09
14  23  3.15929e+09
14  24  2.9677e+09
14  25  2.87309e+09
14  26  2.47777e+09
14  27  2.33349e+09
14  28  2.22562e+09
14  29  2.27778e+09
14  30  2.51016e+09
15  0  2.91575e+09
15  1  2.67304e+09
15  2  2.53882e+09
15  3  2.55378e+09
15  4  2.32076e+09
15  5  2.37311e+09
15  6  2.67761e+09
15  7  2.83194e+09
15  8  2.80182e+09
15  9  2.86618e+09
15  10  2.71726e+09
15  11  2.98371e+09
15  12  3.02191e+09
15  13  2.96111e+09
15  14  2.86644e+09
15  15  2.98692e+09
15  16  2.67772e+09
15  17  2.44799e+09
15  18  2.67224e+09
15  19  3.19767e+09
15  20  3.07313e+09
15  21  3.36331e+09
15  22  3.16889e+09
15  23  3.1758e+09
15  24  2.72626e+09
15  25  2.70956e+09
15  26  2.36955e+09
15  27  2.2272e+09
15  28  2.333e+09
15  29  2.62368e+09
15  30  2.68365e+09
16  0  2.82044e+09
16  1  2.6925e+09
16  2  2.57521e+09
16  3  2.47855e+09
16  4  2.54358e+09
16  5  2.30457e+09
16  6  2.87403e+09
16  7  2.87734e+09
16  8  2.57222e+09
16  9  2.84236e+09
16  10  2.58078e+09
16  11  2.84732e+09
16  12  3.2309e+09
16  13  2.93401e+09
16  14  2.85553e+09
16  15  2.74991e+09
16  16  2.78982e+09
16  17  2.59282e+09
16  18  2.96084e+09
16  19  3.24211e+09
16  20  3.12515e+09
16  21  2.94593e+09
16  22  3.07272e+09
16  23  3.48336e+09
16  24  2.97285e+09
16  25  2.75956e+09
16  26  2.42268e+09
16  27  2.08247e+09
16  28  2.36403e+09
16  29  2.57912e+09
16  30  2.86134e+09
17  0  2.85138e+09
17  1  2.82142e+09
17  2  2.75099e+09
17  3  2.43265e+09
17  4  2.30571e+09
17  5  2.50793e+09
17  6  2.87124e+09
17  7  2.74411e+09
17  8  2.62002e+09
17  9  2.5816e+09
17  10  2.63462e+09
17  11  2.91789e+09
17  12  2.94505e+09
17  13  2.77992e+09
17  14  2.65538e+09
17  15  2.92242e+09
17  16  2.61342e+09
17  17  2.53694e+09
17  18  2.96698e+09
17  19  3.51215e+09
17  20  2.99799e+09
17  21  2.71431e+09
17  22  3.33118e+09
17  23  3.33082e+09
17  24  2.74182e+09
17  25  2.36993e+09
17  26  1.94021e+09
17  27  2.0319e+09
17  28  2.58104e+09
17  29  2.71653e+09
17  30  2.5703e+09
18  0  2.92744e+09
18  1  2.9371e+09
18  2  2.77092e+09
18  3  2.59421e+09
18  4  2.43877e+09
18  5  2.57138e+09
18  6  2.82851e+09
18  7  2.68354e+09
18  8  2.69148e+09
18  9  2.62389e+09
18  10  2.64603e+09
18  11  2.49246e+09
18  12  2.72604e+09
18  13  2.70428e+09
18  14  2.79819e+09
18  15  2.59384e+09
18  16  2.59715e+09
18  17  2.66888e+09
18  18  2.98031e+09
18  19  3.35804e+09
18  20  3.18584e+09
18  21  2.89672e+09
18  22  2.84884e+09
18  23  3.22359e+09
18  24  2.81932e+09
18  25  2.56972e+09
18  26  2.1073e+09
18  27  1.87997e+09
18  28  2.48285e+09
18  29  2.61527e+09
18  30  2.60881e+09
19  0  2.64664e+09
19  1  2.60172e+09
19  2  2.70886e+09
19  3  2.59076e+09
