row  column  (image_36_a.edf Cu-K*image_36_a.edf Ar-K**2.3)
0  0  0
0  1  1.48543e+07
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  1.47898e+07
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  1.46323e+07
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  0
0  30  0
1  0  1.61485e+07
1  1  1.9086e+07
1  2  0
1  3  0
1  4  9.26211e+06
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  2.60979e+07
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  2.01498e+06
1  25  1.65614e+06
1  26  0
1  27  0
1  28  0
1  29  0
1  30  0
2  0  3.3388e+06
2  1  0
2  2  0
2  3  0
2  4  1.80549e+07
2  5  0
2  6  3.2016e+07
2  7  5.19115e+06
2  8  0
2  9  0
2  10  0
2  11  0
2  12  7.0057e+06
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  0
2  29  0
2  30  3.92278e+06
3  0  8.17236e+06
3  1  0
3  2  0
3  3  0
3  4  0
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  1.97877e+07
3  11  9.01297e+06
3  12  0
3  13  0
3  14  0
3  15  8.94458e+06
3  16  0
3  17  0
3  18  0
3  19  0
3  20  0
3  21  0
3  22  1.77914e+07
3  23  0
3  24  0
3  25  0
3  26  0
3  27  0
3  28  0
3  29  0
3  30  0
4  0  6.99608e+06
4  1  0
4  2  3.30218e+06
4  3  0
4  4  0
4  5  0
4  6  1.59623e+06
4  7  1.92962e+07
4  8  0
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  0
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  0
4  26  2.65474e+07
4  27  0
4  28  0
4  29  0
4  30  0
5  0  3.93057e+07
5  1  0
5  2  0
5  3  0
5  4  2.23402e+07
5  5  0
5  6  0
5  7  0
5  8  0
5  9  3.84268e+07
5  10  0
5  11  1.88193e+07
5  12  3.23072e+06
5  13  0
5  14  3.15435e+06
5  15  2.15809e+06
5  16  2.32371e+07
5  17  0
5  18  0
5  19  0
5  20  0
5  21  0
5  22  0
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  0
5  29  0
5  30  0
6  0  1.89584e+07
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  0
6  8  2.17037e+07
6  9  0
6  10  7.88534e+06
6  11  0
6  12  2.10194e+07
6  13  0
6  14  6.35917e+06
6  15  0
6  16  0
6  17  0
6  18  0
6  19  0
6  20  0
6  21  0
6  22  0
6  23  2.31173e+07
6  24  0
6  25  0
6  26  0
6  27  0
6  28  0
6  29  0
6  30  0
7  0  0
7  1  0
7  2  0
7  3  0
7  4  0
7  5  2.06156e+07
7  6  0
7  7  0
7  8  5.70411e+06
7  9  0
7  10  0
7  11  0
7  12  0
7  13  2.11255e+06
7  14  5.08112e+06
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  0
7  21  0
7  22  0
7  23  0
7  24  0
7  25  0
7  26  1.58233e+07
7  27  0
7  28  0
7  29  0
7  30  0
8  0  6.40242e+06
8  1  0
8  2  3.26647e+07
8  3  1.06908e+07
8  4  0
8  5  0
8  6  0
8  7  0
8  8  0
8  9  2.1429e+06
8  10  0
8  11  0
8  12  1.72533e+07
8  13  0
8  14  0
8  15  2.09878e+07
8  16  0
8  17  0
8  18  2.00396e+07
8  19  0
8  20  0
8  21  777016
8  22  0
8  23  0
8  24  0
8  25  0
8  26  0
8  27  0
8  28  0
8  29  1.17446e+07
8  30  0
9  0  0
9  1  0
9  2  0
9  3  0
9  4  0
9  5  3.41246e+07
9  6  0
9  7  7.57535e+06
9  8  0
9  9  0
9  10  0
9  11  0
9  12  0
9  13  0
9  14  0
9  15  5.48911e+06
9  16  0
9  17  1.23063e+07
9  18  0
9  19  0
9  20  0
9  21  0
9  22  4.05989e+06
9  23  0
9  24  0
9  25  1.45255e+07
9  26  2.99705e+06
9  27  0
9  28  0
9  29  0
9  30  0
10  0  0
10  1  0
10  2  0
10  3  2.03881e+07
10  4  0
10  5  1.40295e+07
10  6  0
10  7  0
10  8  0
10  9  0
10  10  0
10  11  0
10  12  0
10  13  0
10  14  0
10  15  6.73562e+06
10  16  1.35068e+07
10  17  0
10  18  1.80728e+07
10  19  0
10  20  0
10  21  0
10  22  0
10  23  0
10  24  7.62908e+06
10  25  0
10  26  1.44902e+07
10  27  0
10  28  9.3309e+06
10  29  0
10  30  0
11  0  0
11  1  0
11  2  0
11  3  0
11  4  5.11432e+06
11  5  0
11  6  0
11  7  0
11  8  0
11  9  5.98406e+06
11  10  1.84735e+07
11  11  2.56264e+07
11  12  7.13968e+06
11  13  1.92839e+07
11  14  1.14291e+07
11  15  2.46536e+07
11  16  0
11  17  4.32765e+06
11  18  4.09134e+07
11  19  0
11  20  0
11  21  0
11  22  0
11  23  3.02125e+07
11  24  0
11  25  0
11  26  0
11  27  0
11  28  0
11  29  0
11  30  0
12  0  0
12  1  0
12  2  0
12  3  1.59674e+07
12  4  0
12  5  0
12  6  3.59906e+06
12  7  177913
12  8  8.96036e+06
12  9  0
12  10  0
12  11  9.24829e+06
12  12  1.9262e+07
12  13  0
12  14  0
12  15  2.00387e+07
12  16  0
12  17  0
12  18  0
12  19  9.00986e+06
12  20  0
12  21  0
12  22  0
12  23  1.78559e+06
12  24  0
12  25  3.58191e+06
12  26  0
12  27  0
12  28  0
12  29  0
12  30  0
13  0  0
13  1  0
13  2  0
13  3  0
13  4  0
13  5  0
13  6  3.43082e+06
13  7  0
13  8  0
13  9  634594
13  10  0
13  11  1.34025e+07
13  12  0
13  13  0
13  14  2.67096e+07
13  15  2.60168e+07
13  16  0
13  17  0
13  18  0
13  19  2.37268e+07
13  20  0
13  21  0
13  22  0
13  23  0
13  24  0
13  25  0
13  26  0
13  27  0
13  28  0
13  29  0
13  30  0
14  0  3.15902e+06
14  1  0
14  2  1.49548e+07
14  3  0
14  4  5.44109e+06
14  5  0
14  6  0
14  7  0
14  8  0
14  9  1.98646e+07
14  10  0
14  11  0
14  12  0
14  13  0
14  14  1.90657e+06
14  15  0
14  16  0
14  17  9.39087e+06
14  18  0
14  19  0
14  20  0
14  21  4.94847e+06
14  22  1.25802e+06
14  23  3.56119e+06
14  24  0
14  25  0
14  26  0
14  27  9.51455e+06
14  28  0
14  29  0
14  30  0
15  0  1.05634e+07
15  1  0
15  2  0
15  3  0
