row  column  (image_36_a.edf Fe-K*image_36_a.edf Ar-K**2.3)
0  0  2.31142e+08
0  1  2.69205e+08
0  2  2.196e+08
0  3  2.27061e+08
0  4  2.20869e+08
0  5  2.67503e+08
0  6  3.17093e+08
0  7  2.31427e+08
0  8  2.26757e+08
0  9  1.90238e+08
0  10  2.28426e+08
0  11  1.97501e+08
0  12  1.66895e+08
0  13  1.77207e+08
0  14  1.54478e+08
0  15  2.09274e+08
0  16  1.69439e+08
0  17  2.1837e+08
0  18  2.19717e+08
0  19  2.74409e+08
0  20  2.10178e+08
0  21  2.21467e+08
0  22  1.48665e+08
0  23  1.9128e+08
0  24  1.67926e+08
0  25  1.93213e+08
0  26  2.49012e+08
0  27  1.46767e+08
0  28  1.72466e+08
0  29  1.58383e+08
0  30  1.85841e+08
1  0  2.37273e+08
1  1  2.11058e+08
1  2  2.26146e+08
1  3  2.92468e+08
1  4  2.77685e+08
1  5  3.31838e+08
1  6  1.57603e+08
1  7  2.67124e+08
1  8  1.70794e+08
1  9  2.08548e+08
1  10  1.72885e+08
1  11  1.9341e+08
1  12  2.01558e+08
1  13  1.75794e+08
1  14  1.37977e+08
1  15  1.62029e+08
1  16  2.20184e+08
1  17  1.81886e+08
1  18  2.48251e+08
1  19  2.17936e+08
1  20  2.40099e+08
1  21  1.55427e+08
1  22  1.94918e+08
1  23  2.09064e+08
1  24  1.91622e+08
1  25  1.58498e+08
1  26  1.96055e+08
1  27  1.63352e+08
1  28  1.92789e+08
1  29  1.80037e+08
1  30  1.91526e+08
2  0  2.7312e+08
2  1  2.11777e+08
2  2  2.74203e+08
2  3  2.82992e+08
2  4  2.68651e+08
2  5  3.73009e+08
2  6  2.51257e+08
2  7  2.35227e+08
2  8  1.89853e+08
2  9  2.48889e+08
2  10  2.29859e+08
2  11  2.42043e+08
2  12  1.91658e+08
2  13  1.97181e+08
2  14  1.85083e+08
2  15  2.02126e+08
2  16  1.81384e+08
2  17  1.98778e+08
2  18  2.35864e+08
2  19  1.58414e+08
2  20  1.90635e+08
2  21  1.46173e+08
2  22  2.14627e+08
2  23  2.11323e+08
2  24  1.39747e+08
2  25  1.47242e+08
2  26  1.94349e+08
2  27  1.61502e+08
2  28  1.86486e+08
2  29  1.72618e+08
2  30  1.24158e+08
3  0  2.34704e+08
3  1  2.48945e+08
3  2  2.44017e+08
3  3  2.56353e+08
3  4  2.88498e+08
3  5  3.10211e+08
3  6  2.45918e+08
3  7  2.28723e+08
3  8  2.35664e+08
3  9  2.79605e+08
3  10  1.90288e+08
3  11  2.38915e+08
3  12  1.56319e+08
3  13  1.71938e+08
3  14  2.23364e+08
3  15  1.89509e+08
3  16  1.87908e+08
3  17  2.02595e+08
3  18  1.99446e+08
3  19  2.37168e+08
3  20  1.76471e+08
3  21  1.76195e+08
3  22  2.11764e+08
3  23  2.03239e+08
3  24  1.98575e+08
3  25  1.5398e+08
3  26  2.30848e+08
3  27  1.99343e+08
3  28  1.92112e+08
3  29  2.0449e+08
3  30  2.20466e+08
4  0  2.39372e+08
4  1  2.19713e+08
4  2  2.24319e+08
4  3  2.80994e+08
4  4  2.94815e+08
4  5  3.25594e+08
4  6  1.96225e+08
4  7  2.18106e+08
4  8  2.09013e+08
4  9  2.42618e+08
4  10  2.45078e+08
4  11  2.18014e+08
4  12  2.07598e+08
4  13  2.041e+08
4  14  1.53982e+08
4  15  1.68967e+08
4  16  2.05655e+08
4  17  1.93702e+08
4  18  2.12207e+08
4  19  1.96032e+08
4  20  2.49933e+08
4  21  1.71252e+08
4  22  1.76662e+08
4  23  1.49736e+08
4  24  1.78977e+08
4  25  1.76911e+08
4  26  1.67717e+08
4  27  1.89497e+08
4  28  2.0683e+08
4  29  2.09018e+08
4  30  1.92188e+08
5  0  1.84453e+08
5  1  1.72872e+08
5  2  2.03214e+08
5  3  2.72167e+08
5  4  2.27101e+08
5  5  2.91807e+08
5  6  2.24997e+08
5  7  2.34319e+08
5  8  1.90855e+08
5  9  1.90196e+08
5  10  2.23141e+08
5  11  2.14355e+08
5  12  2.24654e+08
5  13  2.15141e+08
5  14  1.86408e+08
5  15  1.56661e+08
5  16  1.74718e+08
5  17  2.52028e+08
5  18  2.53909e+08
5  19  1.60796e+08
5  20  1.68097e+08
5  21  2.01939e+08
5  22  2.28852e+08
5  23  2.00739e+08
5  24  1.7444e+08
5  25  1.3656e+08
5  26  1.9649e+08
5  27  1.76787e+08
5  28  1.95218e+08
5  29  1.76842e+08
5  30  2.32403e+08
6  0  1.81047e+08
6  1  2.0671e+08
6  2  2.06001e+08
6  3  2.44542e+08
6  4  2.55522e+08
6  5  2.48687e+08
6  6  2.14762e+08
6  7  1.98436e+08
6  8  1.89791e+08
6  9  2.24561e+08
6  10  2.25055e+08
6  11  2.43396e+08
6  12  2.76264e+08
6  13  2.46046e+08
6  14  2.47681e+08
6  15  2.02564e+08
6  16  2.13688e+08
6  17  2.78452e+08
6  18  2.91766e+08
6  19  2.12187e+08
6  20  2.38814e+08
6  21  2.63533e+08
6  22  1.61491e+08
6  23  2.41398e+08
6  24  2.41068e+08
6  25  1.93085e+08
6  26  1.85677e+08
6  27  1.65055e+08
6  28  2.43024e+08
6  29  2.3691e+08
6  30  2.14733e+08
7  0  1.78383e+08
7  1  1.57787e+08
7  2  2.41789e+08
7  3  2.45086e+08
7  4  2.08159e+08
7  5  2.371e+08
7  6  1.61719e+08
7  7  2.4029e+08
7  8  1.85284e+08
7  9  2.67255e+08
7  10  2.26036e+08
7  11  2.69221e+08
7  12  2.8844e+08
7  13  2.18569e+08
7  14  2.08573e+08
7  15  2.19441e+08
7  16  2.1632e+08
7  17  2.68294e+08
7  18  2.4462e+08
7  19  2.4105e+08
7  20  1.93491e+08
7  21  2.75658e+08
7  22  1.82154e+08
7  23  1.89082e+08
7  24  1.90691e+08
7  25  2.02084e+08
7  26  2.08757e+08
7  27  2.26519e+08
7  28  2.46655e+08
7  29  2.605e+08
7  30  2.49096e+08
8  0  1.98013e+08
8  1  1.72854e+08
8  2  1.6946e+08
8  3  1.6945e+08
8  4  2.27962e+08
8  5  2.17278e+08
8  6  1.83617e+08
8  7  2.27618e+08
8  8  2.46446e+08
8  9  1.95969e+08
8  10  2.17784e+08
8  11  2.41577e+08
8  12  2.24767e+08
8  13  2.36898e+08
8  14  2.22386e+08
8  15  1.96957e+08
8  16  1.87818e+08
8  17  2.36618e+08
8  18  2.12739e+08
8  19  2.16149e+08
8  20  1.80649e+08
8  21  2.45513e+08
8  22  2.26246e+08
8  23  1.88737e+08
8  24  2.40608e+08
8  25  2.00567e+08
8  26  2.24213e+08
8  27  2.72419e+08
8  28  2.67095e+08
8  29  2.82188e+08
8  30  2.40882e+08
9  0  2.45458e+08
9  1  1.74402e+08
9  2  1.81932e+08
9  3  1.94933e+08
9  4  2.38682e+08
9  5  2.00079e+08
9  6  2.27245e+08
9  7  1.85747e+08
9  8  2.26296e+08
9  9  2.22254e+08
9  10  2.44479e+08
9  11  2.12922e+08
9  12  2.11658e+08
9  13  2.07606e+08
9  14  2.23266e+08
9  15  1.86134e+08
9  16  1.97893e+08
9  17  1.83688e+08
9  18  2.10786e+08
9  19  2.15208e+08
9  20  2.02144e+08
9  21  2.06977e+08
9  22  2.02186e+08
9  23  2.24335e+08
9  24  1.88004e+08
9  25  1.70308e+08
9  26  2.21872e+08
9  27  2.55357e+08
9  28  2.72386e+08
9  29  2.85376e+08
9  30  2.48512e+08
10  0  1.9407e+08
10  1  1.7856e+08
10  2  1.93e+08
10  3  2.13822e+08
10  4  2.28063e+08
10  5  1.67104e+08
10  6  2.06958e+08
10  7  1.84756e+08
10  8  1.52101e+08
10  9  1.77889e+08
10  10  1.82256e+08
10  11  1.84412e+08
10  12  1.68081e+08
10  13  2.17715e+08
10  14  2.22629e+08
10  15  1.86264e+08
10  16  1.60045e+08
10  17  2.05146e+08
10  18  2.11751e+08
10  19  2.20442e+08
10  20  2.33389e+08
10  21  2.12755e+08
10  22  1.92033e+08
10  23  2.01074e+08
10  24  1.77897e+08
10  25  1.8493e+08
10  26  2.29853e+08
10  27  2.80296e+08
10  28  2.7235e+08
10  29  3.51041e+08
10  30  3.07782e+08
11  0  2.00045e+08
11  1  1.73604e+08
11  2  2.4422e+08
11  3  1.90086e+08
11  4  1.775e+08
11  5  1.8187e+08
11  6  1.99083e+08
11  7  1.69233e+08
11  8  1.53705e+08
11  9  1.9299e+08
11  10  2.1667e+08
11  11  2.03142e+08
11  12  2.24341e+08
11  13  2.15277e+08
11  14  2.41059e+08
11  15  1.97356e+08
11  16  1.84152e+08
11  17  1.987e+08
11  18  2.25272e+08
11  19  1.70695e+08
11  20  2.29066e+08
11  21  2.21258e+08
11  22  2.28368e+08
11  23  2.02036e+08
11  24  2.06842e+08
11  25  1.9109e+08
11  26  1.8068e+08
11  27  2.25579e+08
11  28  3.01612e+08
11  29  3.94287e+08
11  30  2.44685e+08
12  0  1.89684e+08
12  1  2.07089e+08
12  2  1.90577e+08
12  3  2.01823e+08
12  4  1.59833e+08
12  5  2.28757e+08
12  6  1.32404e+08
12  7  1.53881e+08
12  8  1.49822e+08
12  9  1.96264e+08
12  10  2.19197e+08
12  11  2.10296e+08
12  12  2.17544e+08
12  13  2.33945e+08
12  14  1.88268e+08
12  15  1.73162e+08
12  16  1.61015e+08
12  17  2.02343e+08
12  18  2.25991e+08
