row  column  (image_36_a.edf Mn-K*image_36_a.edf Ar-K**2.3)
0  0  5.375e+07
0  1  3.76173e+07
0  2  8.39832e+07
0  3  7.56719e+07
0  4  8.99622e+07
0  5  9.86802e+07
0  6  1.06039e+08
0  7  1.15702e+08
0  8  9.25074e+07
0  9  8.24038e+07
0  10  9.66699e+07
0  11  9.86152e+07
0  12  9.16953e+07
0  13  1.25967e+08
0  14  9.42718e+07
0  15  9.17607e+07
0  16  1.11306e+08
0  17  9.56769e+07
0  18  1.03644e+08
0  19  6.94767e+07
0  20  6.35743e+07
0  21  1.54404e+08
0  22  9.37199e+07
0  23  8.81159e+07
0  24  1.01113e+08
0  25  1.0577e+08
0  26  9.55215e+07
0  27  1.10402e+08
0  28  1.33846e+08
0  29  8.0636e+07
0  30  8.36231e+07
1  0  5.27196e+07
1  1  9.44946e+07
1  2  7.23808e+07
1  3  1.28424e+08
1  4  9.31533e+07
1  5  6.78247e+07
1  6  7.705e+07
1  7  1.15526e+08
1  8  7.03736e+07
1  9  9.71477e+07
1  10  7.10747e+07
1  11  9.5922e+07
1  12  6.98381e+07
1  13  9.04077e+07
1  14  6.55082e+07
1  15  1.13574e+08
1  16  5.99062e+07
1  17  1.20355e+08
1  18  1.02984e+08
1  19  5.74326e+07
1  20  8.32418e+07
1  21  9.03819e+07
1  22  6.99606e+07
1  23  8.04106e+07
1  24  1.00859e+08
1  25  1.18359e+08
1  26  1.09113e+08
1  27  1.2951e+08
1  28  6.57819e+07
1  29  1.11984e+08
1  30  9.18549e+07
2  0  8.04282e+07
2  1  6.41164e+07
2  2  6.59909e+07
2  3  5.86322e+07
2  4  5.30399e+07
2  5  3.16786e+07
2  6  9.67222e+07
2  7  6.62056e+07
2  8  6.19552e+07
2  9  8.98562e+07
2  10  7.60826e+07
2  11  9.80094e+07
2  12  4.38708e+07
2  13  8.63663e+07
2  14  4.81054e+07
2  15  9.7049e+07
2  16  1.43167e+08
2  17  6.3726e+07
2  18  6.49719e+07
2  19  9.28212e+07
2  20  9.51506e+07
2  21  1.187e+08
2  22  6.09719e+07
2  23  1.30934e+08
2  24  1.2142e+08
2  25  1.25586e+08
2  26  9.83616e+07
2  27  1.30607e+08
2  28  1.18765e+08
2  29  1.31944e+08
2  30  1.17339e+08
3  0  4.67605e+07
3  1  4.33728e+07
3  2  6.80171e+07
3  3  8.70237e+07
3  4  6.71375e+07
3  5  6.41886e+07
3  6  6.67361e+07
3  7  9.21685e+07
3  8  7.61038e+07
3  9  8.52863e+07
3  10  6.14749e+07
3  11  1.04872e+08
3  12  9.0805e+07
3  13  8.67924e+07
3  14  1.11299e+08
3  15  7.36979e+07
3  16  8.85746e+07
3  17  9.79958e+07
3  18  7.92688e+07
3  19  5.09059e+07
3  20  6.19823e+07
3  21  7.41892e+07
3  22  1.02677e+08
3  23  1.2566e+08
3  24  1.07298e+08
3  25  8.99879e+07
3  26  1.09497e+08
3  27  8.13329e+07
3  28  9.50034e+07
3  29  9.96581e+07
3  30  1.16854e+08
4  0  5.64395e+07
4  1  5.49136e+07
4  2  9.47955e+07
4  3  6.99311e+07
4  4  7.17396e+07
