row  column  (image_36_a.edf S-K*image_36_a.edf Ar-K**2.3)
0  0  3.68836e+07
0  1  0
0  2  0
0  3  0
0  4  0
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  0
0  30  0
1  0  3.29261e+07
1  1  2.61372e+07
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0
1  30  0
2  0  0
2  1  0
2  2  3.98503e+07
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  0
2  29  0
2  30  0
3  0  0
3  1  0
3  2  3.45074e+06
3  3  0
3  4  0
3  5  5.19215e+07
3  6  0
3  7  0
3  8  3.97562e+07
3  9  0
3  10  0
3  11  0
3  12  0
3  13  0
3  14  0
3  15  0
3  16  0
3  17  0
3  18  0
3  19  0
3  20  0
3  21  0
3  22  0
3  23  0
3  24  0
3  25  0
3  26  0
3  27  0
3  28  0
3  29  0
3  30  0
4  0  0
4  1  0
4  2  3.43011e+07
4  3  0
4  4  0
4  5  2.13124e+07
4  6  0
4  7  3.71813e+07
4  8  3.71164e+07
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  0
4  15  0
4  16  0
4  17  0
4  18  0
4  19  0
4  20  0
4  21  0
4  22  0
4  23  0
4  24  0
4  25  0
4  26  0
4  27  0
4  28  0
4  29  0
4  30  0
5  0  3.62622e+07
5  1  0
5  2  3.42433e+07
5  3  4.04484e+07
5  4  2.48915e+07
5  5  0
5  6  3.65889e+07
5  7  0
5  8  3.18894e+07
5  9  0
5  10  4.81206e+07
5  11  0
5  12  0
5  13  0
5  14  0
5  15  0
5  16  0
5  17  0
5  18  0
5  19  0
5  20  0
5  21  0
5  22  0
5  23  0
5  24  0
5  25  0
5  26  0
5  27  0
5  28  0
5  29  0
5  30  0
6  0  5.50549e+07
6  1  3.17447e+07
6  2  0
6  3  6.42989e+06
6  4  4.15948e+07
6  5  5.08926e+07
6  6  0
6  7  4.56965e+07
6  8  0
6  9  4.89887e+07
6  10  2.96012e+07
6  11  0
6  12  0
6  13  0
6  14  0
6  15  0
6  16  0
6  17  0
6  18  0
6  19  0
6  20  0
6  21  0
6  22  0
6  23  0
6  24  0
6  25  0
6  26  0
6  27  0
6  28  0
6  29  0
6  30  0
7  0  0
7  1  2.90746e+07
7  2  3.20052e+07
7  3  6.00852e+07
7  4  4.32332e+07
7  5  6.12351e+07
7  6  3.29307e+07
7  7  4.58856e+07
7  8  7.43996e+07
7  9  3.2445e+07
7  10  6.16971e+07
7  11  4.1015e+07
7  12  4.12948e+07
7  13  3.01908e+07
7  14  2.95186e+07
7  15  0
7  16  0
7  17  0
7  18  0
7  19  0
7  20  0
7  21  0
7  22  0
7  23  0
7  24  0
7  25  0
7  26  0
7  27  0
7  28  0
7  29  0
7  30  0
8  0  1.50496e+07
8  1  0
8  2  4.82302e+07
8  3  5.78578e+07
8  4  6.46849e+07
8  5  6.444e+07
8  6  3.65489e+07
8  7  3.71563e+07
8  8  6.61497e+07
8  9  4.71818e+07
8  10  5.93304e+07
8  11  5.06629e+07
8  12  0
8  13  2.87997e+07
8  14  4.33898e+07
8  15  0
8  16  0
8  17  0
8  18  0
8  19  0
8  20  0
8  21  0
8  22  0
8  23  0
8  24  0
8  25  0
8  26  0
8  27  0
8  28  0
8  29  0
8  30  0
9  0  3.73732e+07
9  1  1.78859e+07
9  2  3.61648e+07
9  3  8.13773e+07
9  4  4.82908e+07
9  5  3.38183e+07
9  6  6.09469e+07
9  7  3.78741e+07
9  8  2.5491e+07
9  9  9.68501e+07
9  10  6.96804e+07
9  11  6.02124e+07
9  12  5.44107e+07
9  13  1.13835e+07
9  14  6.07139e+07
9  15  3.28877e+07
9  16  3.50175e+07
9  17  2.7903e+07
9  18  0
9  19  0
9  20  0
9  21  0
9  22  0
9  23  0
9  24  0
9  25  0
9  26  0
9  27  0
9  28  0
9  29  0
9  30  0
10  0  5.99312e+07
10  1  4.015e+07
10  2  5.74831e+07
10  3  1.52464e+07
10  4  4.71397e+07
10  5  3.89443e+07
10  6  3.70683e+07
10  7  4.55467e+07
10  8  6.911e+07
10  9  5.98021e+07
10  10  8.31412e+07
10  11  7.01987e+07
10  12  6.61822e+07
10  13  7.3051e+07
10  14  5.159e+07
10  15  5.19263e+07
10  16  4.99141e+07
10  17  3.76646e+07
10  18  2.57574e+07
10  19  0
10  20  3.36433e+07
10  21  0
10  22  3.60175e+07
10  23  0
10  24  3.28841e+07
10  25  0
10  26  4.61277e+07
10  27  0
10  28  0
10  29  0
